Bhartrhari: Vakyapadiya


Input by Yves Ramseier



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akarmakatve saty evaü  BVaky_3,14.67a
arthapravçttitattvànàü  BVaky_1.13a
arthabhàgais tathà teùàm  BVaky_2.31a
arthabhedaş pratãyate  BVaky_3,12.27b
arthabhede 'pi sàråpyàt  BVaky_3,14.193c
arthabhedo lubanteùu  BVaky_3,14.598c
arthamàtraü viparyastaü  BVaky_2.255c
arthamàtraü viparyastaü  BVaky_2.256c
artham àhànyaråpeõa  BVaky_3,3.54c
arthayogaü ca laukikam  BVaky_2.344b
arthayogàt prasiddhayaş  BVaky_2.346b
artharåpaviviktaü ca  BVaky_3,1.110c
artharåpaü tathà ÷abde  BVaky_1.51c
arthavattà na vidyate  BVaky_2.424d
arthavattàprakaraõàd  BVaky_2.212c
arthavattve pradar÷itaş  BVaky_2.210b
arthavadbhyo vi÷iùñàrthaş  BVaky_2.208a
arthavantaş samudità  BVaky_2.54c
arthavastuùu gçhyate  BVaky_2.425b
arthavàn parikalpitaş  BVaky_3,14.19b
arthas tu tasya saübandhã  BVaky_2.337c
arthasya càbhisaübandha-  BVaky_2.432c
arthasya pratipatçùu  BVaky_2.18d
arthasya pratipàdakàn  BVaky_2.408b
arthasya pravibhajyate  BVaky_2.431b
arthasya vinivçttatvàl  BVaky_3,14.45a
arthasya sarva÷aktitvàt  BVaky_2.434c
arthasyànugamaü kaü cid  BVaky_3,14.76a
arthasyàneka÷aktitve  BVaky_3,14.105c
arthasyàpi parigrahaş  BVaky_3,14.581b
arthasvaråpe ÷abdànàü  BVaky_2.262a
arthaü kathaü cit puruùaş  BVaky_2.39a
arthaş kçtso 'numãyate  BVaky_2.156d
arthaş prakaraõaü liïgaü  BVaky_2.315c
arthàc chabdaş pratãyate  BVaky_3,3.32d
arthàt prakaraõàd vàpi  BVaky_3,14.445a
arthàt pratãtam anyonyaü  BVaky_3,12.23a
arthàtmany avi÷eùeõa  BVaky_3,14.483c
arthàtmà bhidyate bhàve  BVaky_3,8.59c
arthàtmà vyapadi÷yate  BVaky_3,14.16d
arthàt sarvàõi karmàõi  BVaky_3,14.292c
arthànàm avivakùitam  BVaky_2.304b
arthànàü laukikair yathà  BVaky_2.142b
arthànàü saünidhàne 'pi  BVaky_2.303a
arthàntarasya tadbhàvas  BVaky_2.279c
arthàntaràbhidhànàc ca  BVaky_3,14.81a
arthàntaràbhidhàyitvaü  BVaky_3,14.33a
arthàntaràvabodhena  BVaky_2.206c
arthàntare ca yad vçttaü  BVaky_2.177a
arthàn svaråpabhedena  BVaky_2.165c
arthàbhidhànasaübandham  BVaky_2.403c
arthàvabhàsaråpà ca  BVaky_2.421c
arthàş sarve vivakùayà  BVaky_3,14.571d
arthitvam atra sàmarthyam  BVaky_2.79a
arthinàü guõabhede 'pi  BVaky_2.382c
arthiùv àdaikùu bhedena  BVaky_2.381c
arthe buddhiş pravartate  BVaky_3,14.93b
artheùu ÷aktibhedànàü  BVaky_3,7.6c
artho dvandvasya tatra syàd  BVaky_3,14.206c
arthopasarjanãbhåtàn  BVaky_1.55a
artho 'bhidhãyate yasmàd  BVaky_2.427c
artho bhede 'pi sarvàbhir  BVaky_3,14.525c
artho vyàvçttaråpo 'pi  BVaky_3,1.101c
ardharcàdiùu ÷abdeùu  BVaky_2.103a
ardhaü ca pippalã ceti  BVaky_3,14.479c
ardhaü pa÷or iti yathà  BVaky_2.341c
arhate÷ ca kriyà kartrã  BVaky_3,14.560a
arhàrthe 'pi vatiş siddhaş  BVaky_3,14.552c
alabdhagàdhe gàmbhãryàd  BVaky_2.483a
alaü syàd apadasthànam  BVaky_3,3.80c
alàtacakravad råpaü  BVaky_3,8.8c
aluka÷ caikavadbhàvas  BVaky_3,14.107a
alpade÷àntaràvasthaü  BVaky_2.294c
alpavidyàparigrahàn  BVaky_2.481b
alpaü ÷àstraprayojanam  BVaky_1.40d
alpe mahati và chidre  BVaky_3,9.71a
alpe mahati và ÷abde  BVaky_1.106a
avacchinatti saübandhas  BVaky_2.45c
avacchedam ivàdhàya  BVaky_3,14.11c
avacchedo vidhãyate  BVaky_3,14.261b
avadhitvaü pçthak pçthak  BVaky_3,7.141b
avadhitvena càpekùà-  BVaky_3,6.21a
avadhipratipàdyayoş  BVaky_3,6.2b
avabodhasya ÷à÷vatã  BVaky_1.132b
avarùàdiùu dosa÷ ca  BVaky_3,14.316c
avarùàsu tato 'siddhir  BVaky_3,14.305c
ava÷yaü bràhmaõe ka÷ cit  BVaky_3,14.270a
avastupatite j¤àtvà  BVaky_3,6.24c
avastuùv api notprekùà  BVaky_3,3.86c
avastu syàd atãtaü yad  BVaky_3,3.77a
avasthà tàdç÷ã nàsti  BVaky_3,14.327a
avasthàde÷akàlànàü  BVaky_1.32a
avasthàbhedadar÷ibhiş  BVaky_2.173b
avasthà vyatikãryeran  BVaky_3,9.5c
avasthàü pa¤camãm àhur  BVaky_3,7.60a
avàcyam iti yad vàcyaü  BVaky_3,3.20a
avàcyasyopakàritva  BVaky_3,14.358c
avikalpasamuccayaş  BVaky_2.126b
avikalpitavàkyàrthe  BVaky_2.116a
avikàrasya ÷abdasya  BVaky_1.97a
avigrahà gatàdisthà  BVaky_3,14.68a
avicchedena vartate  BVaky_1.41b
avicchedena ÷iùñànàm  BVaky_1.158c
avidyamànabràhmaõyo  BVaky_3,14.301a
avidyamànabhedatvàt  BVaky_3,14.402c
avidyaivopavarõyate  BVaky_2.233b
avidvàn pratipadyate  BVaky_2.13d
avinà÷o gurutvasya  BVaky_3,7.150a
aviprayogaş sàdhutve  BVaky_3,14.77a
avibhaktaü tad ucyate  BVaky_3,14.100d
avibhakte 'pi vàkyàrthe  BVaky_2.88a
avibhakto vibhaktebhyo  BVaky_1.45a
avibhàgaü tu ÷abdebhyaş  BVaky_2.419a
avibhàgà tu pa÷yantã  BVaky_1.167a
avibhàgàd vivçttànàm  BVaky_1.173a
avibhàge tathà saiva  BVaky_1.139c
avibhàgena vartante  BVaky_3,14.101c
aviruddhaü gavàdãnàü  BVaky_2.172c
aviruddhà, viruddhàbhir  BVaky_3,13.4c
avirodhivirodhibhiş  BVaky_3,3.41d
avirodhã virodhã và  BVaky_3,3.67a
avirodhã virodhã và  BVaky_3,3.68a
avirodhena gacchataş  BVaky_1.59d
avirbhàvatirobhàva-  BVaky_3,13.17c
avivakùitam apy arthaü  BVaky_2.301c
avivekàt prade÷ebhyo  BVaky_3,1.18c
avi÷iùñasya paryàyo  BVaky_3,14.271a
avi÷iùñaü kçtàkçtàt  BVaky_3,14.267d
avi÷iùñaş pratãyate  BVaky_3,1.88d
avi÷iùñaş satànyena  BVaky_3,7.10@c
avi÷iùñàrthavçttitvaü  BVaky_3,14.191c
avi÷iùño bhavaty anyaiş  BVaky_3,7.123c
avçùñayo yathà varsà  BVaky_3,14.302a
avyaktavya¤janàvyakter  BVaky_3,13.10c
avyaktaü tadvidàü tena  BVaky_1.179c
avyatikramya vartate  BVaky_3,1.10d
avyayànàü ca yo dharmo  BVaky_3,14.106a
avyayeùu vater na ca  BVaky_3,14.495b
avyayeùu vateş pàñhaş  BVaky_3,14.522a
avyudàse svaråpasya  BVaky_3,3.23c
a÷akteş sarva÷akter và  BVaky_2.131a
a÷aktair abhidhàtçbhiş  BVaky_1.182b
a÷abdam apare 'rthasya  BVaky_2.421a
a÷abdam iva ÷abdavat  BVaky_2.348b
a÷abdalakùaõàkàïkùaü  BVaky_2.450c
a÷abdavàcyàt saübandhàd  BVaky_3,14.346c
a÷abdavàcyà sà buddhir  BVaky_2.242c
a÷abdavàcyo yo bhedaş  BVaky_3,14.370a
a÷àbdo yadi vàkyàrthaş  BVaky_2.16a
a÷ukla iti kçùõàdir  BVaky_3,14.289a
a÷uddhau vyavatiùñhate  BVaky_3,3.58b
a÷obhanam asaübaddham  BVaky_3,14.458c
a÷màdãnàü punaş punaş  BVaky_3,14.17b
a÷rutà gamyate kriyà  BVaky_3,14.515d
a÷rutà÷ ca pratãyante  BVaky_3,14.516a
a÷vamedhena yakùyante  BVaky_2.455a
asata÷ ca kramo nàsti  BVaky_3,9.36a
asata÷ càntaràle yà¤  BVaky_1.87a
asataş syàt pradhànatà,  BVaky_3,14.259b
asatàpy anabhivyaktaü  BVaky_3,14.261c
asatà bràhmaõena ca  BVaky_3,14.297b
asatàbhyantarãkçtam  BVaky_3,14.313d
asati và sati vàpi  BVaky_3,12.5c
asataiva tu bhedànàü  BVaky_3,14.314c
asato 'rthasya manyate  BVaky_2.92d
asattvabhåtam atyantam  BVaky_2.46c
asattvabhåto bhàva÷ ca  BVaky_2.195c
asattvabhåto vyàpàraş  BVaky_3,14.519a
asattvaü prati ni÷cayaş  BVaky_3,13.11d
asatyà vyaktayaş smçtàş  BVaky_3,1.32d
asatyàü pratipattau và  BVaky_2.334a
asatye vartmani sthitvà  BVaky_2.238c
asatyair avadhàryate  BVaky_3,2.2b
asatyopàdhibhiş ÷abdaiş  BVaky_3,2.2c
asatyopàdhi yat satyaü  BVaky_2.127a
asatyo 'pi tathà ka÷ cit  BVaky_2.321c
asatyo vàpi saüsargaş  BVaky_2.126c
asatsàmànyavçttir và  BVaky_3,14.311a
asadàkà÷ani÷rayam  BVaky_3,7.112d
asad ity api sattvena  BVaky_3,14.307c
asann iti samàse 'smin  BVaky_3,14.254c
asan nivartate tasmàd  BVaky_3,8.20a
asan bràhmaõa ity àbhyàü  BVaky_3,14.298c
asan mårtiniråpitam  BVaky_3,7.112b
asamàkhyeyatattvànàm  BVaky_2.142a
asamàptaguõaü siddher  BVaky_3,14.383c
asamàse samàse ca  BVaky_3,14.51a
asamyagupade÷àd và  BVaky_3,14.281a
asaükareõa sarvàrtho  BVaky_2.254c
asaükhyàtàş kramodde÷air  BVaky_2.453c
asaükhyàsamudàyatvàt  BVaky_3,11.21a
asaünidhau pratinidhir  BVaky_2.70a
asaübhavàt tu saübandhe  BVaky_3,14.223a
asaübhavàd vi÷eùàõàü  BVaky_2.67c
asaübhave 'pi và vçtteş  BVaky_3,14.433a
asaü÷ ca nàsteş kartà syàd  BVaky_3,3.48c
asaüsçùñeùu vidyate  BVaky_3,1.21d
asàkùàd dhàrayat kriyàm  BVaky_3,7.148b
asàdhikà pratij¤eti  BVaky_3,3.27a
asàdhutvanivçttyarthaü  BVaky_3,14.88c
asàdhur anumànena  BVaky_3,3.30a
asàdhyà vyaktiråpeõa  BVaky_3,8.21c
asàsno gaur iti yathà,  BVaky_3,14.299a
asiddhà taü prati kriyà  BVaky_3,8.50b
asiddhim liïgasaükhyayoş  BVaky_3,14.201d
astaü yàteùu vàdeùu  BVaky_1.149a
astitvaü ca pratij¤àya  BVaky_3,13.11a
astitvaü vastumàtrasya  BVaky_3,9.113a
astitvenànuùakto và  BVaky_2.427a
astitvopanibandhanam  BVaky_2.412b
astãti vyapadi÷yate  BVaky_3,3.47b
astãty àhuş puràõagàş  BVaky_1.46b
asty arthaş sarva÷abdànàü  BVaky_2.119a
astrãpårvapadatvàt tu  BVaky_3,14.419a
aspç÷ann api pàõinà  BVaky_3,8.33b
asmàd ity upadar÷akaş  BVaky_2.118d
asminn arthe na ÷abdena  BVaky_3,6.10c
asminn artho na bhidyate  BVaky_2.79b
asmin vatir udàhçtaş  BVaky_3,14.579d
asmin såtre pratãyate  BVaky_3,14.582d
asmiüs tu na vivakùitaş  BVaky_2.80d
asya vàkyàntare dçùñàl  BVaky_2.86a
asyàdãnàü tu kartçtve  BVaky_3,7.96a
asyàdãnàü vidàraõe  BVaky_3,7.29b
asyàyaü vàcako vàcya  BVaky_3,3.3a
asyàü tv antarbahirbhàvaş  BVaky_3,6.23c
asyàü pårvaü vyavasthitaş  BVaky_3,3.41b
asyete vyatireka÷ ca  BVaky_1.68c
asyety agrahaõaü na ca  BVaky_3,1.108b
asyedam iti và yatra  BVaky_3,14.350a
asyaità iti tatràrthe  BVaky_3,14.238c
asvagoõyàdayaş ÷abdàş  BVaky_1.176a
asvatantre svatantratvaü  BVaky_3,11.5a
asva÷abdàbhidhànàs tu  BVaky_3,1.48a
asvàtantryaphalo bandhiş  BVaky_3,1.4a
asvàdhãnasthitiü viduş  BVaky_3,9.22d
ahiteùu yathà laulyàt  BVaky_3,7.80a
aübvaübv iti yathà bàlaş  BVaky_1.179a
àkàïkùàvat pratãyate  BVaky_3,14.165b
àkàïkùàvàn pravartate  BVaky_3,14.24b
àkàravantaş saüvedyà  BVaky_2.133a
àkàravarõàvayavaiş  BVaky_2.154a
àkàràvagrahas tu yaş  BVaky_2.120b
àkàrai÷ ca vyavacchedàt  BVaky_3,2.5a
àkà÷am eva keùàü cid  BVaky_3,7.151a
àkà÷asya prade÷ena  BVaky_3,6.5a
àkà÷asya yathà bheda÷  BVaky_3,7.111a
àkà÷asyàpi vidyate  BVaky_3,1.15d
àkà÷asyàpy ade÷asya  BVaky_3,1.16c
àkà÷àt sarvamårtayaş  BVaky_3,7.153b
àkçtiş sarva÷abdànàü  BVaky_3,14.317a
àkçter upakàro 'yaü  BVaky_3,14.334c
àkçter eka÷abdatà  BVaky_3,14.339b
àkçter dravyapakùena  BVaky_3,14.332c
àkçtau vàpi sàmànye  BVaky_3,14.400a
àkçtau và pradhànatvam  BVaky_3,14.337c
àkrãóa iva kàlasya  BVaky_3,9.72a
àkùiptaü karmavàcinà  BVaky_2.339b
àkùepàc ca prayoge.na  BVaky_3,14.73a
àkhyàtapadavàcyayà  BVaky_3,14.252b
àkhyàtapadavàcye 'rthe  BVaky_2.430a
àkhyàtapadavàcye 'rthe  BVaky_3,9.99a
àkhyàta÷abde niyataü  BVaky_2.327a
àkhyàta÷abde bhàgàbhyàü  BVaky_3,8.47a
àkhyàta÷abdair artho 'sàv  BVaky_3,8.30a
àkhyàtasyàsya varõyate  BVaky_2.340b
àkhyàtaü taddhitàrthasya  BVaky_2.306a
àkhyàtaü ÷abdasaüghàto  BVaky_2.1a
àkhyàtànupayoge tu  BVaky_3,7.72c
àkhyàteùv eka÷abdàyà  BVaky_3,14.340c
àkhyàtair abhidhãyate  BVaky_3,8.11d
àkhyàyate ca ÷àstreõa  BVaky_3,14.155a
àgato yàti vàcyatàm  BVaky_2.127d
àgamas tam upàsãno  BVaky_1.41c
àgamas tu vi÷iùyate  BVaky_2.151d
àgamaü pratipadyate  BVaky_1.148b
àgamà iva ke cit tu  BVaky_2.192c
àgamàc chàstrasadç÷o  BVaky_3,11.9c
àgamàt pratipadyate  BVaky_1.157b
àgamàd eva jàyate  BVaky_2.151b
àcaõóàlamanuùyàõàm  BVaky_1.40c
àcayàpacayàş pçthak  BVaky_3,9.13b
àcàryo màtula÷ ceti  BVaky_3,8.64a
àõóabhàvam ivàpanno  BVaky_1.52a
àte÷ ca bhedahetutvàn  BVaky_3,14.134a
àtau tasya samàptatvàd  BVaky_3,8.57c
àtmatattvaparityàgaş  BVaky_3,3.70a
àtmatattvaü tu parataş  BVaky_3,3.70c
àtmatattvaü prakà÷ate  BVaky_3,3.81d
àtmatattvena gçhyeta  BVaky_3,9.89c
àtmatattveùu bhàvànàm  BVaky_3,1.21c
àtmatyàgàd çte bhinnaü  BVaky_2.105c
àtmanepadam anyesàü  BVaky_3,12.6c
àtmabhåtaş kramo 'py asyà  BVaky_3,1.37a
àtmabhåtà÷ ca ÷aktayaş  BVaky_3,1.92b
àtmabhåtà samagratà  BVaky_3,1.24b
àtmabhedaü tayoş ke cid  BVaky_1.46a
àtmabhede 'pi saty evam  BVaky_3,7.97a
àtmabhedo na cet ka÷ cid  BVaky_2.213a
àtmaråpasya dar÷ikà  BVaky_3,3.39d
àtmaråpaü tu bhàvànàü  BVaky_3,13.27c
àtmaråpaü yathà j¤àne  BVaky_1.51a
àtmalàbhasya janmàkhyà  BVaky_3,3.43a
àtmà chandomayãü tanum  BVaky_1.17d
àtmà tu na vikalpyate  BVaky_3,9.80b
àtmànam àtmanà bibhrad  BVaky_3,3.47a
àtmàno na samåhinàm  BVaky_3,8.6b
àtmàntarasya yenàtmà  BVaky_3,3.9a
àtmàntarànàü yenàtmà  BVaky_3,11.13a
àtmà paraş priyo dveùyo  BVaky_3,2.17a
àtmà buddhyà samarthyàrthàn  BVaky_1.119a
àtmàbhivyaktaye jàtiş  BVaky_3,1.25c
àtmà bhedànapekùo 'sya  BVaky_3,14.114c
àtmà vastu svabhàva÷ ca  BVaky_3,2.1a
àtmaika iva gçhyate  BVaky_3,8.20d
àdityagrahanakùatra-  BVaky_3,9.76a
àdibhedasamanvitàş  BVaky_3,1.58d
àdimad brahma ÷à÷vatam  BVaky_2.237d
àde÷aiş samjnayà vàpi  BVaky_3,14.125c
àdaicpratyàyitaiş ÷abdaiş  BVaky_1.60c
àdyaş kàraõavinyàsaş  BVaky_1.130a
àdhàratvam iva pràptàs  BVaky_3,7.68a
àdhàradharmàn sàmànyaü  BVaky_3,14.345c
àdhàrabhedàd bhinnàyàm  BVaky_3,14.444a
àdhàrabhedàd bhedo yaş  BVaky_3,14.363a
àdhàra÷aktiş prathamà  BVaky_3,7.151c
àdhàraü kalpayan buddhyà  BVaky_3,3.86a
àdhàre niyamàbhàvàt  BVaky_2.417a
àdhàreùu padanyàsaü  BVaky_3,14.406a
àdhàro 'pi guõasyaivaü  BVaky_3,1.73c
àdhikyam api manyante  BVaky_2.272c
àdhikyam upajàyate  BVaky_2.42b
àdhikyam upajàyate  BVaky_3,14.544d
àdhikyaü tulya÷abdena  BVaky_3,14.542a
ànarthakyaü prasajyate  BVaky_2.34d
àpattyàpàdane tatra  BVaky_3,7.64c
àpàdayati kàraõaiş  BVaky_3,9.18d
àpi ke càparàrthatvàn  BVaky_3,14.119a
àpekùikyo hi saüsarge  BVaky_2.168c
àptaprayogà dç÷yante  BVaky_3,12.7c
àbhàsopagamo vyaktiş  BVaky_3,7.53a
àbhyàsàn maõiråpyàdi-  BVaky_3,1.46c
àmi÷ra eva prakràntaş  BVaky_3,9.97a
àmi÷re na prasidhyati  BVaky_3,9.98b
àmnàtà sarvavidyàsu  BVaky_1.136c
àmnàya÷abdàn abhyàse  BVaky_2.407a
àrabhante punaş punaş  BVaky_3,7.92b
àrabhyante pacàdayaş  BVaky_3,12.18b
àrambha÷ ca kriyà caiva  BVaky_3,9.33a
àrambhasyàkriyàrthatve  BVaky_3,14.539a
àrambhàd bàdhyate pràptà  BVaky_2.203c
àrambheõa na yogasya  BVaky_3,7.134c
àràc chabdavad ekasya  BVaky_3,14.275a
àràd apy upakàritve  BVaky_3,7.102c
àràd evopakurvate  BVaky_3,7.94b
àràdvçttiùu saübandhaş  BVaky_2.435a
àràdhaniyamàrthaiva  BVaky_2.416c
àrùe viplàvite granthe  BVaky_2.484c
àlambhanaü guõais tena  BVaky_3,1.84c
àvirbhàvatirobhàvau  BVaky_3,8.26a
àvirbhàvas tirobhàvaş  BVaky_3,13.13a
àvirbhàvas tirobhàvaş  BVaky_3,14.322c
àvirbhåtaprakà÷ànàm  BVaky_1.37a
àvi÷yevànusaüdhatte  BVaky_3,9.42a
àviùñaliïgatà tasyàü  BVaky_3,14.318a
àviùñasaükhyo vàkye 'sau  BVaky_3,14.287a
àviùñaü yad apàyena  BVaky_3,7.139c
àvçttaparipàkàyàü  BVaky_1.86c
àvçttàv anuùajyate  BVaky_2.258b
àvçttim antareõàpi  BVaky_2.379c
àvçttir anuvàdo và  BVaky_2.115a
àvçttivargasaükhyeyà  BVaky_3,11.22c
àvçtti÷aktibhinnàrthe  BVaky_2.478a
àvçttiş parigaõyate  BVaky_3,11.24d
àvçtter anumànaü và  BVaky_2.372a
àvçttau vyajyate jàtiş  BVaky_2.20c
àvçttau sadç÷àtmatàm  BVaky_3,1.100b
àvçttyà na tu sa granthaş  BVaky_1.84c
àve÷o liïgasaükhyàbhyàü  BVaky_3,14.151a
à÷aüsàyàü viparyayaş  BVaky_3,9.105b
à÷àsyamànatantratvàd  BVaky_3,9.105a
à÷rayatve ca kalpite  BVaky_3,14.189d
à÷rayatve niyujyate  BVaky_3,14.14d
à÷rayasyànupàdàne  BVaky_3,14.345a
à÷rayaü pratipadyate  BVaky_3,14.187b
à÷rayaş samavàyi ca  BVaky_3,14.167a
à÷rayaş svàtmamàtrà và  BVaky_3,1.40a
à÷rayàj janma kathyate  BVaky_3,1.39d
à÷rayàõàü ca nityatvam  BVaky_3,9.21a
à÷rayàõàü hi liïgaiş sà  BVaky_3,14.319a
à÷rayàt so 'ntaraïgatvàt  BVaky_3,9.96c
à÷rayàd upakàriõã  BVaky_3,7.28d
à÷rayàd bhedavattàyàş  BVaky_3,14.109a
à÷rayàd yo guõe bhedo  BVaky_3,14.367a
à÷rayàntaramànàya  BVaky_3,14.376c
à÷rayà÷rayiõor vàkyàn  BVaky_3,1.75c
à÷rayà÷rayidharmeõety  BVaky_3,14.20c
à÷rayà÷rayibhedo hi  BVaky_3,11.18c
à÷raye liïgasaükhyàbhyàm  BVaky_3,14.153a
à÷rayair api nityànàü  BVaky_1.98c
à÷rayair àkçteş saha  BVaky_3,14.342b
à÷rayair iva yujyate  BVaky_3,14.165d
à÷rayo nàbhidhãyate  BVaky_3,14.23b
à÷ritakramaråpatvàt  BVaky_3,8.1c
à÷ritakramaråpatvàd  BVaky_3,8.3c
à÷ritakramaråpeõa  BVaky_3,8.29c
à÷ritaü vyapadi÷yate  BVaky_3,14.153b
à÷ritaş sa tathàvidhaş  BVaky_2.212d
à÷ritàti÷ayatvaü tu  BVaky_3,7.93c
à÷ritànàü ca nityatà  BVaky_3,9.21b
à÷ritàvadhibhàvaü tu  BVaky_3,7.24c
à÷rite 'ti÷ayo yataş  BVaky_3,7.75b
à÷rite tåbhayàrthatà  BVaky_3,14.358d
à÷rite tv à÷rayakçtaü  BVaky_3,14.359a
à÷riteùåpacàreõa  BVaky_3,3.42c
à÷rito vinivartakaş  BVaky_3,14.142d
à÷rityàrabhyate ÷iùñaiş  BVaky_1.43c
à÷rityaivaü vicàraõà  BVaky_3,14.250b
à÷riyamànapràdhànyo  BVaky_3,14.378c
à÷rãyate tato 'tyantaü  BVaky_3,7.75c
à÷liùño yo 'nupa÷liùñaş  BVaky_2.435c
àsattiviprakarùàbhyàm  BVaky_2.151c
àsanna eva dravyatvàt  BVaky_3,14.243c
àsannaü brahmaõas tasya  BVaky_1.11a
àsanno 'rtho grahãùyate  BVaky_3,14.581d
àsthitaü karma yat tatra  BVaky_3,7.135c
àhàraprãtyapadveùa-  BVaky_2.150a
àhitottara÷aktitvàt  BVaky_3,8.14a
àhur dvandvaika÷eùayoş  BVaky_3,14.29d
àhur bhede vyavasthitam  BVaky_3,14.499d
àhur vyàkaraõaü budhàş  BVaky_1.11d
àhuş paràrthavacane  BVaky_3,14.95c
àhuş saüsargavàdinaş  BVaky_3,11.12b
àhaikade÷aü tattvena  BVaky_2.159c
icchà cikãr÷atãty atra  BVaky_3,9.104a
itaràbhir vibhaktibhiş  BVaky_3,14.525d
itaretarayogas tu  BVaky_3,14.30a
itikartavyatàyàü tàü  BVaky_2.146c
itikartavyatàrthasya  BVaky_2.450a
itikartavyatà loke  BVaky_1.129a
iti kàlasya lakùaõe  BVaky_2.310b
iti ke cit pracakùate  BVaky_3,14.232d
iti j¤ànam pravartate  BVaky_3,1.94b
iti tatropacaryate  BVaky_3,14.461b
iti tatropapadyate  BVaky_3,14.514d
iti tadvacanaş ÷abdaş  BVaky_3,14.279c
iti tasyopakàrinaş  BVaky_3,14.144b
iti tena pratãyate  BVaky_3,9.35d
iti na tv evamàdiùu  BVaky_3,14.560d
iti nyàyo bahuvidhas  BVaky_1.152c
iti pårvebhya àgamaş  BVaky_3,3.11d
iti pårvebhya àgamaş  BVaky_3,7.164b
iti pratyàyyalakùaõam  BVaky_2.119b
iti bàlo 'pi coditaş  BVaky_2.312b
iti buddhir nivartyate  BVaky_3,14.154d
iti bhinno 'bhidhãyate  BVaky_3,14.392d
iti bhedo vivakùayà  BVaky_3,7.19d
iti råóhir vyavasthità  BVaky_3,14.458d
iti råpàd dhi sà÷rità  BVaky_3,1.54d
iti vastvabhidhàyinaş  BVaky_3,6.1b
iti vàkyeùu ye dharmàş  BVaky_2.87a
iti vçttis tathà bhavet  BVaky_3,14.545b
iti vçttiş prasajyate  BVaky_3,14.507d
iti vçddhebhya àgamaş  BVaky_3,2.7b
iti ÷àstravyavasthayà  BVaky_3,14.153d
iti ùaùñhyà pratãyate  BVaky_3,3.3b
iti såtra udàhçtam  BVaky_3,14.469b
iti såtre 'padi÷yate  BVaky_3,14.386d
iti såtre pratãyate  BVaky_3,7.138b
itthaübhàve 'pi sàdç÷yaü  BVaky_3,14.624a
ity atra dravyaguõayoş  BVaky_3,14.538c
ity atràpy abhidhãyate  BVaky_3,14.289d
ity anyair apadi÷yate  BVaky_3,14.406d
ity abhinnaş pratãyate  BVaky_3,14.302d
ity ayaü ÷eùaviùayaş  BVaky_3,12.23c
ity arthagrahaõaü kçtam  BVaky_3,14.226d
ity arthasya nidar÷ane  BVaky_3,14.578b
ity avicchinna àgamaş  BVaky_3,8.24d
ity asyàü karmaõaş ÷rutau  BVaky_2.335b
ityàdyà bhedahetavaş  BVaky_3,7.150d
ity àmnàyavido viduş  BVaky_1.124b
ity ekavacana÷rutiş  BVaky_3,14.592d
ity ekàda÷a kalpanàş  BVaky_3,9.38d
ity etad upapadyate  BVaky_3,14.478d
ity etasmin gçhe yathà  BVaky_2.385b
ity etasmin padadvaye  BVaky_1.40b
ity evamàdibhir bhedas  BVaky_3,14.528c
ity evaü lakùaõe 'rthasya  BVaky_3,1.53c
idam atreti bhàvànàm  BVaky_3,7.152a
idam àdyaü padasthànaü  BVaky_1.16a
idam àràd vi÷eùakam  BVaky_2.82d
idam àvçttibhedàbhyàm  BVaky_2.77c
idaü gauõam idaü mukhyaü  BVaky_2.84c
idaü tad iti sànyeùàm  BVaky_2.144a
idaü tantreõa labhyate  BVaky_2.77b
idaü niyamyate 'syàtra  BVaky_2.85c
idaü paràïgaiş saübaddham  BVaky_2.81a
idaü puõyam idaü pàpam  BVaky_1.40a
idaü pradhànaü ÷eùo 'yaü  BVaky_2.82a
idaü veyam ayaü veti  BVaky_3,13.30a
idaü smçtinibandhanam  BVaky_1.158d
indriyagrahaõàd çte  BVaky_3,1.30b
indriyasyaivasaüskàraş  BVaky_1.80a
indriyasyaiva saüskàraş  BVaky_1.81a
indriyàõàü yathà kàryam  BVaky_2.423c
