Bhartrhari: Vakyapadiya


Input by Yves Ramseier



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akarmakatve saty evaæ  BVaky_3,14.67a
abhedenÃbhidhÅyate  BVaky_3,14.530d
abhedenopamÃnasya  BVaky_3,14.591a
abhedenopasamgraha÷  BVaky_3,8.27b
abhede yadi kÃlasya  BVaky_3,9.63a
abhede liÇgasaækhyÃbhyÃæ  BVaky_3,14.135a
abhedaikatvasaækhyÃyÃæ  BVaky_3,14.111c
abhedaikatvasaækhyÃ vÃ  BVaky_3,14.100a
abhedopanibandhana÷  BVaky_3,7.153d
abhedo hi viÓe«ÃïÃm  BVaky_3,14.142c
abhedye bhedyabhÃvo 'pi  BVaky_3,11.5c
abhyantarÅk­tÃd bheda÷  BVaky_2.186c
abhyasya svam ca darÓanam  BVaky_2.487b
abhyÃsÃt prakramo 'nyas tu  BVaky_2.402c
abhyÃsÃt pratibhÃhetu÷  BVaky_2.117a
abhyÃsÃd eva jÃyate  BVaky_1.35b
abhyÃse tulyarÆpatvÃn  BVaky_3,14.74c
abhrÃïÅva pracÅyante  BVaky_1.114c
amukhyasaæbhave tatra  BVaky_3,14.268a
ayathÃrthÃæ samÅhate  BVaky_2.319d
ayanapravibhÃgaÓ ca  BVaky_3,9.43a
ayam asyÃm iyaæ tv asmÃd  BVaky_3,7.19c
ayam Ãgamasaægraha÷  BVaky_2.487d
ayam eva tu sÆtreïa  BVaky_3,14.574a
ayaæ padÃrtha etasmin  BVaky_3,14.279a
ayaæ pÆrvebhya Ãgama÷  BVaky_3,14.20d
ayaæ Óabdair apoddh­tya  BVaky_2.86c
ayuktam iti varïyate  BVaky_3,14.458b
ayogo liÇgasaækhyÃbhyÃæ  BVaky_3,14.308c
ayaugapadye j¤ÃnÃnÃm  BVaky_3,1.108a
araïisthaæ yathÃ jyoti÷  BVaky_1.47a
arÃj¤i ye«Ãæ dharmÃïÃæ  BVaky_3,14.559a
arÆpaæ pararÆpeïa  BVaky_3,5.9a
arthakriyÃsu vÃk sarvÃn  BVaky_1.135a
arthajÃtyabhidhÃne 'pi  BVaky_3,1.11a
arthatattvÃvadhÃraïam  BVaky_2.286b
arthaprakaraïÃdibhi÷  BVaky_2.411b
arthaprakaraïÃdibhi÷  BVaky_3,14.481d
arthaprakaraïÃpek«aæ  BVaky_2.268c
arthaprakaraïÃpek«o  BVaky_2.264a
arthaprakaraïÃbhyÃæ tu  BVaky_2.332c
arthaprakaraïÃbhyÃæ vÃ  BVaky_2.251c
arthapratyÃyanÃbhede  BVaky_1.27c
arthaprav­ttitattvÃnÃæ  BVaky_1.13a
arthabhÃgais tathÃ te«Ãm  BVaky_2.31a
arthabheda÷ pratÅyate  BVaky_3,12.27b
arthabhede 'pi sÃrÆpyÃt  BVaky_3,14.193c
arthabhedo lubante«u  BVaky_3,14.598c
arthamÃtraæ viparyastaæ  BVaky_2.255c
arthamÃtraæ viparyastaæ  BVaky_2.256c
artham ÃhÃnyarÆpeïa  BVaky_3,3.54c
arthayogaæ ca laukikam  BVaky_2.344b
arthayogÃt prasiddhaya÷  BVaky_2.346b
artharÆpaviviktaæ ca  BVaky_3,1.110c
artharÆpaæ tathÃ Óabde  BVaky_1.51c
arthavattÃ na vidyate  BVaky_2.424d
arthavattÃprakaraïÃd  BVaky_2.212c
arthavattve pradarÓita÷  BVaky_2.210b
arthavadbhyo viÓi«ÂÃrtha÷  BVaky_2.208a
arthavanta÷ samuditÃ  BVaky_2.54c
arthavastu«u g­hyate  BVaky_2.425b
arthavÃn parikalpita÷  BVaky_3,14.19b
arthas tu tasya saæbandhÅ  BVaky_2.337c
arthasya cÃbhisaæbandha-  BVaky_2.432c
arthasya pratipat­«u  BVaky_2.18d
arthasya pratipÃdakÃn  BVaky_2.408b
arthasya pravibhajyate  BVaky_2.431b
arthasya viniv­ttatvÃl  BVaky_3,14.45a
arthasya sarvaÓaktitvÃt  BVaky_2.434c
arthasyÃnugamaæ kaæ cid  BVaky_3,14.76a
arthasyÃnekaÓaktitve  BVaky_3,14.105c
arthasyÃpi parigraha÷  BVaky_3,14.581b
arthasvarÆpe ÓabdÃnÃæ  BVaky_2.262a
arthaæ kathaæ cit puru«a÷  BVaky_2.39a
artha÷ k­tso 'numÅyate  BVaky_2.156d
artha÷ prakaraïaæ liÇgaæ  BVaky_2.315c
arthÃc chabda÷ pratÅyate  BVaky_3,3.32d
arthÃt prakaraïÃd vÃpi  BVaky_3,14.445a
arthÃt pratÅtam anyonyaæ  BVaky_3,12.23a
arthÃtmany aviÓe«eïa  BVaky_3,14.483c
arthÃtmÃ bhidyate bhÃve  BVaky_3,8.59c
arthÃtmÃ vyapadiÓyate  BVaky_3,14.16d
arthÃt sarvÃïi karmÃïi  BVaky_3,14.292c
arthÃnÃm avivak«itam  BVaky_2.304b
arthÃnÃæ laukikair yathÃ  BVaky_2.142b
arthÃnÃæ saænidhÃne 'pi  BVaky_2.303a
arthÃntarasya tadbhÃvas  BVaky_2.279c
arthÃntarÃbhidhÃnÃc ca  BVaky_3,14.81a
arthÃntarÃbhidhÃyitvaæ  BVaky_3,14.33a
arthÃntarÃvabodhena  BVaky_2.206c
arthÃntare ca yad v­ttaæ  BVaky_2.177a
arthÃn svarÆpabhedena  BVaky_2.165c
arthÃbhidhÃnasaæbandham  BVaky_2.403c
arthÃvabhÃsarÆpÃ ca  BVaky_2.421c
arthÃ÷ sarve vivak«ayÃ  BVaky_3,14.571d
arthitvam atra sÃmarthyam  BVaky_2.79a
arthinÃæ guïabhede 'pi  BVaky_2.382c
arthi«v Ãdaik«u bhedena  BVaky_2.381c
arthe buddhi÷ pravartate  BVaky_3,14.93b
arthe«u ÓaktibhedÃnÃæ  BVaky_3,7.6c
artho dvandvasya tatra syÃd  BVaky_3,14.206c
arthopasarjanÅbhÆtÃn  BVaky_1.55a
artho 'bhidhÅyate yasmÃd  BVaky_2.427c
artho bhede 'pi sarvÃbhir  BVaky_3,14.525c
artho vyÃv­ttarÆpo 'pi  BVaky_3,1.101c
ardharcÃdi«u Óabde«u  BVaky_2.103a
ardhaæ ca pippalÅ ceti  BVaky_3,14.479c
ardhaæ paÓor iti yathÃ  BVaky_2.341c
arhateÓ ca kriyÃ kartrÅ  BVaky_3,14.560a
arhÃrthe 'pi vati÷ siddha÷  BVaky_3,14.552c
alabdhagÃdhe gÃmbhÅryÃd  BVaky_2.483a
alaæ syÃd apadasthÃnam  BVaky_3,3.80c
alÃtacakravad rÆpaæ  BVaky_3,8.8c
alukaÓ caikavadbhÃvas  BVaky_3,14.107a
alpadeÓÃntarÃvasthaæ  BVaky_2.294c
alpavidyÃparigrahÃn  BVaky_2.481b
alpaæ ÓÃstraprayojanam  BVaky_1.40d
alpe mahati vÃ chidre  BVaky_3,9.71a
alpe mahati vÃ Óabde  BVaky_1.106a
avacchinatti saæbandhas  BVaky_2.45c
avacchedam ivÃdhÃya  BVaky_3,14.11c
avacchedo vidhÅyate  BVaky_3,14.261b
avadhitvaæ p­thak p­thak  BVaky_3,7.141b
avadhitvena cÃpek«Ã-  BVaky_3,6.21a
avadhipratipÃdyayo÷  BVaky_3,6.2b
avabodhasya ÓÃÓvatÅ  BVaky_1.132b
avar«Ãdi«u dosaÓ ca  BVaky_3,14.316c
avar«Ãsu tato 'siddhir  BVaky_3,14.305c
avaÓyaæ brÃhmaïe kaÓ cit  BVaky_3,14.270a
avastupatite j¤ÃtvÃ  BVaky_3,6.24c
avastu«v api notprek«Ã  BVaky_3,3.86c
avastu syÃd atÅtaæ yad  BVaky_3,3.77a
avasthÃ tÃd­ÓÅ nÃsti  BVaky_3,14.327a
avasthÃdeÓakÃlÃnÃæ  BVaky_1.32a
avasthÃbhedadarÓibhi÷  BVaky_2.173b
avasthÃ vyatikÅryeran  BVaky_3,9.5c
avasthÃæ pa¤camÅm Ãhur  BVaky_3,7.60a
avÃcyam iti yad vÃcyaæ  BVaky_3,3.20a
avÃcyasyopakÃritva  BVaky_3,14.358c
avikalpasamuccaya÷  BVaky_2.126b
avikalpitavÃkyÃrthe  BVaky_2.116a
avikÃrasya Óabdasya  BVaky_1.97a
avigrahÃ gatÃdisthÃ  BVaky_3,14.68a
avicchedena vartate  BVaky_1.41b
avicchedena Ói«ÂÃnÃm  BVaky_1.158c
avidyamÃnabrÃhmaïyo  BVaky_3,14.301a
avidyamÃnabhedatvÃt  BVaky_3,14.402c
avidyaivopavarïyate  BVaky_2.233b
avidvÃn pratipadyate  BVaky_2.13d
avinÃÓo gurutvasya  BVaky_3,7.150a
aviprayoga÷ sÃdhutve  BVaky_3,14.77a
avibhaktaæ tad ucyate  BVaky_3,14.100d
avibhakte 'pi vÃkyÃrthe  BVaky_2.88a
avibhakto vibhaktebhyo  BVaky_1.45a
avibhÃgaæ tu Óabdebhya÷  BVaky_2.419a
avibhÃgÃ tu paÓyantÅ  BVaky_1.167a
avibhÃgÃd viv­ttÃnÃm  BVaky_1.173a
avibhÃge tathÃ saiva  BVaky_1.139c
avibhÃgena vartante  BVaky_3,14.101c
aviruddhaæ gavÃdÅnÃæ  BVaky_2.172c
aviruddhÃ, viruddhÃbhir  BVaky_3,13.4c
avirodhivirodhibhi÷  BVaky_3,3.41d
avirodhÅ virodhÅ vÃ  BVaky_3,3.67a
avirodhÅ virodhÅ vÃ  BVaky_3,3.68a
avirodhena gacchata÷  BVaky_1.59d
avirbhÃvatirobhÃva-  BVaky_3,13.17c
avivak«itam apy arthaæ  BVaky_2.301c
avivekÃt pradeÓebhyo  BVaky_3,1.18c
aviÓi«Âasya paryÃyo  BVaky_3,14.271a
aviÓi«Âaæ k­tÃk­tÃt  BVaky_3,14.267d
aviÓi«Âa÷ pratÅyate  BVaky_3,1.88d
aviÓi«Âa÷ satÃnyena  BVaky_3,7.10@c
aviÓi«ÂÃrthav­ttitvaæ  BVaky_3,14.191c
aviÓi«Âo bhavaty anyai÷  BVaky_3,7.123c
av­«Âayo yathÃ varsÃ  BVaky_3,14.302a
avyaktavya¤janÃvyakter  BVaky_3,13.10c
avyaktaæ tadvidÃæ tena  BVaky_1.179c
avyatikramya vartate  BVaky_3,1.10d
avyayÃnÃæ ca yo dharmo  BVaky_3,14.106a
avyaye«u vater na ca  BVaky_3,14.495b
avyaye«u vate÷ pÃÂha÷  BVaky_3,14.522a
avyudÃse svarÆpasya  BVaky_3,3.23c
aÓakte÷ sarvaÓakter vÃ  BVaky_2.131a
aÓaktair abhidhÃt­bhi÷  BVaky_1.182b
aÓabdam apare 'rthasya  BVaky_2.421a
aÓabdam iva Óabdavat  BVaky_2.348b
aÓabdalak«aïÃkÃÇk«aæ  BVaky_2.450c
aÓabdavÃcyÃt saæbandhÃd  BVaky_3,14.346c
aÓabdavÃcyÃ sÃ buddhir  BVaky_2.242c
aÓabdavÃcyo yo bheda÷  BVaky_3,14.370a
aÓÃbdo yadi vÃkyÃrtha÷  BVaky_2.16a
aÓukla iti k­«ïÃdir  BVaky_3,14.289a
aÓuddhau vyavati«Âhate  BVaky_3,3.58b
aÓobhanam asaæbaddham  BVaky_3,14.458c
aÓmÃdÅnÃæ puna÷ puna÷  BVaky_3,14.17b
aÓrutÃ gamyate kriyÃ  BVaky_3,14.515d
aÓrutÃÓ ca pratÅyante  BVaky_3,14.516a
aÓvamedhena yak«yante  BVaky_2.455a
asataÓ ca kramo nÃsti  BVaky_3,9.36a
asataÓ cÃntarÃle yÃ¤  BVaky_1.87a
asata÷ syÃt pradhÃnatÃ,  BVaky_3,14.259b
asatÃpy anabhivyaktaæ  BVaky_3,14.261c
asatÃ brÃhmaïena ca  BVaky_3,14.297b
asatÃbhyantarÅk­tam  BVaky_3,14.313d
asati vÃ sati vÃpi  BVaky_3,12.5c
asataiva tu bhedÃnÃæ  BVaky_3,14.314c
asato 'rthasya manyate  BVaky_2.92d
asattvabhÆtam atyantam  BVaky_2.46c
asattvabhÆto bhÃvaÓ ca  BVaky_2.195c
asattvabhÆto vyÃpÃra÷  BVaky_3,14.519a
asattvaæ prati niÓcaya÷  BVaky_3,13.11d
asatyÃ vyaktaya÷ sm­tÃ÷  BVaky_3,1.32d
asatyÃæ pratipattau vÃ  BVaky_2.334a
asatye vartmani sthitvÃ  BVaky_2.238c
asatyair avadhÃryate  BVaky_3,2.2b
asatyopÃdhibhi÷ Óabdai÷  BVaky_3,2.2c
asatyopÃdhi yat satyaæ  BVaky_2.127a
asatyo 'pi tathÃ kaÓ cit  BVaky_2.321c
asatyo vÃpi saæsarga÷  BVaky_2.126c
asatsÃmÃnyav­ttir vÃ  BVaky_3,14.311a
asadÃkÃÓaniÓrayam  BVaky_3,7.112d
asad ity api sattvena  BVaky_3,14.307c
asann iti samÃse 'smin  BVaky_3,14.254c
asan nivartate tasmÃd  BVaky_3,8.20a
asan brÃhmaïa ity ÃbhyÃæ  BVaky_3,14.298c
asan mÆrtinirÆpitam  BVaky_3,7.112b
asamÃkhyeyatattvÃnÃm  BVaky_2.142a
asamÃptaguïaæ siddher  BVaky_3,14.383c
asamÃse samÃse ca  BVaky_3,14.51a
asamyagupadeÓÃd vÃ  BVaky_3,14.281a
asaækareïa sarvÃrtho  BVaky_2.254c
asaækhyÃtÃ÷ kramoddeÓair  BVaky_2.453c
asaækhyÃsamudÃyatvÃt  BVaky_3,11.21a
asaænidhau pratinidhir  BVaky_2.70a
asaæbhavÃt tu saæbandhe  BVaky_3,14.223a
asaæbhavÃd viÓe«ÃïÃæ  BVaky_2.67c
asaæbhave 'pi vÃ v­tte÷  BVaky_3,14.433a
asaæÓ ca nÃste÷ kartÃ syÃd  BVaky_3,3.48c
asaæs­«Âe«u vidyate  BVaky_3,1.21d
asÃk«Ãd dhÃrayat kriyÃm  BVaky_3,7.148b
asÃdhikÃ pratij¤eti  BVaky_3,3.27a
asÃdhutvaniv­ttyarthaæ  BVaky_3,14.88c
asÃdhur anumÃnena  BVaky_3,3.30a
asÃdhyÃ vyaktirÆpeïa  BVaky_3,8.21c
asÃsno gaur iti yathÃ,  BVaky_3,14.299a
asiddhÃ taæ prati kriyÃ  BVaky_3,8.50b
asiddhim liÇgasaækhyayo÷  BVaky_3,14.201d
astaæ yÃte«u vÃde«u  BVaky_1.149a
astitvaæ ca pratij¤Ãya  BVaky_3,13.11a
astitvaæ vastumÃtrasya  BVaky_3,9.113a
astitvenÃnu«akto vÃ  BVaky_2.427a
astitvopanibandhanam  BVaky_2.412b
astÅti vyapadiÓyate  BVaky_3,3.47b
astÅty Ãhu÷ purÃïagÃ÷  BVaky_1.46b
asty artha÷ sarvaÓabdÃnÃæ  BVaky_2.119a
astrÅpÆrvapadatvÃt tu  BVaky_3,14.419a
asp­Óann api pÃïinÃ  BVaky_3,8.33b
asmÃd ity upadarÓaka÷  BVaky_2.118d
asminn arthe na Óabdena  BVaky_3,6.10c
asminn artho na bhidyate  BVaky_2.79b
asmin vatir udÃh­ta÷  BVaky_3,14.579d
asmin sÆtre pratÅyate  BVaky_3,14.582d
asmiæs tu na vivak«ita÷  BVaky_2.80d
asya vÃkyÃntare d­«ÂÃl  BVaky_2.86a
asyÃdÅnÃæ tu kart­tve  BVaky_3,7.96a
asyÃdÅnÃæ vidÃraïe  BVaky_3,7.29b
asyÃyaæ vÃcako vÃcya  BVaky_3,3.3a
asyÃæ tv antarbahirbhÃva÷  BVaky_3,6.23c
asyÃæ pÆrvaæ vyavasthita÷  BVaky_3,3.41b
asyete vyatirekaÓ ca  BVaky_1.68c
asyety agrahaïaæ na ca  BVaky_3,1.108b
asyedam iti vÃ yatra  BVaky_3,14.350a
asyaitÃ iti tatrÃrthe  BVaky_3,14.238c
asvagoïyÃdaya÷ ÓabdÃ÷  BVaky_1.176a
asvatantre svatantratvaæ  BVaky_3,11.5a
asvaÓabdÃbhidhÃnÃs tu  BVaky_3,1.48a
asvÃtantryaphalo bandhi÷  BVaky_3,1.4a
asvÃdhÅnasthitiæ vidu÷  BVaky_3,9.22d
ahite«u yathÃ laulyÃt  BVaky_3,7.80a
aæbvaæbv iti yathÃ bÃla÷  BVaky_1.179a
ÃkÃÇk«Ãvat pratÅyate  BVaky_3,14.165b
ÃkÃÇk«ÃvÃn pravartate  BVaky_3,14.24b
ÃkÃravanta÷ saævedyÃ  BVaky_2.133a
ÃkÃravarïÃvayavai÷  BVaky_2.154a
ÃkÃrÃvagrahas tu ya÷  BVaky_2.120b
ÃkÃraiÓ ca vyavacchedÃt  BVaky_3,2.5a
ÃkÃÓam eva ke«Ãæ cid  BVaky_3,7.151a
ÃkÃÓasya pradeÓena  BVaky_3,6.5a
ÃkÃÓasya yathÃ bhedaÓ  BVaky_3,7.111a
ÃkÃÓasyÃpi vidyate  BVaky_3,1.15d
ÃkÃÓasyÃpy adeÓasya  BVaky_3,1.16c
ÃkÃÓÃt sarvamÆrtaya÷  BVaky_3,7.153b
Ãk­ti÷ sarvaÓabdÃnÃæ  BVaky_3,14.317a
Ãk­ter upakÃro 'yaæ  BVaky_3,14.334c
Ãk­ter ekaÓabdatÃ  BVaky_3,14.339b
Ãk­ter dravyapak«ena  BVaky_3,14.332c
Ãk­tau vÃpi sÃmÃnye  BVaky_3,14.400a
Ãk­tau vÃ pradhÃnatvam  BVaky_3,14.337c
ÃkrÅ¬a iva kÃlasya  BVaky_3,9.72a
Ãk«iptaæ karmavÃcinÃ  BVaky_2.339b
Ãk«epÃc ca prayoge.na  BVaky_3,14.73a
ÃkhyÃtapadavÃcyayÃ  BVaky_3,14.252b
ÃkhyÃtapadavÃcye 'rthe  BVaky_2.430a
ÃkhyÃtapadavÃcye 'rthe  BVaky_3,9.99a
ÃkhyÃtaÓabde niyataæ  BVaky_2.327a
ÃkhyÃtaÓabde bhÃgÃbhyÃæ  BVaky_3,8.47a
ÃkhyÃtaÓabdair artho 'sÃv  BVaky_3,8.30a
ÃkhyÃtasyÃsya varïyate  BVaky_2.340b
ÃkhyÃtaæ taddhitÃrthasya  BVaky_2.306a
ÃkhyÃtaæ ÓabdasaæghÃto  BVaky_2.1a
ÃkhyÃtÃnupayoge tu  BVaky_3,7.72c
ÃkhyÃte«v ekaÓabdÃyÃ  BVaky_3,14.340c
ÃkhyÃtair abhidhÅyate  BVaky_3,8.11d
ÃkhyÃyate ca ÓÃstreïa  BVaky_3,14.155a
Ãgato yÃti vÃcyatÃm  BVaky_2.127d
Ãgamas tam upÃsÅno  BVaky_1.41c
Ãgamas tu viÓi«yate  BVaky_2.151d
Ãgamaæ pratipadyate  BVaky_1.148b
ÃgamÃ iva ke cit tu  BVaky_2.192c
ÃgamÃc chÃstrasad­Óo  BVaky_3,11.9c
ÃgamÃt pratipadyate  BVaky_1.157b
ÃgamÃd eva jÃyate  BVaky_2.151b
Ãcaï¬Ãlamanu«yÃïÃm  BVaky_1.40c
ÃcayÃpacayÃ÷ p­thak  BVaky_3,9.13b
ÃcÃryo mÃtulaÓ ceti  BVaky_3,8.64a
Ãï¬abhÃvam ivÃpanno  BVaky_1.52a
ÃteÓ ca bhedahetutvÃn  BVaky_3,14.134a
Ãtau tasya samÃptatvÃd  BVaky_3,8.57c
ÃtmatattvaparityÃga÷  BVaky_3,3.70a
Ãtmatattvaæ tu parata÷  BVaky_3,3.70c
Ãtmatattvaæ prakÃÓate  BVaky_3,3.81d
Ãtmatattvena g­hyeta  BVaky_3,9.89c
Ãtmatattve«u bhÃvÃnÃm  BVaky_3,1.21c
ÃtmatyÃgÃd ­te bhinnaæ  BVaky_2.105c
Ãtmanepadam anyesÃæ  BVaky_3,12.6c
ÃtmabhÆta÷ kramo 'py asyÃ  BVaky_3,1.37a
ÃtmabhÆtÃÓ ca Óaktaya÷  BVaky_3,1.92b
ÃtmabhÆtÃ samagratÃ  BVaky_3,1.24b
Ãtmabhedaæ tayo÷ ke cid  BVaky_1.46a
Ãtmabhede 'pi saty evam  BVaky_3,7.97a
Ãtmabhedo na cet kaÓ cid  BVaky_2.213a
ÃtmarÆpasya darÓikÃ  BVaky_3,3.39d
ÃtmarÆpaæ tu bhÃvÃnÃæ  BVaky_3,13.27c
ÃtmarÆpaæ yathÃ j¤Ãne  BVaky_1.51a
ÃtmalÃbhasya janmÃkhyÃ  BVaky_3,3.43a
ÃtmÃ chandomayÅæ tanum  BVaky_1.17d
ÃtmÃ tu na vikalpyate  BVaky_3,9.80b
ÃtmÃnam ÃtmanÃ bibhrad  BVaky_3,3.47a
ÃtmÃno na samÆhinÃm  BVaky_3,8.6b
ÃtmÃntarasya yenÃtmÃ  BVaky_3,3.9a
ÃtmÃntarÃnÃæ yenÃtmÃ  BVaky_3,11.13a
ÃtmÃ para÷ priyo dve«yo  BVaky_3,2.17a
ÃtmÃ buddhyÃ samarthyÃrthÃn  BVaky_1.119a
ÃtmÃbhivyaktaye jÃti÷  BVaky_3,1.25c
ÃtmÃ bhedÃnapek«o 'sya  BVaky_3,14.114c
ÃtmÃ vastu svabhÃvaÓ ca  BVaky_3,2.1a
Ãtmaika iva g­hyate  BVaky_3,8.20d
Ãdityagrahanak«atra-  BVaky_3,9.76a
ÃdibhedasamanvitÃ÷  BVaky_3,1.58d
Ãdimad brahma ÓÃÓvatam  BVaky_2.237d
ÃdeÓai÷ samjnayÃ vÃpi  BVaky_3,14.125c
ÃdaicpratyÃyitai÷ Óabdai÷  BVaky_1.60c
Ãdya÷ kÃraïavinyÃsa÷  BVaky_1.130a
ÃdhÃratvam iva prÃptÃs  BVaky_3,7.68a
ÃdhÃradharmÃn sÃmÃnyaæ  BVaky_3,14.345c
ÃdhÃrabhedÃd bhinnÃyÃm  BVaky_3,14.444a
ÃdhÃrabhedÃd bhedo ya÷  BVaky_3,14.363a
ÃdhÃraÓakti÷ prathamÃ  BVaky_3,7.151c
ÃdhÃraæ kalpayan buddhyÃ  BVaky_3,3.86a
ÃdhÃre niyamÃbhÃvÃt  BVaky_2.417a
ÃdhÃre«u padanyÃsaæ  BVaky_3,14.406a
ÃdhÃro 'pi guïasyaivaæ  BVaky_3,1.73c
Ãdhikyam api manyante  BVaky_2.272c
Ãdhikyam upajÃyate  BVaky_2.42b
Ãdhikyam upajÃyate  BVaky_3,14.544d
Ãdhikyaæ tulyaÓabdena  BVaky_3,14.542a
Ãnarthakyaæ prasajyate  BVaky_2.34d
ÃpattyÃpÃdane tatra  BVaky_3,7.64c
ÃpÃdayati kÃraïai÷  BVaky_3,9.18d
Ãpi ke cÃparÃrthatvÃn  BVaky_3,14.119a
Ãpek«ikyo hi saæsarge  BVaky_2.168c
ÃptaprayogÃ d­Óyante  BVaky_3,12.7c
ÃbhÃsopagamo vyakti÷  BVaky_3,7.53a
ÃbhyÃsÃn maïirÆpyÃdi-  BVaky_3,1.46c
ÃmiÓra eva prakrÃnta÷  BVaky_3,9.97a
ÃmiÓre na prasidhyati  BVaky_3,9.98b
ÃmnÃtÃ sarvavidyÃsu  BVaky_1.136c
ÃmnÃyaÓabdÃn abhyÃse  BVaky_2.407a
Ãrabhante puna÷ puna÷  BVaky_3,7.92b
Ãrabhyante pacÃdaya÷  BVaky_3,12.18b
ÃrambhaÓ ca kriyÃ caiva  BVaky_3,9.33a
ÃrambhasyÃkriyÃrthatve  BVaky_3,14.539a
ÃrambhÃd bÃdhyate prÃptÃ  BVaky_2.203c
Ãrambheïa na yogasya  BVaky_3,7.134c
ÃrÃc chabdavad ekasya  BVaky_3,14.275a
ÃrÃd apy upakÃritve  BVaky_3,7.102c
ÃrÃd evopakurvate  BVaky_3,7.94b
ÃrÃdv­tti«u saæbandha÷  BVaky_2.435a
ÃrÃdhaniyamÃrthaiva  BVaky_2.416c
Ãr«e viplÃvite granthe  BVaky_2.484c
Ãlambhanaæ guïais tena  BVaky_3,1.84c
ÃvirbhÃvatirobhÃvau  BVaky_3,8.26a
ÃvirbhÃvas tirobhÃva÷  BVaky_3,13.13a
ÃvirbhÃvas tirobhÃva÷  BVaky_3,14.322c
ÃvirbhÆtaprakÃÓÃnÃm  BVaky_1.37a
ÃviÓyevÃnusaædhatte  BVaky_3,9.42a
Ãvi«ÂaliÇgatÃ tasyÃæ  BVaky_3,14.318a
Ãvi«Âasaækhyo vÃkye 'sau  BVaky_3,14.287a
Ãvi«Âaæ yad apÃyena  BVaky_3,7.139c
Ãv­ttaparipÃkÃyÃæ  BVaky_1.86c
Ãv­ttÃv anu«ajyate  BVaky_2.258b
Ãv­ttim antareïÃpi  BVaky_2.379c
Ãv­ttir anuvÃdo vÃ  BVaky_2.115a
Ãv­ttivargasaækhyeyÃ  BVaky_3,11.22c
Ãv­ttiÓaktibhinnÃrthe  BVaky_2.478a
Ãv­tti÷ parigaïyate  BVaky_3,11.24d
Ãv­tter anumÃnaæ vÃ  BVaky_2.372a
Ãv­ttau vyajyate jÃti÷  BVaky_2.20c
Ãv­ttau sad­ÓÃtmatÃm  BVaky_3,1.100b
Ãv­ttyÃ na tu sa grantha÷  BVaky_1.84c
ÃveÓo liÇgasaækhyÃbhyÃæ  BVaky_3,14.151a
ÃÓaæsÃyÃæ viparyaya÷  BVaky_3,9.105b
ÃÓÃsyamÃnatantratvÃd  BVaky_3,9.105a
ÃÓrayatve ca kalpite  BVaky_3,14.189d
ÃÓrayatve niyujyate  BVaky_3,14.14d
ÃÓrayasyÃnupÃdÃne  BVaky_3,14.345a
ÃÓrayaæ pratipadyate  BVaky_3,14.187b
ÃÓraya÷ samavÃyi ca  BVaky_3,14.167a
ÃÓraya÷ svÃtmamÃtrÃ vÃ  BVaky_3,1.40a
ÃÓrayÃj janma kathyate  BVaky_3,1.39d
ÃÓrayÃïÃæ ca nityatvam  BVaky_3,9.21a
ÃÓrayÃïÃæ hi liÇgai÷ sÃ  BVaky_3,14.319a
ÃÓrayÃt so 'ntaraÇgatvÃt  BVaky_3,9.96c
ÃÓrayÃd upakÃriïÅ  BVaky_3,7.28d
ÃÓrayÃd bhedavattÃyÃ÷  BVaky_3,14.109a
ÃÓrayÃd yo guïe bhedo  BVaky_3,14.367a
ÃÓrayÃntaramÃnÃya  BVaky_3,14.376c
ÃÓrayÃÓrayiïor vÃkyÃn  BVaky_3,1.75c
ÃÓrayÃÓrayidharmeïety  BVaky_3,14.20c
ÃÓrayÃÓrayibhedo hi  BVaky_3,11.18c
ÃÓraye liÇgasaækhyÃbhyÃm  BVaky_3,14.153a
ÃÓrayair api nityÃnÃæ  BVaky_1.98c
ÃÓrayair Ãk­te÷ saha  BVaky_3,14.342b
ÃÓrayair iva yujyate  BVaky_3,14.165d
ÃÓrayo nÃbhidhÅyate  BVaky_3,14.23b
ÃÓritakramarÆpatvÃt  BVaky_3,8.1c
