Rasarnava, Patalas 1-12
Based on the ed. by Praphulla Chandra Ray
Calcutta : Asiatic Society 1908-1910
(Bibliotheca Indica, 175)


Input by Oliver Hellwig


PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________



akathyamapi deve÷i  Ras_1.13c
kañukaü kaïkaõaü kàryaü  Ras_12.23a
kañukàlàbuke kùipet  Ras_12.216b
kañukàlàbuke toyaü  Ras_12.244a
kañukàlàbuniryàse-  Ras_7.30a
kañutumbasya bãjàni  Ras_11.99c
kañutumbasya bãjàni  Ras_11.127c
kañutumbã ca gosandhã  Ras_5.14a
kañutumbãti vikhyàtàü  Ras_12.156a
kañutumbãsamudbhavam  Ras_8.83b
kañutrayayutaü khàdet  Ras_12.312c
kañhinàn uùõapàdàü÷ca  Ras_2.11c
kaõikàcàlarahito  Ras_10.22a
kaõóålasåraõenaiva  Ras_6.105a
katakaü kanakaü caivam  Ras_11.101a
kathayanti kumàrikàş  Ras_2.102f
kathayàmi samàsataş  Ras_12.132b
kathaü jãvati ÷aükara  Ras_12.79d
kathaü jãvaü dadàti ca  Ras_12.79b
kathaü syàdvada me prabho  Ras_2.1b
kathitàstava suvrate  Ras_10.33d
kathyamànaü nibodha me  Ras_2.67b
kadalãkandakàntaşsthaü  Ras_6.32c
kadalãkandatulasã-  Ras_7.9a
kadalãkandatoyena  Ras_8.27c
kadalãkandaniryàsair  Ras_11.31a
kadalãkandasàreõa  Ras_7.10c
kadalãkandasàreõa  Ras_7.89c
kadalãnagaraü param  Ras_12.237b
kadalã potakã dàlã  Ras_7.133c
kadalãmusalã÷igru-  Ras_11.25c
kadalãùaõóamaõóite  Ras_2.43b
kadàcidgirijà devã  Ras_6.2a
kanakaü jalasaünibham  Ras_7.120d
kanakaü jàrayet priye  Ras_11.89d
kanakaü pàradaü vyoma  Ras_12.248a
kanakaü rajataü punaş  Ras_7.147d
kaniùñhaü syàdekamukhaü  Ras_6.47a
kaniùñhàş parikãrtitàş  Ras_6.73d
kandasya såraõasya tu  Ras_6.80b
kandodare såraõasya  Ras_11.122c
kapàñàrgalarakùite  Ras_2.41b
kapàlãmaricaiş saha  Ras_6.26b
kapàle mçttikàü nyasya  Ras_12.184c
kapitindukajambãra-  Ras_6.11a
kapitindukareõunà  Ras_6.23b
kapitthatoyasaüspçùñaü  Ras_8.29c
kapilàgomayàlipte  Ras_2.49c
kapilo 'tha nirudgàri-  Ras_11.76a
kapotacàùagçdhràõàü  Ras_5.38a
kapotàkhyaü puñaü tataş  Ras_11.30b
kaphapittaharaü balyaü  Ras_7.14e
kamalasadanasu÷rãr nyàya÷àstràdivettà  Ras_12.368b
kampàkhyaü nagaraü param  Ras_12.261d
kara¤jatailamadhyasthaü  Ras_7.41c
kara¤jatailamadhye tu  Ras_11.170a
kara¤japhalamadhyasthaü  Ras_12.374a
kara¤jairaõóatailena  Ras_7.68a
karanyàsaü purà kçtvà  Ras_2.93c
karapãñhe sure÷vari  Ras_2.50d
karavãraü ca làïgalã  Ras_5.34b
karavãraü devadàruü  Ras_8.80c
karavãràruõàü devi  Ras_11.181c
karavãràruõotpalaiş  Ras_6.11d
karavãràrkadugdhena  Ras_6.103a
karàmalakavat sàpi  Ras_1.13a
karairadhiùñhità devi  Ras_2.9c
karoti ghanavaccalaş  Ras_7.27b
karoti ÷ulbaü tripuñena kà¤canam  Ras_7.31d
karoti sa rasaş priye  Ras_12.77d
karoti sàkùàdvarakuïkumaprabham  Ras_7.52d
karkoñãka¤cukãbimbã-  Ras_10.58c
karkoñãkandameva ca  Ras_12.103b
karkoñã kàravallikà  Ras_5.15d
karõàkhyàmalakarkañaiş  Ras_8.36b
karõikàyàü tu pårvàdi-  Ras_2.62a
karõikàyàü nyaseddevi  Ras_2.96a
kartarã dçùñimàtreõa  Ras_12.205c
kartarã dhåmakartarã  Ras_12.206b
kartarãrasabandhanam  Ras_12.201b
kartavyaü paramàdbhutam  Ras_12.23d
kartavyaü sàdhakena tu  Ras_2.109f
kartavyaş såtakasya tu  Ras_10.38b
kartavyà chàdanaiş saha  Ras_11.129b
kartà hartà svayaü siddho  Ras_12.305c
kardamaü ca kumàryà÷ca  Ras_12.380a
kardamàpo mahã÷ailaü  Ras_12.277c
karpåra÷caiva màkùãkaü  Ras_11.88c
karmayogabalàdrasaş  Ras_10.30d
karmayogasya vistaram  Ras_10.31b
karmayogaü samàcaret  Ras_4.6b
karmayogena deve÷i  Ras_1.18a
karmayogo dvidhà mataş  Ras_1.18d
karmasaükhyàpramàõena  Ras_11.112c
karmànte ca punarbàlam  Ras_2.121a
karùakaü dràvakaü tathà  Ras_6.40b
karùakaü dràvakaü hitam  Ras_6.48d
karùayet karùakaü priye  Ras_6.45d
karùàrdhasitagu¤jayà  Ras_12.187d
karùaikaü tàrapattràõi  Ras_12.94a
karùaikaü nàgapattràõi  Ras_12.92e
karùvagnau tena mardayet  Ras_11.131b
karùvanalena vipacet  Ras_11.182e
kala÷aü sthàpayeddevi  Ras_2.78c
kalkayogena yauvanaş  Ras_11.78b
kalkaü kuryàdvicakùaõaş  Ras_11.100b
kalkena kramate rasaş  Ras_11.197d
kalkena liptaü puñitaü  Ras_11.178e
kalkena lepayet såtaü  Ras_11.39c
kalkenànena liptaü tat  Ras_6.36a
kalkenànena liptàyàü  Ras_11.184a
kalkenànena suvrate  Ras_6.94d
kalpàyu÷ca prajàyate  Ras_12.254d
kalpitaü dvividhaü tacca  Ras_8.18a
kalpitaü ra¤jitaü pakvam  Ras_8.17c
kavaceùu niyojayet  Ras_3.23d
ka÷cinnàstãti bhàùate  Ras_1.47b
kaùñaü lohe kramanti ca  Ras_6.72d
kàkajaïghà ÷atàvarã  Ras_10.54b
kàkatuõóãrasànvitam  Ras_8.83d
kà kathà mantraràjasya  Ras_3.22a
kàkamàcã kapotikà  Ras_5.3d
kàkamàcã ghanaravaş  Ras_5.24a
kàkamàcã ca ke÷inã  Ras_5.12b
kàkamàcã ca mãnàkùã  Ras_11.31c
kàkamàcã ca ÷igrukaş  Ras_5.22d
kàkamàcã jayà bràhmã  Ras_10.53a
kàkamàcãdevadàlã-  Ras_7.90a
kàkamàcãpunarnavàş  Ras_8.25b
kàkamàcãrasaplutam  Ras_8.29b
kàkamàcã hanåmatã  Ras_5.18d
kàkamuõóã ca kàlikà  Ras_5.13b
kàkaviùñhà ghanadhvaniş  Ras_11.197b
kàkaviùñhàsamaü råpaü  Ras_12.63c
kàkaviùñhàsamo bhavet  Ras_11.53b
kàkàõóãphalacårõena  Ras_6.39a
kàkiõã kãkaõã nàrã  Ras_2.17a
kàkinãvãjacårõena  Ras_6.24a
kàkùãkàsãsagandhakam  Ras_11.19b
kàïkùãkàsãsañaïkaõaiş  Ras_7.16b
kàïkùãkàsãsasaüyutam  Ras_12.160b
kàcakiññaü sadà tyajet  Ras_6.9d
kàcakåpyà÷ca madhye tu  Ras_11.171c
kàcañaïkaõasauvãraü  Ras_5.42a
kàcaü dattvàdharottaram  Ras_11.176d
kàcid gulmalatà priye  Ras_12.59b
kà¤canaü kurute kùaõàt  Ras_12.154d
kà¤canaü jàrayet pa÷càt  Ras_11.111c
kà¤canaü jàrayet sàpi  Ras_12.67a
kà¤canaü tatra såtakam  Ras_12.340b
kà¤canaü bhavati dhruvam  Ras_12.320b
kà¤canàni bhavanti ca  Ras_12.114d
kà¤canã vanaràjã ca  Ras_5.12a
kà¤cikasya samaü bhavet  Ras_12.350d
kà¤jikena niùiktena  Ras_11.55a
kà¤jikena prapeùayet  Ras_7.129d
kà¤jãsahitakàsãsaü  Ras_11.56c
kàñhinyaü tasya jàyate  Ras_12.313f
kàniciccandratulyàni  Ras_12.191c
kànicit kùaõavedhãni  Ras_12.278a
kànicinmçttivarõàni  Ras_12.191a
kàntagolakaveùñitam  Ras_6.111b
kàntajãrõarasaü tena  Ras_12.316a
kàntanàgaü labhettataş  Ras_6.64b
kàntapàùàõameva ca  Ras_6.81d
kàntamaïku÷amucyate  Ras_6.49b
kàntalohamiti smçtam  Ras_7.107d
kàntalohasya và rajaş  Ras_6.138b
kàntalohaü draveddhmàtaü  Ras_6.58e
kàntalohaü vinà såto  Ras_6.56a
kàntasattvaü pradàpayet  Ras_11.80d
kàntasåtasamàyuktaş  Ras_6.57c
kàntasthàü kàlikàü viùam  Ras_8.68d
kàntasya ca mukhaü priye  Ras_9.7b
kàntasya càpyabhàve tu  Ras_11.81a
kàntasya piùñikàmadhye  Ras_6.96a
kàntasya piùñikàmadhye  Ras_6.110a
kàntahemaravicandramabhrakaü  Ras_12.369a
kàntahemaravicandram abhrakaü  Ras_12.370a
kàntahemàbhrasaüyutaş  Ras_12.155b
kàntàbhra÷ailavimalà  Ras_8.33c
kàntij¤eyaü paràparam  Ras_2.62f
kàmayet kàminãnàü tu  Ras_12.33a
kàmaråpã vimànagaş  Ras_11.106d
kàmaråpo mahàbalaş  Ras_12.246d
kàmaråpo mahàbalaş  Ras_12.253d
kàrayitvà vicakùaõaş  Ras_11.20b
kàrayet parame÷vari  Ras_2.43d
kàrayedbhasma såtaü tu  Ras_12.340a
kàrayed rasavàdaü tu  Ras_1.56c
kàrayedvijane sthàne  Ras_2.40a
kàravello 'rkapattrikà  Ras_5.25d
kàrpàsanimbapattraü ca  Ras_6.110c
kàrpàsapattraniryàse  Ras_10.52a
kàrpàsaü kçùõajãrakam  Ras_5.14d
kàrpàsàsthikulatthakam  Ras_8.32b
kàla kàmàïgadàhaka  Ras_1.4b
kàlakåñaviùaü pãtvà  Ras_7.39a
kàlaj¤ànaü bhavettasya  Ras_12.326a
kàlapà÷aü mahàmantraü  Ras_3.6a
kàlapà÷ena mantritaş  Ras_3.17b
kàlikàrahitaü tena  Ras_12.24c
kàlikàrahitaş såtas  Ras_12.80c
kàlikàrahito raktaş  Ras_7.43c
kàlikàrahito rasaş  Ras_12.81b
kàlikàhaü samudbhåtà-  Ras_2.34c
kàlena triguõenaiva  Ras_12.313e
kà÷mãradravatulyaü hi  Ras_12.131c
kàùñhàraõyotpalàlayam  Ras_2.45d
kàùñhena tini÷asya ca  Ras_7.142d
kàsamardarasena ca  Ras_7.82b
kàsamardaş kçtà¤jaliş  Ras_5.24b
kàsãsatuvarãsindhu-  Ras_11.27a
kàsãsaü khaõóasauràùñrã-  Ras_7.126c
kàsãsaü cårõayitvà tu  Ras_7.82a
kàsãsaü trividhaü ÷uklaü  Ras_7.81a
kàsãsaü saindhavaü kàïkùã  Ras_9.2a
kàüsyapàtre nidhàpayet  Ras_6.38d
kimatra citraü kadalãrasena  Ras_7.12a
kimatra citraü daradaş subhàvitaş  Ras_7.52a
kimatra citraü rasakaü rasena  Ras_7.31a
kimanyacchrotumarhasi  Ras_7.154d
kimanyacchrotumicchasi  Ras_1.60d
kimanyacchrotum icchasi  Ras_2.133d
kimanyacchrotumicchasi  Ras_4.65d
kimanyacchrotumicchasi  Ras_5.45b
kimanyacchrotum icchasi  Ras_6.139d
kimanyacchrotumicchasi  Ras_8.88d
kimanyacchrotumicchasi  Ras_9.19d
kimanyacchrotumicchasi  Ras_10.61d
kimanyacchrotumicchasi  Ras_11.221d
kiùkindhyàparvate ramye  Ras_12.286a
kiü karoti mahàdeva  Ras_4.1c
kiücit kà¤canasaüyuktaü  Ras_12.362a
kiücid unnatamastakà  Ras_4.40d
kiü tat dravyaü prakurvãta  Ras_12.76c
kiüna muktà gaõàmbike  Ras_1.10d
kiüna muktà mahàdevi  Ras_1.12a
kiü na mu¤canti gardabhàş  Ras_1.10b
kiü punarmànuùàõàü tu  Ras_1.15a
kiüvàranàlasiddhàrtha-  Ras_11.188a
kiü÷uke madhuke 'pi và  Ras_12.328b
kãñamàrãrasena ca  Ras_12.42d
kãdç÷ã vaktumarhasi  Ras_1.6d
kãrtito bahubhiş suraiş  Ras_7.18d
kãlaü dattvà sure÷vari  Ras_11.194d
kukkuñasya malaü tathà  Ras_7.127b
kukkuñàõóanibhaü såtaü  Ras_11.206a
kukkuño janmalakùakam  Ras_1.51b
kuïkumàntargato rasaş  Ras_1.39b
kuñilaü pannagaü jàryaü  Ras_11.157a
kuñilaü vimalaü tãkùõaü  Ras_8.72a
kuõóaü vidhàya deve÷i  Ras_2.77c
kutaş piõóasya dhàraõam  Ras_1.28d
kutaş pràpnoti sàdhakaş  Ras_2.28b
kunañãgandhapàùàõa-  Ras_12.228:1c
kunañãgandhapàùàõair  Ras_8.43c
kunañãghçtami÷ritam  Ras_7.87b
kunañã càbhramàkùãkaü  Ras_12.306a
kunañãü gandhakàbhrakam  Ras_12.119:2b
kunañãü gandhacårõaü ca  Ras_12.120c
kunañyà rasasaüyutam  Ras_12.230b
kupãpàùàõasaüyuktà  Ras_4.37c
kuberàkùasya bãjàni  Ras_7.113c
kubjikàkhyà tu khecarã  Ras_3.9b
kubjikàdyàstu ye mantrà  Ras_3.31a
kumàrastu raso devi  Ras_11.79a
kumàraü và su÷obhanam  Ras_2.100b
kumàrà÷ca ÷ubhà÷ubham  Ras_2.102d
kumàrã bhçïgaràja÷ca  Ras_10.54c
kumàrã raktacitrakaş  Ras_5.10d
kumàrãrasasaüghçùñà  Ras_12.351c
kumàrã vajrakandakam  Ras_12.211b
kumàrã saptaka¤cukam  Ras_10.43d
kumàroyoginãyogi-  Ras_2.82c
kumàryà nàgakanyayà  Ras_8.77b
kumudànàü rasena ca  Ras_6.10d
kumudinyà vidhiü priye  Ras_12.129b
kumudotpalakahlàra-  Ras_2.43a
kumbhakarõaü ca sugrãvaü  Ras_2.54c
kumbhatoyena mantravit  Ras_2.81d
kumbhadvayaü kulatthànàü  Ras_7.142c
kumbhe tàmramaye kùipet  Ras_12.145f
kurute kà¤canaü divyaü  Ras_12.155c
kurute khecarãkulam  Ras_3.17d
kurute garjitaü nàdaü  Ras_12.205a
kurute tacca vedhakam  Ras_12.280d
kurute triguõaü jãrõaü  Ras_8.45c
kurute divyakà¤canam  Ras_12.29d
kurute nàtra saü÷ayaş  Ras_8.48d
kurute prativàpena  Ras_7.132c
kurute rasabandhanam  Ras_12.99d
kuruùveti ÷ivenoktaü  Ras_11.13a
kuryàt karma pçthak pçthak  Ras_11.77d
kuryàt saügrahaõaü tathà  Ras_12.185d
kuryàdeva rasàyanam  Ras_12.382d
kuryàdgandhakajàraõam  Ras_4.14d
kurvanti kuli÷àş priye  Ras_6.78f
kurvannapi na lipyate  Ras_11.6d
kurvàõo rasakarmàõi  Ras_3.33c
kulakaulamahàkaula-  Ras_1.4c
kulatthakodravakvàthe  Ras_6.132c
kulatthakodravakvàthaiş  Ras_7.6c
kulatthaü kodravaü càpi  Ras_6.83a
kulatthaü càmlavetasam  Ras_6.79d
kulatthàn kùãrapo bhavet  Ras_12.275b
kulatthàmbhasi kàsãsa-  Ras_6.97a
kulatthàùñaguõaü vàri  Ras_12.296a
kulapåjàrataş sadà  Ras_2.8d
kulamadhye vyavasthità  Ras_12.73b
kulamàrgarato nityaü  Ras_2.2c
kula÷àsanahãnànàü  Ras_1.25a
kuli÷aü jàrayet punaş  Ras_11.131d
kuli÷ena puñe dagdhe  Ras_11.131a
kulãnaü tamahaü manye  Ras_1.26c
kulauùadhivivarjitàş  Ras_12.71b
kuùñhapradaü pinàkàbhraü  Ras_6.7a
kuùñhànaùñàda÷a priye  Ras_12.12d
kuùñhàni sahasà jayet  Ras_12.300b
kuùmàõóe tu ÷ataü vàràn  Ras_7.74c
kusumbhakaïguõãnaktà-  Ras_5.34e
kusumbhaü kiü÷ukaü ràtrã  Ras_5.39e
kårmapçùñhaü ÷ilàjatu  Ras_6.81b
kårmayantreõa jàrayet  Ras_11.111b
kåùmàõóakusumaprabham  Ras_12.51d
kåùmàõóaü màritaü kçtvà  Ras_12.311a
kçtarakùaü samàhitaş  Ras_12.244b
kçtaikà guñikà ÷ubhà  Ras_12.351d
kçtvà kaõñakavedhyàni  Ras_11.167a
kçtvà garbhadrutiü rase  Ras_11.60b
kçtvà gostanamåùàyàü  Ras_11.172a
kçtvàïgulihçdàdiùu  Ras_2.51d
kçtvà tasyopari nyaset  Ras_4.28b
kçtvà vajraü virandhritam  Ras_6.117b
kçmiko lakùajanmàni  Ras_1.51a
kçùõacitrakamutpàñya  Ras_12.135a
kçùõapakùe çtumatã  Ras_2.17c
kçùõapakùe caturda÷yàm  Ras_12.184a
kçùõapakùe tu pa¤camyàü  Ras_12.137c
kçùõaparõã ca tulasã  Ras_5.7a
kçùõaraktavilocanàş  Ras_2.10b
kçùõaràjisamanvitam  Ras_12.153b
kçùõavarõaü bhavet kùaõàt  Ras_12.135d
kçùõavarõà sure÷vari  Ras_4.49d
kçùõastu bhàrataü ÷rutvà  Ras_7.3a
kçùõaü pãtamiti priye  Ras_7.81b
kçùõaü pãtaü raktamabhraü  Ras_11.91a
kçùõaü raktaü sitaü vàpi  Ras_12.134a
kçùõaü ÷reùñhaü rasàyane  Ras_6.43b
kçùõaü ÷vetaü tathà pãtaü  Ras_11.205a
kçùõaü hema÷arãrayoş  Ras_6.9b
kçùõà pãtà rasàyane  Ras_12.179d
kçùõàbhrakasya cårõaü ca  Ras_8.46c
kçùõàbhrapatraü saügçhya  Ras_6.33a
kçùõà raktà ca pãtà ca  Ras_4.30a
kçùõà÷caiva caturvidhàş  Ras_6.68b
kçùõonmattaü ca màrakam  Ras_12.223:1d
ketakãsvarasaş kàïkùã  Ras_6.137a
ketakyàstu rasaistãkùõam  Ras_7.123c
kedàràdãni liïgàni  Ras_1.38a
kena và khoñabandhanam  Ras_12.1d
kena và bhasmasåtaş syàt  Ras_12.1c
kevalaü tu yadà vajraü  Ras_11.148a
kevalaü vimalaü tàmraü  Ras_8.45a
kevalaü ÷ikhipittaü ca  Ras_11.133c
ke÷àş kùiptàş sphuñantyasmin  Ras_12.214c
kailàsa÷ikhare ramye  Ras_1.2a
kailàso 'pi ca cårõitaş  Ras_11.159d
kokilàkùo ghanadhvaniş  Ras_5.5d
koñaràkùã ca nirdayà  Ras_2.15d
koñivedhi samena ca  Ras_12.26d
koñivedhã ca jàyate  Ras_11.154d
koñivedhã bhavedrasaş  Ras_11.72d
koñivedhã bhavedrasaş  Ras_11.97d
koñivedhã bhavedrasaş  Ras_11.147d
koñivedhã bhavedrasaş  Ras_11.157d
koñivedhã bhavedrasaş  Ras_12.40d
koñivedhã mahàrasaş  Ras_12.31d
koñivedhã raso devi  Ras_12.57c
koñivedho na saü÷ayaş  Ras_12.334b
koñyàyurjãvitaü tasya  Ras_12.334c
koraõóakasya puùpeõa  Ras_8.76c
ko vàpi kathayenmçtam  Ras_12.82b
koùàtakãdalarasaiş  Ras_9.16a
koùñhakaü varavarõini  Ras_4.56d
koùñhabhåmigataü màsaü  Ras_6.22c
koùñhikà vakranàlaü ca  Ras_4.3a
koùñhe kharàgninà dhmàtàş  Ras_7.95a
koùõena kà¤jikenàdau  Ras_11.63a
kauverãmålameva ca  Ras_11.25b
kramate vyàdhisaüghàte  Ras_11.216c
kramavçddham idaü tutthaü  Ras_11.192c
kramàjjãrõasya lakùaõam  Ras_11.54d
kramàt sitaü ca raktaü ca  Ras_7.84c
kramàdårdhvaü tuùàgninà  Ras_12.146b
kramàn niùkapramàõataş  Ras_12.361b
krameõa kçtvà uragena ra¤jitaü  Ras_7.31c
krameõa devatàstatra  Ras_6.42a
krameõànena tu tryaham  Ras_6.113d
krameõànena deve÷i  Ras_11.62a
krameõànena deve÷i  Ras_12.272c
krameõànena dolàyàü  Ras_11.69a
krameõànena vardhayet  Ras_11.156b
krameõaiva tu melayet  Ras_11.92d
kràmaõaü ca tato deyaü  Ras_11.212c
kràmaõaü càtiguhyakam  Ras_7.80d
kràmaõaü rasaràjasya  Ras_11.215c
kràmaõàntaü varànane  Ras_2.109d
kràmaõàntaü sure÷vara  Ras_5.1b
kràmaõena vinà såto  Ras_11.217c
kràmaõena samàyuktaü  Ras_10.29c
kràmikàş suravandite  Ras_5.25f
kràmitvaü kràmaõàttathà  Ras_10.13d
kriyàkaraõavighnà÷ca  Ras_2.120a
kriyànaùñe kuto yogaş  Ras_1.16a
kriyàyàü hematàrayoş  Ras_8.55b
kriyàü kurvanti tadyogàt  Ras_5.44c
krãóate khecarair bhogaiş  Ras_12.337e
krãóitàbhiş purà priye  Ras_7.59b
kroóade÷e tu vàsaram  Ras_12.291b
krodhàviùñena cetasà  Ras_12.202b
krau¤capàdodare dattvà  Ras_12.107c
klãbe klãvàş striyaş strãõàü  Ras_6.77a
kvathitajala÷atàùñau bhàgamaùñàva÷eùam  Ras_12.364b
kvathitenàjavàriõà  Ras_8.77d
kvàthayitvàbhrakaü tattu  Ras_11.29c
kvàthayet kodravakvàthe  Ras_6.113c
kvàthayenmçdutàpena  Ras_7.143a
kvàthe caturguõe kùãre  Ras_8.82c
kùaõavedhi ÷ilodakam  Ras_12.285b
kùaõàdgarbhadrutirbhavet  Ras_11.177d
kùaõàdbadhnàti såtakam  Ras_12.89d
kùaõàd badhyeta såtakaş  Ras_7.146d
kùaõàd badhyeta såtakaş  Ras_12.3d
kùaõàd badhyeta såtakaş  Ras_12.36d
kùaõena gaganaü rasaş  Ras_11.16d
kùatàdrudhirabindavaş  Ras_7.4b
kùatriyàş sarvakàryyeùu  Ras_6.73a
kùatriyo mçtyunà÷àrtho  Ras_6.75c
kùamo dehasya rakùaõe  Ras_11.79d
kùayo yantrasya vij¤eyaş  Ras_4.25c
kùàragomåtrabhàvitam  Ras_6.134b
kùàratrayakañutrayam  Ras_9.13d
kùàratrayaü pa¤capañu  Ras_11.19a
kùàratrayaü ràmañhaü ca  Ras_6.118a
kùàrameùàü tu sàdhayet  Ras_7.133d
kùàravarga¤ca lepayet  Ras_6.35d
kùàrasnukkùãrayogataş  Ras_7.114b
kùàràmlagojalairdhmàtaü  Ras_7.21a
kùàràmlaparilepitam  Ras_7.106b
kùàràmlalavaõairaõóa-  Ras_7.7a
kùàràmlasnehasaindhavaiş  Ras_7.90d
kùàràmle bhàvitaü vyoma  Ras_11.22c
kùàràranàlataileùu  Ras_11.61e
kùàrikà ra¤jikà tathà  Ras_2.57b
kùàrair gomåtragàlitaiş  Ras_9.17b
kùàrairmåtrai÷ca vipaced  Ras_9.8c
kùàrairvà niculodbhavaiş  Ras_9.16b
kùàraiş snehaistathà càmlaiş  Ras_7.35a
kùàlayeduùõakà¤jikaiş  Ras_11.164d
kùàlitaü vastragàlitam  Ras_11.63b
kùàlito gandhako hitaş  Ras_7.71b
kùitikiñño rasodbhavaş  Ras_7.37b
kùipecchailàmbumadhyasthaü  Ras_12.330e
kùipettoyasya madhyataş  Ras_12.240b
kùiptam àmalakakàùñhakoñare  Ras_12.370c
kùiptaü bahirmçdà liptaü  Ras_6.100c
kùiptaü yadà bhavet kàùñhaü  Ras_12.279a
kùiptvà jvàlàmukhãkùãraü  Ras_6.118c
kùiptvà tatra puñaü dadet  Ras_11.118b
kùipraü badhnàti såtakam  Ras_7.54d
kùipraü bhçïgasya niryàse  Ras_7.71a
kùãyate nàpi vahnisthaş  Ras_7.32a
kùãyate pa¤camã gatiş  Ras_10.17b
kùãyeran tatkùayeõa tu  Ras_12.191f
kùãrakandarasaü caiva  Ras_6.35a
kùãrakandavidhiü vakùye  Ras_12.166a
kùãrakùetrasya saünidhau  Ras_12.287b
kùãratailena sudhmàtaü  Ras_8.25e
kùãrabhàõóaü vina÷yati  Ras_10.8:2b
kùãramadhyasthitaü kùãraü  Ras_12.135c
kùãramuùõodakaü kvàthaü  Ras_12.276a
kùãrayuktà bahuphalà  Ras_12.97a
kùãraü tasya tu dàpayet  Ras_12.195d
kùãraü raktaü bhavet priye  Ras_12.109f
kùãraü sindårasaünibham  Ras_12.113f
kùãràbdhimathane caitad  Ras_7.63c
kùãràrdhaü pàyasaü pacet  Ras_12.307b
kùãràva÷eùaü saükvàthya  Ras_12.294a
kùãràva÷eùaü seveta  Ras_12.295c
kùãràhàrapriyà sadà  Ras_2.20d
kùãràhàra÷ca jãrõànte  Ras_12.311e
kùãràhàro 'tha yatnataş  Ras_12.246b
kùãràhàro bhavettataş  Ras_12.253b
kùãriõãrasapeùitam  Ras_12.359d
kùãreõa tàpayedbhåyaş  Ras_12.118a
kùãreõa meùyà bahu÷o 'mlavargaiş  Ras_7.52b
kùãreõottaravàruõyàş  Ras_6.94c
kùãreõottaravàruõyàş  Ras_6.104c
kùãrode mandaràdriõà  Ras_6.65b
kùudramatsyapaladvayam  Ras_6.14d
kùudràmlalavaõakùàra-  Ras_10.60a
kùetradoùaü tyajeddevi  Ras_10.51a
kùetrapàlamaghoràstraü  Ras_3.27a
kùetrabandhaü purà kçtvà  Ras_12.193a
kùetraü khàtvà grahãtavyaü  Ras_6.49c
kùetraü taduttamaü sthànaü  Ras_3.8c
kùetràdhipaü gaõe÷aüca  Ras_12.241c
kùaudragandharvatailàbhyàü  Ras_7.10a
kùmàpàlena ca badhyate  Ras_12.90b
kùmàpàlena hataü vajram  Ras_12.85a
khaógàrã gajakarõikà  Ras_5.8b
khaõóaj¤ànena deve÷i  Ras_1.30c
khaõóà÷caiva tu yoùitaş  Ras_6.70b
khadira÷càsanaü tathà  Ras_5.39b
khadiraü raktacandanam  Ras_8.80b
khamàkà÷aü ca kevalam  Ras_2.115b
kharparaü sikatàpårõaü  Ras_4.28a
kharpare dràvitaü nàgaü  Ras_12.131a
kharpare dhàrayitvà tu  Ras_12.130c
kharparo netrarogàriş  Ras_7.37c
khallapàùàõato nyaset  Ras_3.16b
khallapàùàõamardakam  Ras_4.2d
khallastu pãñhikà devi  Ras_11.4a
khallaü tenaiva ÷odhayet  Ras_4.62d
khallànta÷càrayettacca  Ras_11.55c
khalle tatra rasaü nyaset  Ras_11.56b
khalle tu parimardayet  Ras_6.61d
khalle saümardayettataş  Ras_11.116d
khallopari nyasitvà ca  Ras_4.63c
khasattvaü càpi vàhayet  Ras_8.72b
khasattvaü raviõà yojyaü  Ras_8.55c
khasattvaü såkùmacårõaü tu  Ras_8.38a
khasattvaü syànnibaddhaü ca  Ras_8.39c
khasattve pàõóuraprabhà  Ras_4.51d
khecaratvaü ca labhyate  Ras_12.334d
khecarãti guñikà nigadyate  Ras_12.371d
khecarã nàma vikhyàtà  Ras_12.336c
khecarãü jàraõàü ÷çõu  Ras_11.98b
khecarãü bhåcarãü caiva  Ras_2.6c
khoñakasya ca lakùaõam  Ras_11.206d
khoñakaü ca ÷ilàtale  Ras_6.63d
khoñabandhasya lakùaõam  Ras_11.207d
