Skandapurana (Adhyayas 1 - 31.14; to be continued)
Based on the edition by Rob Adriaensen, Hans T. Bakker and Harunaga Isaacson,
Groningen : Egbert Forsten 1998-
(Groningen Oriental Studies)


Input by R. Adriaensen, H.T. Bakker and H. Isaacson


The transliteration emulates the conventions of Nagari script.
Therefore, many word boundaries are not marked by blanks.



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________






akarotkiæ mahÃdeva  SkP_26.2c
ÃpyÃyibhyo namo nama÷  SkP_25.50b
ÃbabaddhÃsya kaïÂhe vai  SkP_29.174c
ÃbabaddhÃsya Óirasi  SkP_29.173c
Ãbabandha mahÃtejÃ  SkP_22.8c
Ãbrahmake«u loke«u  SkP_13.6a
Ãmantrya nÃmnÃ tÃnÅÓa÷  SkP_25.2c
Ã mÆlÃtphalanicitai÷ kvacidviÓÃlair  SkP_30.37c
ÃyÃti tvarito yÆyaæ  SkP_7.19c
Ãyurvedaæ dhanurvedaæ  SkP_20.35c
ÃrambhÃya samÃptaye  SkP_29.158d
ÃrÃdhayadumÃpatim  SkP_16.4b
ÃrÃdhaya mahÃdevaæ  SkP_20.7c
ÃrÃdhaya Óucismite  SkP_9.20d
ÃrÃdhya ca v­«adhvajam  SkP_11.16b
ÃrÃdhya parameÓvaram  SkP_20.3b
ÃrirÃdhayi«urlokast  SkP_26.36c
Ãruhya ÃgÃttvaritaæ javena  SkP_13.10d
Ãruhya bhÅmaæ mahi«aæ javena  SkP_13.12d
Ãruhya sarvadraviïÃdhipeÓa÷  SkP_13.15c
Ãruhya sarvÃmararÃÂ sa vajraæ  SkP_13.9e
Ãrebhe yatnamÃsthitÃ  SkP_12.59d
Ãrtavatsa narÃdhipa÷  SkP_17.6d
Ãrto 'kroÓata visvaram  SkP_15.6b
Ãryaputra na me putraæ  SkP_26.50c
ÃryÃyai ca namo nityaæ  SkP_29.201a
ÃryÃvarapradÃnaæ ca  SkP_2.18c
ÃvÃsai÷ pariv­tapÃdapaæ munÅnÃm  SkP_30.37b
ÃviÓya jagati striya÷  SkP_29.233b
ÃveÓanÅ tathÃ«ÂÃbhi÷  SkP_23.49a
ÃÓÃsyÃsanasaæveÓaæ  SkP_1.6c
ÃÓi«aæ devayostadÃ  SkP_20.48b
ÃÓu so 'gniparÅtÃÇgo  SkP_15.7a
ÃÓramaÓcÃyamatyarthaæ  SkP_22.11a
ÃÓramaæ caivamatyarthaæ  SkP_12.25a
ÃÓramaæ samanuprÃptau  SkP_20.39c
ÃÓramÃntarajaæ karma  SkP_30.10e
ÃÓramorÆrvarïajÃnur  SkP_5.14a
ÃÓrita÷ soma Ãgatya  SkP_29.12c
ÃÓrite dve aparïÃ tu  SkP_11.25c
Ãsanaæ merusaækÃÓaæ  SkP_24.12c
ÃsanÃgryavareïa ca  SkP_17.21b
ÃsanÃdibhirabhyarcya  SkP_26.14a
Ãsane kÃ¤cane divye  SkP_27.1c
Ãsanena mahÃrheïa  SkP_26.6c
Ãsane paramÃrcite  SkP_26.5d
Ãsane paramÃrcitau  SkP_20.40d
ÃsankapilavarïajÃ÷  SkP_29.11b
ÃsÅdyak«a÷ pratÃpavÃn  SkP_30.4b
ÃsÅnamÃsane puïye  SkP_5.5c
ÃsÅnaÓca ÓayÃnaÓca  SkP_30.6a
ÃsÅnastatra kÃmada÷  SkP_26.2b
ÃsÅnÃæ kÃ¤cane Óubhre  SkP_26.5c
ÃsÅnÃæ tÃæ ca sovÃca  SkP_26.7a
Ãsthitasya jagatprabho÷  SkP_29.67b
Ãsthito gaïapai÷ saha  SkP_29.34b
ÃhÃramekaparïena  SkP_11.26a
ÃhÃraæ tena cakratu÷  SkP_11.27b
ÃhÆta÷ svayamÅÓvara÷  SkP_23.32d
ÃhvÃnamakarottadÃ  SkP_23.4d
icchato darÓanaæ caiva  SkP_29.124c
icchÃmi dattaæ deveÓa  SkP_16.7c
icchÃmi devadeveÓa  SkP_7.4a
icchÃmi bhagavanputraæ  SkP_18.20a
icchÃmi Óiraso hyasya  SkP_5.62c
icchÃmyahaæ taveÓÃna  SkP_21.50e
icchÃmyÃtmasamaæ putraæ  SkP_20.24c
icchÃmyetaddhi veditum  SkP_1.24d
icchÃyai rataye caiva  SkP_29.161a
itastÃta vrajÃmyaham  SkP_20.63d
iti kusumavicitrasarvav­k«Ã  SkP_13.126a
iti te sarvamÃkhyÃtaæ  SkP_13.136a
iti devamuvÃca ha  SkP_13.62d
iti buddhvÃ Óamaæ vraja  SkP_20.64d
iti me niÓcitÃ mati÷  SkP_15.36b
iti labdhvÃ varaæ devÅ  SkP_12.62a
iti vij¤Ãpito deva÷  SkP_30.21a
iti vedavido vidu÷  SkP_19.4d
iti saæcintya Óailendra÷  SkP_13.5c
iti stutÃ gaïapatayo mahÃbalÃ÷  SkP_25.52a
itihÃsaæ purÃtanam  SkP_5.21b
ityuktvÃ devadeveÓas  SkP_5.65a
idamanyanmahatk«etraæ  SkP_29.44a
idamarthavadavyaya÷  SkP_19.2d
idamÃkhyÃnamaiÓvaram  SkP_5.68b
idamÃha parÃÓaram  SkP_18.27d
idamÃha mahÃdyuti÷  SkP_13.46d
idamÃha mahÃdyuti÷  SkP_13.58d
idamÃha mahÃmanÃ÷  SkP_12.14d
idamÃha vaco viprÃÓ  SkP_1.23c
idamÃhÃnatÃnana÷  SkP_16.5b
idameva mahatsm­tam  SkP_30.54d
idaæ guhyatamaæ k«etraæ  SkP_30.46a
idaæ ca paramaæ guhyaæ  SkP_28.65a
idaæ ca vacanaæ brÆyÃt  SkP_28.59a
idaæ ca Ó­ïu me vaca÷  SkP_25.17d
idaæ cainamuvÃca ha  SkP_29.114d
idaæ covÃca taæ ÓubhÃ  SkP_10.20d
idaæ paÂhedyo hi nara÷ sadaiva  SkP_12.63a
idaæ putrÃya Ói«yÃya  SkP_3.3a
idaæ provÃca susvaram  SkP_18.35d
idaæ mahaddivyamadharmaÓÃsanaæ  SkP_5.69a
idaæ vacanakovida÷  SkP_10.26d
idaæ vacanamabravÅt  SkP_12.11d
idaæ vacanamabravÅt  SkP_29.99d
idaæ vacanamabruvan  SkP_24.1d
idaæ vacanamarthavat  SkP_17.12d
idaæ Óubhaæ divyamadharmanÃÓanaæ  SkP_7.37a
idÃnÅmasti me vatse  SkP_18.12a
idÃnÅmahamÃgatya  SkP_29.37a
idÃnÅæ svayameva tvaæ  SkP_26.12a
indracandrasamadyuti÷  SkP_17.2d
indratvamatha vÃyutÃm  SkP_21.16b
indravaivasvatopamam  SkP_26.31d
indrÃïyai muktaye nama÷  SkP_29.191b
indriyÃïÃæ prav­ttyai ca  SkP_29.208a
indriyÃïi ca sarvaÓa÷  SkP_24.32d
indriyÃrthaviÓe«Ãya  SkP_5.52a
indriyÃvi«ayÃya ca  SkP_3.14d
imaæ lokamanuprÃpya  SkP_7.13c
imaæ lokaæ varÃmbhobhi÷  SkP_7.9a
imÃni ca mahÃbhÃge  SkP_28.66a
imÃnsarvÃnsvatejasÃ  SkP_11.37b
imÃæ kathÃmanubrÆyÃt  SkP_3.2c
imÃæ caivÃÓaniæ divyÃm  SkP_29.171a
ime hi munaya÷ sarve  SkP_1.12a
imau nandigaïendrÃïÃæ  SkP_25.54a
iyaæ ca prak­tirdevÅ  SkP_13.43a
iyaæ sarasvatÅ nÃma  SkP_5.18c
iyaæ sÃ parvatasutÃ  SkP_29.133a
irÃyai v­ttaye nama÷  SkP_29.192d
ilÃputraæ mahÃmatim  SkP_8.12d
i«Âayo niyamÃstathÃ  SkP_24.34b
i«ÂÃbhirvÃgbhirastuvat  SkP_20.42d
i«ÂÃ vari«ÂhÃÓca gaïÃ bhavanti  SkP_24.65d
i«ÂÅ÷ kÃmyÃæstathetarÃn  SkP_24.41d
i«Âai÷ ÓatasahasraÓa÷  SkP_29.87d
i«Âo mama sadÃ caiva  SkP_22.6c
iha k«etre m­ta÷ so 'pi  SkP_30.67c
iha pretya ca ÓÃÓvatam  SkP_27.33b
iha loke sukhÅ jÃto  SkP_28.18c
iha vÃ matparigrahÃt  SkP_30.54b
iha samprÃpyate mok«o  SkP_30.57c
iha samprÃpyate yena  SkP_30.53e
ihÃgatasya yacchasva  SkP_17.4a
ihÃnayatu mÃ ciram  SkP_8.9d
ihÃhÆtÃ jagaddhitÃ÷  SkP_24.7b
ihaiva ca nivatsyatha  SkP_9.22d
ihaiva tvÃæ mahÃbhÃga  SkP_12.19c
ihaiva na tavÃj¤ayÃ  SkP_10.33f
ihaiva varayi«yati  SkP_11.39d
ihaivÃrÃdhya mÃæ devi  SkP_30.60c
Åk«amÃïasya locanam  SkP_29.148b
Åk«amÃïaæ ca pÃrvatÅm  SkP_29.135b
Åje rak«a÷kratau tadÃ  SkP_18.25d
Åtayastatra cÃjagmur  SkP_23.55c
ÅtiÓcaivendravÃhaÓca  SkP_25.10c
ÅtÅnÃæ dvÃrapÃlaÓca  SkP_25.30c
Åpsitaæ saha devyÃ vai  SkP_25.57e
Åpsitaæ sthÃnameva ca  SkP_30.58d
ÅÓa÷ paÓupati÷ pati÷  SkP_13.49b
ÅÓÃnÃyÃrpitÃya ca  SkP_24.52d
ÅÓena yatpurÃ devyÃ÷  SkP_27.9a
ÅÓena yasmÃdv­¬itÃ÷ k­tÃste  SkP_13.25d
ÅÓe bhaktiæ prasÃdayan  SkP_13.67f
ÅÓvara÷ kÃraïaæ mahat  SkP_13.42b
ÅÓvarÃya namo nityaæ  SkP_20.16a
Å«atsamudbhinnapayodharÃgrÃ  SkP_13.103c
Å«adudbhinnakusumai÷  SkP_13.114a
uktvÃ jagÃma svaæ veÓma  SkP_21.9c
uktvÃ nadÅ bhavasveti  SkP_22.15c
uktvÃ svasyÃÓramasya ha  SkP_12.3b
ugra ÅÓÃna ÃtmÃ ca  SkP_13.48c
ugradaï¬adharastathÃ  SkP_25.32b
ugradaï¬adharÃya ca  SkP_21.25b
ugradaï¬Ãya vai nama÷  SkP_21.19d
ugrasena iti khyÃta÷  SkP_23.32a
ugraæ Óarvaæ kapardinam  SkP_6.9d
ugrÃya varadÃya ca  SkP_14.18d
utk«ipya muÓalaæ dÅptaæ  SkP_13.35c
uttarapravahÃæ puïyÃæ  SkP_29.77c
utti«Âha nÃsti te putro  SkP_26.48c
uttuÇgai÷ panasamahÅruhairupetam  SkP_30.37d
utthÃtuæ na ÓaÓÃka ha  SkP_29.130d
utthÃne 'ÓaktamÅÓvara÷  SkP_29.131b
utthÃpya nayane soma÷  SkP_22.2c
utthÃya pradrutÃ tatra  SkP_12.36c
utthÃya prÃ¤jali÷ prÃha  SkP_4.32e
utpattipralayÃnÃæ ca  SkP_9.9c
utpattiryak«arÃjasya  SkP_2.24a
utpattiÓcaiva sarvaÓa÷  SkP_16.6d
utpattiæ pralayaæ tathÃ  SkP_5.7b
utpatsyante punaryaj¤e  SkP_10.27e
utpanno 'nucaraÓca ha  SkP_26.1b
utpalo vidalaÓcaiva  SkP_29.33a
utpÃdakamimaæ prabho  SkP_25.16b
utpÃdakastathotpÃdya  SkP_16.6c
utpÃdayasi tenÃsmÃn  SkP_11.14c
utpÃdayasva Óailendra  SkP_11.18c
utsaÇgatalasaæsupto  SkP_13.29c
utsasarjurmanoj¤Ãni  SkP_13.125c
uts­jya saha bhÃryayÃ  SkP_18.1b
udarasthasya te sÆnor  SkP_18.11c
udaro maïireva ca  SkP_23.58b
udarkaæ saæniÓÃmaya  SkP_22.4d
udÃrarÆpo vik­tÃbhirÆpavÃn  SkP_11.41c
uddh­tya salilÃcca ha  SkP_21.12b
udbhrama÷ sambhramaÓcaiva  SkP_31.13a
udyÃnamas­jatprabhu÷  SkP_26.67d
udyÃnaæ darÓayÃmÃsa  SkP_29.5c
udyÃnaæ darÓayÃmÃsa  SkP_30.22c
udyÃnaæ darÓitaæ deva  SkP_30.44a
udyÃnaæ punarevedaæ  SkP_30.19c
udyÃnaæ yadi rocate  SkP_29.2d
udyÃnÃtparato hara  SkP_29.3d
udyÃnÃni tato deva÷  SkP_29.96a
udvÃhaÓcaiva devasya  SkP_13.136c
udvÃhaæ tu yathÃ yÃd­k  SkP_13.61c
udvÃha÷ kriyatÃæ deva  SkP_13.62c
udvÃha÷ Óaækarasyeti  SkP_13.73c
udvÃha÷ sa paro v­tto  SkP_13.135c
udvÃhÃrthaæ maheÓasya  SkP_13.63c
udvÃhÃrthaæ vinirmite  SkP_13.66b
udvÃhe parame«Âhina÷  SkP_13.72d
unmukhÅ sÃ gate tasmin  SkP_12.29a
upatasthu÷ svarÆpiïa÷  SkP_3.23f
upatasthe 'grata÷ patnÅ  SkP_18.8c
upatasthe ca deveÓaæ  SkP_9.19c
upati«Âheta mÃæ bhaktyÃ  SkP_27.34c
upari«ÂÃdviyatsthitam  SkP_5.37f
upavanamatiramyaæ darÓayÃmÃsa devyÃ÷  SkP_30.43d
upavÃsaæ kari«yÃmi  SkP_26.42a
upavÃsÃæstathÃpare  SkP_26.37b
upavi«Âastata÷ prÅta  SkP_20.42c
upaveÓya mahÃmanÃ÷  SkP_24.45b
upaÓÃntaÓivastata÷  SkP_29.22d
upaÓÃntaÓivaæ caiva  SkP_29.59a
upasthÃsyanti sarvaÓa÷  SkP_4.9b
upahÃrÃæstathaivÃnye  SkP_26.37e
upÃdhyÃyapade sthita÷  SkP_13.129d
upÃyenaiva mÃ balÃt  SkP_26.21d
upÃsate mahÃtmÃna÷  SkP_30.62e
upÃsarpata dÅnÃtmÃ  SkP_20.30c
upetaæ bhavanairdivyai÷  SkP_25.21c
upo«ya triguïÃæ rÃtriæ  SkP_9.27c
ubhayo÷ pak«ayordevi  SkP_29.75c
ubhayo÷ pak«ayo÷ Óuci÷  SkP_28.4b
ubhÃbhyÃmapi coditÃ  SkP_25.24b
ubhe pak«e trayodaÓyÃm  SkP_27.34a
umÃ tÃsÃæ vari«ÂhÃ ca  SkP_11.32a
umÃ tu yÃ mayÃ tubhyaæ  SkP_11.35a
umÃdehÃrdharÆpÃya  SkP_21.32c
umÃpatirvaraæ prÃdÃt  SkP_19.8c
umÃpate nÅlakaïÂha  SkP_28.61c
umÃputrÃya devÃya  SkP_24.51c
umÃyÃstanayaÓcaiva  SkP_1.25c
umÃyÃ÷ pataye nama÷  SkP_21.27d
umÃharau tu deveÓau  SkP_20.1a
umÃharau tu saægamya  SkP_20.2a
umÃæ girivarÃtmajÃm  SkP_23.1d
umÃæ me yaccha ÓailarÃÂ  SkP_12.10d
ume ta evaæ krÅ¬anti  SkP_26.8c
ume tava sadÃ bhartÃ  SkP_26.14c
umotsaÇgasamÃsthitam  SkP_13.39f
urvaÓÅ caiva rambhÃ ca  SkP_25.11a
ulkajÃyai tathe«Âaye  SkP_29.186d
uvÃca krodharaktÃk«o  SkP_17.25c
uvÃca guïavÃnsamyak  SkP_20.45c
uvÃca cedaæ tu«ÂÃtmÃ  SkP_12.52a
uvÃca cedaæ deveÓaæ  SkP_20.23c
uvÃca cainaæ tu«ÂÃtmÃ  SkP_22.3a
uvÃca cainaæ dÅptÃtmÃ  SkP_5.27c
uvÃca cainaæ du«ÂÃtman  SkP_18.15a
uvÃca caiva tau vedo  SkP_5.31c
uvÃca cchadmanÃ yasmÃd  SkP_19.21c
uvÃca tamaÓokaæ vai  SkP_12.21c
uvÃca taæ divodÃsaæ  SkP_26.58c
uvÃca tu«ÂastÃndevÃn  SkP_9.11c
uvÃca dak«aæ saægamya  SkP_10.26c
uvÃca devaæ praïata÷  SkP_26.24c
uvÃca deva÷ sampÆjya  SkP_24.6c
uvÃca devi paÓyÃma  SkP_29.2c
uvÃca ni«krama k«ipraæ  SkP_30.13c
uvÃca praïata÷ sarvÃn  SkP_25.35c
uvÃca praïato bhÆtvÃ  SkP_21.5a
uvÃca prÃ¤jalirbhÆtvÃ  SkP_5.61c
uvÃca prÅtisampannam  SkP_19.2c
uvÃca brÆhi kiæ te 'dya  SkP_22.10c
uvÃca brÆhi tu«Âo 'smi  SkP_10.2c
uvÃca bhagavandeva  SkP_26.41c
uvÃca bhagavÃngatvÃ  SkP_15.17c
uvÃca madhuraæ Ólak«ïaæ  SkP_29.142c
uvÃca mahi«Åæ vyÃsa  SkP_26.39c
uvÃca meghanirhrÃda÷  SkP_8.28c
uvÃca vacasÃ vyÃsa  SkP_16.8c
uvÃca varado 'smÅti  SkP_20.22c
uvÃca varado 'smÅti  SkP_29.167c
uvÃca vik­tÃsyaÓca  SkP_12.5c
uvÃca v­«abhadhvaja÷  SkP_22.24d
uvÃca ÓailarÃjaæ tam  SkP_12.10c
uvÃca Ólak«ïayÃ vÃcÃ  SkP_18.30c
uvÃca sa tadÃ yak«o  SkP_31.8a
uvÃca sa tadÃ viprÃn  SkP_8.10c
uvÃca sa mahÃtejÃ  SkP_5.17a
uvÃca sarvaæ sarvaj¤o  SkP_1.27c
uvÃca sÆdaæ Óanakai÷  SkP_17.16c
uvÃca har«amÃïÃsyÃ  SkP_29.219c
uvÃcÃpsaraso brÆta  SkP_29.236c
uvÃcedaæ ca tÃndvijÃn  SkP_8.17d
uvÃcedaæ mahÃvratÃ  SkP_12.54b
uvÃcedaæ susaærabdhÃ  SkP_10.23c
uvÃcotti«Âha bhadraæ te  SkP_29.131c
Æcaturmuditau devau  SkP_25.26c
ÆcatustÃv­«Åtyevaæ  SkP_20.54c
ÆcatustÃæ samÃlokya  SkP_15.9c
ÆcurjambÆnadÅti tÃm  SkP_22.28d
ÆcurbrahmÃïamabhyetya  SkP_4.25c
ÆcurvyÃsa bhavemahi  SkP_29.237b
ÆcuÓcainaæ mahÃbhÃgÃ  SkP_8.9a
Æcustaæ divyabhÃvaj¤Ã  SkP_25.36c
Æcu÷ sabrahmakÃ÷ surÃ÷  SkP_14.27b
Æcu÷ sarve susaærabdhÃ  SkP_8.12c
ÆrdhvaliÇgÃya vai nama÷  SkP_9.7b
Ærdhvaæ golokasaæsthÃnÃæ  SkP_29.9a
ÆhÃyai ca namo nama÷  SkP_29.204d
ÆhÃvatÃæ tanubh­tÃmapavargadÃt­  SkP_30.39d
­co yajÆæ«i sÃmÃni  SkP_24.33c
­tava÷ «aÂ samaæ tatra  SkP_13.73a
­tÆ ÓiÓirahemantÃv  SkP_13.92c
­to÷ svabhÃvÃcca madodbhavÃcca  SkP_13.104a
­ddhimaccaiva te dvÅpaæ  SkP_22.7a
­«ayaÓca sahÃmarai÷  SkP_24.46b
­«ayaÓcaiva te sarve  SkP_18.34c
­«ayastu«ÂuvuÓcaiva  SkP_24.48c
­«aya÷ k­tsnaÓastatra  SkP_13.71a
­«aya÷ saha devatai÷  SkP_8.26b
­«aya÷ saæÓitavratÃ÷  SkP_4.24b
­«aya÷ saæÓitavratÃ÷  SkP_5.5d
­«aya÷ saæÓitavratÃ÷  SkP_8.12b
­«ayo dÅptatejasa÷  SkP_5.1b
­«ayo h­«ÂamÃnasÃ÷  SkP_1.6b
­«idaivatanÃthÃya  SkP_9.10a
­«ibhirdaivataiÓcaiva  SkP_18.27c
­«ibhyaÓca pitÃmaha÷  SkP_24.44f
­«ibhyo 'kathayattata÷  SkP_20.26d
­«irvyÃso mahÃtapÃ÷  SkP_30.61b
­«i÷ paramapÆjita÷  SkP_20.26b
­«ÅïÃæ pataye nityaæ  SkP_20.12a
­«ÅïÃæ vighnakartÃraæ  SkP_15.3a
­«Å divyau tapodhanau  SkP_20.39b
­«ÅndharmÃnubhÃvitÃn  SkP_5.17b
­«ÅæÓca tapasaidhitÃn  SkP_9.11d
­«ÅæÓca sarvadevÃæÓca  SkP_28.21a
ekadaikÃnta eva ca  SkP_17.4d
ekaparïÃÓanÃ puna÷  SkP_10.1d
ekapÃdastathaiva ca  SkP_23.46b
ekapÃdairmahÃkÃyais  SkP_23.28c
ekapÃdo 'para÷ «a«ÂyÃ  SkP_23.53a
ekamindrÃya dhÅmate  SkP_24.44d
ekarÃtraæ gatiæ ÓuddhÃæ  SkP_29.119c
ekarÃtraæ ca yo martyo  SkP_27.36a
ekaÓ­ÇgÅ ca vikhyÃtas  SkP_23.61e
ekasminkaravÅrasya  SkP_28.32c
ekasmai ÓaktiyuktÃya  SkP_3.14a
ekaæ kalaÓamÃtmanÃ  SkP_24.44b
ekaæ vimÃnaæ tvarayÃbhiruhya  SkP_13.18b
ekÃkÅ vilalÃpa ca  SkP_20.51d
ekÃk«araratÃya ca  SkP_24.54d
ekÃk«ipiÇgalo nÃmnÃ  SkP_29.149c
ekÃgramanasa÷ sarve  SkP_5.2a
ekÃgramanaso dÃntÃs  SkP_27.38c
ekÃgro hradamÃsthita÷  SkP_21.2b
ekaikaæ kalaÓaæ tatra  SkP_24.36a
ekaikaæ kalaÓaæ tatra  SkP_24.43a
etajj¤ÃtvÃ yathÃvaddhi  SkP_2.29a
etattattrikumÃrÅïÃæ  SkP_11.29a
etatpa¤canadaæ nÃma  SkP_22.29a
etatsarvamaÓe«eïa  SkP_5.9a
etatsaæk«epato devi  SkP_30.71a
etatsm­taæ priyatamaæ mama devi nityaæ  SkP_30.75a
etadicchÃma veditum  SkP_5.20d
etadicchÃmi kathitaæ  SkP_30.2c
etadicchÃmi deveÓa  SkP_31.9e
etadicchÃmi deveÓau  SkP_25.25e
etadicchÃmi veditum  SkP_19.14d
etadicchÃmi veditum  SkP_20.60d
etadicchÃmi veditum  SkP_26.2d
etadeva paraæ j¤Ãnam  SkP_30.73a
etadeva paraæ padam  SkP_30.73d
etadeva paraæ brahma  SkP_30.73c
etadeva paraæ Óivam  SkP_30.73b
etadbudhyanti yogaj¤Ã  SkP_30.72c
etadvaraæ prayacchasva  SkP_11.21c
etadv­ttaæ bhavatyuta  SkP_30.8b
etanna÷ Óaæsa sarvaÓa÷  SkP_4.30d
etanmama puraæ divyaæ  SkP_30.51a
etanme puïyadarÓanam  SkP_29.34d
etamadyÃbhi«ekeïa  SkP_3.24c
etasminnantare devÅ  SkP_30.19a
etasminnantare devo  SkP_31.1a
etaæ na÷ saæÓayaæ deva  SkP_4.27a
etÃni sthÃpitÃni hi  SkP_29.50b
etÃnvarÃnahaæ deva  SkP_29.123c
etÃvacchakyate vaktum  SkP_26.66c
etÃsÃæ tapasÃ labdhaæ  SkP_11.29c
etÃsÃæ tapyamÃnÃnÃæ  SkP_29.180a
ete cÃnye ca gaïapÃ  SkP_23.62a
ete cÃnye ca gandharvÃ  SkP_25.10e
ete tava bhavi«yanti  SkP_29.124a
ete«Ãmekamapi ya÷  SkP_28.63a
evamastviti tatsarvaæ  SkP_29.169a
evamastviti taæ procya  SkP_20.25c
evamastviti tÃnuktvÃ  SkP_14.28a
evamastviti tenokto  SkP_17.5a
evamastviti devo 'pi  SkP_21.5e
evamastviti bhÆyo 'pi  SkP_21.9a
evamastviti saæmantrya  SkP_24.11c
evamastvityathoktvÃsau  SkP_18.21a
evamuktastato deva÷  SkP_20.25a
evamuktastato brahmÃ  SkP_4.31a
evamuktastadÃ sarvÃn  SkP_25.39a
evamuktastadÃ sÆta÷  SkP_1.13a
evamuktastu tejasvÅ  SkP_17.25a
evamukta÷ sa bhagavÃn  SkP_9.17a
evamukta÷ sa rÃjendro  SkP_26.53a
evamukte tadÃ tena  SkP_5.37a
evamukte bhagavatÃ  SkP_24.11a
evamukto nikumbhena  SkP_26.31a
evamukto 'm­tavasu÷  SkP_17.11a
evamuktvÃ gate tasminn  SkP_4.11a
evamuktvÃ tato deva÷  SkP_15.38a
evamuktvÃ tato deva÷  SkP_31.3a
evamuktvÃ tato devÅ  SkP_29.151a
evamuktvÃ tato brahmÃ  SkP_11.24a
evamuktvÃ tadÃ deva  SkP_12.27a
evamuktvÃ tu taæ deva÷  SkP_16.12a
evamuktvÃ nikumbho 'sau  SkP_26.26a
evamuktvÃ mahÃdevo  SkP_29.60a
evamuktvÃ sa devÅæ tu  SkP_15.15a
evamuktvÃ sa deveÓo  SkP_3.23a
evametatsara÷kÅrïaæ  SkP_29.92a
evametanna saædeha÷  SkP_26.16c
evametÃni puïyÃni  SkP_29.51a
evamevÃmareÓvarÃ÷  SkP_13.50b
evamevetyamanyata  SkP_16.13d
evame«Ã bhagavatÅ  SkP_8.1a
evaæ kÃlena samprÃpya  SkP_29.1a
evaæ kuru mahÃbhÃge  SkP_19.19a
evaæ kuru mahÃbhÃge  SkP_29.181a
evaæ tatra nara÷ pÃpaæ  SkP_7.29a
evaæ tatrÃpyasaæmÆ¬hÃ  SkP_10.24c
evaæ tadabhavadvyÃsa  SkP_19.28a
evaæ tava pitÃ vyÃsa  SkP_19.1a
evaæ taæ kÃmadaæ j¤ÃtvÃ  SkP_26.39a
evaæ tena gaïeÓena  SkP_26.49a
evaæ te«Ãæ samÃpte 'tha  SkP_8.2a
evaæ tau vairamanyonyaæ  SkP_19.25c
evaæ dagdhvÃ sa kÃmaæ tu  SkP_15.13a
evaæ d­«ÂÃ mahÃtmanÃm  SkP_30.9b
evaæ devÅ tadÃ vyÃsa  SkP_29.236a
evaæ nandÅÓvaro vyÃsa  SkP_26.1a
evaæ bhavatu deveÓa  SkP_29.3a
evaæ mahi«yÃ sa prokta÷  SkP_26.51a
evaæ yatastÃæ na vidu÷ sureÓÃ  SkP_13.25a
evaæ loke bhavi«yatu  SkP_29.237f
evaæ sa ÃtmanÃtmÃ va÷  SkP_16.11a
evaæ sa tÃn­«ÅnuktvÃ  SkP_9.30a
evaæ sa p­«ÂastejasvÅ  SkP_1.27a
evaæ sa bhagavÃ¤chaptvÃ  SkP_10.38a
evaæ sa bhagavÃndevo  SkP_14.25a
evaæ sa bhagavÃnvyÃsa  SkP_15.30a
evaæ sa bhagavÃnvyÃsa  SkP_31.14a
evaæ sarvapraïÃmena  SkP_28.63e
evaæ sarvarddhisampanna÷  SkP_4.10e
evaæ sa saæstutastena  SkP_29.167a
evaæ stutvÃ tato devas  SkP_24.58a
evo h­dayasaæsthitÃ÷  SkP_29.183d
e«a eva vara÷ ÓlÃghyo  SkP_6.9a
e«a no dÅyatÃæ deva  SkP_9.16c
e«a no vara uttama÷  SkP_8.19d
e«a me dÅyatÃæ vara÷  SkP_16.7d
e«a me dÅyatÃæ vara÷  SkP_21.51d
e«a me dÅyatÃæ vara÷  SkP_21.54d
e«o 'sak­nmÃæ deveÓa  SkP_29.140a
{}nalabhÃæ pÃriyÃtraæ ca  SkP_24.26c
airÃvataæ sarvagajendramukhyaæ  SkP_13.9c
airÃvataæ supratÅkaæ  SkP_24.21a
aiÓvaryaniratÃya ca  SkP_29.110d
aiÓvaryaæ cÃpi saæmatam  SkP_25.28b
aiÓvaryaæ caiva sarvaÓa÷  SkP_2.2b
aiÓvaryeïa samanvita÷  SkP_4.20b
