Santideva: Bodhicaryavatara


Input by Richard Mahoney



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akasmànmçtyuràyàto  Bca_7.8c
pårvavad bàdhyate tçùà  Bca_8.6d
pårvahetuprabhàvataþ  Bca_9.118d
pårvahetuprabhedataþ  Bca_9.118b
pårvaü ca pàpaü samatikramàmi  Bca_2.9c
pårvaü tàvadidaü cittaü  Bca_5.34a
pårvaü niråpya sàmagrãm  Bca_7.47a
pårvaü pa÷càcca jàtena  Bca_9.101a
pårvànubhåtanaùñebhyaþ  Bca_2.61a
pårvàbhàùã jagatsuhçt  Bca_5.71d
pçthak pçthaggamiùyanti  Bca_8.32c
pçthivyàdãni bhåtàni  Bca_3.20a
pçùñhato 'navalokayan  Bca_8.27d
paurvikeõa mamàdhunà  Bca_7.39b
'pyàsãdyatparirakùitam  Bca_8.46b
prakàmaü saüpariùvajya  Bca_8.43c
prakà÷aya mahàmuneþ  Bca_8.162d
prakà÷à vàprakà÷à và  Bca_9.23a
prakupyanti prahçùyanti  Bca_9.155c
prakçtimaraõaduþkhitàndhakàràn  Bca_4.37a
prakçtiripånupahantumudyatasya  Bca_4.38b
prakçtyà duþkhasaüvàsaiþ  Bca_8.23c
prakçtyà parinirvçtàþ  Bca_9.104d
prakçtyà yacca sàvadyaü  Bca_2.64c
prakùipta÷ca bhaye 'pyàtmà  Bca_8.42a
pragalbhaü mukharaü tathà  Bca_5.53b
praj¤aptyàvadyameva ca  Bca_2.64d
praj¤àråpaü kulaü dhanam  Bca_8.151d
praj¤àrthaü kimakàõóa eva narakeùvàtmànamàbàdhase  Bca_4.47d
praj¤àrthaü hi munirjagau  Bca_9.1b
praj¤à÷astreõa mocaya  Bca_5.62d
praõàmaiþ praõamàmyahaü  Bca_2.24b
praõipatya punaþ punaþ  Bca_2.65d
praõipatyàdarato 'khilàü÷ca vandyàn  Bca_1.1b
pratikurvãta satvaram  Bca_7.71d
pratigçhõantu nàyakàþ  Bca_2.66b
pratighaþ pratihanti tat  Bca_6.1d
pratij¤àya mahàtmàpi  Bca_4.41c
pratij¤àyàpi yujyate  Bca_4.2d
pratipakùeõa tatsadà  Bca_5.54d
pratipakùotthameva ca  Bca_5.81b
pratipakùo 'sya bhàvyate  Bca_9.93b
pratipakùo hi ÷ånyatà  Bca_9.55b
pratibaddho na kasyacit  Bca_8.88b
pratibimbasame tasmin  Bca_9.145c
pratimàståpasaddharma-  Bca_6.64a
pratilabdhà puruùàrthasàdhanã  Bca_1.4b
pratãkàracikãrùayà  Bca_8.122b
pratãcchanto jayantyarãn  Bca_6.20b
pratãcchan puõyasàgaràn  Bca_7.29b
pratãcchecchirasà vàkyaü  Bca_5.74c
pratãtyotpadyate kùamà  Bca_6.111b
pratyakùamapi råpàdi  Bca_9.6a
pratyayasyàsti kutracit  Bca_9.13b
pratyayànàmanucchede  Bca_9.14c
pratyayànàü tu vicchedàt  Bca_9.15a
pratyayàntarayuktasya  Bca_9.25a
pratyayàntarasaïge 'pi  Bca_6.29c
pratyayeùu vyavasthitam  Bca_9.142d
pratyavekùà muhurmuhuþ  Bca_5.108d
pratyavekùyaü tathà manaþ  Bca_5.41b
pratyekabuddhàþ sukhino  Bca_10.50a
pratyekaü te 'pi hi tridhà  Bca_9.129d
pradàsyasi na saü÷ayaþ  Bca_8.171d
pradhànamiti kathyante  Bca_9.128c
pradhàrayàmyeùa mahàmunãnàü  Bca_2.19c
pradhåpitairdhautamalairatulyair  Bca_2.12a
prapàte dãrghakàlike  Bca_2.58d
prapàteùvitareùvapi  Bca_2.58b
prabhojjvalànsarvamunãndrakàyàn  Bca_2.14d
pramattasyàpyaneka÷aþ  Bca_1.19b
pramattena mayà nàthà  Bca_2.43c
pramathnàti mahàjanam  Bca_6.128b
pramadàjanamadhye 'pi  Bca_5.21c
pramàõamapramàõaü cen  Bca_9.139a
pramàdàdàtmanàtmànaü  Bca_6.35a
pramukhànàvçtabodhisattvameghàn  Bca_10.15b
prayatiùye damàya ca  Bca_8.39d
pralambapàdaü nàsãta  Bca_5.92c
pralambamuktàmaõihàra÷obhàn  Bca_2.18a
pravartante nabhaþsamàþ  Bca_1.19d
pravartasvàvicàrataþ  Bca_8.156b
pravarttantàü nirantaram  Bca_2.21d
pravàsakle÷aduþkhitàþ  Bca_8.74b
praviùño janmavàguràm  Bca_7.4b
pravçttà nanu te mama  Bca_6.99d
pravçtteùvàtmaghàtane  Bca_6.38b
pravrajyàvighna ucyate  Bca_6.105d
praùñukàma÷ca kiücana  Bca_10.53b
prasannàn svaguõànatha  Bca_6.85b
prasarpati yathà tanau  Bca_7.69b
prasavatyeva tu bodhicittavçkùaþ  Bca_1.12d
prasavettasya tato 'dhikaü phalaü  Bca_1.35b
prasàdaü kùobhayedbudhaþ  Bca_6.19b
prasiddhiriva sà mçùà  Bca_9.6d
prasiddhyà na pramàõataþ  Bca_9.6b
prasåyante striyo 'nyeùàm  Bca_8.76c
prahçùñàn kiü na bàdhate  Bca_9.89b
pràgava÷yaü niyogataþ  Bca_5.96d
pràptamàràdhayet priyaiþ  Bca_8.15b
pràpnuyàü sarvajàtiùu  Bca_10.52d
pràpnuvantu ca tàü nãcà  Bca_10.30c
pràpnotyabhimataü kàryam  Bca_5.73c
pràpyàvatàraü muùõàti  Bca_5.28c
pràmodyaü cirajãvitam  Bca_6.134b
pràyastulyaü na kiü matam  Bca_9.50d
pràrthayàmi kçtà¤jaliþ  Bca_3.4b
pràsàdikatvamàrogyaü  Bca_6.134a
priyasaügamakàïkùayà  Bca_8.7d
priyàõàmàtmano vàpi  Bca_6.11c
priyàõàü càpakàriùu  Bca_6.65b
priyàpriyanimittena  Bca_2.35a
priyo me na bhaviùyati  Bca_2.37b
prãtiràtmani jàyate  Bca_6.97b
prãtirevàtra yujyate  Bca_6.75d
prerake yadi kupyate  Bca_6.41b
protsàraõamahàraviþ  Bca_3.31b
phalasyàdiþ kuto bhavet  Bca_9.123d
phalaü kasya bhaviùyati  Bca_9.71d
phalaü hetau yadi sthitam  Bca_9.136d
phalàrgheõàbhipåjyate  Bca_7.42d
phalà÷à na ca jàyate  Bca_8.116d
phalena saha sarvasva-  Bca_5.10a
bako bióàla÷caura÷ca  Bca_5.73a
baddhamàrgasya sarvataþ  Bca_7.6b
baddhamutpadyate punaþ  Bca_9.49b
baddhavaira÷ca vigrahã  Bca_4.43b
baddha÷ceccitamàtaïgaþ  Bca_5.3a
bandhumadhye 'pi tiùñhatà  Bca_2.41b
bandhån nirà÷àn saüpa÷yan  Bca_7.9c
bandhånparicitàüstathà  Bca_2.62b
balanà÷ànubandhe tu  Bca_7.66a
balaü tu pàpasya mahatsughoraü  Bca_1.6b
balaü sattvàrthasiddhaye  Bca_7.31b
balinaþ kle÷a÷atravaþ  Bca_4.31d
balãyasàbhibhåtatvàd  Bca_9.90a
bahava÷ca ya÷asvinaþ  Bca_8.20b
bahavaþ svaparàtmanoþ  Bca_7.35b
bahavo làbhino 'bhåvan  Bca_8.20a
bahukhedamacintayan  Bca_8.170d
bahunà và kimuktena  Bca_8.130a
bahu pàpamupàrjitam  Bca_2.43d
bahubhiþ kiü mama vrataiþ  Bca_5.18d
bahumålyaü jagadekasàrthavàhaiþ  Bca_1.11b
bahusaukhya÷atàni bhoktukàmair  Bca_1.8c
bahånàmekaduþkhena  Bca_8.105a
bahånàü duþkhinàü vyayàt  Bca_8.106d
bahvamedhyamayaü kàyam  Bca_8.60c
bàdhante kaõñakàdibhiþ  Bca_6.35b
bàdhà kasya kuto bhavet  Bca_9.98d
bàdhà tatkena rakùyate  Bca_8.97d
bàdhyante dhãvi÷eùeõa  Bca_9.4a
bàlàddåraü palàyeta  Bca_8.15a
bàlecchàbhirakheditam  Bca_5.56b
bàlaiþ sabhàgacarito  Bca_8.9a
bàhyà bhàvà mayà tadvac  Bca_5.14a
bãjamastãti gamyate  Bca_9.116b
bãjaü krãtvà nivasyatàm  Bca_9.137b
bãjaü tenaiva såcyate  Bca_9.115b
buddhatvaü me bhaviùyati  Bca_5.80d
buddhadharmàgamàü÷ena  Bca_6.116a
buddhadharmàgame same  Bca_6.113b
buddhadharmodayàü÷astu  Bca_6.118a
buddhaputro 'smi sàmprataü  Bca_3.25d
buddhapåjà vi÷iùyate  Bca_1.27b
buddhaprasàdàdyatpuõyaü  Bca_6.115c
buddhabuddhasutairnityaü  Bca_10.38a
buddhabuddhàtmajàkãrõà  Bca_10.34c
buddhamàhàtmyameva tat  Bca_6.115d
buddhaü gacchàmi ÷araõaü  Bca_2.26a
buddhàtmajànàü ca guõodadhãnàü  Bca_2.1d
buddhàdãnàü na hi byathà  Bca_6.64d
buddhàdyanusmçtiü càsya  Bca_8.37c
buddhàdhiùñhànata iva  Bca_6.101c
buddhànubhàvena tathà kadàcil-  Bca_1.5c
buddhànusmçtirapyevaü  Bca_5.32c
buddhà÷ca bodhisattvà÷ca  Bca_5.31a
buddhiþ prakà÷ata iti  Bca_9.22c
buddhiþ saüvçtirucyate  Bca_9.2d
buddheragocarastattvaü  Bca_9.2c
buddhaiþ parigçhãtà÷ca  Bca_10.32c
buddhotpàdo 'tidurlabhaþ  Bca_9.163b
buddho 'pi saüsaredevaü  Bca_9.14a
bodhicaryànuråpyeõa  Bca_9.38a
bodhicaryàparàyaõàþ  Bca_10.32b
bodhicaryàvatàraü me  Bca_10.1a
bodhicaryà vibhåùaõàþ  Bca_10.1d
bodhicaryàsahàyatvàt  Bca_6.107c
bodhicittajinà÷rayàt  Bca_5.98d
bodhicittabalàdeva  Bca_7.29c
bodhicittabalena ca  Bca_4.11b
bodhicittarathaü pràpya  Bca_7.30c
bodhicittaü kutastasya  Bca_6.83c
bodhicittaü jagaddhite  Bca_3.23b
bodhicittaü jinàtmajaþ  Bca_4.1b
bodhicittaü tu bhàvayet  Bca_8.89d
bodhicittaü puràtanaiþ  Bca_3.22b
bodhicittaü prasàdataþ  Bca_3.24b
bodhicittaü mamoditaü  Bca_3.27d
bodhicittaü samutpàdya  Bca_6.80a
bodhicittàvirahità  Bca_10.32a
bodhipraõidhicittasya  Bca_1.17a
bodhipraõidhicittaü ca  Bca_1.15c
bodhiprasthànameva ca  Bca_1.15d
bodhirityàgamo yataþ  Bca_9.41d
bodhisattvagaõaü tathà  Bca_2.26d
bodhisattvagaõaü tathà  Bca_2.49d
bodhisattvatvabuddhatvam  Bca_3.2c
bodhisattvamahàparùan-  Bca_10.36a
bodhisattvamahàmegha-  Bca_10.5c
bodhisattvavratadharaü  Bca_5.102c
bodhisattva÷ubhaiþ sarvair  Bca_10.56c
bodhisattvasukhaü pràptuü  Bca_10.3c
bodhisattvasya tenaivaü  Bca_4.8a
bodhisattvaþ kimucyatàü  Bca_1.31d
bodhisattvànkçtà¤jaliþ  Bca_2.27d
bodhisattvà÷rayàüstathà  Bca_2.25b
bodhisattve 'pi nirvçte  Bca_9.38d
bodhiü kiü nàpnuyàmaham  Bca_7.19d
bauddhaü saüpatsukhaü muktvà  Bca_8.157c
byàghràþ siühà gajà çkùàþ  Bca_5.4a
bratasthàn saüvibhajya ca  Bca_5.85b
brahmaõàü và bhaviùyati  Bca_1.23d
bruvannunmattakastadà  Bca_4.42b
bråmaþ kameùu nirdoùaü  Bca_6.67c
bhaktacchedàdibhiþ kopàd  Bca_6.35c
bhadrakaü nàma tadvastu  Bca_8.177c
bhayamastaü gataü sarvaü  Bca_5.3c
bhayamutpadyate mahat  Bca_8.64b
bhayaü kasya bhaviùyati  Bca_9.57d
bhayaü duþkhaü ca na priyam  Bca_8.96b
bhayaü nà÷ayata drutam  Bca_2.54d
bhayàni vividhàni ca  Bca_7.41b
bhayotsavàdisaübandhe  Bca_5.42a
bhavacàrakapàlakà ime  Bca_4.35a
bhavacàrakabandhano varàkaþ  Bca_1.9a
bhavati mama viùàdadainyamadya  Bca_4.38c
bhavati smodita eva bodhicitte  Bca_1.9d
bhavatu kamalapàõerdar÷anaü nàrakàõàm  Bca_10.12d
bhavatyavirataü jagat  Bca_10.3d
bhavatyahamiti j¤ànam  Bca_8.111c
bhavaduþkha÷atàni tartukàmair  Bca_1.8a
bhavanti ripavaþ kùaõàt  Bca_8.10b
bhavantu karuõàviùñà  Bca_10.40c
bhavantu råpasaüpannà  Bca_10.29c
bhavantu ÷uddhasaütànàþ  Bca_10.46c
bhavantu ÷ràvakàstathà  Bca_10.50b
bhavantu saüghàtamahãdharà÷ca  Bca_10.8c
bhavantu sukhinaþ pretà  Bca_10.17c
bhavantu hçdyàþ narakaprade÷àþ  Bca_10.7d
bhavantyàpattika÷malàþ  Bca_5.26d
bhavantvakùayako÷à÷ca  Bca_10.28a
bhavantvakhaõóa÷ãlà÷ca  Bca_10.44c
bhavàdhvabhramaõa÷rànto  Bca_3.29c
bhavetkalpàrõavairna và  Bca_7.35d
bhavettasya muhurmuhuþ  Bca_5.32d
bhavetsatatamutthitaþ  Bca_5.84b
bhavedabhibhavedvyathàm  Bca_6.18d
bhaveddçptaþ sahasra÷aþ  Bca_7.60b
bhavenmamà÷ayaguõo  Bca_6.50a
bhave bahuprapàta÷ca  Bca_9.158a
bhaveyamupajãvyo 'haü  Bca_3.21c
bhaveyaü kalpavçkùa÷ca  Bca_3.19c
bhaveyaü pànabhojanam  Bca_3.8d
bhaveyaü vaidya eva ca  Bca_3.7b
bhaveyaü sarvadehinàü  Bca_3.18d
bhaveyuþ prakañàþ guõàþ  Bca_8.148b
bhasmaniùñhàvasàno 'yaü  Bca_8.178a
bhàgo nàlpo 'pi me tataþ  Bca_6.95d
bhàvanãyaiva ÷ånyatà  Bca_9.54d
bhàvayitvaivamàdaràt  Bca_7.46b
bhàvayettadguõaj¤atàm  Bca_5.76d
bhàvayettena ÷ånyatàm  Bca_9.49d
bhàvayedevamàdaràt  Bca_8.90b
bhàvayedvividhairnayaiþ  Bca_6.2d
bhàvayerùyàü ca mànaü ca  Bca_8.140c
bhàva÷càbhàvatàü naiti  Bca_9.149c
bhàvà nàthena de÷itàþ  Bca_9.7b
bhàvànàü nopapadyate  Bca_9.139d
bhàvàvasarasaübhavaþ  Bca_9.149b
bhàveùvevaü kva kupyate  Bca_6.31d
bhikùutaiva ca duþkhità  Bca_9.45b
bhindanti dehaü pravi÷antyavãcãü  Bca_6.120a
bhinnàdhàre kriyàphale  Bca_9.72b
bhiùajãva hitodyate  Bca_6.110d
bhãta÷cittavraõaü na kim  Bca_5.20d
bhãtastatkùaõamutsçjet  Bca_5.46d
bhãtà÷ca nirbhayàþ santu  Bca_10.21a
bhãtebhyo nàbhayaü dattam  Bca_7.38a
bhãtyàpyàdarakàriõàm  Bca_5.30b
bhuktvà ya÷ca vibudhyate  Bca_6.57b
bhu¤jãta madhyamàü màtràü  Bca_5.85c
bhåtaü hi vacanaü muneþ  Bca_8.156d
bhåtàni cedbhavatvevaü  Bca_9.119c
bhåtvà bhåtvà sukhocitàþ  Bca_9.157d
bhåmipràpta÷ciràyate  Bca_4.11d
bhåmirapya÷ucirmatà  Bca_8.62d
bhåmiü chàdayituü sarvàü  Bca_5.13a
bhåmiþ sarvatra tiùñhatu  Bca_10.35d
bhçïgavat kusumànmadhu  Bca_8.16b
bhçtidànàdivirater  Bca_6.78c
bhçtya÷caõóançpaü yathà  Bca_6.130d
bhçtyasyàkurvataþ karma  Bca_8.132c
bhaiùajyajàtàni ca yàni santi  Bca_2.2b
bhaiùajyamidamuttamaü  Bca_3.29b
bhaiùajyasàdhyasya niràmayatvam  Bca_4.48d
bhokùye tuùñisukhaü tasmàt  Bca_5.77c
bhaujyai÷ca svàdyairvividhai÷ca peyais  Bca_2.16c
makùikàþ kçmayastathà  Bca_7.18b
maccittàvasthità eva  Bca_4.29a
ma¤jughoùaparigrahàt  Bca_10.51d
ma¤jughoùaprabhçtayaþ  Bca_2.22a
ma¤jughoùaü namasyàmi  Bca_10.58a
ma¤junàthamavighnataþ  Bca_10.53d
maõóayantu mahãtalam  Bca_10.36d
maõóalàni samantataþ  Bca_10.36b
mative÷mani lobhapa¤jare  Bca_4.35c
mateþ saütiùñhate puraþ  Bca_9.35b
matkarmacodità eva  Bca_6.47a
matkarmajanità eva  Bca_6.46c
matsyàdayaþ kva nãyantàü  Bca_5.11a
madduþkhaü na prabàdhate  Bca_8.92b
madyadyåtàdi sevyaü syàn  Bca_6.91c
madvij¤aptyà tathàtràpi  Bca_8.156a
madhurajinasvarà÷anakçtopacitadyutayaþ  Bca_7.44b
madhureõopacàreõa  Bca_7.24c
manasà cintayitvàpi  Bca_4.5a
manastvamapi taü stutvà  Bca_6.76c
manaþ ÷amaü na gçhõàti  Bca_6.3a
manaþ sukhàbhimohitam  Bca_8.18b
manuùyaduþkhairnarakàn  Bca_6.72c
manuùyàõàü ÷arãrakam  Bca_5.66d
manoj¤agandhodakapuùpapårõaiþ  Bca_2.11a
mano 'bhilaùitaü sarvaü  Bca_10.20c
mano me yadi durbalam  Bca_7.52d
manorathaþ ÷ubhakçtàü  Bca_7.42a
mano hantumamårtatvàn  Bca_6.52a
mantràdãnàmasàmarthyàn  Bca_9.12a
mantràþ siddhantu jàpinàm  Bca_10.40b
mantrairiva vimohitaþ  Bca_4.27b
mandavçtterna tatphalam  Bca_5.15b
mandàravendãvaramallikàdyaiþ  Bca_2.15a
mama ku÷alabalena pràptadivyàtmabhàvàþ  Bca_10.10c
mama jàtaþ kadàcana  Bca_7.36b
mama tàvadanena yàti vçddhiü  Bca_1.3a
mama ye pratyupasthitàþ  Bca_6.99b
mama saüsàraratiþ kathaü bhavet  Bca_4.34d
mamàtmasnehaduþsaham  Bca_8.92d
mamaite copakàriõaþ  Bca_6.49b
mayà kàryaü surakùitam  Bca_5.18b
mayà cànena copàttaü  Bca_6.108a
mayà tacca na sevitam  Bca_2.42d
mayànyaduþkhaü hantavyaü  Bca_8.94a
mayà pàpena nàyakàþ  Bca_2.31b
mayàpi ca yathà÷akti  Bca_4.3c
mayàpi pårvaü sattvànàm  Bca_6.42a
mayà bàlena måóhena  Bca_2.64a
mayàyaü sarvadehinàü  Bca_3.12b
mayà và pàlitasyaivaü  Bca_8.181a
mayà hi sarvaü jetavyam  Bca_7.55a
mayaivàtra kçto vighnaþ  Bca_6.103c
mayaivàmã hatà nanu  Bca_6.47d
mayaivaikena kartavyam  Bca_7.49c
mayaivaikena soóhavyà  Bca_2.41c
mayaiùa kriyate '¤jaliþ  Bca_5.23b
mayaiùa màno voóhavyo  Bca_7.55c
mayyaprasàdo yo 'nyeùàü  Bca_6.54a
maraõaü ÷ãghrameùyati  Bca_2.33d
maraõaü ÷ãghrameùyati  Bca_7.7b
maraõàjjàyate bhayam  Bca_8.17d
marmacchedàdivedanà  Bca_2.41d
malapaïkadharo nagnaþ  Bca_8.68c
mahatàmapi durjayaþ  Bca_7.53d
mahatà hi balena pàpakarma  Bca_1.35c
mahatkaõóvàdiduþkhaü ca  Bca_6.15c
mahatsvapi hi kçcchreùu  Bca_7.61a
mahadduþkhaü paratra ca  Bca_5.78d
mahàkàruõikàü÷càpi  Bca_2.27c
mahàkà÷yapamukhyai÷ca  Bca_9.52a
mahàkçpà màmanukampamànàþ  Bca_2.6d
mahàtràsajvaragrastaþ  Bca_2.45c
mahàduþkhakareùvapi  Bca_6.22b
mahàpakàriùvapi tena sarva-  Bca_6.120c
mahàpàyaprapàtane  Bca_9.162b
mahàpràj¤ai÷ca tatsutaiþ  Bca_4.3b
mahàyànaü bhavatsåtraiþ  Bca_9.50c
mahàyànàrthakovidam  Bca_5.102d
mahàyàne 'pi tàü kuru  Bca_9.43b
mahàrõavayugacchidra-  Bca_4.20c
mahàrthaü ca kariùyati  Bca_6.75b
mahàrhasiddhyai tu samudyatasya  Bca_4.39c
mahãdharà ratnamayàstathànye  Bca_2.3a
mahotsavasukhaü mayà  Bca_7.37b
mà ka÷cidduþkhitaþ sattvo  Bca_10.41a
màtàpitçùu và mayà  Bca_2.30b
mà tu cittaü kadàcana  Bca_5.22d
màna÷atruva÷à÷ca te  Bca_7.56d
mànasaü sukhamicchatà  Bca_6.91d
mànastabdhàstapasvinaþ  Bca_7.58b
mànaü tvàrabhya bhàvayet  Bca_7.46d
mànàccenna karomyetan  Bca_7.51c
mànàrthaü dàsatàü yànti  Bca_8.77c
mànã ÷atruva÷aü naiti  Bca_7.56c
mànuùamatidurlabhaü  Bca_4.20b
mànuùyaü nàvamàsàdya  Bca_7.14a
mànuùyaü labhyate punaþ  Bca_4.17b
mànuùye 'pi hatotsavàþ  Bca_7.57b
mànena durgatiü nãtà  Bca_7.57a
màno na÷yatu me varam  Bca_7.51d
mànonnatàstamanihatya na yànti nidràü  Bca_4.36d
mà pàpã mà ca rogitaþ  Bca_10.41b
mà bhåt ka÷cicca durmanàþ  Bca_10.41d
màbhåtteùàü kadàcana  Bca_10.3b
mà bhådandhamidaü jagat  Bca_3.5d
mà bhånme mçtyuraciràd  Bca_2.32c
mà mamàkùãõapàpasya  Bca_2.33c
màmàlambya kadàcana  Bca_3.14d
màmàlambya matirbhavet  Bca_3.15b
màmà÷ritya tu yàntyete  Bca_6.48c
màmevànye jugupsanti  Bca_8.21a
màmevànye pra÷aüsanti  Bca_8.21c
màyayà nirmitaü yacca  Bca_9.144a
màyà kenopalabhyate  Bca_9.15d
màyàtaþ ko vi÷eùo 'sya  Bca_9.143c
màyàdevãva nirvyathàþ  Bca_10.19d
màyàpuruùaghàtàdau  Bca_9.11a
màyàpyucchidyate na hi  Bca_9.14d
màyaiveyamato vimu¤ca hçdayatràsaü bhajasvodyamaü  Bca_4.47c
màyopamatve 'pi j¤àte  Bca_9.31a
màyopamàjjinàt puõyaü  Bca_9.9a
màrakarmavivarjitàþ  Bca_10.32d
màraõãyaþ kathaü chittvà  Bca_6.72a
màrayeyaü yato na tàn  Bca_5.11b
màritàþ sarva÷atravaþ  Bca_5.12d
màrite krodhacitte tu  Bca_5.12c
màrgamapyevamàdi÷et  Bca_5.94d
màrgàdau bhayabodhàrthaü  Bca_5.37a
mà hãnaþ paribhåto và  Bca_10.41c
màüsakardamasaüliptaü  Bca_8.52c
màüsapriyo 'hamasyeti  Bca_8.54a
màüsaü tvaü kathamicchasi  Bca_8.54d
màüsàsthi tyajatastasya  Bca_7.26c
màüsocchrayamimaü dçùñvà  Bca_8.47a
mitha÷chedanabhedanaiþ  Bca_9.156b
mithyàkalpanayà citte  Bca_7.27c
mithyeyaü pratikalpanà  Bca_8.98b
mukta÷cittamataïgajaþ  Bca_5.2d
mukta÷cetkimabhadrakam  Bca_6.72b
mukta÷cetkimabhadrakam  Bca_6.72d
muktàmayodbhàsivitànakeùu  Bca_2.10b
muktyarthina÷càyuktaü me  Bca_6.100a
muktvà taruõapaïkajam  Bca_8.57b
muktvà dharmaratiü ÷reùñhàm  Bca_7.15a
mukhakùiptavisçùñeùu  Bca_8.62c
mukhapåraü na bhu¤jãta  Bca_5.92a
mukhaü jàlikayàvçtam  Bca_8.44d
mukhyaü daõóàdikaü hitvà  Bca_6.41a
mucyantàü sarvabandhanàt  Bca_10.22b
mucyamàneùu sattveùu  Bca_8.108a
munikarabodhitàmbujavinirgatasadvapuùaþ  Bca_7.44c
mune÷cànyàrthakàriõaþ  Bca_8.130d
muùità yànti durgatim  Bca_5.27d
muhuþ pa÷yeccaturdi÷am  Bca_5.37b
muhårtamaparo ya÷ca  Bca_6.57c
måóha kàlo na nidràyà  Bca_7.14c
måóhàþ kàmavióambitàþ  Bca_8.77d
måtràde÷càpi garhitam  Bca_5.91d
mårkhà durdar÷anàþ kç÷àþ  Bca_7.57d
målàpattãrniråpayet  Bca_5.104d
mçgyamàõà svabhàvataþ  Bca_9.153d
mçgyamàõo vicàrataþ  Bca_9.75d
mçtaü duõóubhamàsàdya  Bca_7.52a
mçtàþ patantyapàyeùu  Bca_9.157a
mçte kasya ca tatsukham  Bca_6.92d
mçtpàtramàtravibhava÷  Bca_8.29a
mçtyugrasto 'maràkàra  Bca_7.13c
mçtyuduþkhaü tadaiva me  Bca_6.56d
mçtyuràcchidya nirdayaþ  Bca_5.67b
mçtyurvi÷rambhaghàtakaþ  Bca_2.34b
mçtyu÷abdo 'pi na÷yatu  Bca_10.33d
mçtyorvadanamàgataþ  Bca_7.4d
mçdàdyamedhyaliptatvàd  Bca_8.58a
mçdumandasvaraü vadet  Bca_5.79d
mçdvã ca vaidåryamayã  Bca_10.35c
mçnmardanatçõaccheda-  Bca_5.46a
merorapi yadàsaïgàn  Bca_4.31a
maitracittàþ parasparam  Bca_6.69d
maitrãmayebhyo 'pi nivedayàmi  Bca_2.18d
maitreyanàthaþ sudhanàya dhãmàn  Bca_1.14d
maitryà÷aya÷ca yatpåjyaþ  Bca_6.115a
mokùeõàrasikena kim  Bca_8.108d
mocayatyeva tànnaràn  Bca_4.7d
modantàü teùu dehinaþ  Bca_10.4d
mohàccennekùate lokaþ  Bca_9.137c
mohàdeke 'paràdhyanti  Bca_6.67a
mohàdduþkhaprapàtinàm  Bca_3.4d
mohànunayavidvaiùaiþ  Bca_2.39c
mohena duþkhinàmarthe  Bca_9.53c
mriyate caika eva hi  Bca_8.33b
mriyamàõo na ÷ocati  Bca_8.36d
yacca ÷akyaü na tadvetti  Bca_8.55c
yaccànumoditaü kiücid  Bca_2.29a
yaccintayanti te nàthàs  Bca_10.49c
yatastato vàstu bhayaü  Bca_9.57a
yatastannirgataü kàyàt  Bca_8.58c
yataþ punaþ saübhçta÷aktireti  Bca_4.45c
yataþ prabhçtyaparyanta-  Bca_1.18a
yataþ sukhenaiva sukhaü pravçddham  Bca_1.7c
yataþ svàdhikyavçddhaye  Bca_8.147b
yatirdhãro na khaõóyate  Bca_5.21d
yatetotsàhavçddhaye  Bca_7.32b
yato narakapàlàstvàü  Bca_6.89c
yato nivàryate yatra  Bca_5.107a
yato me 'naparàdhasya  Bca_6.106c
yatkàyacittàvasthàyàþ  Bca_5.108c
yatkiücijjagato duþkhaü  Bca_10.56a
yatkiücitpàpamàcitaü  Bca_2.64b
yatkçtaü dàruõaü pàpaü  Bca_2.31c
yatkheditàstanmunayaþ kùamantàm  Bca_6.124d
yattadàtmeti kalpitam  Bca_6.27b
yattaü rakùàmi netaram  Bca_8.96d
yatpañorekakasyàpi  Bca_5.15c
yatparàrthà÷ayo 'nyeùàü  Bca_1.25c
yatpratyayà ca tatràsthà  Bca_9.43a
yatpradhànaü kilàbhãùñaü  Bca_6.27a
yat prasàdàcca vardhata iti  Bca_10.58d
