Santideva: Bodhicaryavatara


Input by Richard Mahoney



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________





akasmÃnm­tyurÃyÃto  Bca_7.8c
nirvÃïÃrthi ca me mana÷  Bca_3.11b
nirvÃtukÃmÃæÓca jinÃn  Bca_3.5a
nirvÃsitasyÃpi tu nÃma Óatror  Bca_4.45a
nirvikalpyena cetasÃ  Bca_8.140d
nirvikÃrasya kÃ kriyÃ  Bca_6.29d
nirv­ta÷ paramÃrthena  Bca_9.13c
nirv­tÃnirv­tÃnÃæ ca  Bca_9.151c
nirvyÃpÃraÓca tatrÃtmety  Bca_9.72c
nivÃraïagati÷ kuta÷  Bca_9.161d
niÓcayaæ kuru me mana÷  Bca_8.137b
niÓcalÃdapi te trÃsa÷  Bca_8.48a
niÓce«ÂÃ na ca devatÃ÷  Bca_9.120b
niÓce«ÂÃnyena cÃlyate  Bca_8.178b
ni«iddhamapyanuj¤Ãtaæ  Bca_5.84c
ni«Ådantu svaÓobhÃmir  Bca_10.36c
ni«karmÃ sa sukhÅ katham  Bca_7.63d
ni«k­ti÷ kÃ parÃ bhavet  Bca_6.119d
ni«phalÃ netravik«epÃ  Bca_5.35a
ni«phalÃrambhi vÃ mana÷  Bca_5.54b
nihanmi svÃrthaceÂaæ tvÃæ  Bca_8.172c
ni÷kleÓasyÃpi karmaïa÷  Bca_9.46d
ni÷ÓabdasaumyavanamÃrutavÅjyamÃnai÷  Bca_8.86c
ni÷Óabdo nibh­taÓcaran  Bca_5.73b
ni÷Óe«ÃkÃÓavÃsinÃæ  Bca_3.20b
ni÷sari«yÃmi vÃ kathaæ  Bca_2.60b
ni÷sareyaæ tata÷ katham  Bca_2.63d
nÅcaæ karma karotyanya÷  Bca_7.51a
nÅcairanyo 'yamuccakai÷  Bca_8.160b
nÅco 'haæ kila nirguïa÷  Bca_8.142d
nÅtaæ tu parakarmaïÃ  Bca_8.75d
nÅyamÃnamadho hriyÃ  Bca_8.44b
nÅyamÃno viÓu«yati  Bca_2.44b
nÅlatve 'nyamapek«ate  Bca_9.19d
nÅlameva hi ko nÅlaæ  Bca_9.21a
n­he nidhirivotthita÷  Bca_6.107b
netarÃrthaæ tyajecchre«ÂhÃm  Bca_5.83c
nendriye«u na rÆpÃdau  Bca_9.103a
ne«Âaæ jale sthale bhogye  Bca_5.91c
ne«yate vi«abhÃgaÓca  Bca_8.9c
naikayÃ'nyastriyÃ kuryÃd  Bca_5.93a
naikasya sarvasÃmarthyaæ  Bca_9.13a
naiva prakÃÓyate dÅpo  Bca_9.19a
naivÃntarna bahi÷ kÃya÷  Bca_9.83a
naivÃvasÃda÷ kartavya÷  Bca_7.17a
-naivÃsya karuïÃ jane  Bca_8.146b
naiveha prati«idhyate  Bca_9.26b
naivotsÃho 'sya dÃtavyo  Bca_8.166a
nai«Ãmahaæ svado«eïa  Bca_4.13c
notpannapÆrva÷ svapne 'pi  Bca_1.24c
nodaraæ nÃpyayaæ p­«Âhaæ  Bca_9.79c
nodÃradharmapÃtraæ ca  Bca_5.90a
nodyogo me kevalaæ mandabuddhe÷  Bca_4.46c
nopasarpeyurantikam  Bca_8.31d
nora÷ sphuÂati me katham  Bca_7.34d
norÆ kÃya÷ kaÂirna ca  Bca_9.79b
noro bÃhÆ na cÃpi sa÷  Bca_9.79d
no«mÃ vÃyurahaæ na ca  Bca_9.60b
nauyÃnayÃtrÃrÆ¬hÃÓca  Bca_10.24a
nyakvÃra÷ paru«aæ vÃkyam  Bca_6.53a
pak«ibhya÷ sarvav­k«ebhyo  Bca_10.37a
pak«imatsyam­gÃn hanti  Bca_8.122c
paÇktisenÃdivanm­«Ã  Bca_8.101b
paÂÃdestu sukhÃdi syÃt  Bca_9.132a
paÂÃrgheïaiva karpÃsa-  Bca_9.137a
paï¬itatvÃnna durmanÃ÷  Bca_7.27b
paï¬itÃnanuyÃmyaham  Bca_8.185b
paï¬itÃn vijigÅ«ate  Bca_8.146d
paï¬itÃ÷ satk­tÃ÷ santu  Bca_10.46a
patati sutaptalohadharaïÅ«vaÓubhairbahuÓa÷  Bca_7.45d
patatu kamalav­«ÂirgandhapÃnÅyamiÓrÃc  Bca_10.12a
patatyeva tathÃ tathÃ  Bca_8.174d
patitasakalamÃæsÃ÷ kundavarïÃsthidehÃ  Bca_10.10a
padmanÃlÃdibhedo hi  Bca_9.117c
paracak«urnipÃtebhyo  Bca_8.46a
paracittavikalpo 'sau  Bca_9.108a
paracodanadak«ÃïÃm  Bca_5.74a
paratra ca mahatsukham  Bca_5.78b
paratvamapi cÃtmani  Bca_8.140b
paratvaæ tu svakÃyasya  Bca_8.112c
paradu÷khaÓamÃya ca  Bca_8.136b
paradu÷khasamapriyÃ÷  Bca_8.107b
paradu÷khe niyojaya  Bca_8.161b
parapaæsanameva ca  Bca_5.50b
parapiï¬ÃÓino dÃsÃ  Bca_7.57c
paraÓoïitamapyeke  Bca_6.17c
paraÓramak­tairguïai÷  Bca_5.77d
parasaukhyamapÅcchasi  Bca_6.79b
parasparaviruddhÃbhir  Bca_5.56a
para÷ karotyayaæ neti  Bca_8.160c
para÷ kila mayi prÅta  Bca_6.94c
parÃtmaparivartanam  Bca_7.16d
parÃtmaparivartanam  Bca_8.120d
parÃtmasamatÃ caiva  Bca_7.16c
parÃtmasamatÃmÃdau  Bca_8.90a
parÃdÃnaæ ca bhÃvayet  Bca_8.113d
parÃnapi guïodadhÅn  Bca_8.113b
parÃn g­hïÃmi cÃtmavat  Bca_8.136d
parÃyatta÷ prasajyate  Bca_9.126b
parÃyattÃprasÃdatvÃd  Bca_6.63a
parÃyaÓaskare 'pyevaæ  Bca_6.62c
parÃrÃdhanatatparam  Bca_5.55d
parÃrtharÆk«aæ svÃrthÃrthi  Bca_5.52a
parÃrthaæ tvenamÃj¤apya  Bca_8.128c
parÃrthaæ sarvasaæpada÷  Bca_8.126d
parÃrthe devarÃjatÃ  Bca_8.125d
parÃrthe saæbhava÷ kuta÷  Bca_1.24d
parÃrthaikÃntat­«ïayÃ  Bca_8.109d
parÃrtho vÃ k­to mayÃ  Bca_6.74d
parÃvarjanamuttamam  Bca_6.77d
parÃv­tyeva p­«Âhata÷  Bca_5.37d
parig­hïantu madvidhÃ÷  Bca_9.155b
parigraharak«aïakhedamukta÷  Bca_8.87c
parigrahaæ me kurutÃgrasattvÃ÷  Bca_2.8c
parigraheïÃsmi bhavatk­tena  Bca_2.9a
paritapya vicintayet  Bca_7.72b
paritrÃyata satvaraæ  Bca_2.33b
paripanthaæ ca ti«Âhati  Bca_8.122d
paribhok«ye sukhotsavam  Bca_8.152d
parivartamakurvata÷  Bca_8.131d
parivÃrÃrthi vÃ puna÷  Bca_5.51b
pariÓrÃntÃ÷ kukÃmina÷  Bca_8.73b
pari«atkÃmameva vÃ  Bca_5.52b
parihÃra÷ kathaæ bhavet  Bca_6.37d
parebhyo hitamÃcara  Bca_8.139d
parebhyo hitamÃcara  Bca_8.159d
pare«vapak­taæ tvayÃ  Bca_8.165b
pare«vapi tathÃtmatvaæ  Bca_8.115c
parok«aæ ca guïÃn brÆyÃd  Bca_5.76a
paropadravakÃritÃ  Bca_6.39b
parvÃpi svÃæÓabhedata÷  Bca_9.86d
par«acchÃradyabhayamapy  Bca_8.118c
palÃyante caturdiÓaæ  Bca_2.53b
paÓorghÃsalavagraha÷  Bca_8.80d
paÓcÃttÃpÃnalaÓcittaæ  Bca_4.25c
paÓcÃttÃpena tÃpita÷  Bca_2.29d
paÓyantvenaæ bhavanta÷ suraÓatamukuÂairarcyamÃnÃÇghripadmaæ  Bca_10.14a
paÓya majjÃnamantata÷  Bca_5.63b
paÓyÃmo muditÃstÃvac  Bca_8.150a
paÓyetsÆtrasamuccayam  Bca_5.106b
pÃÂhasvÃdhyÃyakalilÃ  Bca_10.42a
pÃï¬ityena mana÷ sukhi  Bca_7.28b
pÃtayÃsyaiva mastake  Bca_8.162b
pÃdadu÷khaæ na hastasya  Bca_8.99c
pÃdo 'pi kataro bhavet  Bca_9.86b
pÃpakÃrisukhecchÃ tu  Bca_7.43a
pÃpak«ayaratÃ÷ sadÃ  Bca_10.45b
pÃpak«ayaæ ca puïyaæ ca  Bca_6.60a
pÃpacittasamudbhÆtaæ  Bca_5.8a
pÃpapuïyasamudbhava÷  Bca_9.11d
pÃpamanyatprasÆyate  Bca_4.22d
pÃpameva kuta÷ Óubhaæ  Bca_4.17d
pÃpaæ k­tamanekadhÃ  Bca_2.35b
pÃpaæ cÃpyupacinvata÷  Bca_4.19b
pÃpaæ tu sthÃsyati dhruvam  Bca_6.55d
pÃpÃtkÃye yato vyathÃ  Bca_7.27d
pÃpÃtkÃ sugatau kathÃ  Bca_4.21d
pÃpÃddu÷khaæ ca vardhate  Bca_7.48b
pÃpÃdbhÅtirjine sp­hÃ  Bca_6.21d
pÃpÃni yannirdahati k«aïena  Bca_1.14b
pÃpÃni vividhÃni ca  Bca_6.25b
pÃpairÃtmasukhecchava÷  Bca_9.156d
pÃramparyeïa sÃk«ÃdvÃ  Bca_5.101a
pÃrepsÆnÃæ ca naubhÆta÷  Bca_3.17c
pÃlanÅyÃ mayÃtmavat  Bca_8.90d
pitarÃvapi mÃrayet  Bca_8.123b
pitÃ cenna vinÃ putrÃt  Bca_9.114a
pittÃdi«u na me kopo  Bca_6.22a
pipÃsito dÅnad­«Âir  Bca_2.44c
pÅ¬ÃpyaÇgÅk­tÃ mayÃ  Bca_8.144d
pÅ¬itÃnÃmanekaÓa÷  Bca_1.29b
puïyakÃriïamÃlokya  Bca_5.75c
puïyak«ayaÓca pÃpaæ ca  Bca_6.60c
puïyamekaæ tadÃ trÃïaæ  Bca_2.42c
puïyameghasamudbhÆtai÷  Bca_9.167c
puïyavighnaæ kari«yati  Bca_4.9b
puïyavighna÷ k­to 'nenety  Bca_6.102a
puïyasaæbhÃramÃdarÃt  Bca_9.168d
puïyahetÃvupasthite  Bca_6.103d
puïyaæ vÃ tÃd­Óaæ kuta÷  Bca_1.30d
puïyÃtmoddÃhaÓaÇkayÃ  Bca_6.71d
puïyÃm­tai÷ kathaæ t­ptir  Bca_7.64c
puïyena kÃya÷ sukhita÷  Bca_7.28a
putradÃrÃæstadarthina÷  Bca_8.74d
putrÃbhÃve pitÃ nÃsti  Bca_9.114c
punarapye«a samÃgama÷ kuta÷  Bca_1.4d
punarutpadyate rati÷  Bca_8.64d
punarme na bhavediti  Bca_7.72d
punaÓca k«aïadaurlamyaæ  Bca_9.163a
punaÓca ma¤jugho«Ãya  Bca_2.50c
puna÷ kartuæ parityajet  Bca_7.66b
puna÷ p­«Âhasya pu«Âyarthaæ  Bca_3.24c
puna÷ saæmohamÃgata÷  Bca_2.47b
puna÷ sÅdÃmi mohita÷  Bca_4.24b
purata÷ khalu sarvatÃyinÃm  Bca_3.33c
pura÷ paÓcÃnnirÆpya ca  Bca_5.38b
purÃ d­«Âamad­«Âaæ vÃ  Bca_8.44c
purÅ«otsargave«Âita÷  Bca_2.45d
puru«atvaæ vrajantu tÃ÷  Bca_10.30b
pu«ïÃti yastvayÃ po«yaæ  Bca_6.82a
pu«paratnÃdivar«ÃÓca  Bca_2.21c
puæsÃmaikyaæ prasajyate  Bca_9.67d
pÆjayatyarthamÃnairyÃn  Bca_6.4a
pÆjayanti yathÃ jinÃn  Bca_2.22b
pÆjayantu jagadgurum  Bca_10.38d
pÆjÃmeghÃ manoramÃ÷  Bca_2.20b
pÆjÃmeghairanantaiÓca  Bca_10.38c
pÆjÃrthamanyanmama nÃsti kiæcit  Bca_2.7b
pÆjÃvimÃnÃ÷ sugataprapÆrïÃ÷  Bca_10.8d
pÆjÃæ karomye«a tathÃgatÃnÃæ  Bca_2.1b
pÆjito 'hamayaæ na tu  Bca_8.149d
pÆjyantÃæ sarvasaæbuddhÃ÷  Bca_10.48a
pÆjyamÃnÃ÷ sagauravai÷  Bca_10.50d
pÆjya÷ saddharmavanmayÃ  Bca_6.111d
pÆrvameva m­to loke  Bca_8.36c
pÆrvavatpratyayotpÃdaæ  Bca_6.65c
pÆrvavad bÃdhyate t­«Ã  Bca_8.6d
pÆrvahetuprabhÃvata÷  Bca_9.118d
pÆrvahetuprabhedata÷  Bca_9.118b
pÆrvaæ ca pÃpaæ samatikramÃmi  Bca_2.9c
pÆrvaæ tÃvadidaæ cittaæ  Bca_5.34a
pÆrvaæ nirÆpya sÃmagrÅm  Bca_7.47a
pÆrvaæ paÓcÃcca jÃtena  Bca_9.101a
pÆrvÃnubhÆtana«Âebhya÷  Bca_2.61a
pÆrvÃbhÃ«Å jagatsuh­t  Bca_5.71d
p­thak p­thaggami«yanti  Bca_8.32c
p­thivyÃdÅni bhÆtÃni  Bca_3.20a
p­«Âhato 'navalokayan  Bca_8.27d
paurvikeïa mamÃdhunÃ  Bca_7.39b
'pyÃsÅdyatparirak«itam  Bca_8.46b
prakÃmaæ saæpari«vajya  Bca_8.43c
prakÃÓaya mahÃmune÷  Bca_8.162d
prakÃÓÃ vÃprakÃÓÃ vÃ  Bca_9.23a
prakupyanti prah­«yanti  Bca_9.155c
prak­timaraïadu÷khitÃndhakÃrÃn  Bca_4.37a
prak­tiripÆnupahantumudyatasya  Bca_4.38b
prak­tyÃ du÷khasaævÃsai÷  Bca_8.23c
prak­tyÃ parinirv­tÃ÷  Bca_9.104d
prak­tyÃ yacca sÃvadyaæ  Bca_2.64c
prak«iptaÓca bhaye 'pyÃtmÃ  Bca_8.42a
pragalbhaæ mukharaæ tathÃ  Bca_5.53b
praj¤aptyÃvadyameva ca  Bca_2.64d
praj¤ÃrÆpaæ kulaæ dhanam  Bca_8.151d
praj¤Ãrthaæ kimakÃï¬a eva narake«vÃtmÃnamÃbÃdhase  Bca_4.47d
praj¤Ãrthaæ hi munirjagau  Bca_9.1b
praj¤ÃÓastreïa mocaya  Bca_5.62d
praïÃmai÷ praïamÃmyahaæ  Bca_2.24b
praïipatya puna÷ puna÷  Bca_2.65d
praïipatyÃdarato 'khilÃæÓca vandyÃn  Bca_1.1b
pratikurvÅta satvaram  Bca_7.71d
pratig­hïantu nÃyakÃ÷  Bca_2.66b
pratigha÷ pratihanti tat  Bca_6.1d
pratij¤Ãya mahÃtmÃpi  Bca_4.41c
pratij¤ÃyÃpi yujyate  Bca_4.2d
pratipak«eïa tatsadÃ  Bca_5.54d
pratipak«otthameva ca  Bca_5.81b
pratipak«o 'sya bhÃvyate  Bca_9.93b
pratipak«o hi ÓÆnyatÃ  Bca_9.55b
pratibaddho na kasyacit  Bca_8.88b
pratibimbasame tasmin  Bca_9.145c
pratimÃstÆpasaddharma-  Bca_6.64a
pratilabdhÃ puru«ÃrthasÃdhanÅ  Bca_1.4b
pratÅkÃracikÅr«ayÃ  Bca_8.122b
pratÅcchanto jayantyarÅn  Bca_6.20b
pratÅcchan puïyasÃgarÃn  Bca_7.29b
pratÅcchecchirasÃ vÃkyaæ  Bca_5.74c
pratÅtyotpadyate k«amÃ  Bca_6.111b
pratyak«amapi rÆpÃdi  Bca_9.6a
pratyayasyÃsti kutracit  Bca_9.13b
pratyayÃnÃmanucchede  Bca_9.14c
pratyayÃnÃæ tu vicchedÃt  Bca_9.15a
pratyayÃntarayuktasya  Bca_9.25a
pratyayÃntarasaÇge 'pi  Bca_6.29c
pratyaye«u vyavasthitam  Bca_9.142d
pratyavek«Ã muhurmuhu÷  Bca_5.108d
pratyavek«yaæ tathÃ mana÷  Bca_5.41b
pratyekabuddhÃ÷ sukhino  Bca_10.50a
pratyekaæ te 'pi hi tridhÃ  Bca_9.129d
pradÃsyasi na saæÓaya÷  Bca_8.171d
pradhÃnamiti kathyante  Bca_9.128c
pradhÃrayÃmye«a mahÃmunÅnÃæ  Bca_2.19c
pradhÆpitairdhautamalairatulyair  Bca_2.12a
prapÃte dÅrghakÃlike  Bca_2.58d
prapÃte«vitare«vapi  Bca_2.58b
prabhojjvalÃnsarvamunÅndrakÃyÃn  Bca_2.14d
pramattasyÃpyanekaÓa÷  Bca_1.19b
pramattena mayÃ nÃthÃ  Bca_2.43c
pramathnÃti mahÃjanam  Bca_6.128b
pramadÃjanamadhye 'pi  Bca_5.21c
pramÃïamapramÃïaæ cen  Bca_9.139a
pramÃdÃdÃtmanÃtmÃnaæ  Bca_6.35a
pramukhÃnÃv­tabodhisattvameghÃn  Bca_10.15b
prayati«ye damÃya ca  Bca_8.39d
pralambapÃdaæ nÃsÅta  Bca_5.92c
pralambamuktÃmaïihÃraÓobhÃn  Bca_2.18a
pravartante nabha÷samÃ÷  Bca_1.19d
pravartasvÃvicÃrata÷  Bca_8.156b
pravarttantÃæ nirantaram  Bca_2.21d
pravÃsakleÓadu÷khitÃ÷  Bca_8.74b
pravi«Âo janmavÃgurÃm  Bca_7.4b
prav­ttÃ nanu te mama  Bca_6.99d
prav­tte«vÃtmaghÃtane  Bca_6.38b
pravrajyÃvighna ucyate  Bca_6.105d
pra«ÂukÃmaÓca kiæcana  Bca_10.53b
prasannÃn svaguïÃnatha  Bca_6.85b
prasarpati yathÃ tanau  Bca_7.69b
prasavatyeva tu bodhicittav­k«a÷  Bca_1.12d
prasavettasya tato 'dhikaæ phalaæ  Bca_1.35b
prasÃdaæ k«obhayedbudha÷  Bca_6.19b
prasiddhiriva sÃ m­«Ã  Bca_9.6d
prasiddhyÃ na pramÃïata÷  Bca_9.6b
prasÆyante striyo 'nye«Ãm  Bca_8.76c
prah­«ÂÃn kiæ na bÃdhate  Bca_9.89b
prÃgavaÓyaæ niyogata÷  Bca_5.96d
prÃptamÃrÃdhayet priyai÷  Bca_8.15b
prÃpnuyÃæ sarvajÃti«u  Bca_10.52d
prÃpnuvantu ca tÃæ nÅcÃ  Bca_10.30c
prÃpnotyabhimataæ kÃryam  Bca_5.73c
prÃpyÃvatÃraæ mu«ïÃti  Bca_5.28c
prÃmodyaæ cirajÅvitam  Bca_6.134b
prÃyastulyaæ na kiæ matam  Bca_9.50d
prÃrthayÃmi k­tÃ¤jali÷  Bca_3.4b
prÃsÃdikatvamÃrogyaæ  Bca_6.134a
priyasaægamakÃÇk«ayÃ  Bca_8.7d
priyÃïÃmÃtmano vÃpi  Bca_6.11c
priyÃïÃæ cÃpakÃri«u  Bca_6.65b
priyÃpriyanimittena  Bca_2.35a
priyo me na bhavi«yati  Bca_2.37b
prÅtirÃtmani jÃyate  Bca_6.97b
prÅtirevÃtra yujyate  Bca_6.75d
prerake yadi kupyate  Bca_6.41b
protsÃraïamahÃravi÷  Bca_3.31b
phalasyÃdi÷ kuto bhavet  Bca_9.123d
phalaæ kasya bhavi«yati  Bca_9.71d
phalaæ hetau yadi sthitam  Bca_9.136d
phalÃrgheïÃbhipÆjyate  Bca_7.42d
phalÃÓÃ na ca jÃyate  Bca_8.116d
phalena saha sarvasva-  Bca_5.10a
bako bi¬ÃlaÓcauraÓca  Bca_5.73a
baddhamÃrgasya sarvata÷  Bca_7.6b
baddhamutpadyate puna÷  Bca_9.49b
baddhavairaÓca vigrahÅ  Bca_4.43b
baddhaÓceccitamÃtaÇga÷  Bca_5.3a
bandhumadhye 'pi ti«ÂhatÃ  Bca_2.41b
bandhÆn nirÃÓÃn saæpaÓyan  Bca_7.9c
bandhÆnparicitÃæstathÃ  Bca_2.62b
balanÃÓÃnubandhe tu  Bca_7.66a
balaæ tu pÃpasya mahatsughoraæ  Bca_1.6b
balaæ sattvÃrthasiddhaye  Bca_7.31b
balina÷ kleÓaÓatrava÷  Bca_4.31d
balÅyasÃbhibhÆtatvÃd  Bca_9.90a
bahavaÓca yaÓasvina÷  Bca_8.20b
bahava÷ svaparÃtmano÷  Bca_7.35b
bahavo lÃbhino 'bhÆvan  Bca_8.20a
bahukhedamacintayan  Bca_8.170d
bahunÃ vÃ kimuktena  Bca_8.130a
bahu pÃpamupÃrjitam  Bca_2.43d
bahubhi÷ kiæ mama vratai÷  Bca_5.18d
bahumÆlyaæ jagadekasÃrthavÃhai÷  Bca_1.11b
bahusaukhyaÓatÃni bhoktukÃmair  Bca_1.8c
bahÆnÃmekadu÷khena  Bca_8.105a
bahÆnÃæ du÷khinÃæ vyayÃt  Bca_8.106d
bahvamedhyamayaæ kÃyam  Bca_8.60c
bÃdhante kaïÂakÃdibhi÷  Bca_6.35b
bÃdhÃ kasya kuto bhavet  Bca_9.98d
bÃdhÃ tatkena rak«yate  Bca_8.97d
bÃdhyante dhÅviÓe«eïa  Bca_9.4a
bÃlÃddÆraæ palÃyeta  Bca_8.15a
bÃlecchÃbhirakheditam  Bca_5.56b
bÃlai÷ sabhÃgacarito  Bca_8.9a
bÃhyÃ bhÃvÃ mayÃ tadvac  Bca_5.14a
bÅjamastÅti gamyate  Bca_9.116b
bÅjaæ krÅtvÃ nivasyatÃm  Bca_9.137b
bÅjaæ tenaiva sÆcyate  Bca_9.115b
buddhatvaæ me bhavi«yati  Bca_5.80d
buddhadharmÃgamÃæÓena  Bca_6.116a
buddhadharmÃgame same  Bca_6.113b
buddhadharmodayÃæÓastu  Bca_6.118a
buddhaputro 'smi sÃmprataæ  Bca_3.25d
buddhapÆjÃ viÓi«yate  Bca_1.27b
buddhaprasÃdÃdyatpuïyaæ  Bca_6.115c
buddhabuddhasutairnityaæ  Bca_10.38a
buddhabuddhÃtmajÃkÅrïÃ  Bca_10.34c
buddhamÃhÃtmyameva tat  Bca_6.115d
buddhaæ gacchÃmi Óaraïaæ  Bca_2.26a
buddhÃtmajÃnÃæ ca guïodadhÅnÃæ  Bca_2.1d
buddhÃdÅnÃæ na hi byathÃ  Bca_6.64d
buddhÃdyanusm­tiæ cÃsya  Bca_8.37c
buddhÃdhi«ÂhÃnata iva  Bca_6.101c
buddhÃnubhÃvena tathÃ kadÃcil-  Bca_1.5c
buddhÃnusm­tirapyevaæ  Bca_5.32c
buddhÃÓca bodhisattvÃÓca  Bca_5.31a
buddhi÷ prakÃÓata iti  Bca_9.22c
buddhi÷ saæv­tirucyate  Bca_9.2d
buddheragocarastattvaæ  Bca_9.2c
buddhai÷ parig­hÅtÃÓca  Bca_10.32c
buddhotpÃdo 'tidurlabha÷  Bca_9.163b
buddho 'pi saæsaredevaæ  Bca_9.14a
bodhicaryÃnurÆpyeïa  Bca_9.38a
bodhicaryÃparÃyaïÃ÷  Bca_10.32b
bodhicaryÃvatÃraæ me  Bca_10.1a
bodhicaryÃ vibhÆ«aïÃ÷  Bca_10.1d
bodhicaryÃsahÃyatvÃt  Bca_6.107c
bodhicittajinÃÓrayÃt  Bca_5.98d
bodhicittabalÃdeva  Bca_7.29c
bodhicittabalena ca  Bca_4.11b
bodhicittarathaæ prÃpya  Bca_7.30c
bodhicittaæ kutastasya  Bca_6.83c
bodhicittaæ jagaddhite  Bca_3.23b
bodhicittaæ jinÃtmaja÷  Bca_4.1b
bodhicittaæ tu bhÃvayet  Bca_8.89d
bodhicittaæ purÃtanai÷  Bca_3.22b
bodhicittaæ prasÃdata÷  Bca_3.24b
bodhicittaæ mamoditaæ  Bca_3.27d
bodhicittaæ samutpÃdya  Bca_6.80a
bodhicittÃvirahitÃ  Bca_10.32a
bodhipraïidhicittasya  Bca_1.17a
bodhipraïidhicittaæ ca  Bca_1.15c
bodhiprasthÃnameva ca  Bca_1.15d
bodhirityÃgamo yata÷  Bca_9.41d
bodhisattvagaïaæ tathÃ  Bca_2.26d
bodhisattvagaïaæ tathÃ  Bca_2.49d
bodhisattvatvabuddhatvam  Bca_3.2c
bodhisattvamahÃpar«an-  Bca_10.36a
bodhisattvamahÃmegha-  Bca_10.5c
bodhisattvavratadharaæ  Bca_5.102c
bodhisattvaÓubhai÷ sarvair  Bca_10.56c
bodhisattvasukhaæ prÃptuæ  Bca_10.3c
bodhisattvasya tenaivaæ  Bca_4.8a
bodhisattva÷ kimucyatÃæ  Bca_1.31d
bodhisattvÃnk­tÃ¤jali÷  Bca_2.27d
bodhisattvÃÓrayÃæstathÃ  Bca_2.25b
bodhisattve 'pi nirv­te  Bca_9.38d
bodhiæ kiæ nÃpnuyÃmaham  Bca_7.19d
bauddhaæ saæpatsukhaæ muktvÃ  Bca_8.157c
byÃghrÃ÷ siæhÃ gajÃ ­k«Ã÷  Bca_5.4a
bratasthÃn saævibhajya ca  Bca_5.85b
brahmaïÃæ vÃ bhavi«yati  Bca_1.23d
bruvannunmattakastadÃ  Bca_4.42b
brÆma÷ kame«u nirdo«aæ  Bca_6.67c
bhaktacchedÃdibhi÷ kopÃd  Bca_6.35c
bhadrakaæ nÃma tadvastu  Bca_8.177c
bhayamastaæ gataæ sarvaæ  Bca_5.3c
bhayamutpadyate mahat  Bca_8.64b
bhayaæ kasya bhavi«yati  Bca_9.57d
bhayaæ du÷khaæ ca na priyam  Bca_8.96b
bhayaæ nÃÓayata drutam  Bca_2.54d
bhayÃni vividhÃni ca  Bca_7.41b
bhayotsavÃdisaæbandhe  Bca_5.42a
bhavacÃrakapÃlakÃ ime  Bca_4.35a
bhavacÃrakabandhano varÃka÷  Bca_1.9a
bhavati mama vi«Ãdadainyamadya  Bca_4.38c
bhavati smodita eva bodhicitte  Bca_1.9d
bhavatu kamalapÃïerdarÓanaæ nÃrakÃïÃm  Bca_10.12d
bhavatyavirataæ jagat  Bca_10.3d
bhavatyahamiti j¤Ãnam  Bca_8.111c
bhavadu÷khaÓatÃni tartukÃmair  Bca_1.8a
bhavanti ripava÷ k«aïÃt  Bca_8.10b
bhavantu karuïÃvi«ÂÃ  Bca_10.40c
bhavantu rÆpasaæpannÃ  Bca_10.29c
bhavantu ÓuddhasaætÃnÃ÷  Bca_10.46c
bhavantu ÓrÃvakÃstathÃ  Bca_10.50b
bhavantu saæghÃtamahÅdharÃÓca  Bca_10.8c
bhavantu sukhina÷ pretÃ  Bca_10.17c
bhavantu h­dyÃ÷ narakapradeÓÃ÷  Bca_10.7d
bhavantyÃpattikaÓmalÃ÷  Bca_5.26d
bhavantvak«ayakoÓÃÓca  Bca_10.28a
bhavantvakhaï¬aÓÅlÃÓca  Bca_10.44c
bhavÃdhvabhramaïaÓrÃnto  Bca_3.29c
bhavetkalpÃrïavairna vÃ  Bca_7.35d
bhavettasya muhurmuhu÷  Bca_5.32d
bhavetsatatamutthita÷  Bca_5.84b
bhavedabhibhavedvyathÃm  Bca_6.18d
bhavedd­pta÷ sahasraÓa÷  Bca_7.60b
bhavenmamÃÓayaguïo  Bca_6.50a
bhave bahuprapÃtaÓca  Bca_9.158a
bhaveyamupajÅvyo 'haæ  Bca_3.21c
bhaveyaæ kalpav­k«aÓca  Bca_3.19c
bhaveyaæ pÃnabhojanam  Bca_3.8d
