Kalidasa: Raghuvamsa
Based on the ed. by A. Scharp‚: Kalidasa Lexicon, Vol. 1,
Brugge 1964
(Rijksuniversiteit te Gent, Werken uitgegeven door de 
Faculteit van de Letteren en Wijsbegeerte, 134)


Input by N.N.



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akarot pçthivãruhàn api  Ragh_8.70c
arhaõàm arhate cakrur  Ragh_1.55c
alakàbharaõaü kathaü nu tat  Ragh_8.62c
alakeùu camåreõu÷  Ragh_4.54c
alakùitàbhyutpatano nçpeõa  Ragh_2.27c
alakùyata sa bandibhiş  Ragh_17.15b
alam uddyotayàm àsur  Ragh_10.81c
alaü prayatnena tavàtra mà nidhàş  Ragh_3.50c
alaü mahãpàla tava ÷rameõa  Ragh_2.34a
alaü syàtàü na ÷çõvatàm  Ragh_15.64d
alaü hriyà màü prati yan muhårtaü  Ragh_5.58a
alikadambakayogam upeyuùã  Ragh_9.44b
alibhir a¤janabindumaoharaiş  Ragh_9.41a
alpapramàõe 'pi yathà na mithyà  Ragh_18.42b
alpasya hetor bahu hàtum icchan  Ragh_2.47c
alpetaratvàc chrutaniùkrayasya  Ragh_5.22d
avakà÷aü kilodanvàn  Ragh_4.58a
avagacchati måóhacetanaş  Ragh_8.88a
avagacchati måóhacetanaş  Ragh_8.89a
avagraha ivàntare  Ragh_12.29d
avagrahavi÷oùiõàm  Ragh_1.62d
avajànàsi màü yasmàd  Ragh_1.77a
avatàra ivàïgabhàk  Ragh_10.85d
avatàry' àïka÷ayyàsthaü  Ragh_15.42c
avanim ekarathena varåthinà  Ragh_9.11a
avantinàtho 'yam udagrabàhur  Ragh_6.32a
avandhyayatnà÷ ca babhåvur arbhake  Ragh_3.29c
avabhçtaprayato niyatendriyaş  Ragh_9.18a
avarodhe mahaty api  Ragh_1.32b
avasthàs tvam avikriyaş  Ragh_10.17d
avasthàü pratipadyase  Ragh_10.19b
avàkiran bàlalatàş prasånair  Ragh_2.10c
avàkiran vayovçddhàs  Ragh_4.27a
avàïmanasagocaram  Ragh_10.15d
avàïmukhasy'opari puùpavçùñiş  Ragh_2.60c
avàptavàn asmi mataïgajatvam  Ragh_5.53b
avàpya yaş kùatriyakàlaràtrim  Ragh_6.42b
avàryatevotthitavãcihastair  Ragh_14.51c
avighnam astu te stheyàş  Ragh_1.90c
avij¤àtaparasparaiş  Ragh_17.51b
avidhàya vivàhasatkriyàm  Ragh_8.61c
avekùya dhàtor gamanàrtham arthavic  Ragh_3.21c
avekùya ràmaü te tasmin  Ragh_15.3a
avehi gandharvapates tanåjaü  Ragh_5.53c
avehi màü kàmadughàü prasannàm  Ragh_2.63d
avehi màü kiükaram aùñamårteş  Ragh_2.35c
avehi màü prãtam çte turaügamàt  Ragh_3.63c
avaimi kàryàntaramànuùasya  Ragh_16.82a
avaimi cainàm anagheti kiü tu  Ragh_14.40a
avocad enaü gangaspç÷à raghuş  Ragh_3.43c
avyakto vyaktakàraõam  Ragh_10.18d
avyàkùepo bhaviùyantyàş  Ragh_10.6c
avyàhataiş svairagataiş sa tasyàş  Ragh_2.5c
a÷aniş kalpita eùa vedhasà  Ragh_8.47b
a÷apad bhava mànuùãti tàü  Ragh_8.80c
a÷ikùatàstraü pitur eva mantravat  Ragh_3.31b
a÷ånyatãràü munisaünive÷ais  Ragh_14.76a
aùñadàsadvãpanikhàtayåpaş  Ragh_6.38b
aùñamaü kulabhåbhçtàm  Ragh_17.78d
asakçd ekarathena tarasvinà  Ragh_9.21a
asaktaş sukham anvabhåt  Ragh_1.21d
asaïgam adriùv api sàravattayà  Ragh_3.63a
asajjanena kàkutsthaş  Ragh_12.46a
asama÷okam a÷okalatà 'karot  Ragh_9.42*d
asamàptavidhir yato munis  Ragh_8.76a
asamàpya vilàsamekhalàü  Ragh_8.64c
asambhàsam abhàsayad ã÷varaş  Ragh_9.17d
asahyapãóaü bhagavann  Ragh_1.71a
asahyam àghràya madaü tadãyam  Ragh_5.48b
asaü÷ayaü pràk tanayopapatteş  Ragh_14.78c
asaüspç÷antau tapanãyapãñham  Ragh_18.41b
asàmaõyapatiü bhuvaş  Ragh_15.39d
asåta putraü samaye ÷acãsamà  Ragh_3.13c
asåyayeva tannàgàş  Ragh_4.23c
asåryagaiş såcitabhàgyasaüpadam  Ragh_3.13b
asau kumàras tam ajo 'nujàtas  Ragh_6.78a
asau tapasyaty aparas tapasvã  Ragh_13.41c
asau puraskçtya guruü padàtiş  Ragh_13.66a
asau mahàkàlaniketanasya  Ragh_6.34a
asau mahendradvipadànagandhã  Ragh_13.20a
asau mahendràdrisamànasàraş  Ragh_6.54a
asau ÷araõyaş ÷araõonmukhànàm  Ragh_6.21a
astambhàü toraõasrajam  Ragh_1.41b
asty eva manyur bharatàgraje me  Ragh_14.73d
astram astreõa nighnatoş  Ragh_12.92b
astram astreõa nighnatoş  Ragh_12.93b
astraü haràd àptavatà duràpaü  Ragh_6.62a
astràõy àpuş suradviùàm  Ragh_12.86d
aspçùñakhaógatsaruõàpi càsãd  Ragh_18.48c
aspçùñàlaveùñanau  Ragh_1.42d
asmarann api babhåva ràghavaş  Ragh_11.22d
asmin dvayaü ÷rã÷ ca sarasvatã ca  Ragh_6.29b
asmin dvaye råpavidhànayatnaş  Ragh_7.14c
asya prayàõeùu samagra÷akter  Ragh_6.33a
asyàïkalakùmãr bhava dãrghabàhor  Ragh_6.43a
asyàccham ambhaş pralayapravçddhaü  Ragh_13.8c
aham ekarasas tathàpi te  Ragh_8.65c
aham eva mato mahãpater  Ragh_8.8a
aharat kila tasya vegavàn  Ragh_8.34c
aharpatir ivàtapam  Ragh_10.55d
ahitàn aniloddhåtais  Ragh_4.28c
ahãnagur nàma sa gàü samagràm  Ragh_18.14a
ahãnabàhudraviõaş ÷a÷àsa  Ragh_18.14b
ahçtasya vilobhanàntarair  Ragh_8.69c
ahnàya tàvad aruõena tamo nirastam  Ragh_5.71b
aü÷e hiraõyàk÷aripoş sa jàte  Ragh_18.25a
aü÷air anuyayur viùõuü  Ragh_10.50c
aüsalambikuñajàrjunasrajas  Ragh_19.37a
àkarõakçùñam api kàmitayà sa dhanvã  Ragh_9.57c
àkarõakçùñà sakçd asya yoddhur  Ragh_7.57c
àkarõam àkçùñasabànadhanvà  Ragh_18.51c
àkalpasaümårchitaråpa÷obhàn  Ragh_6.1*b
àkalpasàdhanais tais tair  Ragh_17.22c
àkàrasadç÷apraj¤aş  Ragh_1.15a
àkà÷agaïgàratir apsarobhir  Ragh_16.71c
àkà÷am àviùkçtacàrutàram  Ragh_13.2d
àkà÷avàyur dinayauvanotthàn  Ragh_13.20c
àkãrõam çùipatnãnàm  Ragh_1.50a
àkãryamàõam àsanna  Ragh_1.49*a
àku¤citàgràïgulinà tato 'nyaş  Ragh_6.15a
àkumàrakathodghàtaü  Ragh_4.20c
àkçùñalãlàn naralokapàlàn  Ragh_6.1d
àkràntapårvam iva muktaviùaü bhujaügaü  Ragh_9.79c
àkùipya kàcid dravaràgam eva  Ragh_7.7b
àkùipya tebhyaş pi÷itapriyàpi  Ragh_7.50b
àkhyàtam antaşkaraõair vi÷aïkaiş  Ragh_2.11b
àkhyàtam asyai guru bhàvi duşkham  Ragh_14.49c
àkhyàtavàlmãkiniketamàrgaş  Ragh_14.58b
àkhyàd ràj¤e na saütatim  Ragh_15.41b
àgamaiş sadç÷àrambha[ş]  Ragh_1.15c
àcakàïkùa ghana÷abdaviklavàs  Ragh_19.38c
àcakùva matvà va÷inàü raghåõàü  Ragh_16.8c
àcakhyur nairçtodadheş  Ragh_10.35d
àcakhyur vibudhaviùaş  Ragh_15.5b
àcakhyau divam adhyàsva  Ragh_15.93c
àcacàma satuùàra÷ãkaro  Ragh_9.68c
àcamyodãrayàm àsa  Ragh_15.80c
àcàmati svedalavàn mukhe te  Ragh_13.20d
àcàradhåmagrahaõàd babhåva  Ragh_7.27d
àcàrapåtaü pavanaş siùeve  Ragh_2.13d
àcàrapåtobhayavaü÷adãpaü  Ragh_6.58*c
àcàra÷uddhobhayavaü÷adãpaü  Ragh_6.45c
àjàneyakhurakùuõõa  Ragh_4.47*a
àj¤à guråõàü hy avicàraõãyà  Ragh_14.46d
àtatajyam akarot sa saüsadà  Ragh_11.45a
àtapàtayasaük÷ipta  Ragh_1.52a
àtastare bhallanikçttakaõñhair  Ragh_7.38*c
à tãrthàd apratãghàtaü  Ragh_17.68c
àtodyaü gràhayàm àsa  Ragh_15.88c
àtta÷astras tad adhyàsya  Ragh_15.46a
àtmakarmakùamaü dehaü  Ragh_1.13c
àtmajanmasamutsukaş  Ragh_1.33b
àtmanaş sumahat karma  Ragh_12.55c
àtmany avaj¤àü ÷ithilãcakàra  Ragh_2.41d
àtmalakùaõaniveditàn çtån  Ragh_19.47c
àtmànam akùarapadaiş kathayàü babhåva  Ragh_9.76d
àtmànam ànanarucà bhavato viyujya  Ragh_5.67*b
àtmànam udvohuóhum a÷aknuvantyaş  Ragh_16.60b
àtmànam eva sthiraduşkhabàjaü  Ragh_14.57c
àtmànaü mumuce tasmàd  Ragh_12.23c
àtmànaü raõakçtakarmaõàü gajànàm  Ragh_9.65c
àtmànaü raõakçtakarmaõàü gajànàm  Ragh_9.65c
àtmànaü ÷ambukaü nàma  Ragh_15.50c
àtmànugamanena gàm  Ragh_1.88b
àtmàparàdhaü nudatãü ciràya  Ragh_16.85c
àtmà saürakùitaş suhmair  Ragh_4.35c
àtmodbhave varõacatuùñayasya  Ragh_18.12b
àdatta jatràbharaõaü tvadãyam  Ragh_16.83d
àdatte hi rasaü raviş  Ragh_1.18d
àdade nàti÷ãtoùõo  Ragh_4.8c
àdade vadatàü varaş  Ragh_1.59d
àdadhàna iva hriyam  Ragh_4.80d
àdadhànaş paya÷carum  Ragh_10.52b
àdadhànà mahãkùitaş  Ragh_1.85d
àdànaü hi visargàya  Ragh_4.86c
àdàsyadhve mi÷àcaraiş  Ragh_10.46d
àdàsyamànaş pramdàmiùaü tad  Ragh_7.31c
àdide÷àtha ÷atrughnaü  Ragh_15.6a
àdi÷ya rakùaõavidhau vidhivat prajànàm  Ragh_8.94b
àdiùñavartmà munibhiş  Ragh_15.10a
àdiùya pitryaü sacivaü kumàraş  Ragh_7.36b
àde÷aü de÷akàlaj¤aş  Ragh_1.92c
àdhàrabandhapramukhaiş prayatnaiş  Ragh_5.6a
àdhiràjyam avàpya saş  Ragh_17.30b
àdhåtavanaràjibhiş  Ragh_1.38d
àdhåtavàlavyajano rathasthaş  Ragh_14.11b
àdhåya ÷àkhàş kusumadrumàõàü  Ragh_16.36a
àdhoraõànàü gajasaünipàte  Ragh_7.46a
àdhoraõàlambitam agryaveùam  Ragh_18.39b
ànandajaş ÷okajam a÷ru bàùpas  Ragh_14.3a
ànandayitrã pariõetur àsãd  Ragh_14.26c
ànanda÷ãtam iva bhàùpavçùñiü  Ragh_16.44c
ànandenàgrajeneva  Ragh_10.79c
ànàkarathavartmanàm  Ragh_1.5d
ànàyinas tadvicaye nadãùõàn  Ragh_16.75b
ànàyibhis tàm apakçùñanakràm  Ragh_16.55b
àninàya bhuvaş kampaü  Ragh_15.24c
ànçõyaü gatam iva màrgaõair amaüsta  Ragh_9.65d
ànçõyaü gatam iva màrgaõair amaüsta  Ragh_9.65d
àpàõóu raü ketakabarham anyaş  Ragh_6.17b
àpàdapadmapraõatàş  Ragh_4.37a
àpàdyate na vyayam antaràyaiş  Ragh_5.5c
àpi¤jarà baddharajaşkaõatvàn  Ragh_16.51a
àpãnabhàrodvahanaprayatnàd  Ragh_2.18a
àpçcchya ràghavam anuùñhitadevakàryam  Ragh_12.103b
àptavàganumànàbhyàü  Ragh_10.29c
àptaş kumàrànayanotsukena  Ragh_5.39c
àphalodayakarmaõàm  Ragh_1.5b
àbhàti paryantavanaü vidåràn  Ragh_13.38c
àbhàti bàlàtaparaktasànuş  Ragh_6.60c
àbhàti bhåyiùñham ayaü samudraş  Ragh_13.14c
àbhàti labdhaparabhàgatayàdharoùñhe  Ragh_5.70c
àbhàti velà lavaõàmburà÷er  Ragh_13.15c
àbhàsi tãrthapratipàditarddhiş  Ragh_5.15b
à manor vartmanaş param  Ragh_1.17b
àmantryotsukavanitàtpatadvisçùñàş  Ragh_4.87*c
àmayas tu ratiràgasaübhavo  Ragh_19.48c
àmuktapårvaü guruõà ca yasmàt  Ragh_16.74b
àmuktàbharaõaş sragvã  Ragh_17.25a
àmu¤catãvàbharaõaü dvitãyam  Ragh_13.21c
àmumoca tanucchadam  Ragh_12.86b
àmç÷yate jànapadair na kaccit  Ragh_5.9b
àmodam upajighrantau  Ragh_1.43c
àyatàc ca madanàn mahãkùitam  Ragh_19.20b
àyur dehàtigaiş pãtaü  Ragh_12.48c
àyodhanàgrasaratàü tvayi vãra yàte  Ragh_5.71c
àyodhane kçùõagatiü sahàyam  Ragh_6.42a
àraõyakopàttaphalaprasåtiş  Ragh_5.15c
àrambhasadç÷odayaş  Ragh_1.15d
àrambhasiddhau samayopalabhyam)  Ragh_7.31b
àrambhaü prathamaü cakrur  Ragh_10.77c
àràdhanãyasya dhçter vibhàtam  Ragh_16.82d
àràdhaya saptnãkaş  Ragh_1.81c
àràdhya vi÷ve÷varam ã÷vareõa  Ragh_18.24a
àruroha kumudàkaropamàü  Ragh_19.34c
àrurohà÷vasàdhanaş  Ragh_4.71b
àråóham adrãn udadhãn vitãrõaü  Ragh_6.77a
àrebhire jitàtmànaş  Ragh_10.4c
àropità ÷uddhimataş prajàbhiş  Ragh_14.40d
àropya cakrabhrahmam uùõatejàs  Ragh_6.32c
àropya vaidehasutàü pratasthe  Ragh_14.47d
àrdràkùatàropaõam anvabhåtàm  Ragh_7.28d
àrdràn ivàïge sadayaü spç÷antyau  Ragh_14.4b
àrye vrajàmo 'nyata ity athainàü  Ragh_6.82c
àlakùyapàriplavasàrasàni  Ragh_13.30b
àlavàlàmbupàyinàm  Ragh_1.51d
àlànikaü sthàõum iva dviependraş  Ragh_14.38d
àlekhya÷eùasya pitur vive÷a  Ragh_14.15d
àlokam arkàd iva jãvalokaş  Ragh_5.35d
àlokamàrgaü sahasà vrajantyà  Ragh_7.6a
àlokayiùyan muditàm ayodhyàü  Ragh_14.29c
àloka÷abdaü vayasàü viràvaiş  Ragh_2.9d
àloka÷abdaü vayasàü viràvaiş  Ragh_2.10d
àlokya bàlàtikutåhalena  Ragh_16.83b
àlolapattràbhihatadvirepham  Ragh_6.13b
àvarjya ÷àkhàş sadayaü ca yàsàü  Ragh_16.19a
àvartamànaü vanità vanàntàt  Ragh_2.19b
àvartavegàd bhramatà ghanena  Ragh_13.14b
àvarta÷obhà natanàbhikànter  Ragh_16.63a
àvàsavçkùonmukhabarhiõàni  Ragh_2.17b
àvàü yas taü tyajer iti  Ragh_15.92d
àvirbabhåva ku÷agarbhamukhaü mçgàõàü  Ragh_9.55c
àvirbhavaty ambarlekhi ÷çïgam  Ragh_13.26b
àvirbhåtam apàü madhye  Ragh_10.11c
àviùkçtaguõaü jagat  Ragh_10.73b
àviùkçtam udanvatà  Ragh_10.53d
àviùkçtodagrataraprabhàvam  Ragh_13.50d
àvçõod àtmano randhraü  Ragh_17.61c
àvçõvato locanamàrgam àjau  Ragh_7.42a
àvçtya panthànam ajasya tasthau  Ragh_7.31d
àvedito vedavidàü vareõa  Ragh_5.23b
à÷aïkyotsukasàraïgàü  Ragh_12.24c
à÷àlatà pallavinã babhåva  Ragh_6.67*d
à÷àsyam anyat punaruktabhåtaü  Ragh_5.34a
à÷àş purovàtam avàpya meghaş  Ragh_18.38d
à÷iùaü prayuyuje na vàhinãü  Ragh_11.6c
à÷iùàm anupadaü samaspç÷ad  Ragh_11.31c
à÷u tasya sahadharmacàriõã  Ragh_19.55b
à÷ramaü ÷ràntavàhanaş  Ragh_1.48b
à÷ritaş sa vanaspatim  Ragh_12.21b
à÷rità surabhiş pathi  Ragh_1.75d
à÷vàsya ràmàvarajaş satãü tàm  Ragh_14.58a
àsa¤jayàm àsa yathàprade÷aü  Ragh_6.83c
àsannoùadhayo netur  Ragh_4.75c
àsan yatra kriyàvighnà  Ragh_15.62c
àsamàharaõakarmatatparàş  Ragh_11.43*b
àsamudrakùitã÷ànàm  Ragh_1.5c
àsasàda mithilàü sa veùñayan  Ragh_11.52a
àsasàda munir àtmanas tataş  Ragh_11.23a
àsàrasiktakùitibàùpayogàn  Ragh_13.29a
àsàü jalàsphàlanatatparàõàü  Ragh_16.62a
àsãt kalpatarucchàyàm  Ragh_1.75c
àsãt sa dolàcalacittavçttiş  Ragh_14.34d
àsãt samarasà dvayoş  Ragh_4.17d
àsãt samarasà dvayoş  Ragh_4.18d
àsãd ati÷ayaprekùyaş  Ragh_17.25c
àsãd anàviùkçtadànaràjir  Ragh_2.7c
àsãd àsannanirvàõaş  Ragh_12.1c
àsãd varaş kaõñakitaprakoùñaş  Ragh_7.22a
àsãd vi÷eùà phalapuùpavçddhiş  Ragh_2.14b
àsãn mahãkùitàm àdyaş  Ragh_1.11c
àsedivàn ratnavad (?) àsanaü saş  Ragh_6.4b
àseduùãü sàdita÷atrupakùaü  Ragh_6.53c
àseduùoş sakhyam acintyahetu  Ragh_5.60b
àseduùoş sadmasu citravatsu  Ragh_14.25b
àstãrõakarapallave  Ragh_10.8d
àstãrõamedhyàjinatalpam antaş  Ragh_14.81b
àstãrõàjinaratnàsu  Ragh_4.65c
àsphàlitaü yat pramadàkaràgrair  Ragh_16.13a
àsvàdavadbhiş kavalais tçõànaü  Ragh_2.5a
àhito jayaviparyayo 'pi me  Ragh_11.86c
àhlàdayaty unmukhakçùõasàrà  Ragh_13.34c
àü j¤àtam eùà janakàtmajeti  Ragh_14.69*c
ikùucchàyaniùàdinyas  Ragh_4.20a
ikùvàkupadam aspç÷at  Ragh_15.44d
ikùvàkubhiş puõyatarãkçtàni  Ragh_13.61d
ikùvàkuvaü÷agurave prayataş praõamya  Ragh_13.70a
ikùvàkuvaü÷aprabhavaş kathaü tvàü  Ragh_14.55a
ikùvàkuvaü÷aprabhavo yadà te  Ragh_5.55a
ikùvàkuvaü÷yaş kakudaü nçpàõàü  Ragh_6.71a
ikùvàkåõàü duràpe 'rthe  Ragh_1.72c
icchatà saütatiü nyastà  Ragh_1.34*c
icchàü vimànam adhidevatayà viditvà  Ragh_13.68b
itaràõy api rakùàüsi  Ragh_12.82a
itare 'pi raghor vaü÷yàs  Ragh_15.35a
ita÷ cakoràkùi vilokayeti  Ragh_6.59c
itas tata÷ ca vaidehãm  Ragh_12.59a
itas tato råóhatçõàïkureùu  Ragh_16.18b
itaş paràn arbhakahàrya÷astràn  Ragh_7.67a
iti kramàt prayu¤jàno  Ragh_17.68a
iti kùitiş saü÷ayiteva tasyai  Ragh_14.55c
iti kùitã÷o navatiü navàdhikàü  Ragh_3.69a
iti copanatàü kùitipç÷aü  Ragh_8.81c
iti jitvà diùo jiùõur  Ragh_4.85a
iti tasyàrthasaügrahaş  Ragh_17.60b
iti tau virhàntarakùamau  Ragh_8.56c
iti dayàta ivàbhavad àyatà  Ragh_9.33*c
iti pragalbhaü purusàdhiràjo  Ragh_2.41a
iti pragalbhaü raghuõà samãritaü  Ragh_3.47a
iti prati÷rute ràj¤à  Ragh_15.74a
iti prasàdayàm àsus  Ragh_10.34a
iti yathàkramam àvirabhån madhur  Ragh_9.26c
iti ràj¤à svayaü pçùñau  Ragh_15.69c
iti ràmo vçùasyantãü  Ragh_12.34c
iti vàgamçtena saş  Ragh_10.49b
iti vàdina evàsya  Ragh_1.82a
iti vij¤àpito ràj¤à  Ragh_1.73a
iti viracitavàgbhir bandiputraiş kumàraş  Ragh_5.75a
iti vismçtànyakaraõãyam àtmanaş  Ragh_9.69a
iti ÷atruùu cendriyeùu ca  Ragh_8.23a
iti ÷irasi sa vàmaü pàdam àdhàya ràj¤àm  Ragh_7.70a
iti ÷iùyeõa kilànvabodhayat  Ragh_8.75d
iti samaguõayogaprãtayas tatra pauràş  Ragh_6.85c
iti sarvaş prakçtiùv acintayat  Ragh_8.8b
iti sa vihatanidras talpam alpetaràü÷aş  Ragh_5.75*a
iti saütarjya ÷atrughnaü  Ragh_15.19a
iti sà vijahau ÷ucam  Ragh_12.75b
iti svasur bhojakulapradãpaş  Ragh_7.29a
ito bhaviùyaty anaghaprasåter  Ragh_14.75c
itthaü kùitã÷ena vasiùñhadhenur  Ragh_2.67a
itthaü gate gataghçõaş kim ayaü vidhattàü  Ragh_9.81a
itthaü janitaràgàsu  Ragh_17.44a
itthaü dvijena dvijaràkàntir  Ragh_5.23a
itthaü nàgas tribhuvanaguror aurasaü maithileyaü  Ragh_16.88a
itthaü prayujyà÷iùam agrajanmà  Ragh_5.35a
itthaü vrataü dhàrayataş prajàrthaü  Ragh_2.25a
ity adar÷itarujo 'sya mantriõaş  Ragh_19.52c
ity adriùobhàprahitekùaõena  Ragh_2.27a
ity adriùobhàprahitekùaõena  Ragh_2.27b
ity adhvanaş kai÷cid ahobhir ante  Ragh_16.35a
ity apàstamakhavighnayos tayoş  Ragh_11.30a
ity arghyapàtrànumitavyayasya  Ragh_5.12a
ity avehi tvayà kçtam  Ragh_12.37d
ity àdçtena kathitau raghunandanena  Ragh_13.72c
ity àptavacanàd ràmo  Ragh_15.48a
ity à prasàdàd asyàs tvaü  Ragh_1.90a
ity àropitaputràs te  Ragh_15.91a
ity à÷a÷aüse karaõair abàhyaiş  Ragh_14.50d
ity uktavantaü janakàtmajàyàü  Ragh_14.43a
ity uktvà maithilãü bhartur  Ragh_12.38a
ity udgatàş pauravadhåmukhebhyaş  Ragh_7.16a
ity åcivàn upahçtàbharaõaş kùitã÷aü  Ragh_16.86a
ity ekapakùà÷rayaviklavatvàd  Ragh_14.34c
idam ucchvasitàlakaü mukhaü  Ragh_8.55a
indãvara÷yàmatanaur nçpo 'sau  Ragh_6.65a
indãvarair utkhacitàntareva  Ragh_13.54d
induprakà÷àntaritoóukalpàş  Ragh_16.65b
induprabhàm indumatãm avekùya  Ragh_6.70b
induü navotthànam ivendumatyai  Ragh_6.31d
induş kùãranidhàv iva  Ragh_1.12d
indor agatayaş padme  Ragh_17.75a
indrajidvadha÷obhinaş  Ragh_15.26d
indràd vçùñir niyamitagadodrekavçttir yamo 'bhåd  Ragh_17.81a
indràyudhadyotitatoraõàïkam  Ragh_7.4b
indriyàkhyàn iva ripåüs  Ragh_4.60c
indriyàrthapari÷ånyam akùarmaş  Ragh_19.6a
imàm anånàü surabher avehi  Ragh_2.54c
imàü tatà÷okalatàü ca tanvãü  Ragh_13.32a
imàü devãm çtusnàtàü  Ragh_1.75*a
imàü svasàraü ca yavãyasãü me  Ragh_16.85a
iyanti varùàõi tayà sahogram  Ragh_13.67c
iyam apratibodha÷àyinãü  Ragh_8.58a
iyeùa bhåyaş ku÷avanti gantuü  Ragh_14.28c
ãdçktayà råpam iyattayà và  Ragh_13.5d
ãpsitaü tadavaj¤ànàd  Ragh_1.79a
uccacàra nando 'mbhasi tasyàş  Ragh_9.73b
uccacàra puras tasya  Ragh_15.46c
uccacàla valabhitasakho va÷ã  Ragh_11.51c
uccaiş÷irastvàj jitapàriyàtraü  Ragh_18.16c
uñajadvàrarodhibhiş  Ragh_1.50b
uñajàïganabhåmiùu  Ragh_1.52d
uóupenàsmi sàgaram  Ragh_1.2d
utkarùaü pupuùur guõàş  Ragh_4.11b
utkalàdar÷itapathaş  Ragh_4.38c
utkràntavarõakramadhåsaràõàm  Ragh_16.17b
utkràntavàyvoş samakàlam eva  Ragh_7.53b
utkhàtapratirpitàş  Ragh_4.37d
utkhàta÷atruü vasudhopatasthe  Ragh_18.22c
uttañà iva nadãrayàş sthalãm  Ragh_11.58d
uttaràü prati di÷aü vivasvataş  Ragh_11.6*c
uttasthuùaş ÷i÷irapalvalapaïkamadhyàn  Ragh_9.59a
uttiùñha vatsety amçtàyamànaü  Ragh_2.61a
uttiùñha vatse nanu sànujo 'sau  Ragh_14.1a
uttiùñha vatse nanu sànujo 'sau  Ragh_14.6a
uttoraõàm anvayaràjadhànãm  Ragh_14.10d
utthàpitaş saüyati reõur a÷vaiş  Ragh_7.39a
utthàpya namra÷irasaü bhç÷am àliniïga  Ragh_13.73b
utthitasya ÷ayanaü vilàsinas  Ragh_19.25c
utthitaü dadç÷e 'nyac ca  Ragh_12.49c
utpakùmaràjãni vilocanàni  Ragh_13.25d
utpa÷yataş siühanipàtam ugram  Ragh_2.60b
utpàdayàm àsa niùiddha÷atruş  Ragh_18.1b
utùçùçalãlàgatir à gavàkùàd  Ragh_7.7c
utsuka÷ ca sutadàrakarmaõà  Ragh_11.49*a
utsçjya tadvismitasainyadçùñaş  Ragh_5.51b
uthkàtalokatrayakaõñake 'pi  Ragh_14.73a
udak pratasthe sthiradhãş  Ragh_15.98a
udagàvçttipathena nàradaş  Ragh_8.33d
udaïmukhaş so 'stravid astramantraü  Ragh_5.59c
udadhinemim adhijya÷aràsanaş  Ragh_9.10b
udadher iva jãmåtàş  Ragh_17.72c
udadher iva nimagà÷ateùv  Ragh_8.8c
udadher iva ratnàni  Ragh_10.31a
udanvadàkà÷amahãdhareùu  Ragh_5.27b
udayam astamayaü ca raghådvahàd  Ragh_9.9a
udayàd aü÷avo raveş  Ragh_17.34b
udaye madavàcyam ujjhatà  Ragh_8.84a
udarciùas tan (?) mithunaü cakà÷e  Ragh_7.24b
udavahad anavadyàü tàm avadyàd apetah  Ragh_7.70b
uda÷rur vasatidrumàn  Ragh_12.14d
udàyudhàn àpatatas  Ragh_12.44a
udàranepathyabhçtàü sa madhye  Ragh_6.6b
udàravàco munikanyakàs tvàm  Ragh_14.77d
uditàrkeõa samàruroha tat  Ragh_8.15d
udãrayàm àsa salãlam akùàn  Ragh_6.18d
udãrayàm àsur ivonmadànàm  Ragh_2.9c
udãritajayasvanam  Ragh_10.12d
udgãyamànaü vanadevatàbhiş  Ragh_2.12d
uddaõóapadmaü gçhadãrghikàõàü  Ragh_16.46c
uddi÷ya lokàntaragãtakãrtim  Ragh_6.45b
uddhariùyam rasàn iva  Ragh_4.66d
uddhartum aicchat prasabhoddhçtàriş  Ragh_2.30d
uddhåtair dhàtureõubhiş  Ragh_4.71d
uddhçtya pratiropayan  Ragh_17.42d
udbaddhake÷a÷ cyutapattrarekho  Ragh_16.67a
udbàhur iva vàmanaş  Ragh_1.3d
udbhàsitaü maïgalasaüvidhàbhiş  Ragh_7.16c
udbhinnavidyudvalayo ghanas te  Ragh_13.21d
