Padmagupta (alias Parimala):
Navasahasankacarita

Based on the edition by Vamanasastri Islampurakara,
Bombay : Govt. Central Book Depot
(Bombay Sanskrit Series, 53)

Input by Somadeva Vasudeva, 2001

PADA-INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________






Padmagupta (alias Parimala):
NavasÃhasÃÇkacarita



akaÇkaïam akeyÆram  Pnc_11.90a
abhavad dvayam eva bhÆpate÷  Pnc_12.5a
abhÃ«atorvÅtilakaæ ramÃÇgada÷  Pnc_7.76d
abhikÃn abhisartum udyata÷ san  Pnc_5.15a
abhikÃntam apÃÇgapÃtinÃ  Pnc_12.9a
abhigamya eva sas tavÃdhunÃ ripur  Pnc_10.26a
abhijÃteyam Ãk­ti÷  Pnc_11.41b
abhito 'ÇganÃmukham­gÃÇkam  Pnc_15.20a
abhidhÃya pramadÃæ priyaævada÷  Pnc_12.66b
abhidhehi lava÷ kutÆhalasya  Pnc_5.6a
abhinavabisaÓaÇkayÃpah­tya  Pnc_3.15a
abhinavalikhitÃm iva praÓatiæ  Pnc_3.66a
abhilÃ«aæ babandha sÃ  Pnc_6.1d
abhisarati vanasthalÅm ivaitÃæ  Pnc_3.37a
abhugnabhujakaï¬Ætir  Pnc_16.105c
abhÆt paraæ manmathatÃpaÓÃntaye  Pnc_13.8c
abhÆt paryÃkulÃ sÃ ca  Pnc_6.108a
abhÆt prav­tta÷ samaro mahÃhi-  Pnc_17.9c
abhÆd viddha÷ sa÷ sÃraÇgas  Pnc_2.40c
abhÆd vyathÃ kÃpi Óarai÷ pare«Ãm  Pnc_17.50b
abhedam indunÃ nÅta÷  Pnc_6.18a
abhedamÆ¬hastabakÃbhir Ãv­tÃ  Pnc_4.18a
abhyadhÃvad abhivyÃghrÃn  Pnc_2.20c
abhyÃgataæ n­patim udgatagÃ¬hahar«a÷  Pnc_18.1b
abhyÃgatÃyÃ÷ sahasÃmunÃsyÃ÷  Pnc_14.55a
abhyutthitenodgatadÃnadhÃram  Pnc_17.53b
abhyutsukas tad anu bhogavatÅæ pratasthe  Pnc_17.75d
abhyudgatÃnÅva phaïÅndralokam  Pnc_1.20c
abhyudgatÃ bhartur arÃtibÃïa-  Pnc_17.59a
abhyudgatÃrcir analojjhitadhÆmarÃji-  Pnc_18.47a
abhyudgato ratnabhuvÃæ parÃga÷  Pnc_17.17b
amandam aspandata cÃsya dak«iïa÷  Pnc_13.9d
amandamÃrutÃk«epa-  Pnc_11.6a
amandam­gayÃsaÇga÷  Pnc_2.34c
amarapuradhunÅsamuddh­tena  Pnc_3.61c
amararipor vacanÃni tÃnitÃni  Pnc_16.120b
amartyamithunakrÅ¬Ã  Pnc_11.60c
amar«apÃvakasyÃbhÆd  Pnc_11.66c
amÃnti pÃtÃlatale prasasru÷  Pnc_17.16a
amÅbhir bÃlavÃnÅra-  Pnc_2.60a
amÅ marunnartitacÃmarÃs te  Pnc_14.11c
amÅ muhu÷ kuÇkumakesarÃruïÃ  Pnc_7.14c
amÅ«v aÇkasthakandarpa-  Pnc_6.81a
amÅ sarojapratime mukhe muhus  Pnc_4.50a
amÅ sahante mama tÃta na Óramaæ  Pnc_13.16a
amucyanteva pallavÃ÷  Pnc_6.10d
amunÃ bhavatÅva cak«u«Ã  Pnc_12.44c
amunÃ ÓatapatrabandhunÃ  Pnc_12.29a
amÆni pu«pÃïi mahÅruhÃïÃm  Pnc_14.35a
am­tamarÅciruceva tasya kÃntyÃ  Pnc_3.50b
am­tÃæÓumarÅciluptanidre  Pnc_5.32c
am­tÃæÓusÆtir iyam ÃpadÃpagÃ  Pnc_10.2d
am­tendukalÃsahodarÃsyÃ÷  Pnc_5.56a
amoghamantraæ kusumÃyudhasya  Pnc_14.75b
amoghaæ darÓanaæ tava  Pnc_11.110d
amocyatÃstadaityena  Pnc_11.74c
ambhasas tadavapÃtatÃ¬itÃd  Pnc_8.40a
ambhojam iva padminÅ  Pnc_6.6d
ambhoruhair ujjvalahemakÊptair  Pnc_1.23c
ayam atiguruhÃrabhÃrajÃtÃæ  Pnc_3.31c
ayam aticapalo nisargaraktÃæ  Pnc_3.35c
ayam atithir vanapalvalasya jÃta÷  Pnc_3.38b
ayam abhinavakarïikÃraya«Âiæ  Pnc_3.35a
ayam aranadÅyamunÃtither ghanasya  Pnc_3.57d
ayam aravindavanÃd ivojjihÅte  Pnc_3.38d
ayam astagirer ni«Ådati  Pnc_12.30c
ayam ÃdhÆtakahlÃra-  Pnc_2.69c
ayam ÃyÃti bhÆpati÷  Pnc_16.117d
ayam iti me na paricchinatti ceta÷  Pnc_3.23d
ayam indumukhi tvayÃ yathÃ  Pnc_12.61a
ayam iha hi latÃm upaiti kaundÅæ  Pnc_3.36a
ayam ucitatara÷ phaïistriyo vÃ  Pnc_3.24a
ayam ucchvasati smara÷  Pnc_6.65d
ayam utpala÷patralocane  Pnc_12.20a
ayam upasarpati nÅlasinduvÃram  Pnc_3.34b
ayam ullikhati dhruvaæ karair  Pnc_12.54a
ayam ekÃntamatsarÅ  Pnc_11.109d
ayaskÃntasya yogyatÃ  Pnc_16.110d
ayaæ tarjayatÅva tvÃæ  Pnc_6.73c
ayaæ tulitapaulomÅ-  Pnc_2.46a
ayaæ netrotsavas tasmÃj  Pnc_11.91a
ayaæ madhyamalokendu÷  Pnc_6.53c
ayaæ mukulita÷ kiæcid  Pnc_6.75c
ayaæ yayÃtimandhÃt­-  Pnc_11.99c
ayaæ sa na syÃn navasÃhasÃÇka ity  Pnc_4.34a
ayaæ sa no hÃra ivÃsya d­Óyate  Pnc_4.35a
ayaæ sphuratkÃ¤canapadmasodara÷  Pnc_4.23c
ayaæ hi pÃïigrahaïocitas tava  Pnc_7.28b
ayÃcito 'py arpita eva te Óara÷  Pnc_7.69a
ayi! kathaya sitacchada÷ kva cÃyaæ  Pnc_3.22a
ayi! capale nu vik­«yate kace«u  Pnc_3.5b
ayi! yad ayam avÃmanasya bhÆmir  Pnc_3.25 ac
ayi cakravadhÆr iyaæ pura÷  Pnc_12.65a
ayi tvÃæ mlÃpayaty e«a  Pnc_6.89a
ayi nÅlapayodhalekhayÃ  Pnc_12.16c
ayi bhÃti yayÃ indradiÇmukhe  Pnc_12.49c
ayi mekalÃdritanayÃpura÷k­te  Pnc_10.4a
ayi maunam etad avanÅndra, mucyatÃæ  Pnc_10.50a
ayi ratnacÆ¬a mama dÆyate mana÷  Pnc_10.52b
ayi sÃyam imÃ÷ payodharair  Pnc_12.36c
araïyamahi«air dÆraæ  Pnc_2.24a
araïyasa¤cÃraparÃ iyam ekikÃ  Pnc_4.22c
araïyahariïÅd­Óa÷  Pnc_11.9d
araïyÃnÅ kveyaæ dh­takanasÆtra÷ kva sa m­ga÷  Pnc_5.81a
aratitvam avÃpyÃmbha÷-  Pnc_16.31a
arater Ãyatanaæ vyadhÅyata  Pnc_12.2d
aravindakareïa lohitaæ  Pnc_12.22a
aravindadalatvi«Ã kareïa  Pnc_5.31a
aravindadaladyutau kare  Pnc_12.50c
aravindamukhakro¬a-  Pnc_11.8a
arÃtibhyaÓ ca sahasÃ  Pnc_11.96c
arÃtimukte«u tatas tanutrÃd  Pnc_17.57a
arÃtisenÃnalinÅvanaika-  Pnc_17.44c
arÃtisainye raïadhÅravÅrÃn  Pnc_17.28c
arÃlakeÓÅyam anena bhÃti te  Pnc_7.9a
arucad atha kare sa tasya bibhrad  Pnc_3.60a
aruïÃÇgulÅdalaniruddha-  Pnc_15.50a
aruïitasitodarÃ÷ karÃt  Pnc_15.66b
aruïo yad andhatamasaæ ni«edhati  Pnc_10.40c
arkÃæÓuglapitair  Pnc_2.61a
arkopalastambhaÓatÃni bhÆme÷  Pnc_14.82d
arghya÷ satÃæ sa bahir eva niveÓya sainyam  Pnc_18.2b
arthinÃæ vyarthatÃm eti  Pnc_16.83c
arthÅ karo 'syÃ÷ sumana÷su yasya  Pnc_14.63c
ardhacandram atha tajjighÃæsayÃ  Pnc_8.51a
ardhanimÅlitalocanotpala÷  Pnc_8.27c
arpayÃm Ãsa pÃÂalÃ  Pnc_6.109b
arpayÃm Ãsa pÃÂalÃ  Pnc_16.19d
arpitaæ praïayinÃ tam apy asau  Pnc_8.34c
alakacyutamandÃra-  Pnc_11.60a
alakÃntas tilakÃd apÃsyata  Pnc_12.71d
alak«yasaædhÃnavimok«apÃtÃn  Pnc_17.36a
alaghum atha vÃruïÅæ prati  Pnc_15.48b
alaÇkÃro navaæ vaya÷  Pnc_11.29d
alaÇk­ta÷ kasya vadÃnvayas tvayÃ  Pnc_13.30a
alaÇk­tÃ bhÆmir iyaæ tvayeti  Pnc_8.80d
alaÇk­to jahnumahar«ikanyayÃ  Pnc_13.37c
alaæ prah­tya bhÆpÃla  Pnc_2.32a
alaæ vi«Ãdena ghanÃdhirÆ¬hÃ  Pnc_9.11a
alaæ hriyaivaæ samupek«ya g­hyatÃm  Pnc_7.28a
alino÷ Órotum ivÃsphuÂaæ vaca÷  Pnc_12.45b
alipaÂalena latÃm imÃæ vinÃ me  Pnc_3.20b
alÅkakopaæ sahasÃ vidanti  Pnc_1.39d
alekhi citre katama÷ k­Óodari  Pnc_7.54d
alaukikaæ rÆpam avek«ituæ rate÷  Pnc_7.5b
avak­«ya salÅlam uttarÅyÃt  Pnc_5.65a
avaÂe kim iti k«eptum  Pnc_16.99c
avataæsitalocanotpalÃæ  Pnc_12.77c
avataæsitahemapaÇkajÃm  Pnc_12.8c
avadac ca pa¤jaram ivÃsya kalpayan  Pnc_10.51c
avadac ca vÃcÃæsi pÃrthivaæ sÃ  Pnc_5.68c
avadac ca vihasya pÃrthivendra÷  Pnc_5.59a
avadad atha vibuddhapuï¬arÅka-  Pnc_3.19a
avadad atha sa÷ sÃhasonmukhas tÃm  Pnc_9.67a
avadhÃraya pÃÂaleti nÃmnÃ  Pnc_5.40c
avadhÆtamÃnamadhupÃna-  Pnc_15.63a
avanamadunnamayantam uttamÃÇgam  Pnc_3.12b
avanitalam­gÃÇka! yad vanÃntaÓ  Pnc_3.32c
avanipatikalatrakaïÂhayogya÷  Pnc_3.22c
avanipatir apaÓyad ak«arÃïÃæ  Pnc_3.65c
avanipate÷ pathi locane mumoca  Pnc_6.118d
avanihariïalak«mÃ sÃhasopÃrjitaÓrÅr  Pnc_5.82c
avanÅtilaka tvayi prarÆ¬haæ  Pnc_5.47c
avanÅpurandara, kara÷ prasÃryate  Pnc_10.8d
avanÅvalaye tvam Ãttadaï¬a÷  Pnc_5.71a
avanau yad anena rak«itÃyÃæ  Pnc_5.50c
Avantitilako 'tha sa÷  Pnc_2.72d
Avantitilakodantam  Pnc_6.106a
avantitilako n­pa÷  Pnc_6.21b
AvantinÃthaæ ca mitho ramÃÇgada÷  Pnc_7.79d
Avantim­galÃ¤chana÷  Pnc_6.55d
avalÅ¬haviÓvatamasa÷ puro raver  Pnc_10.6c
avalokaya kartum Åhate  Pnc_12.20c
avalokaya bhÅru samprati  Pnc_12.24a
avalokayÃmi Óakunaæ yathÃ tathÃ  Pnc_10.38a
avalokitam etayÃtha tasmin  Pnc_5.31c
avalokitÃny atha mayÃ padÃni te  Pnc_10.59c
avalokyaiva punaÓ camatk­tÃ iva  Pnc_5.45b
avaÓas tathÃpi kathayÃmi kiæ cana  Pnc_10.7b
avaÓÃ sÃbhavac citraæ  Pnc_6.3a
avaÓyambhÃvinÅ tatra  Pnc_11.115a
avaÓyaæ tanvi cinvÃnÃ  Pnc_6.92a
avÃ¤cata÷ kampavisÆtritÃÇgule÷  Pnc_13.24b
avÃ¤citaæ kiæ cana mÃtariÓvanÃ  Pnc_7.24c
avÃpa tÃpiccharucir jayaÓrÅ-  Pnc_17.51c
avÃpad anyonyanibaddhabhÃvayos  Pnc_7.43c
avÃpa deva÷ Óriyam antikasthayÃ  Pnc_4.45a
avÃpa paryÃptaÓaÓÃÇkadarÓana÷  Pnc_7.23c
avÃpi kvÃpi saævÃdas  Pnc_6.27c
avÃptapÃra÷sp­haïÅyatÃyÃ÷  Pnc_14.63b
avÃptavaty Ãtmaguïaprakar«am  Pnc_14.61b
avÃptasaækhyo dhuri sindhurÃja÷  Pnc_1.58d
avÃptasevÃvasara÷  Pnc_2.88c
avÃpya yasyÃæ g­hadÅrghikÃccha-  Pnc_1.37a
avÃpyÃvasaraæ vaca÷  Pnc_2.52d
avÃrÃham akesari  Pnc_2.31b
aviratam aravindav­ndapÅtÃn  Pnc_3.13c
aviralamaïidÅpoddyotadÆrÃpasarpat-  Pnc_15.70a
aviralam asak­nnivÃsalagnaæ  Pnc_3.56c
aviralamauktikadÃmaraÓmijÃlai÷  Pnc_3.14b
aviÓan naranÃtha nÃma pÆrvaæ  Pnc_5.32a
aviÓan mÃrutapÅtapadmagandhÃm  Pnc_5.36b
aviÓaæ tava anupadam eva sudnari  Pnc_10.54d
avek«ituæ hÃram iheyam ÃgatÃ  Pnc_4.24c
avetya paryutsukalocanÃm iva  Pnc_7.65b
avepata samunmÅlat-  Pnc_6.15a
avaimi gÅtena h­te kuraÇge  Pnc_1.42a
avaimi citte nihitaæ tad asyÃ÷  Pnc_14.30c
avaimi dikpÃlapurÅr vijitya  Pnc_1.34c
avaimi pÃtÃlam avÃptasandhinÃ  Pnc_7.49c
avaimi lokatrayakaïÂakasya  Pnc_9.58c
avaimi saiveyam amogham Ãyudhaæ  Pnc_7.4a
avyaktam ÅÓa kila tad dadhate namas te  Pnc_18.23d
avyÃt sa vo yasya nisargavakra÷  Pnc_1.1a
aÓiÓiramahaso visÃriïÃ khe  Pnc_3.48c
aÓÆnyÃ÷ suragandharva-  Pnc_2.54a
aÓe«abhuvanakhyÃta-  Pnc_2.27a
aÓokapu«pagrathitÃæ dadhÃnÃ  Pnc_9.20a
aÓokaya«Âistabake  Pnc_6.2c
aÓokaskandhalagneyaæ  Pnc_6.79a
aÓmabhÃvam upayÃnty asÆraya÷  Pnc_8.58d
aÓrÆyata smitamukhena ramÃÇgadena  Pnc_12.79d
asaÇgatÃyÃ api dÅrghacak«u«a÷  Pnc_4.4c
asatÃm asuh­n na lajjate 'yaæ  Pnc_5.50a
asatkaver vÃg iva vÅtasau«Âhavaæ  Pnc_4.13a
asatyam etÃsu rucÃ vitanvatÅ  Pnc_4.29c
asantam apy amba mayi prasannÃ  Pnc_9.31a
asamagranakhÃÇgamaï¬ita-  Pnc_12.74c
asamapremah­ta÷ kileÓvara÷  Pnc_12.72b
asamÃptakutÆhala÷  Pnc_2.44b
asamÃpte«uvilokanotsavo 'pi  Pnc_5.37b
Asame«or adhidevatÃm iva  Pnc_12.14d
asaæÓayaæ prÃg as­jad vidhÃtÃ  Pnc_1.82a
asÃmÃnyam ivÃdadhe  Pnc_2.21b
asÃv anekaskhalitai÷ samÃkulÃ  Pnc_4.13c
asÃv aÓokai÷ k«aïam ÃÓritai÷ ÓramÃt  Pnc_4.17c
asÃv ita÷ pÃrthiva dantapatram  Pnc_14.47a
asikÃntijÃlajaÂilÃgrabÃhunÃ  Pnc_10.15a
asitanalinÃvataæsakÃm  Pnc_15.64b
asitÃ¤janÃÇkam abhijÃta-  Pnc_15.22a
asipatrapÃtrapatitaæ tvayÃ yaÓa÷  Pnc_10.20d
asÅmasaundaryasudhÃvilÃsabhÆr  Pnc_7.73c
asurapativinÃÓakÃlarÃtrim-  Pnc_16.120c
asurasya tasya kathitÃ narendra te  Pnc_10.25c
asuraæ nihatya sahasaiva tatk«aïÃd  Pnc_10.39c
asurÃdhipatiæ sÃmnÃ  Pnc_16.65a
asurendra na Óakyase  Pnc_16.110b
asurendras tam abravÅt  Pnc_16.78d
asurendrasya do÷kaï¬u-  Pnc_16.71a
asure«u kaiva gaïanÃ tapasvi«u  Pnc_10.33d
asÆcayat prasaÇgena  Pnc_11.108a
asÆcyatÃgrataÓ caitat-  Pnc_11.110c
asÆta lÅlÃg­hadÅrghikeha  Pnc_9.43c
asÆyayevÃtha vimu¤catÅ d­Óaæ  Pnc_7.44a
as­kpravÃhe«u bh­Óaæ vahatsu  Pnc_17.21b
asevanta samÅrÃs tam  Pnc_2.33a
asairibham asÃraÇgam  Pnc_2.31a
asau parÃdhÅnatayÃspadÅk­tÃ  Pnc_4.23a
asau vihÃrahariïa÷  Pnc_2.47c
astÃcalavyÃyatavaprapÃti-  Pnc_17.24c
asti k«itaÆjjayinÅti nÃmnÃ  Pnc_1.17a
asty eva bhakte«v ativatsalatvÃt  Pnc_9.31c
astraæ vilÃsÃ÷ kusumÃyudhasya  Pnc_1.22d
asyantÅæ tilaka÷ krudhÃ  Pnc_6.73b
asya pÃrÓvÃd anÅyata  Pnc_11.104b
asyÃkhaï¬alakodaï¬a-  Pnc_2.50a
asyÃ latÃk«epavisÆtritasya  Pnc_14.45a
asyÃ÷ karotÅva sa÷ karïikÃra÷  Pnc_14.60d
asyÃ÷ kusumakomale  Pnc_16.33b
asyÃ÷ k«amÃpÃla vanÃntarÃjer  Pnc_14.32a
asyÃ÷ pitreti devena  Pnc_16.88c
asyÃ÷ Órutau campakam ÃdadhatyÃ÷  Pnc_14.65a
asyÃ÷ sakÃlÃgarupatralekhe  Pnc_14.61c
asyÃ÷ samagraæ sukumÃratÃyÃ÷  Pnc_14.64b
asyÃ÷ saratnatvi«i karïapÃÓe  Pnc_14.44c
asyÃ÷ stanataÂe bhÃra÷  Pnc_16.42c
asyÃ÷ stanÃbhyÃm adhunÃ dh­teyam  Pnc_14.54c
asyÃ÷ smarÃgnisantaptaæ  Pnc_16.32a
asrÃruïasyÃk­tim aÇkuÓasya  Pnc_14.54b
ahaÇkÃrasya jÅvitam  Pnc_16.76b
ahamahamikayÃ k­tapraveÓaæ  Pnc_3.54c
aham Ãgato na m­gadÅrghalocane  Pnc_10.55b
aham ÃnayÃmi tapanÅyapaÇkajam  Pnc_10.39d
aharniÓaæ cÆtavane«u yasyÃm  Pnc_1.33c
aharmukhÃk­«ÂapataÇgamaï¬ala÷  Pnc_13.19c
ahaæ tad asyÃ makarÃÇkite balÃd  Pnc_13.50c
ahÃri lolaæ n­pates tayÃ balÃt  Pnc_7.2c
ahipariv­¬hakanyÃlokanÃya pratasthe  Pnc_5.82d
ahimaruca÷ kiraïÃn ivotk«ipantam  Pnc_3.12d
ahimÃæÓor iva bhÃsuro mayÆkha÷  Pnc_5.30d
ahirÃjasutÃnideÓato 'smin  Pnc_5.37a
ahirÃjasute vilokyatÃm  Pnc_12.49a
ahirÃjendrasutopasarpaïaæ te  Pnc_5.77b
ahetukas tanvi ka e«a matsara÷  Pnc_7.53d
aho kim api kalyÃïam  Pnc_16.79a
aho kim api d­pyase  Pnc_16.105d
aho guïena rÃjendra  Pnc_16.13a
aho dÆrasthitenÃpi  Pnc_6.64a
aho na kasya bhindanti  Pnc_6.77a
aho purÃïarÃjÃr«i-  Pnc_11.114a
aho bata tvam etasminn  Pnc_6.62c
aho bata vidagdho 'pi  Pnc_16.93a
aho mahatsÃhasam etad eva  Pnc_1.10a
aho yaÓa÷ pÆrvamahÅpatÅnÃm  Pnc_1.63c
aæÓa÷ purÃïapuru«asya sa nirjagÃma  Pnc_18.56b
aæÓukena ÓaradindubandhunÃ  Pnc_8.68a
aæÓulekhÃtaraÇgibhi÷  Pnc_11.79b
aæsavinihitam­ïÃlalatÃ-  Pnc_15.26c
aæsa÷ savalkalagranthi÷  Pnc_11.97a
aæsÃvakÅrïÃæ kabarÅæ vahantÅ  Pnc_9.15b
aæsÃvalambinÅr bibhrat  Pnc_11.32a
aæsÃsaktadhanurlata÷  Pnc_2.94b
aæse bibhartÅva tamÃlanÅlaæ  Pnc_14.52c
ÃkampitÃnÃæ maruteva yasya  Pnc_1.75a
Ãkampi ratnÃÇkitaketum ete  Pnc_14.7b
Ãkarïak­«Âakodaï¬as-  Pnc_16.35a
Ãkarïak­«tÃd dhanu«a÷ patadbhir  Pnc_17.28a
Ãkarïayann iti sa÷ paurajanasya vÃca÷  Pnc_18.14b
ÃkarïavistÃritamugdhanetrÃ÷  Pnc_14.3c
Ãkarïito dikkaribhi÷ sakaæpai÷  Pnc_14.2b
Ãkarïya bÃhvor vijayaprapa¤cam  Pnc_1.65b
Ãkalpakam idaæ tava  Pnc_6.68b
ÃkalpapallavÅphalavac carantu  Pnc_9.62d
ÃkÃram ardhavanitÃvapu«a÷ purÃrer  Pnc_18.51c
ÃkÃrayitum etayÃ  Pnc_2.69b
ÃkÃÓagaÇgÃjalaveïikeva  Pnc_1.23d
ÃkÃÓata÷ ki¤cidadha÷ prav­ttÃ  Pnc_14.30b
Ãk­tis tasya sÃ mude  Pnc_11.37d
Ãk­«ÂakarïotpalavibhramÃïi  Pnc_14.5b
Ãk­«ÂanÃnÃvidhapu«pagandha÷  Pnc_14.27b
Ãk­«ya bhartum ÃnÅtam  Pnc_6.109c
Ãk­«yamÃïasya ÓarÃsanasya  Pnc_17.55b
ÃkrÃntadiÇmaï¬alakuntalendra-  Pnc_1.74a
Ãk«ipya muktÃ÷ kapaya÷ k«ipanti  Pnc_14.45d
Ãk«ipya hÃrÃn nijavikramÃgni-  Pnc_1.70a
ÃkhyÃtavÃn smitasudhÃsnapitau«Âhabimbas  Pnc_13.65c
Ãgrata÷ kautukena sa  Pnc_2.20d
ÃghrÃtarÃmÃmukhapadmagandha÷  Pnc_14.41b
ÃcumbatÅ pÃï¬ukapolalekhaæ  Pnc_9.21c
ÃjÃnubÃhum avalokya narendracandram  Pnc_18.7b
Ãj¤Ãm ivodgho«ayati smarasya  Pnc_1.29d
Ãj¤Ã vilaÇghyate tÃta  Pnc_11.119c
Ãj¤aiva hetur iha te ÓayanÅk­togra-  Pnc_gp.4c
Ãtapatraæ ca bhÆtale  Pnc_11.71d
Ãtapatraæ vyarÃjata  Pnc_2.5b
ÃtapatrÅbhavaty ada÷  Pnc_2.65d
Ãtithyam ak«ïo÷ katham anyathaivam  Pnc_9.4c
Ãtithyam attithipriya÷  Pnc_11.38d
Ãtithyam e«a kurute param aÇgalekhÃ-  Pnc_4.62c
ÃttacÃpaÓ cakÃra sa  Pnc_2.31d
ÃttacÃpo vane vane  Pnc_2.38b
Ãttadaï¬as tapasyati  Pnc_11.30d
ÃttaprasÃdhanam anaÇgavilÃsaveÓma  Pnc_18.36a
Ãtmana÷ phalitÃm iva  Pnc_11.34d
ÃtmÃnam iva vÃraïam  Pnc_16.62d
ÃtmÃnaæ yÆyam udyatÃ÷  Pnc_16.99d
Ãdade munir apy udyat-  Pnc_11.113c
ÃdÃtum avataæsÃya  Pnc_11.51a
ÃdÃtum ÅpsitamahÅndrasuteti ratnam  Pnc_17.75c
ÃdÃya tat kanakakokanadaæ narendra÷  Pnc_17.75b
ÃdÃya ni«pratimapauru«avaijayantÅm  Pnc_18.55b
ÃdÃya sÃdaraphaïÅÓvaradattam arghyam  Pnc_18.2a
ÃdÃyaiva vinirmitÃm  Pnc_16.66b
ÃdÃsyate n­patir adya ÓaÓiprabhÃyÃ÷  Pnc_18.13d
ÃdirÃjÃn manor iva  Pnc_11.75b
ÃdhÆtakÃrtasvaraketuya«tir  Pnc_14.15a
ÃdhmÃtaÓaÇkhasvanamÃæsalo 'gre  Pnc_14.2c
Ãnanena lalitÃk«ipak«maïÃ  Pnc_8.71a
ÃnandakandalÅcittam  Pnc_16.6c
ÃnandabÃ«pasalilÃrdrad­Óo 'rdhamÃrge  Pnc_18.60a
ÃnandÃÓrulavÃ iva  Pnc_11.7d
ÃnandÃÓrulavÃÇkita÷  Pnc_11.70b
ÃnayÃmy adhunaiva tam  Pnc_6.70b
Ãnarca kalpaviÂapiprabhavai÷ prasÆnai÷  Pnc_18.15b
Ãnartayaty e«a patÃkinÅnÃæ  Pnc_14.15c
ÃnÅtayÃ jhaÂiti rÆpam ad­«ÂapÆrvam  Pnc_18.48a
ÃnÅya, bhÆÓakra, ÓaÓiprabhÃyÃ÷  Pnc_9.60d
ÃnÅya tad yo duhitur mamÃsyÃ÷  Pnc_9.44a
ÃnÅyatÃkulatvaæ sÃ  Pnc_6.35a
ÃnÅyamÃnÃ natim ÃnatÃÇgyÃ  Pnc_14.42b
ÃnÅya svayam arpyatÃm  Pnc_16.89d
ÃnetukÃmena bhavantam atra  Pnc_9.48a
Ãnetuæ prayatÃmahe  Pnc_16.49d
ÃpapÃta saramÃÇgada÷ k«aïÃt  Pnc_8.46a
ÃpÃÂalasyÃdharapallavasya  Pnc_9.16d
Ã pÃÂalÃnÃm atirodanena  Pnc_1.87b
ÃpÃï¬urak«Ãmakapolabhitti  Pnc_10.65d
ÃpÃnabhÆr avasitÃsavarÃgadÅrgha-  Pnc_15.69a
ÃpÃsya haæsachadapÃï¬u bÃlÃ  Pnc_14.47b
ÃpÅyamÃnavapur uktim avantinÃtham  Pnc_18.42d
ÃpÆrayanty ardham arÃlakeÓya÷  Pnc_1.31d
ÃpÆritaæ puïyatamÃbhir adbhi÷  Pnc_1.48b
ÃpÆrya tadbhÆmibh­tÃæ yaÓÃæsi  Pnc_1.20d
Ãptaprayatnena tathÃ sa manye  Pnc_9.48c
ÃptenÃlekhyaveÓmani  Pnc_2.1b
ÃbibhratÅ lavalipÃï¬utale kapole  Pnc_18.35d
ÃbhÃti kandarpadhanurlateva  Pnc_14.42d
ÃbhÃti yasyÃ÷ parikhÃ nitambe  Pnc_1.18c
ÃbhÃnti lÅnabhramarodarÃïi  Pnc_14.35b
Ãma¤jugu¤jatkalahaæsapaÇkti-  Pnc_1.18a
Ãma¤junÃ nÆpurasi¤jitena  Pnc_9.13d
ÃmandraÓaÇkhapaÂahasvanasÆcitaæ prÃk-  Pnc_13.68a
Ã mumoca nijakaïkaïaæ bhuje  Pnc_9.66c
Ãyato 'bhimukham År«yayÃ javÃt  Pnc_8.52c
ÃyÃti yo 'naÇgajayadvipasya  Pnc_1.25c
ÃyÃtu svayam ÃdÃtum  Pnc_16.102c
ÃyÃnti ratnÃni bhavadvidhÃni  Pnc_9.4d
ÃyÃmimÃlÃmaïikÃntidaï¬air  Pnc_14.11a
ÃyÃsyanti pataÇgatÃm  Pnc_16.113d
Ãruhya candra÷ kham ivÃbhirÃmaæ  Pnc_17.43a
Ãropayati pu«pe«u  Pnc_16.33c
Ãropitajyeva jagajjayÃya  Pnc_9.20c
ÃropitatryambakakÃrmukasya  Pnc_9.61d
Ãropyate satsu kulÃcale«u  Pnc_1.9d
Ãrohati parÃæ koÂim  Pnc_6.57c
ÃrdratÃm avagÃhase  Pnc_6.64d
ÃrdravraïÃÇkasya k­pÃrdracittÃ  Pnc_9.21a
ÃrdrÃgaseyaæ gamitÃ prasÃdaæ  Pnc_14.56a
