Angirasasmrti
Based on the ed. by A.N. Krishna Aiyangar: âõgirasasmçti,
Madras : Adyar Library 1953 (Adyar Library Series, 84)



Input by Oliver Hellwig



PADA INDEX



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________





akalpà pariùadyatra  Ang_2,6.2a
ekadvitricatuþpa¤ca-  Ang_1.212c
ekadvitryàrùakaü tathà  Ang_1.346d
ekadhaiva bhaveddhi vai  Ang_1.805d
ekameva vadedgotram  Ang_1.346c
ekameveti kecana  Ang_1.658d
ekavipràkhyapakùasya  Ang_1.695a
ekaviprànekavipra-  Ang_1.694c
ekaviü÷atibhi÷cànyaiþ  Ang_2,4.4c
eka÷eùajamalpakam  Ang_1.117b
eka÷eùajamalpakam  Ang_1.424b
ekasminneva tatpiõóe  Ang_1.394a
ekasminneva divase  Ang_1.272a
ekasminneva divase  Ang_1.948c
ekàda÷a kilà 'ùñakàþ  Ang_1.729b
ekàda÷e dvàda÷e và  Ang_1.879c
ekà÷aucena và pa÷càd  Ang_1.54a
ekàhaü vàgnihotravàn  Ang_2,9.11d
ekenaiva hi kàritam  Ang_1.1074d
ekoddiùñaü ùoóa÷aü ca  Ang_1.980c
ekoddiùñaü ùoóa÷aü ca  Ang_1.991a
ekonaviü÷atidina-  Ang_1.930c
eko 'pi pariùadbhavet  Ang_2,4.5f
etattu vihitaü puõyaü  Ang_2,12.7a
etatteti ca mantreõa  Ang_1.854a
etattrayàtpårvakasya  Ang_1.675a
etatpàtakayuktànàü  Ang_2,12.8a
etatsamaùñirlokànàü  Ang_1.495a
etatsarvaü caikapàtre  Ang_1.531a
etadasti hyanuùñhànaü  Ang_1.711c
etaduccàraõà÷aktau  Ang_1.827c
etaddhai varaõaü proktaü  Ang_1.777a
etadyogapradhànàya  Ang_2,6.5a
etadviruddhaü tatsarvaü  Ang_1.673a
etanmantratrayaü vàcà  Ang_1.826a
etanmantratrayaü ÷ràddhe  Ang_1.826c
etanmàtre kçte tu cet  Ang_1.617b
etasminnantare tatra  Ang_1.586a
etasmin panase labdhe  Ang_1.541c
etasya paramo mukhyas  Ang_1.1039c
etàdç÷eùu kçtyeùu  Ang_1.217a
etàvantyeva bhåtale  Ang_1.349d
etàvantyeva sarvatra  Ang_1.351a
etàsàü tanayàþ sarve  Ang_1.457a
ete kàlavi÷eùakàþ  Ang_1.652b
ete doùà bhavantãha  Ang_2,8.4a
eteùàmamlayogena  Ang_1.528a
eteùàü punareva vai  Ang_1.528d
eteùàü màsajànàü syàd  Ang_1.506a
eteùàü vihitaü puõyaü  Ang_2,11.11a
eteùàü svasya kevalam  Ang_1.1069b
etairmantrairbhaveddhi tat  Ang_1.830d
etai÷ca gàvo na hi bandhanãyà  Ang_2,10.9c
etaiþ saüyujyate yo 'nyaþ  Ang_2,7.8c
evamanyeùu navasu  Ang_1.406a
evamàha pitàmahaþ  Ang_1.377d
evamàha purà bhçguþ  Ang_1.223d
evamàha prajàpatiþ  Ang_1.300d
evamuddi÷ya varõeùu  Ang_2,5.10a
evametatsamàsàdya  Ang_2,6.4a
evameva kùurasnànaü  Ang_1.255c
evameva tathànyo 'pi  Ang_1.1051a
evameva punastvatha  Ang_1.408b
evameva prakartavyo  Ang_1.700c
evameva bhavedanyas  Ang_1.331a
evaü kçteùu teùveùu  Ang_1.335c
evaü jàtàni gotràõi  Ang_1.348c
evaüjàtãyakà ye syus  Ang_1.1068a
evaü tulàyàü tritayaü  Ang_1.533c
evaü taiþ samanuj¤àtaþ  Ang_2,3.5a
evaü dvitrivibhedataþ  Ang_1.404d
evaü dhçti÷ca pàta÷ca  Ang_1.656c
evaü niùkçtirãrità  Ang_1.192d
evaü pakùadvayaü smçtam  Ang_1.985d
evaü pa¤catriü÷avarùa-  Ang_1.151a
evaü pa¤cada÷àrùaü ca  Ang_1.348a
evaü pàpàtsamuddhçtya  Ang_2,7.4c
evaü pitàmahe jãve  Ang_1.107a
evaü pitçvyatanaya-  Ang_1.409c
evaü pårvaü mayàpyuktaü  Ang_2,4.6a
evaü bhavenmahàdoùas  Ang_2,6.14c
evaü màtuþ sapiõóe tu  Ang_1.1006a
evaü varùàùñake 'tãte  Ang_1.64a
evaü satyatra kàlataþ  Ang_1.354b
evaü satyatra janane  Ang_1.343a
evaü satyatra yaþ ka÷cid  Ang_1.555a
evaü satyatra yo martyaþ  Ang_1.543a
evaü sarvaikani÷cayaþ  Ang_1.624b
evaü sthitaü punarvacmi  Ang_1.289c
evaü syàdgrahaõa÷ràddhaü  Ang_1.480c
eùàmanyatamaü yaccàpy  Ang_2,12.6a
eùàmeva tu vçddhànàü  Ang_2,5.6c
eùàü laghuùu kàryeùu  Ang_2,4.7a
eùu caiko 'thavà na cet  Ang_1.494d
okàraü vedameva ca  Ang_2,11.5d
odana÷ràddhamàtrasya  Ang_1.650c
oükàramàditaþ kçtvà  Ang_2,12.3c
oü tatheti ca codite  Ang_1.777d
oü bhårbhuvaþ suvariti  Ang_1.787a
oü svadhàmiti vai vadet  Ang_1.891b
auttare hyayane samyak  Ang_1.655c
aupàsanaü vinà homam  Ang_1.1022a
aupàsane tvanàrabdhe  Ang_1.85c
aurasaü brahmavàdinaþ  Ang_1.414d
aurasaþ kathito budhaiþ  Ang_1.413d
aurasena samà hi te  Ang_1.413b
aurasenaiva tulitau  Ang_1.421a
auraso dharmapatnãjo  Ang_1.446c
auraso nàtra saü÷ayaþ  Ang_1.380d
auraso vayasà nyåno  Ang_1.378a
auraso hyatiricyate  Ang_1.446b
auùadhaü snehamàhàraü  Ang_2,10.14a
auùadhàdikriyàva÷àt  Ang_1.173b
kakùyànantaraniùñhena  Ang_1.470a
kañibhaïge tathaiva ca  Ang_2,10.10b
kañutiktarasàdibhiþ  Ang_1.175b
kaõa÷aþ kaõa÷aþ sadbhyaþ  Ang_1.334c
kaõñakàni tato bhåyaþ  Ang_1.570a
kaõñhato vàpi yatnena  Ang_1.247c
kaõñhahçt kanakaprabhaþ  Ang_1.517b
kathayà tçptireteùàü  Ang_1.1020a
kathaü tatkarmakaraõaü  Ang_1.185a
kathàþ kà÷cana santatam  Ang_1.1012b
kathitaü janmamocakam  Ang_1.485d
kathitaþ paramo mahàn  Ang_1.702b
kathitàstà rajasvalàþ  Ang_1.927d
kathitàþ kila sarvàõyapy  Ang_1.657a
kadalyàdidrumaiþ saha  Ang_1.545b
kadàcittu parasparam  Ang_1.382d
kadàcittu vi÷eùataþ  Ang_1.731d
kadàcidadhikastathà  Ang_1.598d
kadàcidapi no labhet  Ang_1.397d
kadàciddaivayogataþ  Ang_1.290d
kadàciddharmakçtyànàü  Ang_1.218a
kadàcinna pçthaktvena  Ang_1.384c
kadàcinna bhavatyeva  Ang_1.274c
kaniùñho dharmato datto hy  Ang_1.380a
kandamålàdikàn kàü÷cid  Ang_1.1013c
kanyàdànaü pitç÷ràddhaü  Ang_1.742a
kanyàdåùã gavàü ca hà  Ang_2,7.9b
kabale tu subhu¤jàne  Ang_1.952a
karakà kaluùaghnã yà  Ang_1.922c
karaõàjjàtakàdãnàü  Ang_1.207a
karaõãya udãryate  Ang_1.776b
karatoyà kàlatoyà  Ang_1.932c
kariùya iti vàgukti-  Ang_1.268c
kariùye karma caiveti  Ang_1.775a
karoti pitçtçptaye  Ang_1.486d
karoti vaidikaü karma  Ang_1.256c
karomyevaü na saü÷ayaþ  Ang_1.363b
karõakàro 'kùirogaghnaþ  Ang_1.516a
kartavya iti cettataþ  Ang_1.792d
kartavyatvena coditaþ  Ang_1.615b
kartavyatvena ÷àstrataþ  Ang_1.262b
kartavyaþ putrasaügrahaþ  Ang_1.304d
kartavyo vàcikaþ paraþ  Ang_1.269d
kartà kàrayità càpi  Ang_1.99c
kartà 'nàcamya yadbhoktà  Ang_1.783a
karturdharmeõa ÷àstrataþ  Ang_2,6.6b
kartuþ ÷ràddhasya kà gatiþ  Ang_1.954d
kartuþ saüpadyate kila  Ang_1.266b
kartçbhoktçmahàdoùa-  Ang_1.900a
kardamàóhyaþ kardamàdhaþ  Ang_1.523c
karmakàle tadà÷aucaü  Ang_1.24c
karma kuryàtpramàdataþ  Ang_1.129b
karma kuryàt prayatnataþ  Ang_1.137d
karma kuryàtprayatnataþ  Ang_1.311d
karmakçddattakastadà  Ang_1.435d
karmañhà÷càpi và bhavan  Ang_1.1057b
karmaõastasya kevalam  Ang_1.90d
karmaõàmekato dhanam  Ang_1.333d
karmaõo 'karaõe jàta-  Ang_1.15c
karmaõo bàdhakàyaiva  Ang_1.847c
karmaõo vaidikasyaivaü  Ang_1.42a
karma tatpurato nånaü  Ang_1.444c
karmataþ punaràcaret  Ang_1.146d
karma naimittikaü tasmàd  Ang_1.252a
karmandã brahmabhåtasya  Ang_1.112c
karmabhiþ satkçteùvapi  Ang_1.459d
karmamadhyàdhikatvataþ  Ang_1.803d
karmamadhye puràõokta-  Ang_1.6a
karmamadhye paitçke 'smin  Ang_1.899c
karmamàtrasya sarvatra  Ang_1.268a
karmamàtraü vi÷eùataþ  Ang_1.144b
karma÷eùaü samàpayet  Ang_1.90b
karmasàdguõyamapyati  Ang_1.902b
karmàõi kàni khyàtàni  Ang_1.660c
karmàõi manubhi÷caret  Ang_1.5b
karmàyogyaü pracakùate  Ang_1.255d
karmà ÷uddho bhavettataþ  Ang_1.182b
karùakaü vàrdhuùiü vçùam  Ang_1.755b
kalatre sati putre và  Ang_1.451c
kalatraiþ parivàrai÷ca  Ang_1.863a
kalikà varuõà vàmà  Ang_1.928a
kaliïgaþ kalivàrukaþ  Ang_1.511b
kalpasya pariùadbalam  Ang_2,6.1b
kalpo và pariùadvinà  Ang_2,6.2b
kalyàõavàrtàkopàdi-  Ang_1.1026a
kalyàõàdhàra ã÷àna  Ang_1.520c
kalyàõeùu naveùu ca  Ang_1.593b
kaviü caiva dvitãyake  Ang_1.608d
kasmaicidvipraputràya  Ang_1.561c
kasyacidbràhmaõasya vai  Ang_1.964b
kàke haüse ca gçdhre ca  Ang_2,10.16a
kàcidbhavati kasyacit  Ang_2,12.14b
kà tçptiriti vai taràm  Ang_1.1091d
kànicicchuùkabhedataþ  Ang_1.529d
kàmakçt kàmavàrakaþ  Ang_1.510b
kàmajàniti cocire  Ang_1.415b
kàmanãyà kalàvatã  Ang_1.922b
kàmapraü kàmadaü kamraþ  Ang_1.511a
kàmavàhã kàmadåraþ  Ang_1.510c
kàmàttaddviguõaü bhavet  Ang_2,10.18b
kàmã cenna tu bhojanam  Ang_1.299d
kàmyeùu sakaleùvapi  Ang_1.593d
kàyakçtyavi÷eùajàþ  Ang_1.900d
kàyayoreva saübandhaþ  Ang_1.226a
kàrakaþ kila kàritaþ  Ang_1.603b
kàrakàõi mahàtçptes  Ang_1.474c
kàraõàntarasaügatyà  Ang_1.40c
kàrayejjyeùñhamukhatas  Ang_1.431a
kàrayedvipramukhataþ  Ang_1.832a
kàra re re kçtã bhava  Ang_1.577b
kàravallã trayã kàruþ  Ang_1.510a
kàravallyàdayo yåyaü  Ang_1.577c
kàra÷ca kàravallãkaþ  Ang_1.568c
kàriõa÷càpyupasthànaü  Ang_2,6.1c
kàrukaþ kàliko karut  Ang_1.568d
kàruõya÷ràddhamàcaret  Ang_1.1036d
kàruõyaþ kanakapriyaþ  Ang_1.513b
kàruõyànàmiti sthitiþ  Ang_1.1042b
kàruõyànàü yadà punaþ  Ang_1.1035d
kàruõyànàü samàcaret  Ang_1.275b
kàrmukaþ karmakçtkàryo  Ang_1.513c
kàryaü nà 'vedinàü taràm  Ang_1.734d
kàryaü bhavati tacchràddhaü  Ang_1.1032a
kàryaü vàpyanyathoktaü và  Ang_2,6.2c
kàryaü sarvaprayatnena  Ang_2,3.11c
kàryaþ syàttu na cànyataþ  Ang_1.629d
kàryàkàryavini÷citàþ  Ang_2,4.3d
kàryàõàü ca balàbalam  Ang_2,3.7d
kàryàõi niyamena vai  Ang_1.731b
kàryàõi pari÷odhane  Ang_2,6.5b
kàryàõyeva samantrataþ  Ang_1.1104b
kàlabhedeùu santatam  Ang_1.865d
kàlasåtragato bhavet  Ang_1.194d
kàlasya tu yathoktasya  Ang_2,12.9c
kàle kàle ÷anaiþ ÷anaiþ  Ang_1.863d
kàvya÷rãþ ÷rãkaraþ ÷rãgaþ  Ang_1.524c
kà÷à da÷avidhà darbhà  Ang_1.536a
kàùñhabhåtaphalànyapi  Ang_1.247d
kàùñhamålakandabhàõóa-  Ang_1.1025a
kàùñhai÷chàyàbhireva ca  Ang_1.501b
kimanyeùàü karmaõàü tu  Ang_1.19c
kimarthaü nàkarorvibho  Ang_1.570d
kilbiùaü bhu¤jate bhoktà  Ang_2,8.5c
kiü tu tåùõãü tadambuvat  Ang_1.246d
kiü tu so 'yamaputravàn  Ang_1.319d
kiü te kàryaü kimarthaü và  Ang_2,2.10a
kiü tvagnaukaraõàdbrahma-  Ang_1.631a
kiü bhavediti sàdhubhiþ  Ang_1.845d
kiü vàcyamasti tajj¤àtvà  Ang_1.411a
kiü và mçgayase dvija  Ang_2,2.10b
kãrtitàni dvàda÷a hi  Ang_1.613a
kukùau tiùñhati yasyànnaü  Ang_1.735a
kuñumbàtpracyutasya ca  Ang_2,9.10b
kuõóakaü golakaü vràtyam  Ang_1.754c
kuõóo 'kuõóo guóapriyaþ  Ang_1.514b
kutapasya tu yatra syàl  Ang_1.654c
kutapaü nàvalokayet  Ang_1.687b
kutape taddine bhåyas  Ang_1.785c
kutape taddhi kurvãta  Ang_1.649c
kutape 'smin tathà ' 'caret  Ang_1.655d
kutapo mukhya ucyate  Ang_1.651b
kutapo vedavacasà  Ang_1.653a
kutsavatsàgnibharata-  Ang_1.490c
kunakhaü ÷yàvadantakam  Ang_1.743d
kumbhàóaþ kuõóalã cakraþ  Ang_1.520a
kumbhodbhavo dadhãcirvà  Ang_1.493c
kuryàcchràddhaü mahàlayam  Ang_1.704b
kuryàjjapyaü tu nitya÷aþ  Ang_2,12.2d
kuryàttatra na såtakã  Ang_1.103b
kuryàttadvidhinà no cet  Ang_1.1003c
kuryàtputrasya saügraham  Ang_1.411d
kuryàtprà¤jalinà dvijaþ  Ang_1.896d
kuryàdaharahaþ ÷ràddham  Ang_1.877c
kuryàdàcamanakriyàm  Ang_1.783b
kuryàdàbdikaparyantaü  Ang_1.877a
kuryàdàsanameva và  Ang_2,12.4b
kuryàditi manormatam  Ang_1.102b
kuryàdekàda÷e 'hani  Ang_1.111d
kuryàdeva pituþ ÷ràddha-  Ang_1.717a
kuryàdeveti sà ÷rutiþ  Ang_1.706b
kuryàdeveti hàrãto  Ang_1.264a
kuryàdvà kàrayedvàpi  Ang_1.183a
kuryàdvà na tu và dvayam  Ang_1.711b
kuryànsnàna÷ataü yadi  Ang_1.181d
kuryuste bàndhavàstayà  Ang_1.990b
kurvantã bhojanaü bhartur  Ang_1.871a
kurvan svavçtyà prayatan  Ang_1.547c
kurvãta manasà saüdhyàü  Ang_1.95c
kurvãtaiva tathà dar÷aü  Ang_1.880c
kulakoñisahasrakaiþ  Ang_1.547d
kula÷ãlasamanvitaþ  Ang_2,5.5b
kulaü kàrã manurmànã  Ang_1.512a
kulaü tasya vina÷yati  Ang_1.399d
kulaü tàrayate teùàü  Ang_1.735c
kulàlànàü purohitaþ  Ang_1.765b
ku÷akà÷aistu badhnãyàd  Ang_2,10.6a
ku÷alaþ karmasukhakçt  Ang_1.517a
kusåleùu dukåleùu  Ang_1.1016a
kåpasthàne tathàraõye  Ang_2,8.16a
kåùmàõóagaõapàñhataþ  Ang_1.190d
kåùmàõóàdãn pañhaüstathà  Ang_1.200d
kçcchramaïgirasà svayam  Ang_2,11.11b
kçcchramaïgirasà svayam  Ang_2,12.7b
kçcchraü vidhànataþ kçtvà  Ang_1.202a
kçchrebhyo 'pi vi÷iùyate  Ang_1.43b
kçtakarmatrayakçto  Ang_1.303a
kçtakçtyaþ sukhãtaràm  Ang_1.466d
kçtatrayavivàhasya  Ang_1.402a
kçtadàraþ kçtakriyaþ  Ang_1.126d
kçtadàraþ kçtakriyaþ  Ang_1.135d
kçtanityakriyasya vai  Ang_1.161d
kçtapràyà iti tathà  Ang_1.730c
kçtamanyaiþ punaþ kriyàü  Ang_1.124d
kçtavaivàhikasya sà  Ang_1.450d
kçtasarvapitçkriyaþ  Ang_1.307d
kçtaü karma hi dattena  Ang_1.442c
kçtaü càpi puna÷caret  Ang_1.273d
kçtaü cetkarma tadbhåyaþ  Ang_1.135a
kçtaü cettatpuraü samyak  Ang_1.880a
kçtaü bhavati tatkarma  Ang_1.631c
kçtà eva bhavennånaü  Ang_1.729c
kçtàkçtaü prakathitam  Ang_1.800c
kçtàrthatàü pràpayati  Ang_1.339a
kçtàrdhakùurakarmàõaü  Ang_1.753a
kçtàvàpo vane goùñhe  Ang_2,11.2a
kçtàþ syustàþ kriyàstataþ  Ang_1.803b
kçtinaþ kàla ekakaþ  Ang_1.652d
kçte karmaõi tasya syàd  Ang_1.441c
kçte 'kçte và sàpiõóye  Ang_1.875c
kçtena dhanadànena  Ang_1.333a
kçte pituþ sapiõóatve  Ang_1.997c
kçte 'bhyudayamucyate  Ang_1.842d
kçte sarvaü kçtaü bhavet  Ang_1.1079b
kçtyaü ghoraü hi duùñaü tat  Ang_1.97c
kçtyaü ÷ådraikajãvinam  Ang_1.744d
kçtyaü sarvaü pçthak pçthak  Ang_1.994b
kçtyaü sarvaü yathà labhet  Ang_1.655b
kçtvà ca yàvakàhàrà  Ang_1.204a
kçtvà ca ÷apathaü gàóhaü  Ang_1.387c
kçtvà ca ÷apathaü bàóhaü  Ang_1.362a
kçtvà càndrasahasrakam  Ang_1.206b
kçtvà tatpràrabhetkarma  Ang_1.254c
kçtvà tàmadharadyataþ  Ang_1.907d
kçtvà tu maõóalaü ÷uddhaü  Ang_1.778a
kçtvà tu varaõaü pa÷càd  Ang_1.777c
kçtvànnenàpi taddinam  Ang_1.276b
kçtvà patrapuñaü tvaran  Ang_1.561b
kçtvà pàpaü na gåheta  Ang_2,2.4a
kçtvà pàpàni mànavaþ  Ang_2,10.18d
kçtvà pårvamudàhàrya  Ang_2,1.7a
kçtvàbhya¤janataþ param  Ang_1.263d
kçtvà yatnàtsukhoùõaü ca  Ang_1.243a
kçtvà sukhoùõaü saüskçtya  Ang_1.241a
kçtvaiva pa÷càttacchràddhaü  Ang_1.1042a
kçtsna evocyate 'dhunà  Ang_1.733d
kçtsnakriyàvi÷eùeùu  Ang_1.594a
kçtsnaü yaj¤opavãtakam  Ang_1.801d
kçtsnaü vedamanu vinà  Ang_1.685d
kçtsnàyàþ saükañe 'pi và  Ang_1.58d
kçtsnàrùeyaü tvekagotre  Ang_1.345c
kçtsneùva÷uciùu snànaü  Ang_1.167a
kçùõebho 'nalo grahàþ  Ang_1.637b
këptasyàvçttirityeva  Ang_1.636c
kecanàtràparàmçcam  Ang_1.798b
kecittameva piõóaü tu  Ang_1.982a
kecittu màtçkaü pràhur  Ang_1.985c
kecitpatnyàþ pitçvyasya  Ang_1.1037a
kecidatra pçthakprocus  Ang_1.979c
kecidràtrau tu pårvedyus  Ang_1.785a
kevalaü nàmadhàrakàþ  Ang_2,4.8b
kevalaü rahitàkùare  Ang_1.469b
kailàsàddharaõãdharàt  Ang_1.587b
kai÷cittatra maharùibhiþ  Ang_1.987d
koñyarkagrahasaünibhaþ  Ang_1.181b
koõaikade÷asaüspçùñe  Ang_1.286c
kopinaü kunakhaü ratam  Ang_1.754b
krama÷aþ sarva eva và  Ang_2,7.3d
krameõaiva paraü yàvat  Ang_1.678c
krayeõa pa¤caùàn gçhya  Ang_1.556c
kràntayo dvàda÷a smçtàþ  Ang_1.610d
kriyatàü kimiti prokte  Ang_1.895c
kriyate kçtinà tattu  Ang_1.623a
kriyate darbhapatrakaiþ  Ang_1.860b
kriyate pitçtçptiþ syàd  Ang_1.501c
kriyate yena kena và  Ang_1.622d
kriyà÷atasahasrakàt  Ang_1.120d
kriyà÷atasahasrakàt  Ang_1.423d
kriyàü kuryàjjaóamatiþ  Ang_1.122c
krãóàkarmeva bàlànàü  Ang_2,1.10c
kråragrahàtitaptasya  Ang_1.293a
kro÷asthitanadãsnànàn  Ang_1.266c
klinnavàsàþ samàhitaþ  Ang_2,2.7b
kùaõa÷ca kriyatàmiti  Ang_1.791b
kùaõaü kçtvà prasàdo 'dya  Ang_1.776a
kùaõaü dadyàttu darbheõa  Ang_1.791c
kùatradharmeùu tiùñhataþ  Ang_2,5.12b
kùatriyasyàrdhamàptaü tu  Ang_2,9.2a
kùatriyàõàü tu pàñhakaþ  Ang_2,5.8b
kùatriyàdiùu dar÷anam  Ang_2,5.10b
kùatriyo vàtha vai÷yo và  Ang_2,2.7c
kùàlayenmaõóalopari  Ang_1.779d
kùipenmàtràdiùu triùu  Ang_1.978b
kùipenmàtràdiùu triùu  Ang_1.996d
kùãraü và yadi và dadhi  Ang_2,8.14d
kùuttçùõàpãóitastaràm  Ang_1.463b
kùudrajãvaü kàryajãvaü  Ang_1.758c
kùudrà dãrghà jalairyutàþ  Ang_1.935d
kùunmålo kùunnivàraõaþ  Ang_1.517d
kùurasnànàtparaü yastu  Ang_1.256a
kùurikà kà÷ikà ÷yàmà  Ang_1.924c
kùetraü càpi tathà j¤eyaü  Ang_1.939c
kùetro 'gnestu susaübhåto  Ang_2,12.12c
khaógapàtraü hi kutapo  Ang_1.944a
khaógaü da÷avidhaü màüsaü  Ang_1.536c
khaóge ÷yàmamçge vçke  Ang_2,10.15b
khananàccàdhikajalà  Ang_1.940c
khananotpannasalilà  Ang_1.940a
khanitvà yàmamàtraü và  Ang_1.220c
khanitvaiva vinikùipya  Ang_1.875a
khanyante ca tadà tadà  Ang_1.934d
kharàõi sumahàntyapi  Ang_1.570b
kharvàtmakàstà vij¤eyàs  Ang_1.37a
khale và kaõa eva và  Ang_2,8.12b
khyàto mahàlayaþ sadbhiþ  Ang_1.700a
gaïgà patitapàvanã  Ang_1.908d
gacchatastàvubhau måóhau  Ang_2,6.12c
gajacchàyà tathà caikà  Ang_1.612a
gajacchàyà 'tra no bhavet  Ang_1.691b
gajacchàyà prakãrtità  Ang_1.660b
gajavàsã manasvinã  Ang_1.931d
gaje vàjini và vyàghre  Ang_2,10.15a
gatameva bhaviùyati  Ang_1.35b
gatidà gaõavàrità  Ang_1.929d
gatirårdhvaü na vidyate  Ang_2,8.7d
gate tasmin punastathà  Ang_1.103d
gate 'nna÷ràddhamàcaret  Ang_1.279b
gadàdharamahe÷varau  Ang_1.538d
gandhamàlyavivarjitam  Ang_2,8.11b
gandhàkùatayavàdikam  Ang_1.801b
gandhàkùatasumàdikam  Ang_1.794d
gayasya sumahàtmanaþ  Ang_1.488d
gayàdipuõyakùetràõi  Ang_1.537c
gayàphalgunikà÷àka-  Ang_1.489a
gayàyàü ca mçte 'hani  Ang_1.662d
gayà÷ràddhamathàparam  Ang_1.480d
gayà÷ràddha÷atàdhikam  Ang_1.904d
gayà÷ràddha÷atàdhikàt  Ang_1.564b
gayà÷ràddhasamaþ ko 'pi  Ang_1.702a
gayà÷ràddhasahasrakçt  Ang_1.544d
gayà÷ràddhaü ca phalgunyàþ  Ang_1.476a
gayo ràmo 'thavà ÷rãmàn  Ang_1.494c
garadåùo gaõatrigaþ  Ang_1.526b
garbhàdhànavidhànataþ  Ang_1.91d
gavyameva bhaveddadhi  Ang_2,12.5b
gavyasya payaso 'làbhe  Ang_2,12.5a
gàtrai÷ca ÷irasà caiva  Ang_2,2.8c
gàyakaü vraõinaü kùudra-  Ang_1.757c
gàyatrãda÷asàhasra-  Ang_1.150c
gàyatrãü và vidhànataþ  Ang_1.836b
gàyatrãü vedamàtaram  Ang_1.201b
gàyatrãü vaiùõavãmapi  Ang_1.836d
gàyatrãü sarva÷ånyadàm  Ang_1.838d
gàyatro harilocanaþ  Ang_1.512d
gàyatryà prokùya tatparam  Ang_1.815d
gàyatryà prokùya vai tataþ  Ang_1.822d
gàyatryà và japo no cen  Ang_1.155c
gàrutmatà gatimatã  Ang_1.929c
gàlavastu purà vipro  Ang_1.556a
gà÷caivànuvrajennityaü  Ang_2,11.4a
guóamudgàdikàn madhu  Ang_1.1013b
guóo rasastathoda÷vid-  Ang_2,8.17a
guõàóhyà guõadà ÷eùà  Ang_1.930a
guruõà brahmaõàpi và  Ang_1.502b
gurudrohiõameva ca  Ang_1.749b
gurupriyo vinãta÷ca  Ang_1.592a
gururàtmavatàü ÷àstà  Ang_2,6.7a
guruvahnyatithãnàü tu  Ang_2,8.6a
gurå ràjà yamo vàpi  Ang_2,6.8a
gurvã garbhà garà dharà  Ang_1.924b
gulmahçt kañumålakaþ  Ang_1.521d
guhàvàso guhà÷cayaü  Ang_1.526c
gåhyamànaü tu vardhate  Ang_2,2.4b
gçdhrebhyo và nivedayet  Ang_1.687d
gçhakùetràdikaü sarvaü  Ang_1.100c
gçhasthastu dviràtraü vàpy  Ang_2,9.11c
gçhànna iti mantraü ca  Ang_1.858a
gçhàlaükaraõa na tu  Ang_1.667d
gçhàlaükaraõaü càpi  Ang_1.669a
gçhàlaükaraõaü bhavet  Ang_1.1093d
gçhãta asagotra÷cet  Ang_1.338c
gçhãtuþ syàtsa eva hi  Ang_1.340b
gçhã na ràtrau snàyãta  Ang_1.249c
gçhekùetre 'thavà khale  Ang_2,11.8b
gçhe yatnena taddine  Ang_1.873d
gçhõãyàtàü ca dampatã  Ang_1.303d
gçhõãyàtàü sutaü tataþ  Ang_1.388d
gçhõãyàttu tadantarvai  Ang_1.237a
gçhõãyàdanyajàtiùu  Ang_1.337b
goghno mu¤jãta yàvakam  Ang_2,11.1b
gotranàmànubandhànàü  Ang_1.130a
gotramekaü bhavedevaü  Ang_1.347c
gotraü tatprabhavedapi  Ang_1.348b
gotraü varjyaü vivàhàdàv  Ang_1.354a
gotraü samyak tataþ param  Ang_1.1002b
gotràõi ÷àstrasiddhàni  Ang_1.350a
gotrà÷cettu tataþ punaþ  Ang_1.410d
gotriõastànvicàrya ca  Ang_1.349b
gotre tajjanakasya ca  Ang_1.354d
godàvarã bhãmarathã  Ang_1.918a
godhànyaü kùatriyàdapi  Ang_2,8.10b
gopayitvaiva yatnena  Ang_1.1018a
gopayecchràddhahetave  Ang_1.1015b
gobràhmaõahite rataþ  Ang_2,5.11b
gomatãü ca japedvidvàn  Ang_2,11.5c
gomayena vidhànataþ  Ang_1.778b
gomåtreõa tu saüyuktaü  Ang_2,12.6c
