GRETIL CUMULATIVE PADA INDEX
OF METRIC DHARMA TEXTS AND TEXT PORTIONS

presently including the Smrtis of:

- Aïgiras (Ang_)
- Bçhaspati (reconstructed): Vyavahàrakàõóa (Brh_1.)
- Kàtyàyana (K_)
- Manu (Mn_)
- Nàrada (Nar_)
- Parà÷ara (Par_)
- Viùõu [metric portions] (Vi_)
- Yàj¤avalkya (Yj_)
- Yama, version with 78 verses (YS78v_)
- Yama, version with 99 verses (YS99v_)
- Yama, version with 185 verses in 5 adhyàyas (YS182v_)
- Yama, South Indian recension (YSS_)



___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ğ             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ı             253   
visarga                 ş             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
http://gretil.sub.uni-goettingen.de/gretil/gretdiac.pdf
and
http://gretil.sub.uni-goettingen.de/gretil/gretdias.pdf

For further information see:
http://gretil.sub.uni-goettingen.de/gretil.htm

___________________________________________________________________





akatra prativàsinaş (?)  K_892b
atharvàïgirasaş pañhan  Yj_1.44b
atharvàïgirase tathà  Yj_1.313d
atha vased yadà ràtràv  YS99v_65a
athavà kàlaniyamo  Nar_1.152a
atha và kitavo ràj¤e  K_939a
athavà taü triyambakam  Ang_1.837b
athavànumato yaş syàd  Nar_1.174a
athavà pa¤casaükhyayà  Ang_1.680b
atha vàpy abhyasan vedaü  Yj_3.204a
athavà bràhmaõàs tuùñàş  Par_6.54c
athavà vàmadaivyena  Par_11.18c
atha và syàc chikhàjañaş  Mn_2.219b
atha viü÷ativarùàõi  K_300a
athavaitaddine tu yaiş  Ang_1.617d
atha ÷aktivihãnaş syàd  Nar_1.112a
atha sarpeõa daùño và  Nar_11.32c
atha svahastenàråóhas  K_370a
athàto dravya÷uddhis tu  Par_7.1a
athàto yamadharmasya  YS182v_1.1a
athàto hima÷ailàgre  Par_1.1a
athàto hy asya dharmasya  YS78v_1a
athàvedya prayuktas tu  K_763c
athopagamayed enaü  Nar_5.30c
athopapàtakà÷cintyàs  Ang_2,12.9a
atho và rajatànvitaiş  Mn_3.202[192M]b
adagdhaş ÷uddhim àpnuyàt  Yj_2.107b
adagdhaş sarvato yas tu  Nar_20.20c
adagdho yo vibhàvyate  Nar_20.21b
adaõóaü taü visarjayet  K_826d
adaõóyà garbhiõã gau÷ ca  Nar_11.29c
adaõóyàn daõóayan ràjà  Mn_8.128a
adaõóyà hastino '÷và÷ ca  Nar_11.29a
adaõóyo mucyate ràj¤à  Mn_8.202c
adaõóyau ca prakãrtitau  Nar_1516.21b
adattatyaktavikrãtaü  K_614c
adattaü tad api smçtam  Nar_4.10d
adattaü tu bhayakrodha-  Nar_4.08a
adattaü ùoóa÷àtmakam  Nar_4.03d
adattàdànanirataş  Yj_3.136a
adattàdàyako daõóyas  Nar_4.11c
adattànàm upàdànaü  Mn_12.7a
adattàny agnihãnasya  Yj_1.160c
adattàny upayu¤jàna  Mn_4.202[203M]c
adatte 'nyatra samayàn  Nar_8.10c
adattvà tu mçte dàpyas  K_566c
adattvà tu mçte dàpyas  K_654c
adattvà tu ya etebhyaş  Mn_3.115[105M]a
adattvaiva di÷aü vrajet  K_507b
adatşõàü ca jànatàm  Ang_2,6.14b
adadat kàrayitvà tu  Nar_6.7c
adadad dhi samàpnoti  Yj_2.36c
adadad yàcyamànas tu  Nar_1.101c
adar÷ane vç÷cikasya  Ang_1.714a
adar÷ayan sa taü tasmai  K_535c
adar÷ayan sa taü tasya  Mn_8.158c
adar÷ayitvà tatraiva  Mn_8.155a
adàtari punar dàtà  Mn_8.161a
adàtà karùaka÷ caiva  Par_2.10a
adàyikaü ràjagàmi  K_931a
adàsa iti coktvà triş  Nar_5.41c
adàsaü dàsajãvanam  Mn_10.32b
adàsaü prãtamànasaş  Nar_5.40b
aditsaüs tyàgam arhati  Mn_10.113d
adãyamànà bhartàram  Mn_9.91a
adãrghasåtraş smçtimàn  Yj_1.310a
aduùñam eva kàle tu  K_686c
aduùña÷ ced varo ràj¤à  Nar_12.32c
aduùñasyaiva yo doùàn  K_774a
aduùñaü va rtvijaü yàjyo  Nar_3.09c
aduùñàm utsçjed varaş  Nar_12.35b
aduùñà saütatà dhàrà  Par_7.35a
aduùñàü tu tyajan daõóyo  Yj_1.66c
aduùñàü yoùitaü hatvà  K_806c
adåùitànàü dravyàõàü  Mn_9.286a
adåùyaü caiva viprendraü  YS182v_3.40c
adçùñam adbhir nirõiktaü  Mn_5.127[125M]c
adçùñà÷ràvitaü ca yat  K_292b
adeyam atha deyaü ca  Nar_4.02a
adeyaü syàd ato 'nyathà  K_640d
adeyàny àhur àcàryà  Nar_4.05c
ade÷akàladattàni  K_437a
ade÷akàladçùñatvàd  Nar_19.17c
ade÷akàlasaübhàùaü  Yj_2.284c
ade÷yaü ya÷ ca di÷ati  Mn_8.53a
adaivaü pàrvaõa÷ràddhaü  Ang_1.876c
adaivaü bhojayec chràddhaü  Mn_3.247[237M]c
adaivaü bhojayec chràddhaü  YS99v_81c
adaivikàni ca punas  Ang_1.681c
adaivikàni proktàni  Ang_1.683c
adbhir eva dvijàgryàõàü  Mn_3.35a
adbhir eva vi÷udhyati  Mn_5.112[111M]b
adbhir gàtràõi ÷udhyanti  Mn_5.109[108M]a
adbhir målaphalena và  Mn_3.267[257M]b
adbhir målaphalena và  Mn_4.29b
adbhis tãrthena dharmavit  Mn_2.61b
adbhis tu prakçtisthàbhir  Yj_1.20c
adbhis tu prokùaõaü ÷aucaü  Mn_5.118[117M]a
adbhiş kurvãta kevalam  Ang_2,11.3b
adbhiş khàni ca saüspç÷et  Mn_2.53d
adbhiş prakùàlanaü proktam  Par_5.6c
adbhiş pràõàn upaspç÷et  Mn_4.143b
adbhiş ÷aucaü vidhãyate  Mn_5.118[117M]d
adbhyo gandhaguõà bhåmir  Mn_1.78c
adbhyo 'gnir brahmataş kùatram  Mn_9.321a
adyàc caitad akutsayan  Mn_2.54b
adyàt kàkaş puroóà÷aü  Mn_7.21a
adyàt samyak sutàrthinã  Mn_3.262[252M]d
adyàn mantrair viùàpahaiş  Mn_7.217[221M]d
adravyo bharaõaü striyàş  Yj_1.76d
adriràjo dharmade÷ã  Ang_1.518c
adroheõa ca bhåtànàü  Mn_4.148c
adroheõaiva bhåtànàm  Mn_4.2a
advàreõa ca nàtãyàd  Mn_4.73a
advitãyà gatà caiva  Par_10.32a
adhanasya hy aputrasya  Nar_1.19a
adhanàs traya evoktà  Nar_5.39a
adhamarõàd vibhàvitam  Mn_8.47d
adhamarõàrthasiddhyartham  Mn_8.47a
adhamaü yàcamànàya  Par_1.29c
adhamàn adhamàüs tyajet  Mn_4.244[245M]d
adhamà madhyamàgryà ca  Mn_12.41c
adhamottamamadhyamàş  Yj_2.155d
adhamottamamadhyànàü  K_665a
adhamo bhàravàhaş syàd  Nar_5.21c
adharmataş pravçttaü tu  K_074a
adharmadaõóanaü loke  Mn_8.127a
adharmadaõóanaü svarga-  Yj_1.357a
adharmadaõóasàhasaü  YSS_2.14b
adharmaniyamàya ca  Mn_8.122d
adharmaprabhavaü caiva  Mn_6.64a
adharmàd api ùaóbhàgo  Mn_8.304c
adharmàya yadà ràjà  K_078a
adharmeõa ca yaş pràha  Mn_2.111a
adharmeõaidhate tàvat  Mn_4.174a
adharmo nçpater dçùño  Mn_9.249c
adharmo vidyate bhuvi  Mn_8.381b
adhastàd a÷natà tathà  Yj_1.106b
adhastàn nopadadhyàc ca  Mn_4.54a
adhaş÷ayanam eva ca  Nar_12.91b
adhaş÷ayyàü guror hitam  Mn_2.108b
adhaş÷àyy analaïkçtaş  Nar_5.09b
adhàrmikaü taskaraü ca  Mn_4.133c
adhàrmikaü tribhir nyàyair  Mn_8.310a
adhàrmikànàü pàpànàm  Mn_4.171c
adhàrmiko naro yo hi  Mn_4.170a
adhikasya ca bhàgau dvau  YS182v_5.23a
adhikaü vàpi vidyeta  Mn_11.7[06M]c
adhikàn ÷odhayed arthàn  K_130a
adhikàracyutaü ca yat  K_944b
adhikàraprabhedena  Ang_1.288a
adhikàritvasidhyarthaü  Ang_1.116a
adhikàro na cànyasya  Ang_1.161a
adhikàro 'bhiyuktasya  K_090a
adhikàro militayor  Ang_1.384a
adhikà vandanãyà÷ca  Ang_1.230a
adhikà÷amatçptaü ca  Ang_1.751a
adhikà saüprakalpità  K_498b
adhikriyata ity àdhiş  Nar_1.108a
adhigacched yadi svayam  Mn_9.91b
adhitiùñhen na ke÷àüs tu  Mn_4.78a
adhiyaj¤aü brahma japed  Mn_6.83a
adhivinnastriyai dadyàd  Yj_2.148a
adhivinnà tu bhartavyà  Yj_1.74a
adhivinnà tu yà nàrã  Mn_9.83a
adhiùñhàtà çõaü dàpyas  K_568c
adhiü yaş karma kàrayet  K_525b
adhãta¤ ca dvijàdibhiş  YSS_2.28b
adhãtavedo japakçt  Yj_3.57a
adhãtasya ca nà÷anam  Yj_3.228d
adhãtya cànuvartante  Mn_6.93c
adhãtya vidhivad vedàn  Mn_6.36a
adhãyànasya nitya÷aş  Par_12.34(33)b
adhãyànàd avàpnuyàt  Mn_2.116b
adhãyàno vivarjayet  Mn_4.101b
adhãyãraüs trayo varõàş  Mn_10.1a
adhãùva bho iti bråyàd  Mn_2.73c
adhairyaü ca malàvaham  Mn_11.70[69M]d
adhodçùñir naiùkçtikaş  Mn_4.196[197M]a
adhyakùàn ku÷alàn ÷ucãn  Yj_1.322b
adhyakùàn vividhàn kuryàt  Mn_7.81a
adhyagnyadhyàvahanikaü  Nar_13.8a
adhyagnyadhyàvàhanikaü  Mn_9.194a
adhyagnyadhyàvàhanikaü  K_894a
adhyàtmaratir àsãno  Mn_6.49a
adhyàpanam adhyayanaü  Mn_1.88a
adhyàpanam adhyayanaü  Mn_10.75a
adhyàpanaü ca kurvàõaş  Mn_4.101c
adhyàpanaü brahmayaj¤aş  Mn_3.70[60M]a
adhyàpanaü yàjanaü ca  Mn_10.77c
adhyàpayan gurusuto  Mn_2.208c
adhyàpayàm àsa pitén  Mn_2.151a
adhyàpyà dharmataş sàdhu  Yj_1.28c
adhyàyaj¤àş pracakùate  Mn_4.102d
adhyàyànàm upàkarma  Yj_1.142a
adhyàvahanikaü caiva  K_896c
adhyetavyaü prayatnataş  Mn_1.103b
adhyetavyaü prayatnena  Par_12.[82](81)c
adhyetavyo 'py ekade÷o  Par_12.33(32)c
adhyeùyamàõas tv àcànto  Mn_2.70a
adhyeùyamàõaü tu gurur  Mn_2.73a
adhvagaü sàrvavedasam  Mn_11.1b
adhvagaş kùãõavçtti÷ca  Ang_2,9.9c
adhvanãno 'tithir j¤eyaş  Yj_1.111a
adhvànaü naiva gacchati  Par_9.51b
adhvànaü và prayàtasya  Ang_2,9.10c
anagnam amçtaü caiva  Yj_1.106c
anagniko na putrã syàd  Ang_1.320a
anagnir aniketaş syàd  Mn_6.43a
anagnir aniketaş syàn  Mn_6.25c
anaóutsahitàü gàü ca  Par_4.6c
anaóutsahitàü gàü ca  Par_12.76(75)a
anaóuhaş ÷riyaü puùñàü  Mn_4.231[232M]c
anaóvàn yoktrayantritaş  Par_9.30b
anadann annam ahnaiva  Mn_5.102[101M]c
anadhãtya dvijo vedàn  Mn_6.37a
anadhyàyam aharni÷am  Mn_4.126d
anadhyàyavaùañkçtam  Mn_2.106d
anadhyàyàn çtàv api  Mn_4.105d
anadhyàyo rudyamàne  Mn_4.108c
anadhyàyau prayatnataş  Mn_4.127b
anantaram ariü vidyàd  Mn_7.158[159M]a
anantaraü viprabhukteş  Ang_1.1096a
anantaraş sapiõóàd yas  Mn_9.187a
anantaraş smçtaş putraş  Nar_12.104a
anantaraş smçtaş såto  Nar_12.114a
anantaràsu jàtànàü  Mn_10.7a
anantaü nàtra saü÷ayaş  YS182v_3.43f
anantaü vedapàrage  Mn_7.85d
anantaü sukham a÷nute  Mn_4.149d
anantà ra÷mayas tasya  Yj_3.166a
anantà÷ ca yathà bhàvàş  Yj_3.132a
ananyapårvikàü kàntàm  Yj_1.52c
ananyaviùayaü kçtvà  Yj_3.111a
anapatyasya putrasya  Mn_9.217a
anapàkçtya mokùaü tu  Mn_6.35c
anapekùitamaryàdaü  Mn_8.309a
anabhikhyàtadoùas tu  Yj_3.300c
anabhij¤o jito mocyo  K_941a
anabhyarcya pitén devàüs  Mn_5.52c
anabhyàsena vedànàm  Mn_5.4a
anayan bhàñayitvà tu  Nar_6.8a
anayan vàhako 'py evaü  Nar_6.9a
anayaivàvçtà kàryaü  Mn_3.248[238M]c
anargheõoparundhatàm  Yj_2.250b
anarcayitvà yo bhuïkte  YS182v_3.25c
anarcitaü vçthàmàüsam  Mn_4.213[214M]a
anarcitaü vçthàmàüsaü  Yj_1.167a
anartha÷ãlàü satataü  Nar_12.93a
anarthitairanàhutair  Ang_2,7.5a
anarhaş sarvakarmasu  Ang_1.54d
anarhàn manur abravãt  Mn_3.150[140M]d
analajvàlayà ÷uddhir  Par_6.75c
analaprabhavaü bhçgum  Mn_5.1d
anavàptaü yad àpnuyàt  Mn_9.209b
anasthnàü caiva hiüsàyàü  Mn_11.141[140M]c
anaü÷au klãbapatitau  Mn_9.201a
anàkàritam apy årdhvaü  Nar_1.96c
anàkàlabhçtas tadvad  Nar_5.24c
anàkàlabhçto dàsyàn  K_731c
anàkàlabhçto dàsyàn  Nar_5.29a
anàkùàritapårvo yas tv  K_804c
anàkùepaş parebhya÷ ca  Nar_18.35c
anàkhyàya dadad doùaü  Yj_1.66a
anàkhyàya prayacchati  Mn_8.224b
anàkhyàya prayacchati  Nar_12.33b
anàkhyàyopapàdayet  Mn_9.73b
anàgamaü bhujyate yan  Nar_1.77a
anàgamaü bhujyamànaü  Nar_1.75c
anàcarann akàryàõi  Mn_10.98c
anàturaş saptaràtram  Mn_2.187c
anàturaş svàni khàni  Mn_4.144a
anàthapretasaüskàràd  Ang_1.141a
anàthaü bràhmaõaü pretaü  Par_3.39a
anàthàs te tu nirdiùñàs  K_962c
anàdir àtmà kathitas  Yj_3.117a
anàdir àtmà saübhåtir  Yj_3.125a
anàdir àdimàü÷ caiva  Yj_3.183a
anàdi÷ càpy ananta÷ ca  Nar_18.13a
anàdiùñasya caiva hi  Yj_3.305d
anàdiùñeùu pàpeùu  Yj_3.326a
anàdçtàs tu yasyaite  Mn_2.234c
anàdeyasya càdànàd  Mn_8.171a
anàdeyaü nàdadãta  Mn_8.170a
anàder àdim icchataş  Yj_3.74d
anàpatsu caredbhaikùyaü  Ang_2,9.6c
anàpadisthaş ÷aktaş san  K_729c
anàmnà tàni kàryàõi  K_951a
anàmnàteùu dharmeùu  Mn_12.108a
anàmnàyaprakalpitam  Nar_10.7b
anàyavyayatas tathà  Nar_14.17d
anàrogyam anàyuùyam  Mn_2.57a
anàrya iti ni÷cayaş  Mn_10.67d
anàryatà niùñhuratà  Mn_10.58a
anàryam àryakarmàõam  Mn_10.73a
anàryàn àryaliïginaş  Mn_9.260d
anàryàyàü samutpanno  Mn_10.66a
anàviùkçtapàpàüs tu  Mn_11.226[225M]c
anàvçte cet tannà÷e  Nar_11.35c
anàvedya tu yo ràj¤e  Nar_M1.40a
anà÷akànalàghàta-  Yj_3.154c
anàhitàgnayo ye 'nye  Par_8.12a
anàhitàgnitàpaõya-  Yj_3.234c
anàhitàgnità steyam  Mn_11.65[64M]a
anàhitàgnir bhavati  Mn_11.38[37M]c
anàhitàgnir varteta  YS78v_48c
aniketo nimigrãvo  Ang_1.519a
anikùeptàram eva ca  Mn_8.190b
anigrahàc cendriyàõàü  Yj_3.219c
anicchataş pràbhavatyàd  Mn_8.412c
anicchantaü ca dàpayet  K_504d
anityam àgato yasmàt  Par_1.42c
anityaü hi sthito yasmàt  Mn_3.102[92M]c
anityo vijayo yasmàd  Mn_7.199[200M]a
anidhàyaiva tad dravyam  Mn_5.143[141M]c
aninditaiş strãvivàhair  Mn_3.42a
anindyà bhavati prajà  Mn_3.42b
anindyàmantraõàd çte  Yj_1.112b
anindyeùu vivàheùu  Yj_1.90c
anindyeùv àtmavçttaye  Yj_1.29d
anipàte tv anà÷inau  Mn_8.185d
anibaddhapralàpã ca  Yj_3.135c
aniyamyàü÷akartéõàü  K_637c
aniyuktas tu kàryàrtham  K_653a
aniyuktà tu yà nàrã  Nar_12.83a
aniyuktàsuta÷ caiva  Mn_9.143a
aniyuktàü ca bandhubhiş  Nar_12.82d
aniyukto bhràtçjàyàü  Yj_3.287a
aniruddho yathàkàlaü  K_755c
anirõãte tu yady arthe  K_070a
anirda÷aü ca pretànnam  Mn_4.217[218M]c
anirda÷àyà goş kùãram  Mn_5.8a
anirda÷àhàü gàü såtàü  Mn_8.242a
anirdiùñas tu sàkùitve  Nar_1.143a
anirdiùñasvaråpakam  K_520b
anirdiùñaü ca tad bhavet  K_520d
anirdiùñaü ca nirdiùñam  K_519a
anirdiùñaü tu vij¤eyaü  K_491c
anirdiùñàü÷ caika÷aphàüù  Mn_5.11c
anirde÷a÷ ca de÷asya  K_248a
anirvàcyo 'khilaiş ÷àstrair  Ang_1.702c
anirvçtaü niyogàrthaü  Mn_9.61c
anivàrayatàü teùàü  Par_9.47c
aniveditavij¤àto  Yj_2.35c
anivedya nçpe daõóyaş  Yj_2.172c
anivedya nçpe ÷udhyet  Yj_3.258a
ani÷citya bhçtiü yas tu  Yj_2.194c
aniùeddhàkùamo yaş syàt  K_834a
aniùñaü càpy aniùñeùu  Mn_7.13c
aniùñaiş saüprayujyate  Yj_3.129d
aniùñoktau guõànvitàş  K_746b
aniùñvà ca hutà÷anaü  YSS_2.33b
aniùñvà caiva yaj¤ai÷ ca  Mn_6.37c
anisçùñaü prave÷ayet  K_527b
anã÷às te hi jãvatoş  Mn_9.104d
anã÷àş strãdhanasyoktà  K_915c
anãhamànàş satatam  Mn_4.22c
anukalpas tv ayaü j¤eyaş  Mn_3.147[137M]c
anukuryàd anubråyàd  K_768c
anukålàm avàgduùñàü  Nar_12.95a
anuktaniùkçtãnàü tu  Mn_11.209[208M]a
anuktamantrapañhanàt  Ang_1.806c
anuktamantraiş kà÷cittu  Ang_1.803a
anuktam etan manyante  K_181c
anuktaü sàdhu kalpitam  K_953d
anuktàbàdhakaü na tu  Ang_1.800d
anukramàt trayasyàsya  Nar_12.14c
anugacchantu devatàş  Ang_1.894d
anugacchettayoş ÷ràddhaü  Ang_1.993c
anugacchen nãyamànaü  Par_3.45c
anugamyàmbhasi snàtvà  Yj_3.26c
anugamyecchayà pretaü  Mn_5.103[102M]a
anugamyecchayà pretaü  Par_3.42a
anugçhõàti dànena  Nar_18.29c
anugrahaü tu vakùyàmi  Ang_2,8.4c
anugràhyo hy ahaü tava  Par_1.12b
anucchiùñena ÷ådreõa  Par_7.21c
anucchiùñena saüspçùñe  YS78v_42a
anucchiùñena saüspçùñe  YS99v_15a
anuj¤ayà tasya varaü  Nar_12.22c
anuj¤àtas tato dvijaiş  Mn_3.253[243M]d
anuj¤àtas tu kurvãta  Par_4.29c
anuj¤àpya ca parùadam  Ang_2,7.6b
anutàparatasya ca  YS182v_4.40b
anutàpàdya[po ya]dà puüsàü[so]  YS182v_4.28a
anutiùñhan samàhitaş  Mn_6.94b
anutiùñhan hi mànavaş  Mn_2.9b
anuttãrõà÷ ca nàsedhyà  K_108c
anutpannaprajàyàs tu  Nar_12.79a
anutpàdya tathà sutàn  Mn_6.37b
anutsàritanirõikte  Nar_M2.42c
anutsçùñà hi lokasya  YSS_2.19c
anudvegakaraü sthiram  K_064b
anudvegakarà néõàü  Mn_2.47c
anupaghnan pitçdravyaü  Mn_9.208a
anupasthàpayan målaü  K_619a
anupasthàpayaüs tathà  Nar_1.105d
anupàkçtamàüsàni  Mn_5.7c
anupàkçtamàüsàni  Yj_1.171c
anupeto 'pyasau yadyapy  Ang_1.430c
anubadhnàti yaş punaş  Nar_1516.11b
anubandhaü parij¤àya  Mn_8.126a
anubhàvã tu yaş ka÷ cit  Mn_8.69a
anubhåtaü tu yad bhavet  K_346b
anubhåya ca duşkhàs  Nar_1.200a
anubhåya pumàn striyam  Nar_6.20d
anumantà vi÷asità  Mn_5.51a
anumanyeta tat tathà  Nar_10.3d
anumànaü vidur hetuü  K_242c
anumànàd guruş sakùã  K_315a
anumàrgeõa kàryeùu  K_611a
anumàsikabhoktàraü  Ang_1.760a
anumàsike 'tra kartavya  Ang_1.951c
anuraktaü sthiràrambhaü  Mn_7.209[213M]c
anuraktaş ÷ucir dakùaş  Mn_7.64a
anuràgàparàgau ca  Mn_7.154[155M]c
anurundhyàd aghaü tryaham  Mn_5.63[62M]d
anuvrajya vidhànena  Ang_1.897c
anuvrajyà ca ÷u÷råùà  Mn_2.241c
anuvrajyàm upàsanàm  Mn_3.107[97M]b
anu÷àsya÷ ca guruõà  Nar_5.12a
anu÷àsyàtha vi÷vàsyaş  Nar_5.13c
anu÷iùñau visarge ca  Nar_1.34c
anu÷iùya striyà saha  Nar_12.86d
anuùñràü÷ caikatodatah  Mn_5.18d
anuùñheyà hi santatam  Ang_1.1113b
anuùõàbhir aphenàbhir  Mn_2.61a
anusçtya gçhãtavyà  Nar_19.6c
anusmçtya bravãmi vaş  Par_1.35b
anåcàne tathà gurau  Mn_5.82[81M]d
anåóhà na pçthak kanyà  YS99v_84a
anådakaü tu tatsarvaü  Ang_2,8.11a
anåpe nau dvipais tathà  Mn_7.192[193M]b
ançcàü yatra bhu¤jate  Mn_3.131[121M]b
ançtasyàpavàdai÷ ca  Nar_1.182c
ançtasyainasas tasya  Mn_8.105c
ançtaü ca samutkarùe  Mn_11.55[54M]a
ançtaü tu vadan daõóyaş  Mn_8.36a
ançtaü maurkhyacoditam  Ang_1.374b
ançtàkhyàna÷ãlànàü  K_778c
ançtàv çtukàle ca  Mn_5.153[151M]a
ançte tu pçthag daõóyà  Yj_2.153a
ançtau càbhradar÷ane  Mn_4.104d
ançtau tu striyaü gatvà  YS99v_16c
anekadharma÷àstraj¤aş  Ang_2,5.5c
anekapadasaükãrõaş  K_136c
anekapitçkàõàü tu  Yj_2.120c
anekaviprapakùe tu  Ang_1.697c
anekàni sahasràõi  Mn_5.159[157M]a
anekàrthàbhiyoge 'pi  K_473a
aneke yasya ye putràş  YS182v_5.14a
anena kramayogena  Mn_2.164a
anena kramayogena  Mn_6.85a
anena tu vidhànena  Mn_9.128a
anena nàrã vçttena  Mn_5.166[164M]a
anena pitçdiïmukhàş  Yj_3.3d
anena vidhinà kàryo  Nar_20.21e
anena vidhinà goghno  Ang_2,11.9a
anena vidhinà jàtaş  Yj_1.69c
anena vidhinà j¤eyaü  K_447c
anena vidhinà dehaü  Yj_1.50a
anena vidhinà nityaü  Mn_5.169[167M]a
anena vidhinà yac ca  K_945c
anena vidhinà yas tu  Mn_11.115[114M]a
anena vidhinà yuktaü  K_043a
anena vidhinà ràjà  Mn_8.178a
anena vidhinà ràjà  Mn_8.343a
anena vidhinà labdhaü  K_645c
anena vidhinà lekhyaü  K_264a
anena vidhinà ÷ràddhaü  Mn_3.281[271M]a
anena vidhinà sarvàüs  Mn_6.81a
anena vidhiyogena  Mn_8.211c
anena vidhir àkhyàta  Yj_2.265c
anena vipro vçttena  Mn_4.260[261M]a
anenà bhavati stenaş  Nar_19.54a
anenaiva tu mantreõa  Ang_1.788c
anauraseùu putreùu  Yj_3.25a
antata÷ ca samety çcà  Mn_11.119[118M]b
antaraprabhavànàü ca  Mn_1.2c
antaràgamane vidyàd  Mn_4.126c
antarà janmamaraõe  Yj_3.20a
antarà da÷àhasya  Par_3.28a
antarà patite piõóe  Yj_2.107c
antarà bràhmaõaü kçtvà  Ang_2,5.12c
antarà mçtasåtake  Par_3.27b
antarikùagatàü÷ caiva  Mn_7.29c
antarikùam çtau tathà  Par_12.62(61)b
antare ca tayor yaş syàt  Yj_2.239c
antaraiva vina÷yati  Mn_10.71b
antargata÷ave gràme  Mn_4.108a
antarjala ubhe saüdhye  Par_6.4c
antarjalà kheyatoyà  Ang_1.933a
antarjale vi÷udhyeta  Yj_3.301c
antarjànu ÷ucau de÷a  Yj_1.18a
antarda÷àhe bhuktvànnaü  Ang_2,9.1a
antarda÷àhe viprasya hy  Par_12.29(28)c
antarda÷àhe syàtàü cet  Mn_5.79[78M]a
antardhànaü smçtiş kàntir  Yj_3.202a
antarbhavanti krama÷as  Mn_12.87c
antarvedyàü tu daivaş syàd  Nar_12.41c
antarve÷mani ràtrau ca  K_367a
antarve÷mani ÷astrabhçt  Mn_7.223[227M]b
antarve÷mani sàhase  Nar_M2.30b
antarve÷many araõye và  Mn_8.69c
antarve÷many aràtiùu  Nar_M1.37b
anta÷ carasi pàvaka  Yj_2.104b
anta÷carasi sàkùivat  Nar_20.22b
antaşkùaya udàhçtaş  Nar_9.14d
antaşpurapracàraü ca  Mn_7.153[154M]c
antaşpracchannapàpànàü  Ang_2,6.7c
antaşsaüj¤à bhavanty ete  Mn_1.49c
ante naiva vadedapi  Ang_1.1076d
ante vàrdhuùikaü dçùñvà  YS182v_3.16c
ante vàrdhuùikaü dçùñvà  YS78v_35c
antevàsã gurupràpta-  Yj_2.184c
antevàsã nivartayet  Nar_5.19d
antevàsã samàcaret  K_714b
antevàsã samàpnuyàt  Nar_5.18b
ante svàhàsamanvitaiş  Yj_1.285d
antyajair gardabhair uùñraiş  Yj_1.273c
antyapakùisthàvaratàü  Yj_3.131a
antyasyàryàgame vadhaş  Yj_2.294d
antyàd aj¤ànato bhuktvà  YSS_1.6a
antyànàm antyayonayaş  Mn_8.68d
antyànàm antyayonayaş  K_351d
antyàbhigamane tv aïkyaş  Yj_2.294a
andhaş ÷atrukulaü gacched  Mn_8.93c
andhe tamasi majjati  Par_4.2b
andho 'cikitsyarogàdyà  Yj_2.140c
andho jaóaş pãñhasarpã  Mn_8.394a
andho matsyàn ivà÷nàti  Mn_8.95a
andho matsyàn ivà÷nàti  Nar_M3.13a
annatyàgaü tataş kçtvà  Ang_1.955c
annatyàgaü prakurvãta  Ang_1.971a
annadànahiraõyakaiş  YS182v_3.59d
annapànasamàdànaiş  Nar_19.10a
annapànendhanàdãni  Mn_7.118[119M]c
annam adyàt samàhitaş  Mn_2.53b
annam adyàd anàpadi  Yj_1.32b
annam abhyudyataü ca yat  Mn_4.247[248M]b
annam a÷naü÷ ca sarvadà  Mn_5.138[136M]d
annamàjyenàbhighàrya  Ang_1.815c
annam àdàya tçptàş stha  Yj_1.241a
annamàdàya pakvàttu  Ang_1.809a
annam iùtaü haviùyaü ca  Yj_1.240a
annam ucchiùñitaü yadà  Par_11.6b
annam eva prayatnataş  Mn_9.333d
annam eùàü paràdhãnaü  Mn_10.54a
anna÷uddhis tathaiva ca  Par_6.67d
anna÷eùaü nivedayet  Mn_3.253[243M]b
anna÷eùo 'khilaş punaş  Ang_1.895b
