Yajnavalkyasmrti

PADA INDEX

Input by Muneo Tokunaga, checked by Yasuke Ikari
Based on the edition: Yajnavalkyasmrti of Yogisvara Yajnavalkya 
With the commentary Mitaksara of Vij¤anesvara, Notes, Variant readings, etc. 
Ed. by Narayan Ram Acharya Nirnayasagara Press, Bombay, 1949.



akÃmata÷ kÃmacÃre  Yj_2.162c
pa¤cayaj¤akriyÃparam  Yj_3.310b
pa¤cayaj¤Ãn na hÃpayet  Yj_1.121d
pa¤ca vÃpi prakÅrtitam  Yj_1.364b
pa¤caviæÓatikaæ damam  Yj_2.205d
pa¤cÃgnir brahmacÃriïa÷  Yj_1.221b
pa¤cÃÓat païikaæ damam  Yj_2.290d
pa¤cÃÓatpaïiko daï¬a  Yj_2.233c
pa¤cÃÓat palikaæ samam  Yj_2.105b
paÂe vÃ tÃmrapaÂÂe vÃ  Yj_1.319a
paÂhet svÃdhyÃyam eva ca  Yj_1.330d
païÃn ardhatrayodaÓÃn  Yj_2.204d
païÃn ekaÓaphe dadyÃc  Yj_2.174a
païÃn dÃpyas tu «o¬aÓa  Yj_2.245d
païÃn dÃpya÷ pa¤ca daÓa  Yj_2.223c
païe tu Óatam ucyate  Yj_2.248b
paï¬ake trapu sÅsakam  Yj_3.273b
païyasyopari saæsthÃpya  Yj_2.253a
païyÃnÃm avijÃnatÃ  Yj_2.258b
païye do«am upÃgate  Yj_2.256b
païye«u prak«ipan hÅnaæ  Yj_2.245c
patanÅyak­te k«epe  Yj_2.210a
patanÅyÃni vikraye  Yj_3.40b
patitas tv anyathÃ bhavet  Yj_1.69b
patitasya bahi÷ kuryu÷  Yj_3.294c
patitÃnÃm e«a eva  Yj_3.296a
patitÃptÃrthasaæbandhi-  Yj_2.71a
patitebhyas tathÃ dvi«a÷  Yj_1.215d
patipriyahite yuktÃ  Yj_1.87a
patilokaæ na sÃ yÃti  Yj_3.256a
pati÷ putrÃs tu vÃrdhake  Yj_1.85b
patnÅ duhitaraÓ caiva  Yj_2.135a
patnya÷ kÃryÃ÷ samÃæÓikÃ÷  Yj_2.115b
patnyÃæ vaiÓvÃnare 'pi vÃ  Yj_1.49d
patyÃ vÃ saha yat k­tam  Yj_2.49b
patraÓÃkaæ ÓikhÅ hatvÃ  Yj_3.213c
pathi grÃmavivÅtÃnte  Yj_2.162a
padaæ vÃ yatra gacchati  Yj_2.272b
padÃni kratutulyÃni  Yj_1.325a
padÃ sp­«Âaæ ca kÃmata÷  Yj_1.168d
paddhastah­dayÃni ca  Yj_3.99b
panthÃ deyo n­pas te«Ãæ  Yj_1.117c
panthÃnaÓ ca viÓudhyanti  Yj_1.194c
payasÃm agnisaænibham  Yj_3.253b
payasÃ vÃpi mÃsena  Yj_3.265c
parakÃyapraveÓanam  Yj_3.202d
paradÃropasevaka÷  Yj_3.136b
paradravyag­hÃïÃæ ca  Yj_2.268a
paradravyÃïy abhidhyÃyaæs  Yj_3.134a
parapÃkarucir na syÃd  Yj_1.112a
parapuæsi ratÃ÷ p­thak  Yj_2.280d
parapÆrvÃpati÷ stena÷  Yj_1.224c
parabhÆmiæ haran kÆpa÷  Yj_2.156c
pararatnÃpahÃraka÷  Yj_3.213b
pararÃ«Âraæ tadÃ vrajet  Yj_1.348b
pararÃ«Âraæ vaÓaæ nayan  Yj_1.342d
paraÓayyÃsanodyÃna-  Yj_1.160a
paraÓ ca hÅna ÃtmÃ ca  Yj_1.348c
parastrÅ«Ættame«u ca  Yj_2.206b
parasparaæ tu sarve«Ãæ  Yj_2.216c
parasya yo«itaæ h­tvÃ  Yj_3.212a
parahastÃd avÃpnuyÃt  Yj_2.172b
paraæ brahmÃdhigacchati  Yj_3.112d
parÃka÷ parikÅrtita÷  Yj_3.320d
parÃkeïÃtha vÃ puna÷  Yj_3.265d
parÃnnaparipu«ÂatÃ  Yj_3.241d
parÃÓaravyÃsaÓaÇkha-  Yj_1.5a
parÃæ siddhim avÃpnuyÃt  Yj_3.204d
paricaryÃ surÃrcanam  Yj_1.209b
parij¤ÃnÃya pÃrthiva÷  Yj_1.318d
paribhÆtÃm adha÷ÓayyÃæ  Yj_1.70c
parivÃdÃdi varjayet  Yj_1.33d
parivindakayÃjanam  Yj_3.238b
pariÓu«yatskhaladvÃkyo  Yj_2.14a
pariÓodhyobhayavyayam  Yj_2.146d
parist­te Óucau deÓe  Yj_1.227c
pareïa bhujyamÃnÃyÃ  Yj_2.24c
pare«Ãæ na tad Ãcaret  Yj_3.65d
pare«Ãæ snÃnasaæyamÃn  Yj_3.14d
parïak­cchra udÃh­ta÷  Yj_3.316d
parïodumbararÃjÅva-  Yj_3.316a
paryÃyÃnnaæ ca varjayet  Yj_1.168b
par«at traividyam eva vÃ  Yj_1.9b
par«ado 'numataæ vratam  Yj_3.300b
palalaudanam eva ca  Yj_1.287b
palaæ suvarïÃÓ catvÃra÷  Yj_1.364a
palÃï¬uæ vi¬varÃhaæ ca  Yj_1.176a
pavitrapÃïir ÃcÃntÃn  Yj_1.226c
pavitrÃïi japet piï¬Ãn  Yj_3.325c
paÓugandhÃæs tathaiva ca  Yj_3.38d
paÓumaï¬Ækanakula-  Yj_1.147a
paÓu÷ pratyayanaæ tathÃ  Yj_1.125b
paÓÆn gacchan Óataæ dÃpyo  Yj_2.289c
paÓÆn vai satsutÃn api  Yj_1.262b
paÓcÃc caivÃpasaratÃ  Yj_2.299c
paÓcÃt tÃpo nirÃhÃra÷  Yj_3.31c
paÓyato 'bruvato bhÆmer  Yj_2.24a
paÓyec cÃrÃæs tato dÆtÃn  Yj_1.328c
paÓyec cec chuddhim ÃpnuyÃt  Yj_2.109d
paÓyed Ãyavyayau svayam  Yj_1.327b
pÃkhaï¬yanÃÓritÃ÷ stenÃ  Yj_3.6a
pÃïinÃ yaj¤akarmaïi  Yj_1.185d
pÃïipÃdaÓalÃkÃÓ ca  Yj_3.85c
pÃïipÆrÃnnabhojana÷  Yj_3.319d
pÃïiprak«Ãlanaæ dattvÃ  Yj_1.229a
pÃïir grÃhya÷ savarïÃsu  Yj_1.62a
pÃtanaæ bhart­hiæsanam  Yj_3.297b
pÃtane cottamo dama÷  Yj_2.277b
pÃtrÃïÃæ camasÃnÃæ ca  Yj_1.183a
pÃtrÃïy u«ïena vÃriïÃ  Yj_1.183d
pÃtre k­tvÃ vidhÃnata÷  Yj_1.235b
pÃtre dÃtavyam arcitam  Yj_1.201b
pÃtre dhanaæ vÃ paryÃptaæ  Yj_3.250a
pÃtre pradÅyate yat tat  Yj_1.6c
pÃdak­cchra÷ prakÅrtita÷  Yj_3.318d
pÃdakeÓÃæÓukakarol-  Yj_2.217a
pÃdaÓaucaæ dvijocchi«Âa-  Yj_1.209c
pÃdaæ pÃdam ajÃvike  Yj_2.174d
pÃdÃdhyÃse Óataæ dama÷  Yj_2.217d
pÃdÃmbhÃæsi samuts­jet  Yj_1.154b
pÃdau pratÃpayen nÃgnau  Yj_1.137c
pÃpayoni«u jÃyate  Yj_3.129b
pÃpaæ cÃvek«ya yatnata÷  Yj_3.293b
pÃpe«u niratÃ narÃ÷  Yj_3.221b
pÃyasÃpÆpaÓa«kulÅ÷  Yj_1.173d
pÃyasena tu vatsaram  Yj_1.258b
pÃyo dadhi ca madyaæ ca  Yj_3.40c
pÃradÃrikacauraæ vÃ  Yj_2.295c
pÃradÃryaæ pÃrivittyaæ  Yj_3.235c
pÃrÓvakÃ÷ sthÃlakai÷ sÃrdham  Yj_3.89c
pÃlado«avinÃÓe tu pÃle  Yj_2.165a
pÃlitaæ vardhayen nÅtyÃ  Yj_1.317c
pÃlo ye«Ãæ na te mocyÃ  Yj_2.163c
pÃvaka÷ sarvamedhyatvaæ  Yj_1.71c
pÃvamÃnya÷ punantu te  Yj_1.281d
pÃvayitvÃ nyaset pathi  Yj_3.35d
pÃÓupÃlyaæ viÓa÷ sm­tam  Yj_1.119d
pÃæsupravar«e digdÃhe  Yj_1.150a
piï¬adÃtÃ ca dharmata÷  Yj_2.127d
piï¬ado 'æÓaharaÓ cai«Ãæ  Yj_2.132c
piï¬amÃtropajÅvinÃm  Yj_1.70b
piï¬ayaj¤Ãv­tÃ deyaæ  Yj_3.16c
piï¬aæ cÃndrÃyaïaæ caran  Yj_3.323d
piï¬Ãt taptÃt sphuliÇgakÃ÷  Yj_3.67b
piï¬Ãæs tu go'javiprebhyo  Yj_1.257a
piïyÃkaæ vÃ kaïÃn vÃpi  Yj_3.254c
piïyÃkÃcÃmatakrÃmbu-  Yj_3.321a
pitara÷ ÓrÃddhadevatÃ÷  Yj_1.269b
pitari pro«ite prete  Yj_2.50a
pitarau bhrÃtaras tathÃ  Yj_2.135b
pitÃ pitÃmaho bhrÃtÃ  Yj_1.63a
pitÃputravirodhe tu  Yj_2.239a
pitur Ærdhvaæ vibhajatÃæ  Yj_2.123c
pitu÷ putrasya caiva hi  Yj_2.52b
pitu÷ putrasya caiva hi  Yj_2.121d
pitu÷ svasÃraæ mÃtuÓ ca  Yj_3.232a
pit­to bhÃgakalpanÃ  Yj_2.120d
pit­dravyÃvirodhena  Yj_2.118a
pit­nÃmakapÆrvakam  Yj_2.87b
pit­nÃmÃdicihnitam  Yj_2.85d
pit­pÃtraæ taduttÃnaæ  Yj_1.248c
pit­putrasvas­bhÃt­-  Yj_2.237a
pit­pÆrvaæ visarjanam  Yj_1.247d
pit­bhya÷ sthÃnam asÅti  Yj_1.235c
pit­bhyÃæ yasya tad dattaæ  Yj_2.123a
pit­mÃt­patibhrÃt­-  Yj_2.143a
pit­mÃt­parÃÓ caiva  Yj_1.221c
pit­mÃt­sutatyÃgas  Yj_3.237c
pit­mÃt­sutabhrÃt­-  Yj_1.86a
pit­yÃno 'javÅthyÃÓ ca  Yj_3.184a
pit­lokaæ candramasaæ  Yj_3.196a
pitÌïÃm apradak«iïam  Yj_1.232d
pitÌïÃæ tasya t­pti÷ syÃd  Yj_3.331c
pitÌïÃæ madhusarpi«Ã  Yj_1.43d
pitÌïÃæ madhusarpi«Ã  Yj_1.46d
pitÌn devÃtithÅn api  Yj_3.46b
pitÌn madhugh­tÃbhyÃæ ca  Yj_1.41c
pitÌn ÓrÃddhena tarpitÃ÷  Yj_1.269d
pitÌæÓ ca madhusarpirbhyÃm  Yj_1.44c
pittÃt tu darÓanaæ paktim  Yj_3.77a
pitros tu sÆtakaæ mÃtus  Yj_3.19a
pitrye 'yugmÃæs tathaiva ca  Yj_1.227b
piÓuna÷ paru«as tathÃ  Yj_3.135b
piÓuna÷ pÆtinÃsika÷  Yj_3.211b
piÓunÃn­tinoÓ caiva  Yj_1.165a
pÅ¬Ãkar«ÃæÓukÃve«Âa-  Yj_2.217c
pÅ¬yamÃnÃ÷ prajÃ rak«et  Yj_1.336c
puïyasthÃne surÃlaye  Yj_2.228b
puïyÃt «a¬bhÃgam Ãdatte  Yj_1.335a
puïye 'hni vidhipÆrvakam  Yj_1.277b
putrapautraprapautrakai÷  Yj_1.78b
putrapautrair ­ïaæ deyaæ  Yj_2.50c
putravanto dhanÃnvitÃ÷  Yj_2.68d
putravÃn annado 'gnimÃn  Yj_3.57b
putrahÅnasya rikthina÷  Yj_2.51d
putraæ Ói«yaæ ca tÃ¬ayet  Yj_1.155d
putraæ Órai«Âhyaæ ca saubhÃgyaæ  Yj_1.265c
putrÃn dehi dhanaæ dehi  Yj_1.291c
putrÃ÷ saætÃnavardhanÃ÷  Yj_1.90d
putro dadyÃn na pait­kam  Yj_2.47d
putro 'nanyÃÓritadravya÷  Yj_2.51c
punar annaæ puna÷ kratu÷  Yj_3.124b
punar ÃjÃyate na tu  Yj_3.109d
punarÃvartino bÅja-  Yj_3.186c
punar eva vrajanti ca  Yj_3.196d
punar dhÃtrÅæ punar gharmam  Yj_3.82a
punarbhÆ÷ saæsk­tÃ puna÷  Yj_1.67b
puna÷pÃkÃn mahÅmayam  Yj_1.187b
puna÷ saæÓrutya saæÓrutÃm  Yj_3.150b
puna÷ saæskÃram arhanti  Yj_3.255c
punÃty uttarajaÓ ca «aÂ  Yj_1.59d
pumÃn apy evam eva hi  Yj_2.292d
pumÃn saægrahaïe grÃhya÷  Yj_2.283a
purÃïanyÃyamÅmÃæsÃ-  Yj_1.3a
purÃ devair vinirmitÃ  Yj_2.101b
purÅ«ÃdhÃnam eva ca  Yj_3.94d
puru«aghnÅm agarbhiïÅm  Yj_2.278b
puru«adve«iïÅ tathÃ  Yj_1.73d
puru«astrÅpramÃpaïe  Yj_2.277d
puru«asyÃsthisaægraha÷  Yj_3.90d
puru«aæ vÃbhimehata÷  Yj_2.293b
puru«Ãn ekaviæÓatim  Yj_1.58d
puru«e«Ættamaæ damam  Yj_2.242d
puru«ais tribhir eva tu  Yj_2.90b
puru«o d­Óyate hi ya÷  Yj_3.119b
puru«o 'n­tavÃdÅ ca  Yj_3.135a
purohitaæ prakurvÅta  Yj_1.313a
pu«paæ citraæ sugandhaæ ca  Yj_1.288a
puæÓcalÅmattavidvi«Ãm  Yj_1.162b
puæÓcalÅvÃnarakharair  Yj_3.277a
puæstvasya pratighÃtak­t  Yj_2.236b
pÆjayitvÃ mahÅpati÷  Yj_2.189d
pÆjitÃ÷ pÆjayi«yatha  Yj_1.307d
pÆtivaktras tu sÆcaka÷  Yj_3.211d
pÆrïe dattvodakaæ Óuci÷  Yj_3.21d
pÆrvakarmÃparÃdhÅ ca  Yj_2.266c
pÆrvakretary ag­hïati  Yj_2.255b
pÆrvapak«e 'dharÅbhÆte  Yj_2.17c
pÆrvavac cÃdharottaram  Yj_1.96d
pÆrvav­ttiæ ca pÃlayet  Yj_2.192d
pÆrvasm­tÃd ardhadaï¬a÷  Yj_2.229c
pÆrvaæ j¤Ãnaæ kathaæ ca na  Yj_3.130b
pÆrvaæ pÆrvaæ guru j¤eyaæ  Yj_2.30c
pÆrvÃ tu balavattarÃ  Yj_2.23d
pÆrvÃd ete yathÃkramam  Yj_1.141d
pÆrvÃbhÃve para÷ para÷  Yj_2.132d
pÆrvÃvedakasaænidhau  Yj_2.7b
pÆrveïa vidhinÃ dadat  Yj_1.206d
pÆrve«Ãæ janmakÃraïÃt  Yj_3.19d
pÆrvoktaæ daï¬am arhati  Yj_2.161d
p­cchakÃ gÆ¬hacÃriïa÷  Yj_2.268b
p­cchaty annaæ gh­taplutam  Yj_1.236b
p­cched vÃpi janaæ Óanai÷  Yj_2.281d
p­thak p­thag daï¬anÅyÃ÷  Yj_2.81a
p­thaksÃntapanadravyai÷  Yj_3.315a
p­thag ebhi÷ payasvinÅ  Yj_3.304d
p­thivÅ pÃdatas tasya  Yj_3.127a
p­thivyÃdÅni caiva hi  Yj_3.177d
paiÓÃca÷ kanyakÃchalÃt  Yj_1.61d
pauru«aæ paurvadehikam  Yj_1.349d
pau«amÃsasya rohiïyÃm  Yj_1.143a
prakÃÓaæ dhanino dhanam  Yj_2.56b
prakuryÃd ÃyakarmÃnta-  Yj_1.322c
prak­tisthaæ mahÅgatam  Yj_1.192b
prak­tistha÷ para÷ para÷  Yj_1.63d
prak­tebhya÷ svadhocyatÃm  Yj_1.244d
prakrÃnte saptamaæ bhÃgaæ  Yj_2.198a
prak«ipet satsu vipre«u  Yj_1.257c
prak«eptavyaæ viÓuddhaye  Yj_1.189d
prajÃnÃæ paripÃlanam  Yj_1.119b
prajÃnÃæ paripÃlanam  Yj_1.335d
prajÃpatipit­brahma-  Yj_1.19c
prajÃpÅ¬anasaætÃpÃt  Yj_1.341a
prajÃbhyaÓ cÃbhayaæ sadÃ  Yj_1.323d
prajÃsu ca yathÃ pitÃ  Yj_1.334d
praïipatya visarjayet  Yj_1.247b
pratÃnau«adhivÅrudhÃm  Yj_2.229b
pratikÆlaæ guro÷ k­tvÃ  Yj_3.283a
pratikÆlÃs tathaiva ca  Yj_2.142d
pratig­hya tad Ãkhyeyam  Yj_3.43c
pratigrahaparÅmÃïaæ  Yj_1.320a
pratigrahasamartho 'pi  Yj_1.213a
pratigraha÷ prakÃÓa÷ syÃt  Yj_2.176a
pratigrahe sÆnicakri-  Yj_1.141a
pratigraho 'dhiko vipre  Yj_1.118c
pratij¤ÃtÃrthasÃdhanam  Yj_2.7d
pratij¤Ãæ sa jayÅ bhavet  Yj_2.79b
pratideyaæ tathaiva tat  Yj_2.65d
pratipattau dvayos tathÃ  Yj_2.283d
pratipatprabh­ti«v ekÃæ  Yj_1.264a
pratipannaæ striyÃ deyaæ  Yj_2.49a
pratipraïavasaæyuktÃæ  Yj_1.23c
pratibudhyet tathaiva ca  Yj_1.331b
pratibhÆr dÃpito yat tu  Yj_2.56a
pratimÃnasamÅbhÆto  Yj_2.100c
pratimÃsaæ tu vatsaram  Yj_1.256b
pratilomÃnulomajÃ÷  Yj_1.95d
prativÃdisamÅpagÃn  Yj_2.73b
prativedaæ brahmacaryaæ  Yj_1.36a
prati«iddham anÃdi«Âaæ  Yj_2.260a
prati«edhe tayor daï¬o  Yj_2.285c
pratisaævatsaraæ caivam  Yj_1.256c
pratisaævatsaraæ tv arghyÃ÷  Yj_1.110a
pratisaævatsaraæ soma÷  Yj_1.125a
pratisrota÷ sarasvatÅm  Yj_3.249d
pratyag ÃtÃrakodayÃt  Yj_1.24d
pratyarthino 'grato lekhyaæ  Yj_2.6a
pratyahaæ tena vikraya÷  Yj_2.251b
pratyÃkheyaæ na vÃri ca  Yj_1.214d
pratyekaæ pratyahaæ pÅtai÷  Yj_3.316c
prathamaæ ÓÆdram ardhikam  Yj_2.296d
prathamaæ sÃhasaæ dadyÃd  Yj_2.300c
prathame mÃsi saækleda-  Yj_3.75a
prathamo grÃmadeÓayo÷  Yj_2.211d
pradak«iïam anuvrajya  Yj_1.249a
pradarÓanÃrtham etat tu  Yj_3.216a
pradÃnebhyo 'dhikaæ yata÷  Yj_1.212b
pradÃpyas tyÃjako 'pi ca  Yj_2.198d
pradÃpya÷ k­tavetana÷  Yj_2.164d
pradÃpyo dviguïÃæ bh­tim  Yj_2.197d
pradhÃnaæ k«atriye karma  Yj_1.119a
prana«ÂÃdhigataæ deyaæ  Yj_2.33a
prapannaæ sÃdhayann arthaæ  Yj_2.40a
prabalai÷ sÆtimÃrutai÷  Yj_3.83b
pramÃïaæ likhitaæ bhukti÷  Yj_2.22a
pramÃdam­tana«ÂÃæÓ ca  Yj_2.164c
pramÃdavÃn bhinnav­tto  Yj_3.139c
pramÃdÃd yac ca nÃÓitam  Yj_2.260b
prayacchanti tathÃ rÃjyaæ  Yj_1.270c
prayatna Ãk­tir varïa÷  Yj_3.74a
prayuktaæ ya÷ svakaæ dhanam  Yj_2.44b
prayojake 'sati dhanaæ  Yj_2.62c
prarohiÓÃkhinÃæ ÓÃkhÃ-  Yj_2.227a
praviÓeyu÷ samÃlabhya  Yj_3.13c
pravi«Âe dviguïe dhane  Yj_2.64d
prav­ttacakratÃæ caiva  Yj_1.266a
prav­tti«v aghadarÓanam  Yj_3.158d
praveÓanÃdikaæ karma  Yj_3.14a
pravrajyÃvasito rÃj¤o  Yj_2.183a
pra«ÂavyÃ yo«itaÓ cÃsya  Yj_2.280c
prasahyaghÃtinaÓ caiva  Yj_2.273c
prasahya dÃsyabhigame  Yj_2.291a
prasÃdyaiva viÓudhyati  Yj_3.283b
prasÃdyopavased dinam  Yj_3.291d
prasiddhe dhÆrtamaï¬ale  Yj_2.201b
prasthÃnavighnak­c caiva  Yj_2.197c
prÃksaumikÅ÷ kriyÃ÷ kuryÃd  Yj_1.124c
prÃg vÃ brÃhmeïa tÅrthena  Yj_1.18c
prÃjÃpatyaæ caret k­cchraæ  Yj_3.260a
prÃjÃpatyÃæ tadante tÃn  Yj_3.56c
prÃjÃpatyo 'yam ucyate  Yj_3.319b
prÃj¤a÷ ÓÆro rahasyavit  Yj_1.310d
prÃj¤Ãn maulÃn sthirÃn ÓucÅn  Yj_1.312b
prÃïasyÃyatanÃni tu  Yj_3.93d
prÃïasyÃyatanÃni tu  Yj_3.99d
prÃïÃtyaye tathÃ ÓrÃddhe  Yj_1.179a
prÃïÃn Ãyamya saæprok«ya  Yj_1.24a
prÃïÃyÃmam upakramet  Yj_3.200d
prÃïÃyÃmaÓataæ kÃryaæ  Yj_3.305a
prÃïÃyÃmas tv anasthike  Yj_3.275d
prÃïÃyÃmaæ jale k­tvÃ  Yj_3.277c
prÃïÃyÃmÅ jale snÃtvÃ  Yj_3.290a
prÃïidyÆte samÃhvaye  Yj_2.203d
prÃta÷saædhyÃm upÃsÅta  Yj_1.98c
prÃtibhÃvyam ­ïaæ sÃk«yam  Yj_2.52c
prÃtibhÃvyaæ vidhÅyate  Yj_2.53b
prÃtilomyÃpavÃde«u  Yj_2.207a
prÃtilomye vadha÷ puæso  Yj_2.286c
prÃtilomye vadha÷ sm­ta÷  Yj_2.287d
prÃptÃrtho hy uttamarïika÷  Yj_2.42d
prÃpte n­patinÃ bhÃge  Yj_2.201a
prÃpnoti susamÃhita÷  Yj_3.327d
prÃpyate hy Ãtmani tathÃ  Yj_3.142c
prÃyaÓcittam akurvÃïÃ÷  Yj_3.221a
prÃyaÓcittaæ prakalpyaæ syÃd  Yj_3.293c
prÃyaÓcittaæ viÓuddhaye  Yj_3.220b
prÃyaÓcittÃ narÃdhamÃ÷  Yj_3.225d
prÃyaÓcittair adÆ«itam  Yj_1.316b
prÃyaÓcittair apaity eno  Yj_3.226a
prÃÓanaæ tu dvijottama÷  Yj_3.306d
priyÃpriyaviparyaya÷  Yj_3.64b
priyo vivÃhyaÓ ca tathÃ  Yj_1.110c
prÅïayanti manu«yÃïÃæ  Yj_1.269c
prÅïÃti devÃn Ãjyena  Yj_1.42c
prÅtÃtmÃ munibhÃ«itam  Yj_3.334b
prÅtÃ nÌïÃæ pitÃmahÃ÷  Yj_1.270d
pretadhÆmaæ nadÅtaram  Yj_1.139b
pretapÃtraæ prasecayet  Yj_1.253d
pretasaæsparÓinÃm api  Yj_3.14b
pretÃnÃm udakakriyÃ  Yj_3.4b
pretÃyÃnnaæ dinatrayam  Yj_3.16d
preto bhuÇkte yato 'vaÓa÷  Yj_3.11b
pretya cÃnuttamÃæ gatim  Yj_1.87d
preraïaæ manaso gati÷  Yj_3.175b
pre«ayec ca tataÓ cÃrÃn  Yj_1.332a
pre«ayen mantrisaægata÷  Yj_1.328d
prok«aïaæ saæhatÃnÃæ ca  Yj_1.184c
prok«ite dvijakÃmyayÃ  Yj_1.179b
pro«ite kÃlaÓe«a÷ syÃt  Yj_3.21c
pro«ite vÃ kuÂumbini  Yj_2.45d
phalakÃæsasamudbhave  Yj_3.87b
phalake ca vinirdiÓet  Yj_3.87d
phalapu«pÃnnarasaja-  Yj_3.275a
phalabhogyo na naÓyati  Yj_2.58d
phalam asti na veti vÃ  Yj_3.152b
phalaæ kuÓalabuddhaya÷  Yj_1.350d
phalopalak«aumasoma-  Yj_3.36a
phÃlÃhatam api k«etraæ  Yj_2.158a
phenaprakhya÷ kathaæ nÃÓaæ  Yj_3.10c
bakav­ttÅæÓ ca varjayet  Yj_1.130d
baddhaæ yaÓ ca pramu¤cati  Yj_2.243b
baddhvÃ vÃ vÃsasÃ k«ipraæ  Yj_3.291c
bandigrÃhÃæs tathÃ vÃji-  Yj_2.273a
bandhudattaæ tathÃ Óulkam  Yj_2.144a
bandhubhiÓ ca striya÷ pÆjyÃ  Yj_1.82c
bandhusÃk«yabhilekhitai÷  Yj_2.149b
balavaty uttarÃkriyÃ  Yj_2.23b
balavÃn vyavahÃrata÷  Yj_2.21b
balÃkÃbakavi«kirÃn  Yj_1.173b
balÃddÃsÅk­taÓ caurair  Yj_2.182a
balÃnÃæ darÓanaæ k­tvÃ  Yj_1.329c
balikarmasvadhÃhoma-  Yj_1.102a
balopadhik­tÃd ­te  Yj_2.89d
balopÃdhivinirv­ttÃn  Yj_2.31a
bahava÷ syur yadi svÃæÓair  Yj_2.55a
bahi÷Óatruk­tÃæs tathÃ  Yj_2.31d
bahu deyaæ ca no 'stv iti  Yj_1.246d
bahÆnÃæ dhÃnyavÃsasÃm  Yj_1.184d
bahÆnÃæ yady akÃmÃsau  Yj_2.291c
bÃndhavatyÃga eva ca  Yj_3.239d
bÃndhavÃs tad avÃpnuyu÷  Yj_2.144d
bÃlabhÅtÃdiyojita÷  Yj_2.32b
bÃlasvavÃsinÅv­ddha-  Yj_1.105a
bÃle«u ca viÓodhanam  Yj_3.24b
bÃhugrÅvÃnetrasakthi-  Yj_2.208a
bÃhuyugyak­tas tathÃ  Yj_2.298d
bilvapatrakuÓodakai÷  Yj_3.316b
bÅjagarbhasamudbhavam  Yj_1.13b
bÅjÃyovÃhyaratnastrÅ-  Yj_2.177c
buddhÅndriyÃïi sÃrthÃni  Yj_3.177a
buddher utpattir avyaktÃt  Yj_3.179a
buddher j¤Ãnaæ viÓodhanam  Yj_3.34b
bubhuk«itas tryahaæ sthitvÃ  Yj_3.43a
b­haspate 'ti yad aryas  Yj_1.301a
brahmak«atraviÓÃæ  Yj_1.37c
brahmak«atriyaviÂÓÆdrÃ  Yj_1.10a
brahmakhÃnilatejÃæsi  Yj_3.145a
brahmacaryaæ tapo dama÷  Yj_3.190b
brahmacaryaæ dayÃ k«Ãntir  Yj_3.312a
brahmacarye sthito naikam  Yj_1.32a
brahmacÃrÅ tu yo«itam  Yj_3.280b
brahmacÃrÅ bhavet tÃæ tu  Yj_1.249c
brahmacÃry eva parvÃïy  Yj_1.79c
brahmaïÃ nirmita÷ purÃ  Yj_1.354d
brahmaïai«Ãæ varo datta÷  Yj_1.307c
brahmalokam atikramya  Yj_3.167c
brahmalokam abhÅpsata÷  Yj_1.111d
brahmalokam avÃpnoti  Yj_1.50c
brahmalokam avicyutam  Yj_1.212d
brahmavarcasvina÷ putrÃn  Yj_1.263a
brahmasÆtrodaÇmukha÷  Yj_1.16b
brahmasvam apah­tya ca  Yj_3.212b
brahmahatyÃvrataæ caret  Yj_3.254b
brahmahatyÃvrataæ vÃpi  Yj_3.266c
brahmahatyÃsamaæ j¤eyam  Yj_3.228c
brahmahÃ k«ayarogÅ syÃt  Yj_3.209a
brahmahÃ tv aghamar«aïam  Yj_3.301b
brahmahÃ dvÃdaÓÃbdÃni  Yj_3.243c
brahmahÃ madyapa÷ stenas  Yj_3.227a
brahmahÃ yonim ­cchati  Yj_3.207b
brÃhmaïak«atriyaviÓas  Yj_1.39c
brÃhmaïak«atriyaviÓÃæ  Yj_1.30c
brÃhmaïak«atriyaviÓÃæ  Yj_1.57c
brÃhmaïaprÃtiveÓyÃnÃm  Yj_2.263c
brÃhmaïas tu parik«Åïa÷  Yj_2.43c
brÃhmaïasya paritrÃïÃd  Yj_3.244a
brÃhmaïasyopanÃyanam  Yj_1.14b
brÃhmaïasvarïahÃrÅ tu  Yj_3.257a
brÃhmaïasvarïahÃrÅ tu  Yj_3.303c
brÃhmaïaæ gÃm athÃpi vÃ  Yj_3.245b
brÃhmaïaæ tu vivÃsayet  Yj_2.82d
brÃhmaïa÷ kÃmam aÓnÅyÃc  Yj_1.32c
brÃhmaïa÷ pÃtratÃæ yÃti  Yj_3.332a
brÃhmaïa÷ sarvadharmavit  Yj_2.3d
brÃhmaïÃn ÃtmavÃn Óuci÷  Yj_1.225b
brÃhmaïÃn nyasya tatra tu  Yj_2.185b
brÃhmaïÃn bhojayed dadyÃd  Yj_1.292c
brÃhmaïÃn vedaguptaye  Yj_1.198b
brÃhmaïÃ÷ ÓrÃddhasaæpada÷  Yj_1.221d
brÃhmaïÅ yÃ surÃæ pibet  Yj_3.256b
brÃhmaïenÃnugantavyo  Yj_3.26a
brÃhmaïe vratam ÃdiÓet  Yj_3.252d
brÃhmaïe«u k«amÅ snigdhe«v  Yj_1.334a
brÃhmaïe«u cared bhaik«am  Yj_1.29c
brÃhmaïyÃæ k«atriyÃt sÆto  Yj_1.93a
