Haribhadrasuri: Sastravartasamuccaya, 
Based on the ed. by K. K. Dixit,
Ahmedabad : Lalbhai Dalpatbhai Bharatiya 1969
(L. D. Series, 22)


Input by Yasunori Harada



PADA INDEX



The text has a number of metrical irregularities.
Pada boundaries frequently cut through compounds, and sometimes through words.



REFERENCE SYSTEM:
The reference includes the stabaka and section nos. 
of K.K. Dixit's Vi«ayasÆcÅ [bracketed]:

HSvs_[n.n]nnn = [stabaka.section]verse




___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE.
            
Text converted to Ronald E. Emmerick's encoding for WordPerfect 5.1 DOS 
and related utility programmes BHELA, CARAKA etc. (DOS versions):
            
description             character  =ASCII
            
long a                  Ã             195
long A                  ù             249
long i                  Å             197
long I                  ı             253
long u                  Æ             198
long U                  ô             244
vocalic r               ­             173
vocalic R               ã             227
long vocalic r          Ì             204
vocalic l               Ê             202
long vocalic l          Ë             203
velar n                 Ç             199
velar N                 §             167
palatal n               ¤             164
palatal N               ¥             165
retroflex t             Â             194
retroflex T             è             232
retroflex d             ¬             172
retroflex D             Ö             214
retroflex n             ï             239
retroflex N             ×             215
palatal s               Ó             211
palatal S               Á             193
retroflex s             «             171
retroflex S             å             229
anusvara                æ             230
capital anusvara        õ             245
visarga                 ÷             247
capital visarga         ê             234

Other characters of the REE encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of REE and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________






akarmakaæ tathÃ caitat  HSvs_[5.1]393c
niv­ttyÃdyanyathÃ katham  HSvs_[7.1]525d
niÓcetuæ pÃryate 'nyatra  HSvs_[10.1]601c
ni«pannatvÃd asattvÃc ca  HSvs_[11.1]656a
ni÷Óe«aguïaghÃtinÅ  HSvs_[1.1]9b
ni÷svabhÃvatvatas tasya  HSvs_[5.1]392c
nÅlyÃdivad asau vastu  HSvs_[5.2]406c
netarasyÃpi yujyate  HSvs_[6.1]433d
nettham indra÷ pratÃryate  HSvs_[1.5]111d
netthaæ bodhÃnvayÃbhÃve  HSvs_[4.6]347a
netthaæ yuktyopapadyate  HSvs_[5.2]413b
naikakÃle kadÃcana  HSvs_[6.1]419d
naikasyobhayarÆpatÃ  HSvs_[7.1]520b
naikÃntagrÃhyabhÃvaæ tad  HSvs_[5.1]391a
naiko 'pi yad dvivij¤eya  HSvs_[4.7]372a
naitat kvacid aniÓcayÃt  HSvs_[4.2]259d
naitat tasyÃpy asaæbhavÃt  HSvs_[4.5]325b
naitat tasyaiva tadbhÃvam  HSvs_[7.1]503c
naitad d­Óyavikalpyarthai-  HSvs_[11.1]653a
naitan mithyÃtvasaæÓayÃt  HSvs_[6.4]460d
naivaæ tvannÅtito yasmÃd  HSvs_[6.1]429c
naivaæ d­«Âe«ÂabÃdhÃ yat  HSvs_[1.4]109a
naivÃnyaæ vÃsayaty asau  HSvs_[4.5]326d
naivÃsÃv Ãtmana÷ p­thak  HSvs_[3.2]219b
noktado«asamudbhava÷  HSvs_[3.2]233d
notpattyÃdes tayor aikyaæ  HSvs_[4.2]268a
no bÃdhakaæ na caikena  HSvs_[4.6]333c
nyÃyato nopapadyate  HSvs_[1.2]35b
nyÃyaÓÃstrÃvirodhena  HSvs_[3.1]209c
nyÃyÃt khalu virodho ya÷  HSvs_[7.1]511a
nyÃyyaæ bhinnanimittatvÃt  HSvs_[7.1]490c
nyÃyyaæ mÃnÃvirodhata÷  HSvs_[1.2]49d
pa¤ca bÃhyÃ dvivij¤eyÃ  HSvs_[4.7]367a
pa¤camasyÃpi bhÆtasya  HSvs_[1.2]47a
pa¤caviæÓatitattvaj¤o  HSvs_[3.2]230a
pa¤cÃnÃm api cen nyÃyÃd  HSvs_[4.7]371c
pamÃnenÃpi gamyate  HSvs_[10.1]582d
payovato na dadhyatti  HSvs_[7.1]479a
paramÃnandabhÃvaÓ ca  HSvs_[11.3]695a
paramÃrthena nÃnyathÃ  HSvs_[11.2]682d
paramÃrthaikatÃnatve  HSvs_[11.1]647a
paramÃrthaikatÃnatve 'py  HSvs_[11.1]660a
paramaiÓvaryayuktatvÃn  HSvs_[3.1]207a
paraloky api vij¤eyo  HSvs_[1.2]78c
parasiddhÃntasaæsthiti÷  HSvs_[2.1]154b
paraæ saævegam ÃÓrita÷  HSvs_[9.1]562d
para÷ sarvaj¤abhÃ«ita÷  HSvs_[9.1]556d
parÃ kÃ«ÂhÃ prakÅrtitÃ  HSvs_[9.1]575b
parÃbhiprÃyato hy etad  HSvs_[5.1]382a
parÃrthasÃdhakaæ dhÅrai÷  HSvs_[1.1]16c
parikalpitam etac cen  HSvs_[7.1]499a
paricittÃdidharmÃïÃæ  HSvs_[10.2]643a
pariïatyÃdi kiæ tathÃ  HSvs_[9.1]554d
pariïamo 'nvayÃvaha÷  HSvs_[6.3]448d
pariïÃmasamudbhavam  HSvs_[3.2]213b
pariïÃmasamudbhavam  HSvs_[3.2]218d
pariïÃma÷ pramÃsiddha÷  HSvs_[6.3]445c
pariïÃmÃt k«ayek«aïÃt  HSvs_[4.1]239d
pariïÃmitvayogata÷  HSvs_[3.2]233b
pariïÃmena gamyate  HSvs_[6.3]450d
pariïÃmo 'nivÃrita÷  HSvs_[3.2]224d
pariïÃmo 'pi no hetu÷  HSvs_[6.3]444a
parÅk«aiva na yujyate  HSvs_[2.1]118b
pare«ÂahetusadbhÃva-  HSvs_[2.2]168c
paryÃyÃs tasya kÅrtitÃ÷  HSvs_[9.1]557d
paryÃyÃs tasya kÅrttitÃ÷  HSvs_[1.4]107d
pÃde viddho 'smi bhik«ava÷  HSvs_[4.7]361d
pÃpaÓrutaæ sadÃ dhÅrair  HSvs_[1.5]112c
pÃpaæ tadbhinnam evÃstu  HSvs_[1.4]101a
pÃpÃd atred­ÓÅ buddhir  HSvs_[10.1]617a
pÃratantryÃviÓe«ata÷  HSvs_[1.1]18d
pit­karmÃdisiddheÓ ca  HSvs_[1.2]42c
puïyaæ kim iti nek«yate  HSvs_[1.4]101d
puïyÃpuïye ÓubhÃÓubhe  HSvs_[1.4]107b
putrajanmÃdibuddhivat  HSvs_[6.6]469d
punarjanma punarm­tyur  HSvs_[1.1]14a
puna÷ punaÓ ca yad ata÷  HSvs_[1.1]14c
pumÃn kaÓcid yadÅ«yate  HSvs_[10.1]619b
puru«asyoditÃ muktir  HSvs_[3.2]231a
puru«Ãn na viÓe«a÷ syÃt  HSvs_[1.2]52c
puru«e bahubhÃ«iïi  HSvs_[10.2]638d
puru«o 'vik­tÃtmaiva  HSvs_[3.2]221a
pu«Âir asya kathaæ bhavet  HSvs_[1.4]98d
pu«pÃdigandhavaikalye  HSvs_[1.4]102c
pÆrttam ity abhidhÅyate  HSvs_[10.1]588d
pÆrvam eva nidarÓita÷  HSvs_[10.2]633d
pÆrvasyaiva tathÃbhÃvÃ-  HSvs_[4.3]289a
pÆrvaæ hiæsÃn­tÃdaya÷  HSvs_[1.4]108b
pÆrvo hetur niraæÓa÷ sa  HSvs_[4.3]288c
p­thag eveti ced bhoga  HSvs_[3.2]219c
p­thivyÃdimahÃbhÆta-  HSvs_[1.2]30a
prakÃÓayati kevalam  HSvs_[7.1]510d
prakÃÓayati raktatÃm  HSvs_[10.1]607d
prakÃÓaikasvabhÃvaæ hi  HSvs_[5.1]393a
prak­tiæ cÃpi sannyÃyÃt  HSvs_[3.2]232c
prak­ti÷ svÃtmaneti cet  HSvs_[3.2]227d
prak­tyasundaraæ hy evaæ  HSvs_[1.1]15a
prak­tyaiva tathÃbhÆtaæ  HSvs_[5.2]408a
prakrÃntÃrthaprasÃdhakam  HSvs_[4.7]367d
prakriyÃmÃtravarïanam  HSvs_[3.2]214b
praïamya paramÃtmÃnaæ  HSvs_[1.1]1a
pratik«iptaæ ca tad heto÷  HSvs_[4.3]299a
pratik«iptaæ ca yat sattÃ-  HSvs_[4.2]272a
pratik«iptaæ ca yad bhedÃ-  HSvs_[7.1]523a
pratij¤ÃtavirodhitvÃt  HSvs_[3.1]201c
pratipak«asvabhÃvena  HSvs_[2.1]124a
pratipak«ÃgamÃnÃæ ca  HSvs_[2.1]140a
pratipak«Ãgamena ca  HSvs_[2.1]124b
pratipÃdyÃs tathÃ ca ye  HSvs_[6.6]475b
pratibandhavivekata÷  HSvs_[4.2]266b
pratibimbodaya÷ svacche  HSvs_[3.2]222c
pratibimbodayÃt kintu  HSvs_[3.2]220c
pratibimbodayo 'py asya  HSvs_[3.2]223a
pratibhÃlocanaæ tÃvad  HSvs_[10.2]634a
pratÅtaæ sarvaloke 'pi  HSvs_[10.1]623c
pratÅtigarbhayÃ yuktyÃ  HSvs_[2.1]131c
pratÅtir upajÃyate  HSvs_[10.1]608b
pratÅtivimukhaæ vaca÷  HSvs_[7.1]527b
pratÅtisacivÃt samyak  HSvs_[6.3]450c
pratÅtyÃ ca vicintyatÃm  HSvs_[8.1]549d
pratÅtyÃ bÃdhyate yo yat  HSvs_[2.1]125a
pratyak«asyÃpi tat tyÃjyaæ  HSvs_[1.3]81a
pratyak«aæ tadvad eveyaæ  HSvs_[7.1]541c
pratyak«aæ tan ni«edhak­t  HSvs_[10.1]592b
pratyak«aæ laiÇgikaæ na tu  HSvs_[7.1]497b
pratyak«ÃnupalambhÃbhyÃæ  HSvs_[4.6]344a
pratyak«ÃbhÃsabhÃve 'pi  HSvs_[7.1]541a
pratyak«ÃbhÃsam anyac ced  HSvs_[1.3]81c
pratyak«eïa tathaiva hi  HSvs_[4.2]259b
pratyak«eïa na darÓanam  HSvs_[1.3]79b
pratyak«eïa pramÃïena  HSvs_[10.1]581a
pratyak«eïa viruddhyate  HSvs_[2.1]142d
pratyabhij¤ÃpyasaægatÃ  HSvs_[4.1]243b
pratyabhij¤ÃbalÃc caitad  HSvs_[7.1]532a
pratyÃkhyÃtaæ prasa¤janam  HSvs_[4.2]271d
pratyÃkhyÃtaæ hi ÓabdÃnÃm  HSvs_[11.1]660c
pratyekam asatÅ te«u  HSvs_[1.2]44a
pratyekaæ tasya tadbhÃve  HSvs_[4.4]311a
pratyekaæ te«u sarvadÃ  HSvs_[1.2]32b
pradÅpaj¤Ãtam apy atra  HSvs_[1.2]73c
pradÅpÃdivadi«ÂaÓ cet  HSvs_[10.1]606a
pradÅrghÃdhyavasÃyena  HSvs_[4.6]351a
pradve«o 'rthe 'nibandhana÷  HSvs_[5.1]389b
pradhÃnaæ nityam i«yate  HSvs_[3.2]215b
pradhÃnÃd mahato bhÃvo  HSvs_[3.2]212a
pradhÃnodbhavam anye tu  HSvs_[3.2]211a
prabandhÃpek«ayÃ sarvo  HSvs_[6.1]419c
prabhÆtÃnÃm aÓÆnyatÃ  HSvs_[6.6]475d
prabhÆtÃnÃæ ca naikatra  HSvs_[4.4]306a
prabhÆtÃÓÆnyatÃpattir  HSvs_[6.6]474c
pramÃïapa¤cakÃv­ttir  HSvs_[10.1]597a
pramÃïapa¤cakÃv­tti÷  HSvs_[10.1]591c
pramÃïapa¤cakÃv­ttes  HSvs_[10.1]583c
pramÃïam antareïÃpi  HSvs_[6.6]472a
pramÃïam antareïaitad  HSvs_[8.1]547c
pramÃïam avagantavyaæ  HSvs_[4.7]367c
pramÃïam avagamyatÃm  HSvs_[7.1]541d
pramÃïaæ nÃsti ki¤cana  HSvs_[7.1]538d
pramÃïaæ vidyate ki¤cid  HSvs_[6.6]470c
pramÃïÃbhÃvatas tatra  HSvs_[5.1]395c
pramÃïetarayor iva  HSvs_[11.1]662b
pramÃtur api tadbhÃvÃt  HSvs_[7.1]535c
prameyavyatirekata÷  HSvs_[8.1]548b
pravartamÃna evaæ ca  HSvs_[9.1]572a
prav­ttis tÃvad eva yÃ  HSvs_[2.1]147b
prav­tti÷ prÃptir eva ca  HSvs_[4.1]243d
prav­ttyÃdi tato na syÃt  HSvs_[5.1]388c
praÓÃntenÃntarÃtmanÃ  HSvs_[9.1]562b
prasaægÃd buddhibhedata÷  HSvs_[11.1]645b
prasiddhaæ lokaÓÃstrayo÷  HSvs_[5.1]388d
prÃgasattvÃt prakÅrtitÃ  HSvs_[4.3]298b
prÃj¤asyÃbhineveÓo na  HSvs_[5.2]413c
prÃdurbhavati nÃÇkura÷  HSvs_[11.3]693b
prÃpti÷ kli«Âasya karmaïa÷  HSvs_[2.1]121b
prÃpter arthakriyÃyogÃt  HSvs_[5.1]387c
prÃptyupÃyo 'bhidhÅyate  HSvs_[11.2]684b
prÃpnoti phalatÃæ vinÃ  HSvs_[4.3]299b
prÃmÃïyaæ ca svatas tasya  HSvs_[10.1]594c
prÃmÃïyaæ rÆpavi«aye  HSvs_[10.1]600a
prÃyas tattvaviniÓcaya÷  HSvs_[1.1]2b
prÃya÷ evaævidhe«u yat  HSvs_[2.1]135b
prÃyo vÅtasp­hÃ bhave  HSvs_[3.1]208b
prÃÓnikÃnÃæ bahutvata÷  HSvs_[6.6]474b
phalaprÃpter asaæbhavÃt  HSvs_[11.2]674d
phalabheda÷ sa no yukto  HSvs_[1.4]92c
phalasya tu viÓe«o 'sti  HSvs_[6.1]420c
phalaæ j¤ÃnakriyÃyoge  HSvs_[11.2]682a
phalaæ tatraiva saædhatte  HSvs_[4.1]246c
phalaæ dadÃti cet sarvaæ  HSvs_[3.1]200a
phalaæ vipÃkavirasÃ  HSvs_[2.1]138c
phale kaÓcid viÓe«o 'sti  HSvs_[1.1]18c
phaloddeÓena codanÃt  HSvs_[2.1]159d
baÂharaÓ ca tapasvÅ ca  HSvs_[11.2]691a
badhyate puïyapÃpÃbhyÃæ  HSvs_[2.1]122c
badhyate mucyate cÃpi  HSvs_[3.2]227c
bandha eva phalaæ matam  HSvs_[1.1]17d
bandhamok«au tu yujtita÷  HSvs_[3.2]228d
bandhÃd­te na saæsÃro  HSvs_[3.2]226a
bandhÃn nyÆnÃtiriktatve  HSvs_[1.4]105c
balÃt syÃt tadvicitratÃ  HSvs_[2.2]181d
balÃd Ãpadyate sÃ cÃ-  HSvs_[4.4]321c
balÃd eva prasiddhyati  HSvs_[7.1]504d
bahava÷ pÃpakarmÃïo  HSvs_[2.1]132c
bahÆnÃm api saæmoha-  HSvs_[10.1]618a
bÃdhitvÃt kathaæ hy etau  HSvs_[2.1]124c
bÃla eva na cÃpi yat  HSvs_[7.1]505b
bÃhyÃrthavedanÃc caiva  HSvs_[4.1]241c
bÃhyÃsaæganiv­ttaye  HSvs_[6.5]465b
buddhÃvarïe 'pi cÃdo«a÷  HSvs_[11.1]672a
buddhibhedÃc ca bhÃvyatÃm  HSvs_[4.2]268d
buddhiÓÆnyena sarvathÃ  HSvs_[2.1]129d
buddhenoktaæ na tattvata÷  HSvs_[6.5]464d
buddhau bhogo 'sya kathyate  HSvs_[3.2]222b
buddhyÃ tasyÃpi bodhata÷  HSvs_[11.1]669d
buddhvaivaæ bhavanairguïyaæ  HSvs_[9.1]566a
bodhamÃtrasya tadbhÃve  HSvs_[1.4]104a
bodhamÃtraæ na cÃpi tat  HSvs_[5.2]411b
bodhamÃtrÃtiriktaæ tad  HSvs_[1.4]103a
bodharÆpaæ na yujyate  HSvs_[4.4]317b
bodhas tac ca na jÃtucit  HSvs_[11.1]655b
bodhÃnvaya÷ pradÅrghaikÃdhy-  HSvs_[4.6]349c
bodhÃnvayo 'dalotpattya-  HSvs_[4.6]353c
bauddhÃrthavi«ayÃ matÃ  HSvs_[11.1]648d
brahmahatyÃnideÓÃnu-  HSvs_[2.1]139a
brÃhmaïÃnÃæ samak«ata÷  HSvs_[10.1]587b
bruvate Ãgamena vai  HSvs_[2.1]134b
bruvate ÓÆnyam anye tu  HSvs_[6.6]467a
bhayaÓaktyÃ vinirmukto  HSvs_[9.1]564c
bhavato 'pi prasajyate  HSvs_[2.1]129b
bhavatyato na do«o na÷  HSvs_[7.1]529c
bhavad ekaæ kathaæ bhavet  HSvs_[4.4]307b
bhavanaprati«edhata÷  HSvs_[4.2]274d
bhavanaæ sÆrayo vidu÷  HSvs_[4.2]252d
bhavavirahabÅjam anaghaæ labhatÃæ bhavyo janas tena  HSvs_[11.4]700/b
bhavÃnta iti kathyate  HSvs_[5.2]404d
bhaved utpattir evaæ ca  HSvs_[1.2]47c
bhavopagrÃhikarmaïa÷  HSvs_[9.1]573b
bhÃvagarbhaæ yathÃbhÃvaæ  HSvs_[9.1]562c
bhÃvatas tadupakrame  HSvs_[9.1]571d
bhÃvatÃptestathÃ nÃma-  HSvs_[1.2]37c
bhÃvato buddhicak«u«Ã  HSvs_[9.1]561b
bhÃvato bhoga i«yate  HSvs_[3.2]220b
bhÃvatvÃt tasya cen na tat  HSvs_[4.4]310d
bhÃvatvena pratÅtita÷  HSvs_[4.2]265d
bhÃvamÃtraæ tad i«Âaæ cet  HSvs_[7.1]492a
bhÃvayan buddhimÃn nara÷  HSvs_[11.4]698b
bhÃvaÓuddher mahÃtmanÃm  HSvs_[2.1]149d
bhÃvasyÃbhavanaæ yat tad  HSvs_[4.2]273a
bhÃvasyeva tato na kim ?  HSvs_[4.2]257d
bhÃvahetuæ samÃÓritya  HSvs_[6.1]423c
bhÃva÷ syÃt paÂaÓuddhivat  HSvs_[5.2]407b
bhÃvÃc cÃtiprasaægata÷  HSvs_[4.6]353d
'bhÃvÃd eva kadÃcana  HSvs_[7.1]538b
bhÃvÃn mithyÃpravartanÃt  HSvs_[10.1]618b
bhÃvÃpternÃÓitoditÃ  HSvs_[4.2]272d
bhÃvÃrtham adhigacchati  HSvs_[11.4]698d
bhÃvÃvicchedato 'nvaya÷  HSvs_[4.2]266d
bhÃve cÃsyÃ balÃd ekam  HSvs_[6.4]457a
bhÃve 'nyaj jÃtucid bhavet  HSvs_[3.2]217b
bhÃve 'pi ca pramÃïasya  HSvs_[8.1]548a
bhÃve 'pi sarvadÃ tasyÃ÷  HSvs_[5.2]412c
bhÃve vÃsyaiva karmatÃ  HSvs_[1.4]100b
bhÃve hantottaraæ kuta÷  HSvs_[4.3]289b
bhÃve hy e«a vikalpa÷ syÃd  HSvs_[4.2]270a
bhÃvotpattis tadÃtmikÃ  HSvs_[4.3]297d
bhÃvo nÃbhÃvam etÅha  HSvs_[1.2]77c
bhÃvo nÃbhÃvam etÅha  HSvs_[4.2]248c
bhÃvo nÃbhÃvametÅha  HSvs_[4.2]275c
bhÃvo 'nyasyÃ÷ prasajyate  HSvs_[4.4]320d
'bhÃvo vÃ syÃt sadaiva hi  HSvs_[2.1]155d
bhik«vÃdi÷ ÓabarÃdivat  HSvs_[11.1]661d
bhinnakÃlagrahe hy ÃbhyÃæ  HSvs_[4.7]368c
bhinnarÆpe«u sarvadÃ  HSvs_[1.2]44d
bhinnahetvantarodbhavÃ  HSvs_[5.2]410b
bhinnaæ niyamato d­«Âaæ  HSvs_[7.1]521c
bhinnaæ sthÆlatvam ity ada÷  HSvs_[1.2]49b
bhinnÃbhir abhimanyate  HSvs_[8.1]544d
bhinnÃ svayaæ tayÃ ÓÆnyo  HSvs_[4.5]326c
bhÆtÃnÃæ tatsvabhÃvatvÃd  HSvs_[1.4]94a
bhÆtÃny adhyak«asiddhita÷  HSvs_[1.2]43b
bhÆtÃny eva yatastata÷  HSvs_[1.2]53b
bhÆtikÃle na vidyate  HSvs_[4.3]283b
bhÆtir yai«Ãæ kriyÃ soktÃ  HSvs_[6.2]442a
bhÆtvÃbhÃvaÓ ca nÃÓo 'pi  HSvs_[7.1]493c
bheda eveti bÃdhitam  HSvs_[7.1]526b
bhedakÃbhÃvato bhedo  HSvs_[1.2]60c
bhedataÓ ca tathÃgate÷  HSvs_[7.1]533d
bhedapak«o 'nya eva hi  HSvs_[7.1]523b
bhedapratyayadarÓanÃt  HSvs_[1.3]83b
bhedam anyÃgrahÃd hi tat  HSvs_[6.4]455b
bhedarÆpaæ prakÃÓate  HSvs_[8.1]545d
bhedav­ttyaiva vastu tau  HSvs_[7.1]507d
-bhedasiddhyaiva vastu na÷  HSvs_[11.1]668d
bhedas tebhyo na yujyate  HSvs_[4.4]304d
bhedÃgrahe kathaæ tasya  HSvs_[6.4]454c
bhedÃdeÓ cÃpy asaæbhavÃt  HSvs_[7.1]514d
bhedÃbhÃsanibandhanam  HSvs_[8.1]547b
bhedÃbhÃso 'nibandhana÷  HSvs_[8.1]546d
bhedÃbhedaprasiddhita÷  HSvs_[7.1]518d
bhedÃbhedavikalpÃbhyÃæ  HSvs_[7.1]523c
bhedÃbhede ca ye 'tyantaæ  HSvs_[7.1]524c
bhedÃbhede dvayos tasmÃd  HSvs_[7.1]509c
bhede tadadalaæ yasmÃt  HSvs_[1.2]50a
bhede tvadhikabhÃvena  HSvs_[1.2]38c
bhede 'py e«Ã na saægatÃ  HSvs_[7.1]536b
bhede bhedas tayor api  HSvs_[4.4]309d
bhede 'bhede ca yujyate  HSvs_[7.1]508b
bhedo bhÆtetarÃtmaka÷  HSvs_[1.2]55b
bhedo vÃbhedavarjita÷  HSvs_[7.1]515b
bhoktÃ karmaphalasya ca  HSvs_[1.4]90b
bhogamuktiphalo dharma÷  HSvs_[1.1]23a
bhogyaæ ca viÓvaæ sattvÃnÃæ  HSvs_[2.2]178a
bhogyaæ jagati vidyate  HSvs_[2.2]177b
bhrÃntatÃbhimatasyaiva  HSvs_[1.3]83c
bhrÃntasyÃbhrÃntatÃ bhavet  HSvs_[5.1]400d
bhrÃntaæ caitat tu bhÃvata÷  HSvs_[5.1]398b
bhrÃntaæ tasya tathÃbhÃve  HSvs_[5.1]400c
bhrÃntÃc cÃbhrÃntarÆpÃ na  HSvs_[5.1]399a
bhrÃntÃnandÃdikÃraïam  HSvs_[6.6]469b
bhrÃnto 'haæ gurur ity e«a÷  HSvs_[1.3]80a
mata Ãtmaiva ceÓvara÷  HSvs_[3.1]207b
matij¤ÃnavikalpatvÃn  HSvs_[7.1]542a
madyapÃ strÅ satÅtvaæ ca  HSvs_[11.2]691c
mana÷ karoti sÃnnidhyÃd  HSvs_[3.2]221c
manoj¤Ãnaæ pravartate  HSvs_[4.7]370d
mantrÃdÅnÃæ ca sÃmarthyaæ  HSvs_[10.1]623a
manyante 'nye jagat sarvaæ  HSvs_[4.1]238a
manyante 'nye pravÃdina÷  HSvs_[2.2]164b
manyante bhÆtavÃdina÷  HSvs_[1.2]30d
manyante sarvam eva hi  HSvs_[3.2]211b
mameti hetuÓaktyÃ cet  HSvs_[4.7]364a
mahat saækaÂamÃyÃtam  HSvs_[2.1]119c
mahadÃdi kathaæ bhavet ?  HSvs_[3.2]215d
mahad Ãdikrameïeha  HSvs_[3.2]211c
mahÃtmÃ tatra tatra yat  HSvs_[10.1]624b
mÃt­caitanyaje hy ayam  HSvs_[1.2]72b
mÃtratas tadvyavasthite÷  HSvs_[4.3]293b
mÃtratve tadasaæbhavÃt  HSvs_[1.2]59d
mÃtrabhÃvena tad bhavet  HSvs_[1.2]73b
mÃtraæ caitanyam i«yate  HSvs_[1.2]51b
mÃtrÃd eva tadudbhavÃt  HSvs_[2.2]168d
mÃdhyasthyam avalambyaitat  HSvs_[4.6]347c
mÃdhyasthyam eva taddhetur  HSvs_[2.1]144a
mÃdhyasthyaæ nopapadyate  HSvs_[2.1]145d
mÃdhyasthyÃt tu vimucyate  HSvs_[2.1]122d
mÃnam atra na vidyate  HSvs_[2.1]135d
mÃnasaækhyÃvirodhÃc ca  HSvs_[10.1]618c
mÃnaæ tanmÃnam eveti  HSvs_[7.1]497a
mÃnaæ yat tattvata÷ ki¤cid  HSvs_[5.1]375c
mÃnÃbhÃvÃn na saÇgatÃ  HSvs_[10.1]610b
mÃnÃbhÃve pareïÃpi  HSvs_[6.1]436a
mÃlatÅgandhagaïavid  HSvs_[11.2]688c
mitagrahasamÃropÃd  HSvs_[4.2]261c
mitha÷ sÃmagryapek«ayÃ  HSvs_[2.2]164d
mitho viruddhabhÃvÃc ca  HSvs_[10.1]610c
mithyÃj¤ÃnÃt prav­ttasya  HSvs_[11.2]674c
mithyÃ tathÃgataæ vaca÷  HSvs_[4.7]369d
mukta ity abhidhÅyate  HSvs_[7.1]503b
mukta÷ svabhÃvavÃda÷ syÃt  HSvs_[2.2]188c
muktÃnÃæ bhogabhÃvata÷  HSvs_[2.2]177d
muktÃnÃæ muktatÃk«iti÷  HSvs_[2.1]153d
muktikarmak«ayÃd eva  HSvs_[2.1]151a
muktida÷ ÓuddhisÃdhanÃt  HSvs_[9.1]576b
muktim icchanti vÃdina÷  HSvs_[3.2]232b
muktir apy anyathÃ na yat  HSvs_[11.2]677b
muktir vÃsyopapadyate  HSvs_[3.2]226b
muktir hiæsÃdayo mukhyÃs  HSvs_[10.2]640c
muktiÓ ca kevalaj¤Ãna-  HSvs_[11.2]689a
muktiÓ cÃsti tatas tasyÃpy  HSvs_[2.1]150c
mukti÷ karmak«ayÃd i«ÂÃ  HSvs_[2.1]156a
mukti÷ karmaparik«ayÃt  HSvs_[11.3]692b
mukti÷ kevalino 'pi hi  HSvs_[11.2]681b
mukteÓ ca guïarÆpatÃm  HSvs_[9.1]566b
mukte÷ punar ahiæsÃdir  HSvs_[9.1]565c
muktair atiprasaægÃc ca  HSvs_[3.2]223c
mukto 'pi cet sa eveti  HSvs_[7.1]502c
mukto 'pi na sa eva hi  HSvs_[7.1]484b
muktau ca tasya bhedena  HSvs_[5.2]407a
muktau d­¬hÃnurÃgatvÃt  HSvs_[9.1]567c
muktyabhÃve ca sarvaiva  HSvs_[5.2]412a
muktvÃ dharmaæ jagad vandyam  HSvs_[1.1]16a
muktvÃnyatra pravartate  HSvs_[11.2]687d
mukhyam etan na yujyate  HSvs_[4.1]242d
mukhyaæ tad eva va÷ karma  HSvs_[1.4]103c
mucyate nÃtra saæÓaya÷  HSvs_[3.2]230d
mucyate 'sau kadÃcana  HSvs_[3.2]227b
mudgapaktir apÅk«yate  HSvs_[2.2]175b
mudgapaktir apÅk«yate  HSvs_[2.2]179b
mudgapaktir apÅ«yate  HSvs_[2.2]167b
mudgapaktir apÅ«yate  HSvs_[2.2]171b
munibhir varïitÃ yata÷  HSvs_[1.1]19d
mÆrkhÃ api hi bhÆyÃæso  HSvs_[11.2]680c
mÆrtayÃpyÃtmano yogo  HSvs_[3.2]236a
mÆrtaæ na yÃty amÆrtatÃm  HSvs_[3.2]234b
m­tadehe ca caitanyam  HSvs_[1.2]65a
m­tadehe 'pi sadbhÃvÃd  HSvs_[1.2]66c
m­tyÃdivarjitÃ ceha  HSvs_[11.3]692a
m­ddravyaæ yan na piï¬Ãdi-  HSvs_[7.1]512a
m­«ÃsatyÃdiÓabdÃnÃæ  HSvs_[11.1]659c
me mayety ÃtmanirdeÓas  HSvs_[4.7]362a
maitrÅ sattve«u bhÃvata÷  HSvs_[1.1]6b
maitrÅæ bhÃvayato nityaæ  HSvs_[1.1]8a
mok«a eva na vidyate  HSvs_[9.1]553b
mok«am Ãpnoti ÓÃÓvatam  HSvs_[9.1]573d
mok«a÷ prak­tyayogo yad  HSvs_[3.2]229a
yac cedam ucyate brÆmo-  HSvs_[6.3]446a
yac coktaæ du÷khabÃhulya-  HSvs_[2.1]136a
yac coktaæ puïyalak«aïam  HSvs_[1.1]26b
yaccoktaæ pÆrvam atraiva  HSvs_[6.1]414a
yaj jÃtÃnekaÓa÷ kila  HSvs_[9.1]555d
yaj jÃyate pratÅtyaika-  HSvs_[4.4]309a
yata ekaæ na satyÃrthaæ  HSvs_[10.2]639a
yataÓ ca tat pramÃïena  HSvs_[7.1]517a
yataÓ ce«Âas tato nÃsmÃt  HSvs_[4.6]354c
yatas tad api no bhinnaæ  HSvs_[1.2]61c
