Brahma-Purana, Adhyayas 1 - 246

Input by Peter Schreiner and Renate Soehnen-Thieme
for the Tuebingen Purana Project
For further details see www.indologie.unizh.ch/text/text.html

PADA INDEX


___________________________________________________________________

THIS TEXT FILE IS FOR REFERENCE PURPOSES ONLY!   
COPYRIGHT AND TERMS OF USAGE AS FOR SOURCE FILE. 
                                       
Text converted to Classical Sanskrit Extended (CSX) encoding:
                                       
description             character  =ASCII   
                                       
long a                  à             224   
long A                  â             226   
long i                  ã             227   
long I                  ä             228   
long u                  å             229   
long U                  æ             230   
vocalic r               ç             231   
vocalic R               è             232   
long vocalic r          é             233   
vocalic l               ë             235   
long vocalic l          í             237   
velar n                 ï             239   
velar N                 ð             240   
palatal n               ¤             164   
palatal N               ¥             165   
retroflex t             ñ             241   
retroflex T             ò             242   
retroflex d             ó             243   
retroflex D             ô             244   
retroflex n             õ             245   
retroflex N             ö             246   
palatal s               ÷             247   
palatal S               ø             248   
retroflex s             ù             249   
retroflex S             ú             250   
anusvara                ü             252   
capital anusvara        ý             253   
visarga                 þ             254   

long e                  ¹             185   
long o                  º             186   
l underbar              ×             215   
r underbar              Ÿ             159   
n underbar              ­             173   
k underbar              É             201   
t underbar              Â             194   
                                       
Other characters of the CSX encoding table are not included.
Unless indicated otherwise, accents have been dropped in order 
to facilitate word search.             

For a comprehensive list of CSX and other GRETIL encodings 
and formats see:
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdiac.pdf
and
www.sub.uni-goettingen.de/ebene_1/fiindolo/gretil/gretdias.pdf
___________________________________________________________________




akarot kiü mahàdeva  BrP_38.21c
atra tu snànamàtreõa  BrP_129.120a
atratyaü vàri yaþ ka÷cit  BrP_72.32a
atra pratiùñhito dharmo  BrP_72.29a
atra buddhir vidhàtavyà  BrP_105.6c
atra bhukti÷ ca mukti÷ ca  BrP_72.29c
atra yad vàri ÷obhiùñhaü  BrP_72.34a
atra ye bhaktitaþ ÷aübho  BrP_123.211a
atra ye bhaktitaþ snànaü  BrP_114.23a
atra vaktuü na ÷akyate  BrP_148.23b
atra vaü÷aprasaïgena  BrP_5.64a
atra vaü÷e puràõaj¤à  BrP_15.41c
atra vaþ kãrtayiùyàmi  BrP_5.63a
atra vaþ saü÷ayo mà bhåj  BrP_240.98a
atra vo varõayiùyàmi  BrP_241.5a
atra såryaþ pratiùñhitaþ  BrP_110.220b
atra snàtvà ÷ucir bhåtvà  BrP_167.28c
atra snànàd avàpnuyàt  BrP_81.21d
atra homo vidhãyatàm  BrP_47.76b
atràgantuü na càyàti  BrP_111.42a
atràpi tattvaü paramaü  BrP_240.82a
atràpi bhàrataü ÷reùñhaü  BrP_19.23a
atràpy upàyaþ ko 'smàkaü  BrP_160.16a
atràplavanamàtreõa  BrP_81.20c
atràplavàd eva mahànti pàpàny  BrP_157.29c
atràbhiùekamàtreõa  BrP_108.112a
atràvatãrõayoþ kçùõa  BrP_185.32a
atràste rasam utkçùñaü  BrP_106.40c
atràham asmi baddhaiva  BrP_80.38a
atrijàhaü havyavàha  BrP_144.9a
atriputro mahàtejà÷  BrP_152.2a
atrir àràdhayàm àsa  BrP_144.2a
atrir vasiùñho bhagavàn  BrP_5.34a
atrivaü÷e samutpannas  BrP_4.28c
atri÷reùñhàni gotràõi  BrP_13.11c
atremàü sundarãü devãü  BrP_137.38c
atraikanyånapa¤cà÷at  BrP_148.27e
atraiva ca tapas taptvà  BrP_107.27c
atraivàràdhayiùyàmi  BrP_46.24c
atrauùadhyo jagadvandyà  BrP_119.4e
atha kiü punar uktena  BrP_65.97a
atha kiü bahunoktena  BrP_65.74a
atha kiü bahunoktena  BrP_68.59c
atha ketumataþ putro  BrP_11.39c
atha càsmiü÷ ca niùkçtim  BrP_74.72b
atha citrarathasyàpi  BrP_13.40a
atha cen mànuùe loke  BrP_224.56a
atha tasyàs tapoyogàt  BrP_34.94a
atha tàü pratimàü dvàri  BrP_58.57a
atha te pitaro viprà  BrP_219.21a
atha teùàü prasanno 'bhåd  BrP_36.48a
atha teùu sthiteùv evaü  BrP_36.36c
atha tau taü samàgamya  BrP_50.26c
atha duryodhano ràjà  BrP_17.28a
atha dçùñvà satãü devãm  BrP_38.25a
atha deyo varo 'smàkaü  BrP_125.35a
atha devã satã yat te  BrP_34.41a
atha devy àsasàdaikà  BrP_38.24a
atha niþ÷vàsajo viùõor  BrP_233.2a
atha parvataràjo 'sau  BrP_36.2a
atha putrasahasràõi  BrP_3.6c
atha putràn imàüs tasya  BrP_5.27a
atha pçthvã tadà vàkyaü  BrP_86.16a
atha bilvàüs tathà jãvàn  BrP_178.32c
atha bhãmarathasyàsãt  BrP_15.25a
atha bhåtvà kumàrã sà  BrP_15.39a
atha merugireþ ÷çïgàt  BrP_30.49a
atha ratnàni cànyàni  BrP_17.26a
atha ràjà vivasvantam  BrP_16.15c
athavà kiü tadàlàpaiþ  BrP_197.15a
athavà kiü bahåktena  BrP_54.19a
athavà kiü bahåktena  BrP_64.14c
athavà kiü muni÷reùñha  BrP_227.3c
athavà kauravàdãnàü  BrP_208.30a
athavà tava doùaþ kaþ  BrP_178.96a
athavà tu jaràü ràjaüs  BrP_146.37c
athavà te 'sti saüdeho  BrP_35.20a
athavà dakùiõàyane  BrP_29.51d
athavà dàtukàmo 'si  BrP_81.19a
athavà duùkçtaü kçtam  BrP_89.19b
athavà devapitaro  BrP_93.21c
athavà draùñukàmà vai  BrP_162.19c
athavànantarakçtaü  BrP_243.9a
athavà necchasi màü tvam  BrP_107.33a
athavànyatra saügaràt  BrP_164.30b
athavànyaiþ surair api  BrP_148.23d
athavàpi kamaõóalum  BrP_76.6b
athavàpi paràbhavaþ  BrP_129.45b
athavà bràhmaõaiþ puõyais  BrP_74.19c
athavà bhakùitaþ katham  BrP_123.63b
athavà màyayà deva  BrP_40.99a
athavà yàdç÷aþ sneho  BrP_200.22c
athavà yuddhakàmas tvaü  BrP_124.61a
athavà yoginàü gehe  BrP_41.80a
athavà lapsyase muktiü  BrP_136.26c
athavà vipramukhyàya  BrP_136.31c
athavà ÷uùkavçkùàgre  BrP_58.54c
atha vij¤àya yogena  BrP_17.35a
atha vçtte vivàhe tu  BrP_37.1a
athaveha tapas tapsye  BrP_138.30c
athavaitais tathà tribhiþ  BrP_133.17b
atha ÷akraþ prakopeõa  BrP_86.26c
atha ÷u÷ràva ÷abdaü ca  BrP_35.32a
atha satyavatã sarvaü  BrP_10.37c
atha sa vrajamànas tu  BrP_34.63a
atha sà da÷ame màsi  BrP_15.40c
atha sà ÷uddhasaükalpà  BrP_36.30a
atha siühaü pradhàvantam  BrP_16.27a
atha siühaþ prasenasya  BrP_16.32c
atha so 'gniparãtàïgo  BrP_38.7a
atha so 'jagavaü nàma  BrP_4.50a
athàkùaü nçpates tathà  BrP_123.24d
athàgàc candratilakas  BrP_35.4c
athàgàt tatra ÷ailendra  BrP_34.62a
athàjapàr÷va iti vai  BrP_13.136a
athàtatàyinaü viprà  BrP_38.4a
athàdityasya nàmàni  BrP_31.14c
athàdityàd çte hy eùàü  BrP_31.8a
athàdityena càgatya  BrP_86.40e
athànantarato ràjà  BrP_59.31c
athàntaràntaraü dharmam  BrP_217.30a
athàntarikùàd àbhàùya  BrP_32.39a
athànyac càpi kàraõam  BrP_175.44b
athànyad api tac chçõu  BrP_175.31b
athànyad api vakùyàmi  BrP_175.32c
athàpare janapadà  BrP_27.54a
athàpi kriyamàõe vai  BrP_98.13a
athàpi baddhà puruùeõa kàcit  BrP_129.32a
athàpi màtar etat syàn  BrP_175.70c
athàpy etad ahaü manye  BrP_127.26a
athàbravãn me madhukaiñabhàriþ  BrP_229.41a
athàbhavad bhåmipateþ sudharmaõaþ  BrP_229.49a
athà÷vinau càpi bhiùagvarau dvàv  BrP_36.18c
athàsàv api mårkhas tu  BrP_228.121c
athàsau pitaraü pràha  BrP_229.27a
athàsminn antare vipràs  BrP_36.54c
athàha kçùõam akråro  BrP_192.34a
athàha devã duþkhàrtà  BrP_35.42c
athendraü menakà pràha  BrP_86.30a
athe÷a màü kaüsaparigraheõa  BrP_191.31a
athaivam àghoùitamàtra eva  BrP_36.7a
athonmãlya yamo netre  BrP_86.37c
athopavàhyàd àdàya  BrP_188.36a
athomà yogasaüsiddhà  BrP_35.6c
athovàca rajis tatra  BrP_11.11a
atho vighnam anàdçtya  BrP_175.74a
adadàt sa mahàyaj¤e  BrP_47.85a
adadàü poùaõàya tàm  BrP_87.6d
adar÷anam anupràpto  BrP_40.111c
adahat saparicchadam  BrP_38.5d
adàmbhikaþ satyavàdã  BrP_110.109c
aditir janayàm àsa  BrP_32.4c
aditir ditir danu÷ caiva  BrP_3.51c
aditir ditir danu÷ caiva  BrP_32.3c
aditir devamàtà ca  BrP_65.37a
aditir munisattamàþ  BrP_32.10b
aditiü varuõaü viùõuü  BrP_171.43c
aditiü saüpravi÷ya vai  BrP_3.55b
adites tu sutà jyeùñhàþ  BrP_124.2e
adityà tu kçtànuj¤o  BrP_203.25a
adityàþ kuõóale dàtuü  BrP_202.35c
adityaivaü stuto viùõuþ  BrP_203.20a
adãkùitas tu tasyaiva  BrP_28.34a
adãkùitas tu nàmnaiva  BrP_41.64a
aduùñàü màü vigarhasi  BrP_34.21b
aduùñàü rudatãü rudan  BrP_154.13d
aduþkham asukhaü brahma  BrP_238.37a
adç÷yata tadàdityas  BrP_32.22c
adç÷yà tu mçgã tasmai  BrP_108.34c
adç÷yàya tatas te 'pi  BrP_181.32a
adçùñàü puruùaiþ strãbhir  BrP_182.6a
adçùñvà tu pa÷uü ramyaü  BrP_78.18c
adainyam anudãrõatvam  BrP_238.57a
adbhir acchàbhir àdaràt  BrP_221.63d
adbhir eva dhçtaü sarvam  BrP_126.10a
adbhir dadau sutaü vãraü  BrP_14.28e
adbhi÷ ca sahitàþ sarvà  BrP_137.29a
adbhiþ ÷aucam avàpyate  BrP_126.33b
adbhiþ saüpatsyate hy annaü  BrP_126.9c
adbhutaü càtimànuùam  BrP_179.10b
adbhutaü càtimànuùam  BrP_213.1b
adbhutàni rasaþ spar÷aþ  BrP_236.58a
adbhya÷ ca puruùas tathà  BrP_161.8b
adbhyas tu jàyate sarvaü  BrP_126.22c
adya kàryaü mama mahat  BrP_228.18c
adya taü dehayantàraü  BrP_178.47a
adya niùkauravàm urvãü  BrP_208.26c
adyaprabhçti ye kuryur  BrP_124.107a
adya prabhçty asau ÷iùya  BrP_129.39a
adya prabhçty àtmajayos  BrP_128.60c
adya bhãùmaü sabàhlikam  BrP_208.27b
adya manye prayojanam  BrP_188.33b
adya me saphalaü janma  BrP_176.28c
adya me saphalaü janma  BrP_178.127a
adya me saphalaü janma  BrP_191.3a
adya me saphalaü tapaþ  BrP_176.28d
adya me saphalaü tapaþ  BrP_178.127b
adyàpi ca hitàrthàya  BrP_213.121c
adyàpi na nivartante  BrP_3.19a
adyàpi na nivartante  BrP_3.23c
adyàpi paridç÷yate  BrP_109.56f
adyàpi brahmaõo råpaü  BrP_113.18c
adyàpi sa caraty uta  BrP_6.49d
adyàpy asyà hi màhàtmyaü  BrP_175.7a
adyàpy àghårõitàkàraü  BrP_208.38a
adyàpy àste mahàmate  BrP_133.22d
adyaiva deva kaüso 'yaü  BrP_182.15a
adyaiva putro yaùñavyaþ  BrP_104.23a
adyaiva spçùñvà mama hastapadmaü  BrP_191.28a
adrikàyàü ca nirçter  BrP_84.12c
adriketi tathàparà  BrP_84.3d
adritãrthaü tad ucyate  BrP_174.26d
adrir nàma pi÷àcaràñ  BrP_84.12d
adriþ pai÷àcamårtimàn  BrP_84.16b
adveùã sumukhaþ ÷lakùõaþ  BrP_225.25a
advaitaü tvàü kathaü dvaitaü  BrP_49.16a
adhamà jàyate gatiþ  BrP_223.2b
adhamottamamadhyà÷ ca  BrP_45.38c
adhamottamau na teùv àstàü-  BrP_20.81c
adharmakàriõaþ pàpàþ  BrP_146.16c
adharmaparivarjitam  BrP_217.11d
adharmam anubhàùate  BrP_218.6b
adharmam upasevate  BrP_217.30b
adharmarucayo vipràs  BrP_4.47c
adharmavçddhyà lokànàm  BrP_230.39c
adharma÷aïkunà tena  BrP_7.100a
adharmasaükùaye muktas  BrP_217.73a
adharmasya kùayaü kçtvà  BrP_217.98a
adharmasya kùayaü kçtvà  BrP_217.104c
adharmasya gatir brahman  BrP_218.1a
adharmahà mahàdakùo  BrP_40.75c
adharmaü kuru mà veõa  BrP_4.36c
adharmaü dharmam ity àhur  BrP_225.61a
adharmaü sevamànàs tu  BrP_216.81c
adharmàõàü nivçttyarthaü  BrP_158.31a
adharmàd eva jantavaþ  BrP_170.23d
adharmà÷ritam eva ca  BrP_224.18b
adharmeõa samàyukto  BrP_217.31a
adharmeõeha cetasà  BrP_217.45d
adharme 'dhãyamànasya  BrP_13.163a
adha÷ cordhvaü ca te dãptàs  BrP_232.21a
adha÷ cordhvaü ca ra÷mibhiþ  BrP_32.47d
adha÷ cordhvaü ca hçdaye  BrP_60.39a
adha÷ cordhvaü tathà madhye  BrP_49.45a
adha÷ cordhvaü tathaiva ca  BrP_61.46d
adhastàn muni÷àrdålàþ  BrP_52.6c
adhaþ pa÷yanti nàrakàn  BrP_22.31d
adhaþ÷irobhir dç÷yante  BrP_22.31a
adhikaü kiü vada prabho  BrP_175.12b
adhikaü ÷u÷ubhe tataþ  BrP_32.107d
adhikaü ÷u÷ubhe tadà  BrP_6.40d
adhikaþ kvàpi vartate  BrP_149.19b
adhikàraphalapradam  BrP_20.41b
adhikàrã bhavet pa÷càt  BrP_60.54c
adhiyaj¤as tathaivàgnir  BrP_219.100c
adhiruhyàrcayàm àsa  BrP_187.61a
adhiruhyotpatiùyàmi  BrP_185.10c
adhiråóho mahàratham  BrP_206.28b
adhiùñhàtàram avyaktam  BrP_243.74c
adhiùñhàtàram eva ca  BrP_243.33d
adhiùñhàteti ràjendra  BrP_243.77a
adhiùñhànaü kùetram àhur  BrP_244.14c
adhiùñhànaü yadà yatra  BrP_62.22a
adhiùñhànàd adhiùñhàtà  BrP_243.77c
adhiùñhàne ca vai buddhyà  BrP_237.73c
adhiùñhitaü ke÷ava nityam eva  BrP_229.58c
adhãtavedaþ sarpo 'pi  BrP_111.9e
adhãtaü vismarati yas  BrP_164.32a
adhãtàs tena vedà vai  BrP_131.45c
adhãtya caturo vedàn  BrP_217.37a
adhãtya caturo vedàn  BrP_246.10a
adhãtya jãvàt sarvà÷ ca  BrP_152.3a
adhãtya svargam anvicchaüs  BrP_223.43a
adhãyàno vipra iva  BrP_118.23c
adhãyãta ca bho dvijàþ  BrP_222.7d
adhãùva yad abhãpsitam  BrP_121.10b
adhunà kãdç÷aü phalam  BrP_215.64d
adhçùyàü sarvabhåtànàü  BrP_6.41c
adhogataü mahàbhàgà  BrP_32.83c
adhogatànàü taptànàü  BrP_107.57c
adhogatinirodhakçt  BrP_214.33d
adhogatinirodhakçt  BrP_214*.33d
adhomukhas taiþ kriyate  BrP_234.15a
adhomukhaþ patet tatra  BrP_215.92a
adhomukhaþ patet tatra  BrP_215.113a
adho 'haü cordhvam eva ca  BrP_135.5d
adhyavasyed yathàmati  BrP_238.4b
adhyàtmagatini÷cayam  BrP_241.7b
adhyàtmaniùñhaü sarvaj¤aü  BrP_26.7a
adhyàtmam atimànuùam  BrP_237.41b
adhyàtmaü naiùñhikã siddhir  BrP_223.22c
adhyàtmaü yad idaü vipràþ  BrP_237.44a
adhyàtmaü vistareõeha  BrP_237.43a
adhyànagatam avyayam  BrP_33.21b
adhyàpayati vai pçthak  BrP_95.7b
adhyàpayasi nitya÷aþ  BrP_95.8b
adhyàpayasva bho brahma¤  BrP_121.12a
adhyàpayiùye sadç÷aü  BrP_95.5c
adhyàpya veda÷àstràõi  BrP_8.41c
adhyàste ca mahàn agniþ  BrP_110.210c
adhyàste ca mahã tathà  BrP_92.7d
adhyàste vibudhaiþ sàrdhaü  BrP_110.209c
adhyàste sarvadà suta  BrP_175.39b
adhyàsya ca dhanåratnaü  BrP_193.14a
adhyetavyà trayã nityaü  BrP_221.162c
adhyetà yogasàükhyànàü  BrP_43.5c
adhvanaþ ÷atayojane  BrP_17.16b
adhvaryuü sàmagaü vipraü  BrP_213.15c
adhvànaü jvalanaprabham  BrP_214.96d
adhvànaü jvalanaprabham  BrP_214*.96d
adhvànaü tat sudurgamam  BrP_214.102d
adhvànaü tat sudurgamam  BrP_214*.102d
adhvànaü nãyate dehã  BrP_214.100a
adhvànaü nãyate dehã  BrP_214*.100a
adhvànaü subhayaükaraiþ  BrP_214.75d
adhvànaü subhayaükaraiþ  BrP_214*.75d
anakùaj¤o halã dyåte  BrP_201.11a
anaóvàhaü ca gà÷ caiva  BrP_47.77a
anadhyàyeùu sarveùu  BrP_221.36a
anantabalapauruùaþ  BrP_51.2b
anantam aparàjitam  BrP_46.25d
anantaraü cakra÷àrïge  BrP_195.6a
anantarà÷ino ye ca  BrP_216.42a
anantavàsudevasya  BrP_45.86a
anantavàsudevasya  BrP_176.2a
anantavàsudevasya  BrP_176.3c
anantavàsudevasya  BrP_176.35c
ananta÷ càcyuto devo  BrP_73.43c
ananta÷ càpi ko vipra  BrP_130.6a
anantas tvaü jagadguruþ  BrP_73.16b
anantasya na tasyàntaþ  BrP_23.26a
anantasyopabhogàya  BrP_198.3c
anantaü jagatàü patim  BrP_50.31b
anantaü paramàcyutam  BrP_240.101d
anantaü brahmaõà saha  BrP_61.46b
anantaü vai prayacchanti  BrP_220.29c
anantaþ kapilo bhànuþ  BrP_33.42a
anantaþ ÷aübhur avyayaþ  BrP_128.46b
anantàkhyaü mahàbalam  BrP_50.45b
anantàkhyaü vàsudevaü  BrP_59.1a
anantàyàcyutàye÷a  BrP_122.70a
anantenàprameyena  BrP_208.3c
ananyamanasà caiva  BrP_46.30a
ananya÷araõàn hare  BrP_71.12d
ananya÷araõo hariþ  BrP_109.50f
anapatyo 'bhavad ràjà  BrP_13.144a
anapàkçtya tàü ràjan  BrP_12.26c
anapàyaniràyàsa-  BrP_162.5c
anabhragatam evorvyàü  BrP_24.13c
anamitram amitràõàü  BrP_16.10c
anamitrasuto nighno  BrP_16.11a
anamitrasuto ràjà  BrP_8.84c
anamitraü mahàbalam  BrP_14.1d
anamitraü mahàbalam  BrP_16.9d
anamitràc chanir jaj¤e  BrP_14.24c
anamitro raghu÷ caiva  BrP_8.84a
anayàd bhràtçghàtanam  BrP_124.107b
anayà dharmatçùõayà  BrP_231.2b
anayà vãkùitaü sarvaü  BrP_128.58a
anaraõyasuto nighno  BrP_8.83c
anaraõyas tu putro 'bhåd  BrP_8.83a
analas tv amaràn àha  BrP_110.202a
analaü ca yathàprãti  BrP_110.195a
ana÷nan deham utsçjya  BrP_12.48c
anaùñadravyatà caiva  BrP_13.173a
anaùñadravyatà yasya  BrP_13.197c
anasåyà ca sàmànyà  BrP_222.17c
anàkhyeyaprayojana  BrP_192.52b
anàkhyeyasvaråpàtmann  BrP_192.52a
anàkhyeyàbhidhàna tvàü  BrP_192.52c
anàgatà÷ ca saptaite  BrP_5.42a
anàgatà÷ ca saptaite  BrP_5.52c
anàgatyà bhavatàü càcireõa  BrP_110.40d
anàgà yo hato vipras  BrP_123.163c
anàtmanaþ sarvato 'pi  BrP_167.27a
anàtmany àtmavij¤ànaü  BrP_203.11a
anàthabandho narasiüha kasmàt  BrP_167.30d
anàthànàm iha nçõàü  BrP_129.56c
anàdaraü ca guruùu  BrP_164.32c
anàdinidhanaü caiva  BrP_33.21c
anàdinidhanaü devaü  BrP_216.83a
anàdinidhanaü param  BrP_206.41d
anàdinidhanàv etau  BrP_244.12a
anàdinidhano devaþ  BrP_67.48c
anàdinidhano 'nantaþ  BrP_243.29a
anàdinidhano brahmà  BrP_30.23a
anàdinidhano bhavàn  BrP_193.85b
anàdinidhano hariþ  BrP_197.1d
anàdinidhano hy àtmà  BrP_238.5a
anàdinidhano hy eùa  BrP_30.8a
anàdimadhyanidhanaü  BrP_240.99a
anàdimadhyàntam ajasya viùõoþ  BrP_191.33d
anàdir àdir vi÷vasya  BrP_233.3c
anàdis tvaü jagaddhàtar  BrP_73.16a
anàdiü jagatàm ã÷am  BrP_180.12c
anàdyantàmçtàjeya  BrP_178.131a
anàdyapàram ajaraü  BrP_124.132c
anàdy avidyàtimira-  BrP_130.34c
anàdyo lokanàtho 'sau  BrP_30.22a
anàdhçùñir ya÷asvinam  BrP_14.26d
anàdhçùñiþ kanavako  BrP_14.18c
anàyattaiþ samastai÷ ca  BrP_234.31a
anàyastatanuþ svastho  BrP_190.37c
anàyàsena deve÷a  BrP_69.5a
anàyàsena vai yànti  BrP_45.58c
anàryebhyo viråpikàm  BrP_154.11d
anàryeùu kçtaghneùu  BrP_137.24a
anàryair akçtàtmabhiþ  BrP_56.34b
anàvçùñibhayàt pràyaþ  BrP_230.24a
anàvçùñibhaye tasmin  BrP_8.22a
anàvçùñir ajàyata  BrP_74.22d
anàvçùñir atãvogrà  BrP_232.14c
anàvçùñir adharmo và  BrP_73.6a
anàvçùñir abhåt pårvaü  BrP_93.5a
anàvçùñis tu puùñimàn  BrP_15.59d
anàvçùñyà tadà ràùñram  BrP_17.32a
anà÷ayaj jagannàtho  BrP_146.41c
anàsaþ sa purotpannas  BrP_107.3a
anàso 'haü kiü karomi  BrP_107.37a
anàhvànasya kàraõe  BrP_109.5b
anàhvàne sure÷asya  BrP_109.4c
aniketas tapo 'carat  BrP_34.82d
aniketà hy anàhàrà  BrP_222.34a
aniketo hy araõyeùu  BrP_38.37a
anicchann api mucyate  BrP_214.28b
anicchann api mucyate  BrP_214*.28b
anicchann api yas tatra  BrP_177.18a
anityatvena ca snehaü  BrP_238.48c
anityaü sukham àsãnam  BrP_238.6c
anitye duþkhabahule  BrP_178.179c
anindhanaü jyotir iva pra÷àntaü  BrP_222.56c
aniruddha namas te 'stu  BrP_49.4c
aniruddhapuraü pa÷càd  BrP_227.44a
aniruddham athàninye  BrP_206.5c
aniruddhas tvaü màdhavas  BrP_178.165a
aniruddhaü tathottare  BrP_61.39d
aniruddhàdaya÷ cànye  BrP_210.42c
aniruddhàya te namaþ  BrP_192.58d
aniruddheti jalpatàm  BrP_206.10b
aniruddho raõe ruddho  BrP_201.7c
aniruddho raõe ruddho  BrP_205.7a
anirdiùñà mayà bhikùà  BrP_12.26a
anirde÷yam aråpaü ca  BrP_234.64a
anirde÷yavapus tvaü vai  BrP_178.153c
anirvàpya pitén devàn  BrP_217.74a
anilasya ÷ivà bhàryà  BrP_3.39a
anivçtte ÷ive tasyà  BrP_175.43c
anã÷atvàt pralãyante  BrP_240.87c
anã÷varam atattvaü ca  BrP_243.81c
anã÷varaþ kathaü mucyed  BrP_239.3a
anã÷varaþ pra÷àntàtmà  BrP_237.27c
anukampàrtham eva ca  BrP_7.109b
anukålaü tathàlàpam  BrP_221.32a
anukålaü tu te deva  BrP_6.38a
anukålà bhaviùyàmi  BrP_4.79c
anuktvà vacanaü kiücit  BrP_201.22c
anukro÷àd adharmaü ca  BrP_238.47c
anugacchanti devatàþ  BrP_163.19b
anugacchasva màm iti  BrP_7.10d
anugacchasva màü bhadre  BrP_7.7a
anugçhõanti lokàü÷ ca  BrP_34.89c
anugçhõan sadà bhaktàn  BrP_30.40c
anucintya sçjàmy aham  BrP_56.39d
anujagmu÷ ca taü nçpam  BrP_44.27d
anujagmu÷ ca taü sarve  BrP_44.20c
anujagmu÷ ca taü sarve  BrP_44.22a
anujagmus tu taü nçpam  BrP_44.18d
anujagmus tu taü sarve  BrP_44.17a
anujagmus tu ràjànaü  BrP_44.40c
anujànantu te sarve  BrP_104.74c
anujànantv imaü sarve  BrP_104.73c
anujànãhi màü tataþ  BrP_111.33d
anujànãhi màü tataþ  BrP_165.22d
anujànãhi màü bhara  BrP_127.20f
anujànãhi màü ÷ubhe  BrP_80.67d
anuj¤àtas tu viprais taiþ  BrP_220.152c
anuj¤àtas tv agàt tataþ  BrP_95.12b
anuj¤àtaü ca bhikùànnam  BrP_222.26c
anuj¤àtaþ suragaõaiþ  BrP_110.191a
anuj¤àtuü tvam arhasi  BrP_178.70d
anuj¤àü dàtum arhatha  BrP_123.137d
anuj¤àü dehi bhagavan  BrP_178.73a
anutaptà ÷ikhà caiva  BrP_20.11a
anutkçùñasya càdaràt  BrP_221.78d
anuttamàn ãhamàno jagàma  BrP_150.16d
anuttamàny apy atisaüskçtàni  BrP_140.11b
anuttamàny uttamaråpavanti  BrP_110.45d
anuttaraü nàma tapo  BrP_9.2a
anutpanne kàrttikeye  BrP_128.7c
anutpanneùu bahuùu  BrP_7.4a
anudvego hy avasthitiþ  BrP_238.57b
anunãyarkùaràjaü tu  BrP_16.42c
anupràptas tathà cà÷vo  BrP_89.32a
anupràptàs tataþ sarvàþ  BrP_112.18c
anupràpto hayàråóhas  BrP_108.36a
anubhåtam ivànyasmi¤  BrP_234.35a
anubhåtaü tathà prabho  BrP_49.32d
anumatyà guror api  BrP_123.106b
anumanyanti devatàþ  BrP_94.35d
anumanyantu çùayo  BrP_129.117c
anumanyantu devatàþ  BrP_110.162b
anumanyantu munayo  BrP_74.75c
anum apy abravãd ràjà  BrP_146.30c
anumànàd dhi manyate  BrP_242.46b
anumànya dvijàn sarvàn  BrP_74.56a
anumànya nçpaproktaü  BrP_123.30c
anumeyà dvijottamàþ  BrP_230.48d
anumeyà vicakùaõaiþ  BrP_230.44d
anumeyà vicakùaõaiþ  BrP_230.45d
anuyàta÷aratkàvya-  BrP_189.34c
anuyàtas tataþ param  BrP_221.157b
anuyàto mahàyogi-  BrP_196.17c
anuyànti yathà putràs  BrP_44.41c
anuyàsyanti càmaràþ  BrP_203.37b
anuyuktau tatas tau ca  BrP_193.16a
anuraktajanatyàge  BrP_107.34c
anuràgaparaü janam  BrP_192.20b
anuràgamanoramam  BrP_190.38d
anuràgàt tatas tasya  BrP_4.57c
anuràgeõa ÷aithilyam  BrP_192.29a
anuråpaguõatvàc ca  BrP_88.3c
anur neti tadovàca  BrP_146.31a
anulepanakarmaõi  BrP_193.4d
anulepanam àdadyàn  BrP_221.52c
anulepabhujas tathà  BrP_220.87b
anulepaü ca pradadau  BrP_193.7c
anuvartitavà¤ jalam  BrP_244.23d
anuvartitavàn iha  BrP_244.24d
anuvartitavàn mohàd  BrP_244.26c
anuvrajya tu tàn sarvàn  BrP_67.50c
anuùñhànaü karoti vai  BrP_221.168d
anuùñhànaü ca karmaõàm  BrP_222.12d
anuùñhànair anuùñhitaþ  BrP_230.15d
anuùñhite yathà÷àstraü  BrP_239.8c
anuùñheyaü sadà puübhiþ  BrP_221.167a
anusaüdhàya påruùam  BrP_161.55d
anuhràda iti khyàtaþ  BrP_125.2c
anuhràdo harihayo  BrP_213.84c
anuü ca dvijasattamàþ  BrP_12.32b
anåóho didhiùåpatiþ  BrP_220.131b
anåpade÷aü såtàya  BrP_4.67c
ançõaþ sa sukhã bhavet  BrP_14.59d
ançtaü ye na bhàùante  BrP_224.19c
aneka÷atasàhasrair  BrP_44.44c
aneka÷atasàhasrair  BrP_65.9c
aneka÷atasàhasrair  BrP_67.63c
aneka÷atasàhasraiþ  BrP_43.28a
aneka÷atasàhasraiþ  BrP_68.37a
aneka÷irasàü vipràþ  BrP_3.97a
anekàntaritaü laghu  BrP_221.121d
anekàvartagambhãraü  BrP_44.49a
anena karmaõà devi  BrP_225.16c
anena tava dharmeõa  BrP_7.12a
anena tu mahàbhàga  BrP_39.41a
anena duùñakapinà  BrP_209.22c
anena parivàreõa  BrP_215.54c
anena bharaõaü kçtam  BrP_8.20b
anena madamattena  BrP_215.76a
anena vidhinà gacchan  BrP_76.22e
anena saha me kùayam  BrP_244.27b
anena sahasà brahman  BrP_169.45a
anenasaþ samàkhyàtàþ  BrP_11.31c
anenasaþ suto ràjà  BrP_11.27c
